Symbol,Date,Open,High,Low,Close,Volume
LCCINFOTEC,2007-01-02 00:00:00+05:30,0.55,0.6,0.55,0.55,79044
LCCINFOTEC,2007-01-03 00:00:00+05:30,0.6,0.6,0.55,0.55,106959
LCCINFOTEC,2007-01-04 00:00:00+05:30,0.6,0.6,0.6,0.6,24000
LCCINFOTEC,2007-01-05 00:00:00+05:30,0.65,0.65,0.65,0.65,21300
LCCINFOTEC,2007-01-08 00:00:00+05:30,0.7,0.7,0.7,0.7,48024
LCCINFOTEC,2007-01-09 00:00:00+05:30,0.75,0.75,0.75,0.75,52175
LCCINFOTEC,2007-01-10 00:00:00+05:30,0.8,0.8,0.7,0.8,352974
LCCINFOTEC,2007-01-11 00:00:00+05:30,0.85,0.85,0.75,0.8,248843
LCCINFOTEC,2007-01-12 00:00:00+05:30,0.85,0.85,0.75,0.85,150791
LCCINFOTEC,2007-01-15 00:00:00+05:30,0.85,0.9,0.85,0.85,76065
LCCINFOTEC,2007-01-16 00:00:00+05:30,0.9,0.9,0.8,0.9,74875
LCCINFOTEC,2007-01-17 00:00:00+05:30,0.95,0.95,0.95,0.95,81135
LCCINFOTEC,2007-01-18 00:00:00+05:30,1.0,1.0,0.9,0.95,266762
LCCINFOTEC,2007-01-19 00:00:00+05:30,0.9,0.9,0.9,0.9,10690
LCCINFOTEC,2007-01-22 00:00:00+05:30,0.85,0.85,0.85,0.85,13825
LCCINFOTEC,2007-01-23 00:00:00+05:30,0.85,0.85,0.8,0.8,8725
LCCINFOTEC,2007-01-24 00:00:00+05:30,0.75,0.85,0.75,0.8,79642
LCCINFOTEC,2007-01-25 00:00:00+05:30,0.8,0.8,0.75,0.75,90991
LCCINFOTEC,2007-01-29 00:00:00+05:30,0.7,0.7,0.7,0.7,41000
LCCINFOTEC,2007-01-31 00:00:00+05:30,0.7,0.75,0.65,0.7,73580
LCCINFOTEC,2007-02-01 00:00:00+05:30,0.75,0.75,0.75,0.75,19495
LCCINFOTEC,2007-02-02 00:00:00+05:30,0.8,0.8,0.75,0.8,275650
LCCINFOTEC,2007-02-05 00:00:00+05:30,0.85,0.85,0.85,0.85,38999
LCCINFOTEC,2007-02-06 00:00:00+05:30,0.9,0.9,0.8,0.8,248525
LCCINFOTEC,2007-02-07 00:00:00+05:30,0.8,0.85,0.75,0.85,40200
LCCINFOTEC,2007-02-08 00:00:00+05:30,0.85,0.9,0.8,0.8,202600
LCCINFOTEC,2007-02-09 00:00:00+05:30,0.8,0.85,0.75,0.8,82900
LCCINFOTEC,2007-02-12 00:00:00+05:30,0.75,0.75,0.75,0.75,3800
LCCINFOTEC,2007-02-13 00:00:00+05:30,0.75,0.75,0.75,0.75,19860
LCCINFOTEC,2007-02-14 00:00:00+05:30,0.7,0.75,0.7,0.7,34500
LCCINFOTEC,2007-02-15 00:00:00+05:30,0.75,0.75,0.65,0.7,32800
LCCINFOTEC,2007-02-19 00:00:00+05:30,0.7,0.75,0.7,0.7,16800
LCCINFOTEC,2007-02-20 00:00:00+05:30,0.7,0.75,0.65,0.65,58133
LCCINFOTEC,2007-02-21 00:00:00+05:30,0.6,0.7,0.6,0.65,31552
LCCINFOTEC,2007-02-22 00:00:00+05:30,0.6,0.7,0.6,0.65,18455
LCCINFOTEC,2007-02-23 00:00:00+05:30,0.6,0.7,0.6,0.6,48469
LCCINFOTEC,2007-02-26 00:00:00+05:30,0.6,0.65,0.6,0.6,14650
LCCINFOTEC,2007-02-27 00:00:00+05:30,0.65,0.65,0.6,0.65,18710
LCCINFOTEC,2007-02-28 00:00:00+05:30,0.65,0.65,0.6,0.6,42213
LCCINFOTEC,2007-03-01 00:00:00+05:30,0.6,0.6,0.55,0.6,34507
LCCINFOTEC,2007-03-02 00:00:00+05:30,0.65,0.65,0.55,0.55,17200
LCCINFOTEC,2007-03-05 00:00:00+05:30,0.6,0.6,0.5,0.5,35101
LCCINFOTEC,2007-03-06 00:00:00+05:30,0.5,0.55,0.45,0.45,102078
LCCINFOTEC,2007-03-07 00:00:00+05:30,0.5,0.5,0.45,0.5,199610
LCCINFOTEC,2007-03-08 00:00:00+05:30,0.5,0.55,0.5,0.55,173070
LCCINFOTEC,2007-03-09 00:00:00+05:30,0.6,0.6,0.6,0.6,72546
LCCINFOTEC,2007-03-12 00:00:00+05:30,0.6,0.6,0.55,0.6,57555
LCCINFOTEC,2007-03-13 00:00:00+05:30,0.6,0.65,0.55,0.55,51650
LCCINFOTEC,2007-03-14 00:00:00+05:30,0.55,0.6,0.5,0.5,135250
LCCINFOTEC,2007-03-15 00:00:00+05:30,0.55,0.55,0.5,0.5,111832
LCCINFOTEC,2007-03-16 00:00:00+05:30,0.5,0.55,0.5,0.5,16348
LCCINFOTEC,2007-03-19 00:00:00+05:30,0.5,0.55,0.5,0.5,16988
LCCINFOTEC,2007-03-20 00:00:00+05:30,0.5,0.55,0.5,0.55,8001
LCCINFOTEC,2007-03-21 00:00:00+05:30,0.6,0.6,0.55,0.6,27105
LCCINFOTEC,2007-03-22 00:00:00+05:30,0.55,0.65,0.55,0.55,104380
LCCINFOTEC,2007-03-23 00:00:00+05:30,0.55,0.6,0.5,0.55,52700
LCCINFOTEC,2007-03-26 00:00:00+05:30,0.55,0.55,0.5,0.55,18210
LCCINFOTEC,2007-03-28 00:00:00+05:30,0.5,0.55,0.5,0.55,22948
LCCINFOTEC,2007-03-29 00:00:00+05:30,0.5,0.6,0.5,0.55,17120
LCCINFOTEC,2007-03-30 00:00:00+05:30,0.55,0.55,0.5,0.5,16400
LCCINFOTEC,2007-04-02 00:00:00+05:30,0.5,0.55,0.5,0.5,8800
LCCINFOTEC,2007-04-03 00:00:00+05:30,0.5,0.55,0.5,0.5,9624
LCCINFOTEC,2007-04-04 00:00:00+05:30,0.55,0.55,0.5,0.55,16250
LCCINFOTEC,2007-04-05 00:00:00+05:30,0.55,0.6,0.5,0.55,78600
LCCINFOTEC,2007-04-09 00:00:00+05:30,0.55,0.6,0.55,0.6,90118
LCCINFOTEC,2007-04-10 00:00:00+05:30,0.6,0.65,0.55,0.6,61850
LCCINFOTEC,2007-04-11 00:00:00+05:30,0.6,0.6,0.55,0.55,21824
LCCINFOTEC,2007-04-12 00:00:00+05:30,0.55,0.6,0.55,0.55,39353
LCCINFOTEC,2007-04-13 00:00:00+05:30,0.6,0.6,0.6,0.6,13678
LCCINFOTEC,2007-04-16 00:00:00+05:30,0.6,0.65,0.6,0.65,39104
LCCINFOTEC,2007-04-17 00:00:00+05:30,0.7,0.7,0.7,0.7,49850
LCCINFOTEC,2007-04-18 00:00:00+05:30,0.75,0.75,0.65,0.65,61038
LCCINFOTEC,2007-04-19 00:00:00+05:30,0.7,0.7,0.65,0.7,79980
LCCINFOTEC,2007-04-20 00:00:00+05:30,0.75,0.75,0.7,0.7,111275
LCCINFOTEC,2007-04-23 00:00:00+05:30,0.75,0.75,0.65,0.75,52200
LCCINFOTEC,2007-04-24 00:00:00+05:30,0.75,0.75,0.7,0.7,13175
LCCINFOTEC,2007-04-25 00:00:00+05:30,0.65,0.7,0.65,0.65,69416
LCCINFOTEC,2007-04-26 00:00:00+05:30,0.65,0.7,0.6,0.6,33305
LCCINFOTEC,2007-04-27 00:00:00+05:30,0.6,0.6,0.55,0.55,16525
LCCINFOTEC,2007-04-30 00:00:00+05:30,0.55,0.6,0.55,0.6,14005
LCCINFOTEC,2007-05-03 00:00:00+05:30,0.65,0.65,0.6,0.65,108349
LCCINFOTEC,2007-05-04 00:00:00+05:30,0.6,0.65,0.6,0.65,28001
LCCINFOTEC,2007-05-07 00:00:00+05:30,0.65,0.7,0.6,0.7,111770
LCCINFOTEC,2007-05-08 00:00:00+05:30,0.75,0.75,0.65,0.65,81400
LCCINFOTEC,2007-05-09 00:00:00+05:30,0.65,0.7,0.6,0.65,131009
LCCINFOTEC,2007-05-10 00:00:00+05:30,0.65,0.7,0.65,0.65,23375
LCCINFOTEC,2007-05-11 00:00:00+05:30,0.65,0.7,0.6,0.7,57606
LCCINFOTEC,2007-05-14 00:00:00+05:30,0.7,0.7,0.65,0.7,19348
LCCINFOTEC,2007-05-15 00:00:00+05:30,0.65,0.7,0.65,0.65,32112
LCCINFOTEC,2007-05-16 00:00:00+05:30,0.7,0.7,0.6,0.6,34582
LCCINFOTEC,2007-05-17 00:00:00+05:30,0.6,0.65,0.6,0.6,67013
LCCINFOTEC,2007-05-18 00:00:00+05:30,0.6,0.65,0.55,0.55,130766
LCCINFOTEC,2007-05-21 00:00:00+05:30,0.6,0.6,0.55,0.6,94885
LCCINFOTEC,2007-05-22 00:00:00+05:30,0.6,0.6,0.55,0.55,55949
LCCINFOTEC,2007-05-23 00:00:00+05:30,0.6,0.6,0.5,0.5,91604
LCCINFOTEC,2007-05-24 00:00:00+05:30,0.5,0.55,0.5,0.55,11500
LCCINFOTEC,2007-05-25 00:00:00+05:30,0.6,0.6,0.55,0.6,199994
LCCINFOTEC,2007-05-28 00:00:00+05:30,0.65,0.65,0.6,0.6,78575
LCCINFOTEC,2007-05-29 00:00:00+05:30,0.6,0.6,0.55,0.55,56062
LCCINFOTEC,2007-05-30 00:00:00+05:30,0.55,0.6,0.55,0.55,50100
LCCINFOTEC,2007-05-31 00:00:00+05:30,0.6,0.6,0.6,0.6,13727
LCCINFOTEC,2007-06-01 00:00:00+05:30,0.55,0.65,0.55,0.55,135655
LCCINFOTEC,2007-06-04 00:00:00+05:30,0.55,0.6,0.55,0.55,62321
LCCINFOTEC,2007-06-05 00:00:00+05:30,0.6,0.6,0.55,0.55,31500
LCCINFOTEC,2007-06-06 00:00:00+05:30,0.6,0.6,0.55,0.55,25678
LCCINFOTEC,2007-06-07 00:00:00+05:30,0.6,0.6,0.55,0.55,56621
LCCINFOTEC,2007-06-08 00:00:00+05:30,0.55,0.6,0.55,0.55,36451
LCCINFOTEC,2007-06-11 00:00:00+05:30,0.55,0.6,0.55,0.55,13250
LCCINFOTEC,2007-06-12 00:00:00+05:30,0.55,0.6,0.55,0.55,28973
LCCINFOTEC,2007-06-13 00:00:00+05:30,0.55,0.6,0.55,0.6,18100
LCCINFOTEC,2007-06-14 00:00:00+05:30,0.55,0.6,0.55,0.55,52974
LCCINFOTEC,2007-06-15 00:00:00+05:30,0.5,0.6,0.5,0.55,9915
LCCINFOTEC,2007-06-18 00:00:00+05:30,0.6,0.6,0.5,0.5,34336
LCCINFOTEC,2007-06-19 00:00:00+05:30,0.5,0.55,0.5,0.5,4350
LCCINFOTEC,2007-06-20 00:00:00+05:30,0.55,0.55,0.5,0.55,61894
LCCINFOTEC,2007-06-21 00:00:00+05:30,0.55,0.6,0.55,0.55,117996
LCCINFOTEC,2007-06-22 00:00:00+05:30,0.6,0.6,0.55,0.55,27557
LCCINFOTEC,2007-06-25 00:00:00+05:30,0.5,0.6,0.5,0.5,13015
LCCINFOTEC,2007-06-26 00:00:00+05:30,0.5,0.55,0.5,0.55,31740
LCCINFOTEC,2007-06-27 00:00:00+05:30,0.6,0.6,0.5,0.6,273435
LCCINFOTEC,2007-06-28 00:00:00+05:30,0.65,0.65,0.6,0.6,214890
LCCINFOTEC,2007-06-29 00:00:00+05:30,0.6,0.65,0.55,0.55,59611
LCCINFOTEC,2007-07-02 00:00:00+05:30,0.55,0.6,0.5,0.55,142852
LCCINFOTEC,2007-07-03 00:00:00+05:30,0.55,0.6,0.55,0.55,30000
LCCINFOTEC,2007-07-04 00:00:00+05:30,0.55,0.6,0.55,0.6,33225
LCCINFOTEC,2007-07-05 00:00:00+05:30,0.6,0.6,0.55,0.6,14700
LCCINFOTEC,2007-07-06 00:00:00+05:30,0.6,0.6,0.55,0.55,93008
LCCINFOTEC,2007-07-09 00:00:00+05:30,0.6,0.6,0.5,0.5,64800
LCCINFOTEC,2007-07-10 00:00:00+05:30,0.55,0.55,0.5,0.55,23546
LCCINFOTEC,2007-07-11 00:00:00+05:30,0.55,0.6,0.55,0.55,58908
LCCINFOTEC,2007-07-12 00:00:00+05:30,0.6,0.6,0.55,0.6,50522
LCCINFOTEC,2007-07-13 00:00:00+05:30,0.6,0.65,0.55,0.6,161461
LCCINFOTEC,2007-07-16 00:00:00+05:30,0.55,0.6,0.55,0.55,77950
LCCINFOTEC,2007-07-17 00:00:00+05:30,0.55,0.6,0.55,0.6,10612
LCCINFOTEC,2007-07-18 00:00:00+05:30,0.55,0.65,0.55,0.65,131001
LCCINFOTEC,2007-07-19 00:00:00+05:30,0.6,0.7,0.6,0.65,37807
LCCINFOTEC,2007-07-20 00:00:00+05:30,0.6,0.7,0.6,0.6,128281
LCCINFOTEC,2007-07-23 00:00:00+05:30,0.6,0.65,0.6,0.6,64277
LCCINFOTEC,2007-07-24 00:00:00+05:30,0.65,0.65,0.55,0.55,58558
LCCINFOTEC,2007-07-25 00:00:00+05:30,0.55,0.6,0.55,0.6,24300
LCCINFOTEC,2007-07-26 00:00:00+05:30,0.65,0.65,0.55,0.55,80059
LCCINFOTEC,2007-07-27 00:00:00+05:30,0.6,0.6,0.55,0.6,18393
LCCINFOTEC,2007-07-30 00:00:00+05:30,0.55,0.65,0.55,0.65,74582
LCCINFOTEC,2007-07-31 00:00:00+05:30,0.6,0.65,0.6,0.65,23000
LCCINFOTEC,2007-08-01 00:00:00+05:30,0.6,0.65,0.6,0.6,54694
LCCINFOTEC,2007-08-02 00:00:00+05:30,0.6,0.6,0.55,0.55,21125
LCCINFOTEC,2007-08-03 00:00:00+05:30,0.55,0.6,0.55,0.6,120111
LCCINFOTEC,2007-08-06 00:00:00+05:30,0.6,0.6,0.55,0.55,27200
LCCINFOTEC,2007-08-07 00:00:00+05:30,0.55,0.6,0.55,0.6,161550
LCCINFOTEC,2007-08-08 00:00:00+05:30,0.6,0.65,0.6,0.65,255841
LCCINFOTEC,2007-08-09 00:00:00+05:30,0.7,0.7,0.6,0.7,199400
LCCINFOTEC,2007-08-10 00:00:00+05:30,0.75,0.75,0.65,0.7,145728
LCCINFOTEC,2007-08-13 00:00:00+05:30,0.75,0.75,0.7,0.75,137578
LCCINFOTEC,2007-08-14 00:00:00+05:30,0.8,0.8,0.8,0.8,142457
LCCINFOTEC,2007-08-16 00:00:00+05:30,0.8,0.85,0.75,0.85,195525
LCCINFOTEC,2007-08-17 00:00:00+05:30,0.85,0.9,0.8,0.85,281667
LCCINFOTEC,2007-08-20 00:00:00+05:30,0.9,0.9,0.9,0.9,214936
LCCINFOTEC,2007-08-21 00:00:00+05:30,0.95,0.95,0.85,0.85,239016
LCCINFOTEC,2007-08-22 00:00:00+05:30,0.8,0.9,0.8,0.85,139587
LCCINFOTEC,2007-08-23 00:00:00+05:30,0.85,0.85,0.8,0.8,105702
LCCINFOTEC,2007-08-24 00:00:00+05:30,0.8,0.85,0.75,0.75,91933
LCCINFOTEC,2007-08-27 00:00:00+05:30,0.75,0.8,0.75,0.8,91921
LCCINFOTEC,2007-08-28 00:00:00+05:30,0.85,0.85,0.75,0.75,78776
LCCINFOTEC,2007-08-29 00:00:00+05:30,0.75,0.8,0.7,0.8,73651
LCCINFOTEC,2007-08-30 00:00:00+05:30,0.8,0.8,0.75,0.8,90891
LCCINFOTEC,2007-08-31 00:00:00+05:30,0.8,0.8,0.75,0.8,94586
LCCINFOTEC,2007-09-03 00:00:00+05:30,0.75,0.85,0.75,0.8,80880
LCCINFOTEC,2007-09-04 00:00:00+05:30,0.75,0.85,0.75,0.8,105800
LCCINFOTEC,2007-09-05 00:00:00+05:30,0.75,0.8,0.75,0.75,116990
LCCINFOTEC,2007-09-06 00:00:00+05:30,0.75,0.8,0.7,0.7,152655
LCCINFOTEC,2007-09-07 00:00:00+05:30,0.75,0.75,0.75,0.75,21000
LCCINFOTEC,2007-09-10 00:00:00+05:30,0.8,0.8,0.75,0.8,81225
LCCINFOTEC,2007-09-11 00:00:00+05:30,0.85,0.85,0.85,0.85,101085
LCCINFOTEC,2007-09-12 00:00:00+05:30,0.9,0.9,0.9,0.9,69905
LCCINFOTEC,2007-09-13 00:00:00+05:30,0.95,0.95,0.95,0.95,116701
LCCINFOTEC,2007-09-14 00:00:00+05:30,1.0,1.0,1.0,1.0,125089
LCCINFOTEC,2007-09-17 00:00:00+05:30,1.05,1.05,1.05,1.05,104633
LCCINFOTEC,2007-09-18 00:00:00+05:30,1.1,1.1,1.1,1.1,158268
LCCINFOTEC,2007-09-19 00:00:00+05:30,1.2,1.2,1.2,1.2,126217
LCCINFOTEC,2007-09-20 00:00:00+05:30,1.3,1.3,1.3,1.3,108183
LCCINFOTEC,2007-09-21 00:00:00+05:30,1.4,1.4,1.4,1.4,459306
