Symbol,Date,Open,High,Low,Close,Volume
LGHL,2020-04-16 00:00:00+05:30,6.25,6.3,6.1,6.25,4185265
LGHL,2020-04-17 00:00:00+05:30,6.25,6.25,6.25,6.25,2419006
LGHL,2020-04-20 00:00:00+05:30,6.25,6.25,6.25,6.25,134389
LGHL,2020-04-21 00:00:00+05:30,6.45,6.6,6.25,6.25,172786
LGHL,2020-04-22 00:00:00+05:30,6.25,6.5,6.25,6.5,38397
LGHL,2020-04-23 00:00:00+05:30,6.8,6.8,6.4,6.4,76794
LGHL,2020-04-24 00:00:00+05:30,6.65,6.7,6.65,6.7,38397
LGHL,2020-04-27 00:00:00+05:30,6.35,6.35,6.35,6.35,19198
LGHL,2020-04-28 00:00:00+05:30,6.25,6.25,6.25,6.25,38397
LGHL,2020-04-29 00:00:00+05:30,6.25,6.25,6.25,6.25,38397
LGHL,2020-05-05 00:00:00+05:30,6.25,6.25,6.25,6.25,38397
LGHL,2020-05-06 00:00:00+05:30,6.25,6.25,6.25,6.25,57595
LGHL,2020-05-08 00:00:00+05:30,6.45,6.45,6.25,6.25,422366
LGHL,2020-05-18 00:00:00+05:30,6.55,6.55,6.55,6.55,19198
LGHL,2020-06-08 00:00:00+05:30,6.35,6.7,6.35,6.7,38397
LGHL,2020-07-24 00:00:00+05:30,6.5,6.5,6.5,6.5,153588
LGHL,2020-07-29 00:00:00+05:30,6.5,6.5,6.5,6.5,153588
LGHL,2020-09-23 00:00:00+05:30,6.4,6.4,6.4,6.4,19198
LGHL,2020-11-26 00:00:00+05:30,6.25,6.25,6.25,6.25,38397
LGHL,2020-12-04 00:00:00+05:30,6.25,6.25,6.25,6.25,38397
LGHL,2020-12-09 00:00:00+05:30,6.25,6.25,6.25,6.25,38397
LGHL,2021-01-06 00:00:00+05:30,6.4,6.4,5.2,5.2,38397
LGHL,2021-01-27 00:00:00+05:30,6.25,6.25,6.25,6.25,19198
LGHL,2021-02-18 00:00:00+05:30,6.9,6.9,6.9,6.9,345572
LGHL,2021-02-19 00:00:00+05:30,7.5,7.5,7.5,7.5,19198
LGHL,2021-02-22 00:00:00+05:30,8.75,8.75,8.75,8.75,19198
LGHL,2021-02-25 00:00:00+05:30,8.95,8.95,8.95,8.95,19198
LGHL,2021-02-26 00:00:00+05:30,8.35,8.35,8.35,8.35,57595
LGHL,2021-03-04 00:00:00+05:30,8.35,8.35,8.35,8.35,19198
LGHL,2021-03-09 00:00:00+05:30,8.35,8.35,8.35,8.35,19198
LGHL,2021-03-16 00:00:00+05:30,7.5,7.5,7.5,7.5,19198
LGHL,2021-03-26 00:00:00+05:30,6.75,6.75,6.75,6.75,19198
LGHL,2021-04-09 00:00:00+05:30,6.45,6.45,6.45,6.45,38397
LGHL,2021-04-26 00:00:00+05:30,6.15,6.15,6.15,6.15,19198
LGHL,2021-04-29 00:00:00+05:30,6.45,6.45,6.45,6.45,19198
LGHL,2021-05-14 00:00:00+05:30,6.15,6.15,6.15,6.15,19198
LGHL,2021-05-17 00:00:00+05:30,5.9,5.9,5.9,5.9,115191
LGHL,2021-05-18 00:00:00+05:30,5.85,5.85,5.85,5.85,76794
LGHL,2021-06-04 00:00:00+05:30,6.1,6.1,6.1,6.1,38397
LGHL,2021-06-07 00:00:00+05:30,6.4,6.4,5.95,5.95,57595
LGHL,2021-06-11 00:00:00+05:30,6.05,6.05,6.05,6.05,38397
LGHL,2021-07-05 00:00:00+05:30,6.25,6.25,6.25,6.25,115191
LGHL,2021-08-02 00:00:00+05:30,6.25,6.25,6.25,6.25,76794
LGHL,2021-08-23 00:00:00+05:30,5.95,5.95,5.95,5.95,19198
LGHL,2021-08-26 00:00:00+05:30,6.2,6.2,6.2,6.2,38397
LGHL,2021-08-27 00:00:00+05:30,6.25,6.25,6.25,6.25,19198
LGHL,2021-08-31 00:00:00+05:30,6.25,6.25,6.25,6.25,19198
LGHL,2021-10-13 00:00:00+05:30,5.95,5.95,5.95,5.95,19198
LGHL,2021-12-30 00:00:00+05:30,5.95,5.95,5.95,5.95,19198
LGHL,2022-01-04 00:00:00+05:30,6.2,6.2,6.2,6.2,19198
LGHL,2022-01-11 00:00:00+05:30,6.5,6.5,6.5,6.5,19198
LGHL,2022-02-17 00:00:00+05:30,6.2,6.8,6.2,6.5,38397
LGHL,2022-03-04 00:00:00+05:30,6.2,6.2,6.2,6.2,38397
LGHL,2022-03-23 00:00:00+05:30,5.9,5.9,5.9,5.9,57595
LGHL,2022-06-17 00:00:00+05:30,6.2,6.2,6.05,6.05,76794
LGHL,2022-06-20 00:00:00+05:30,6.25,6.25,6.25,6.25,95992
LGHL,2022-06-21 00:00:00+05:30,6.4,6.5,6.4,6.4,153588
LGHL,2022-06-22 00:00:00+05:30,6.65,6.65,6.65,6.65,19198
LGHL,2022-07-01 00:00:00+05:30,6.95,6.95,6.95,6.95,19198
LGHL,2022-07-06 00:00:00+05:30,7.3,7.3,7.3,7.3,19198
LGHL,2022-07-08 00:00:00+05:30,6.95,6.95,6.95,6.95,38397
LGHL,2022-07-13 00:00:00+05:30,6.65,6.65,6.65,6.65,1247900
LGHL,2022-07-15 00:00:00+05:30,6.65,6.65,6.65,6.65,1017519
LGHL,2022-07-19 00:00:00+05:30,6.35,6.35,6.35,6.35,1017519
LGHL,2022-07-26 00:00:00+05:30,6.25,6.6,6.25,6.3,460763
LGHL,2022-07-27 00:00:00+05:30,6.25,6.6,6.25,6.6,191985
LGHL,2022-07-28 00:00:00+05:30,6.85,6.85,6.85,6.85,19198
LGHL,2022-07-29 00:00:00+05:30,7.15,7.15,7.15,7.15,19198
LGHL,2022-08-01 00:00:00+05:30,7.35,7.35,7.35,7.35,19198
LGHL,2022-08-02 00:00:00+05:30,7.65,7.65,7.65,7.65,19198
LGHL,2022-08-03 00:00:00+05:30,7.95,7.95,7.95,7.95,19198
LGHL,2022-08-08 00:00:00+05:30,8.3,8.3,8.3,8.3,19198
LGHL,2022-08-10 00:00:00+05:30,8.65,8.65,8.65,8.65,19198
LGHL,2022-08-16 00:00:00+05:30,8.95,8.95,8.95,8.95,19198
LGHL,2022-08-17 00:00:00+05:30,9.4,9.4,9.4,9.4,19198
LGHL,2022-08-18 00:00:00+05:30,9.75,9.75,9.75,9.75,19198
LGHL,2022-08-24 00:00:00+05:30,10.2,10.2,10.2,10.2,19198
LGHL,2023-01-16 00:00:00+05:30,10.6,10.6,9.9,9.9,287977
LGHL,2023-01-17 00:00:00+05:30,9.45,9.45,9.45,9.45,57595
LGHL,2023-03-10 00:00:00+05:30,9.0,9.9,9.0,9.35,902328
LGHL,2023-03-13 00:00:00+05:30,9.8,9.8,9.8,9.8,249580
LGHL,2023-03-14 00:00:00+05:30,10.0,10.0,10.0,10.0,95992
LGHL,2023-03-17 00:00:00+05:30,10.5,10.5,10.5,10.5,19198
LGHL,2023-03-20 00:00:00+05:30,11.05,11.05,11.05,11.05,614351
LGHL,2023-04-12 00:00:00+05:30,11.6,11.6,10.65,10.65,787137
LGHL,2023-04-18 00:00:00+05:30,11.15,11.15,11.15,11.15,441565
LGHL,2023-05-31 00:00:00+05:30,11.7,11.7,11.7,11.7,652748
LGHL,2023-06-02 00:00:00+05:30,12.25,12.25,12.25,12.25,19198
LGHL,2023-07-17 00:00:00+05:30,12.9,12.9,12.9,12.9,19198
LGHL,2023-07-27 00:00:00+05:30,13.5,13.5,13.5,13.5,19198
