Symbol,Date,Open,High,Low,Close,Volume
LICNETFGSC,2015-01-01 00:00:00+05:30,13.54,13.54,13.52,13.54,150286
LICNETFGSC,2015-01-02 00:00:00+05:30,13.46,13.54,13.46,13.49,122137
LICNETFGSC,2015-01-05 00:00:00+05:30,13.54,13.54,13.49,13.49,1001
LICNETFGSC,2015-01-06 00:00:00+05:30,13.55,13.55,13.53,13.53,40
LICNETFGSC,2015-01-07 00:00:00+05:30,13.49,13.5,13.49,13.49,200101
LICNETFGSC,2015-01-08 00:00:00+05:30,13.52,13.55,13.5,13.55,217893
LICNETFGSC,2015-01-09 00:00:00+05:30,13.55,13.55,13.54,13.54,1037
LICNETFGSC,2015-01-12 00:00:00+05:30,13.55,13.59,13.49,13.5,540155
LICNETFGSC,2015-01-13 00:00:00+05:30,13.54,13.55,13.49,13.55,305501
LICNETFGSC,2015-01-14 00:00:00+05:30,13.6,13.6,13.5,13.51,250300
LICNETFGSC,2015-01-15 00:00:00+05:30,13.89,13.89,13.55,13.58,576200
LICNETFGSC,2015-01-16 00:00:00+05:30,13.6,13.6,13.55,13.6,151137
LICNETFGSC,2015-01-19 00:00:00+05:30,13.69,13.69,13.55,13.55,83775
LICNETFGSC,2015-01-20 00:00:00+05:30,13.67,13.7,13.65,13.7,8904
LICNETFGSC,2015-01-21 00:00:00+05:30,13.68,13.72,13.65,13.72,11020
LICNETFGSC,2015-01-22 00:00:00+05:30,13.75,13.76,13.75,13.76,20000
LICNETFGSC,2015-01-23 00:00:00+05:30,13.7,13.7,13.7,13.7,50500
LICNETFGSC,2015-01-27 00:00:00+05:30,13.75,13.75,13.75,13.75,2072
LICNETFGSC,2015-01-28 00:00:00+05:30,13.75,13.76,13.7,13.76,6529
LICNETFGSC,2015-01-29 00:00:00+05:30,13.76,13.76,13.75,13.76,17063
LICNETFGSC,2015-02-02 00:00:00+05:30,13.75,13.75,13.7,13.7,130001
LICNETFGSC,2015-02-03 00:00:00+05:30,13.75,13.78,13.75,13.76,15
LICNETFGSC,2015-02-04 00:00:00+05:30,13.8,13.8,13.78,13.78,1279
LICNETFGSC,2015-02-05 00:00:00+05:30,13.79,13.79,13.77,13.77,164
LICNETFGSC,2015-02-06 00:00:00+05:30,13.75,13.79,13.69,13.71,70994
LICNETFGSC,2015-02-09 00:00:00+05:30,13.8,13.8,13.8,13.8,191
LICNETFGSC,2015-02-10 00:00:00+05:30,13.8,13.8,13.71,13.71,81163
LICNETFGSC,2015-02-11 00:00:00+05:30,13.8,13.8,13.8,13.8,1231
LICNETFGSC,2015-02-12 00:00:00+05:30,13.81,13.81,13.8,13.8,168
LICNETFGSC,2015-02-13 00:00:00+05:30,13.82,13.82,13.82,13.82,144
LICNETFGSC,2015-02-16 00:00:00+05:30,13.82,13.82,13.82,13.82,151
LICNETFGSC,2015-02-18 00:00:00+05:30,13.83,13.83,13.76,13.76,1418
