Symbol,Date,Open,High,Low,Close,Volume
LIQGRWBEES,2025-07-25 00:00:00+05:30,1001.14,1001.16,1001.14,1001.14,1224
LIQGRWBEES,2025-07-28 00:00:00+05:30,1001.26,1001.28,1001.26,1001.28,4698
LIQGRWBEES,2025-07-29 00:00:00+05:30,1001.4,1001.42,1001.4,1001.4,1718
LIQGRWBEES,2025-07-30 00:00:00+05:30,1001.55,1001.55,1001.53,1001.55,4090
LIQGRWBEES,2025-07-31 00:00:00+05:30,1001.55,1001.68,1001.55,1001.66,5624
LIQGRWBEES,2025-08-01 00:00:00+05:30,1002.06,1002.08,1002.06,1002.07,10299
LIQGRWBEES,2025-08-04 00:00:00+05:30,1027.12,1027.12,1002.19,1002.19,2890
LIQGRWBEES,2025-08-05 00:00:00+05:30,1002.34,1002.34,1002.32,1002.34,13907
LIQGRWBEES,2025-08-06 00:00:00+05:30,1002.45,1002.46,1002.45,1002.45,6304
LIQGRWBEES,2025-08-07 00:00:00+05:30,1002.59,1002.59,1002.58,1002.59,11491
LIQGRWBEES,2025-08-08 00:00:00+05:30,1003.0,1003.0,1002.99,1002.99,402
LIQGRWBEES,2025-08-11 00:00:00+05:30,1003.12,1003.14,1003.12,1003.13,6608
LIQGRWBEES,2025-08-12 00:00:00+05:30,1003.26,1003.28,1003.26,1003.28,4386
LIQGRWBEES,2025-08-13 00:00:00+05:30,1003.39,1003.41,1003.39,1003.4,30327
LIQGRWBEES,2025-08-14 00:00:00+05:30,1003.93,1003.95,1003.93,1003.93,8938
LIQGRWBEES,2025-08-18 00:00:00+05:30,1004.06,1004.08,1004.06,1004.08,1231
LIQGRWBEES,2025-08-19 00:00:00+05:30,1004.19,1004.21,1004.19,1004.21,555
LIQGRWBEES,2025-08-20 00:00:00+05:30,1004.32,1004.34,1004.32,1004.32,4260
LIQGRWBEES,2025-08-21 00:00:00+05:30,1004.47,1004.48,1004.46,1004.47,3183
LIQGRWBEES,2025-08-22 00:00:00+05:30,1004.88,1004.9,1004.87,1004.88,15606
LIQGRWBEES,2025-08-25 00:00:00+05:30,1005.02,1005.03,1005.01,1005.02,25989
LIQGRWBEES,2025-08-26 00:00:00+05:30,1005.3,1005.3,1005.28,1005.28,4479
