Symbol,Date,Open,High,Low,Close,Volume
LIQUIDADD,2024-04-03 00:00:00+05:30,1002.51,1002.51,1002.49,1002.5,4565
LIQUIDADD,2024-04-04 00:00:00+05:30,1002.65,1002.67,1002.65,1002.67,67453
LIQUIDADD,2024-04-05 00:00:00+05:30,1003.17,1003.17,1003.15,1003.17,86210
LIQUIDADD,2024-04-08 00:00:00+05:30,1003.49,1003.51,1003.49,1003.5,84432
LIQUIDADD,2024-04-09 00:00:00+05:30,999.51,1003.51,999.51,1003.5,83650
LIQUIDADD,2024-04-10 00:00:00+05:30,1001.5,1003.84,1001.5,1003.82,257441
LIQUIDADD,2024-04-12 00:00:00+05:30,1004.33,1004.35,1004.33,1004.35,192920
LIQUIDADD,2024-04-15 00:00:00+05:30,1004.52,1004.53,1004.51,1004.51,105031
LIQUIDADD,2024-04-16 00:00:00+05:30,1004.85,1004.85,1004.83,1004.84,48174
LIQUIDADD,2024-04-18 00:00:00+05:30,1004.99,1005.02,1004.99,1005.01,23581
LIQUIDADD,2024-04-19 00:00:00+05:30,1005.52,1005.52,1005.5,1005.52,126933
LIQUIDADD,2024-04-22 00:00:00+05:30,1005.69,1005.69,1005.67,1005.69,102495
LIQUIDADD,2024-04-23 00:00:00+05:30,1005.84,1005.86,1005.84,1005.86,169254
LIQUIDADD,2024-04-24 00:00:00+05:30,1006.0,1006.03,1006.0,1006.02,72329
LIQUIDADD,2024-04-25 00:00:00+05:30,1005.99,1006.21,1005.99,1006.21,1012875
LIQUIDADD,2024-04-26 00:00:00+05:30,1006.0,1006.73,1006.0,1006.73,22920
LIQUIDADD,2024-04-29 00:00:00+05:30,1005.99,1006.9,1005.99,1006.88,78421
LIQUIDADD,2024-04-30 00:00:00+05:30,1005.99,1007.24,1005.99,1007.23,283200
LIQUIDADD,2024-05-02 00:00:00+05:30,1007.39,1007.41,1007.39,1007.4,89153
LIQUIDADD,2024-05-03 00:00:00+05:30,1007.88,1007.9,1007.88,1007.89,397299
LIQUIDADD,2024-05-06 00:00:00+05:30,1008.05,1008.07,1008.05,1008.06,117432
LIQUIDADD,2024-05-07 00:00:00+05:30,1008.21,1008.23,1008.21,1008.22,138027
LIQUIDADD,2024-05-08 00:00:00+05:30,1008.4,1008.4,1008.38,1008.39,197239
LIQUIDADD,2024-05-09 00:00:00+05:30,1008.58,1008.58,1008.56,1008.57,190204
LIQUIDADD,2024-05-10 00:00:00+05:30,1008.99,1009.1,1008.99,1009.09,226326
LIQUIDADD,2024-05-13 00:00:00+05:30,1008.99,1009.27,1008.99,1009.26,155605
LIQUIDADD,2024-05-14 00:00:00+05:30,1009.42,1009.44,1009.42,1009.42,827129
LIQUIDADD,2024-05-15 00:00:00+05:30,1009.61,1009.61,1009.59,1009.59,156925
LIQUIDADD,2024-05-16 00:00:00+05:30,1009.77,1009.77,1009.75,1009.76,192010
LIQUIDADD,2024-05-17 00:00:00+05:30,1008.51,1010.46,1008.51,1010.45,278087
LIQUIDADD,2024-05-18 00:00:00+05:30,1010.44,1010.46,1010.44,1010.44,4663
LIQUIDADD,2024-05-21 00:00:00+05:30,1010.61,1010.63,1010.61,1010.62,441586
LIQUIDADD,2024-05-22 00:00:00+05:30,1010.96,1010.98,1010.96,1010.98,326634
LIQUIDADD,2024-05-23 00:00:00+05:30,1010.98,1010.98,1010.96,1010.98,267337
LIQUIDADD,2024-05-24 00:00:00+05:30,1011.5,1011.5,1011.48,1011.49,718204
LIQUIDADD,2024-05-27 00:00:00+05:30,1011.66,1011.68,1011.66,1011.67,226651
LIQUIDADD,2024-05-28 00:00:00+05:30,1011.84,1011.85,1011.83,1011.84,169950
LIQUIDADD,2024-05-29 00:00:00+05:30,1012.01,1012.01,1011.99,1012.0,204942
LIQUIDADD,2024-05-30 00:00:00+05:30,1012.16,1012.18,1012.16,1012.17,240149
LIQUIDADD,2024-05-31 00:00:00+05:30,1011.99,1012.7,1011.99,1012.69,274656
LIQUIDADD,2024-06-03 00:00:00+05:30,1012.68,1012.87,1012.68,1012.85,351487
LIQUIDADD,2024-06-04 00:00:00+05:30,1013.01,1013.03,1013.01,1013.02,169150
LIQUIDADD,2024-06-05 00:00:00+05:30,1013.18,1013.2,1013.18,1013.19,352263
LIQUIDADD,2024-06-06 00:00:00+05:30,1013.18,1013.37,1013.18,1013.36,248753
LIQUIDADD,2024-06-07 00:00:00+05:30,1010.0,1013.89,1010.0,1013.88,816383
LIQUIDADD,2024-06-10 00:00:00+05:30,1014.0,1014.68,1014.0,1014.05,97982
LIQUIDADD,2024-06-11 00:00:00+05:30,1013.99,1014.22,1013.99,1014.21,315122
LIQUIDADD,2024-06-12 00:00:00+05:30,1013.99,1014.38,1013.99,1014.37,1300186
LIQUIDADD,2024-06-13 00:00:00+05:30,1013.99,1014.53,1013.99,1014.52,163866
LIQUIDADD,2024-06-14 00:00:00+05:30,1014.0,1015.26,1014.0,1015.24,450748
LIQUIDADD,2024-06-18 00:00:00+05:30,1013.99,1015.42,1013.99,1015.42,214965
LIQUIDADD,2024-06-19 00:00:00+05:30,1013.51,1015.6,1013.51,1015.59,310598
LIQUIDADD,2024-06-20 00:00:00+05:30,1013.99,1015.76,1013.99,1015.75,358068
LIQUIDADD,2024-06-21 00:00:00+05:30,1016.29,1016.31,1016.29,1016.29,360272
LIQUIDADD,2024-06-24 00:00:00+05:30,1014.0,1016.46,1014.0,1016.45,389354
LIQUIDADD,2024-06-25 00:00:00+05:30,1014.01,1016.64,1014.01,1016.63,353179
LIQUIDADD,2024-06-26 00:00:00+05:30,1014.01,1016.81,1013.5,1016.79,139203
LIQUIDADD,2024-06-27 00:00:00+05:30,1014.01,1023.9,1014.01,1016.97,249456
LIQUIDADD,2024-06-28 00:00:00+05:30,1014.01,1219.7,1014.01,1017.51,466835
LIQUIDADD,2024-07-01 00:00:00+05:30,1017.68,1017.71,1017.66,1017.7,554046
LIQUIDADD,2024-07-02 00:00:00+05:30,1017.87,1017.88,1017.86,1017.86,172044
LIQUIDADD,2024-07-03 00:00:00+05:30,1018.05,1018.05,1018.03,1018.04,406457
LIQUIDADD,2024-07-04 00:00:00+05:30,1018.06,1057.0,1018.06,1018.21,345688
LIQUIDADD,2024-07-05 00:00:00+05:30,1018.01,1021.0,1018.01,1018.7,442825
LIQUIDADD,2024-07-08 00:00:00+05:30,1015.0,1018.89,1008.99,1018.88,480656
LIQUIDADD,2024-07-09 00:00:00+05:30,1018.89,1023.65,1018.88,1019.05,270174
LIQUIDADD,2024-07-10 00:00:00+05:30,1014.66,1022.0,1014.66,1019.22,226455
LIQUIDADD,2024-07-11 00:00:00+05:30,1019.38,1019.4,1016.76,1019.39,2041052
LIQUIDADD,2024-07-12 00:00:00+05:30,1019.88,1019.9,1019.88,1019.88,527878
LIQUIDADD,2024-07-15 00:00:00+05:30,1015.0,1024.0,949.27,1020.06,398942
