Symbol,Date,Open,High,Low,Close,Volume
LIQUIDBETF,2024-06-03 00:00:00+05:30,1000.01,1000.01,1000.0,1000.0,100
LIQUIDBETF,2024-06-04 00:00:00+05:30,999.99,999.99,999.99,999.99,20
LIQUIDBETF,2024-06-05 00:00:00+05:30,1000.0,1000.0,1000.0,1000.0,20
LIQUIDBETF,2024-06-06 00:00:00+05:30,1000.0,1000.0,1000.0,1000.0,702
LIQUIDBETF,2024-06-07 00:00:00+05:30,1000.01,1004.0,999.99,999.99,12701
LIQUIDBETF,2024-06-10 00:00:00+05:30,1000.0,1000.0,997.85,999.99,134
LIQUIDBETF,2024-06-11 00:00:00+05:30,1017.98,1017.98,999.99,1000.0,14849
LIQUIDBETF,2024-06-12 00:00:00+05:30,999.99,1000.0,999.99,1000.0,442516
LIQUIDBETF,2024-06-13 00:00:00+05:30,999.99,1000.0,999.99,1000.0,445
LIQUIDBETF,2024-06-14 00:00:00+05:30,999.99,1000.0,999.99,1000.0,5030
LIQUIDBETF,2024-06-18 00:00:00+05:30,1000.01,1000.01,999.99,999.99,1382
LIQUIDBETF,2024-06-19 00:00:00+05:30,999.99,1000.0,999.99,999.99,828
LIQUIDBETF,2024-06-20 00:00:00+05:30,999.99,1000.0,999.99,1000.0,28
LIQUIDBETF,2024-06-21 00:00:00+05:30,999.99,1000.0,999.99,1000.0,2018
LIQUIDBETF,2024-06-24 00:00:00+05:30,999.99,1000.0,999.99,999.99,572
LIQUIDBETF,2024-06-25 00:00:00+05:30,999.99,1000.0,999.99,1000.0,240
LIQUIDBETF,2024-06-26 00:00:00+05:30,999.99,1000.0,999.99,1000.0,1204
LIQUIDBETF,2024-06-27 00:00:00+05:30,999.99,1000.0,999.99,1000.0,1026
LIQUIDBETF,2024-06-28 00:00:00+05:30,999.99,1000.0,999.99,1000.0,2204
LIQUIDBETF,2024-07-01 00:00:00+05:30,999.99,1000.0,999.99,1000.0,732
LIQUIDBETF,2024-07-02 00:00:00+05:30,999.99,1000.0,999.99,1000.0,8270
LIQUIDBETF,2024-07-03 00:00:00+05:30,1000.0,1000.0,999.99,1000.0,3322
LIQUIDBETF,2024-07-04 00:00:00+05:30,1000.0,1000.0,999.99,1000.0,15686
LIQUIDBETF,2024-07-05 00:00:00+05:30,1005.0,1030.0,899.95,999.99,40185
LIQUIDBETF,2024-07-08 00:00:00+05:30,999.84,1000.0,999.84,999.99,8818
LIQUIDBETF,2024-07-09 00:00:00+05:30,999.99,1000.0,999.99,1000.0,30452
LIQUIDBETF,2024-07-10 00:00:00+05:30,999.99,1000.0,999.99,999.99,5220
LIQUIDBETF,2024-07-11 00:00:00+05:30,1000.0,1000.0,999.99,999.99,2108
LIQUIDBETF,2024-07-12 00:00:00+05:30,1000.0,1000.0,999.99,1000.0,2274
LIQUIDBETF,2024-07-15 00:00:00+05:30,999.99,1000.0,999.99,1000.0,2457
LIQUIDBETF,2024-07-16 00:00:00+05:30,999.99,1000.0,999.99,1000.0,5226
LIQUIDBETF,2024-07-18 00:00:00+05:30,999.99,1000.0,999.99,999.99,10228
LIQUIDBETF,2024-07-19 00:00:00+05:30,999.99,1000.0,999.99,999.99,3330
LIQUIDBETF,2024-07-22 00:00:00+05:30,999.99,1000.0,999.99,1000.0,3362
LIQUIDBETF,2024-07-23 00:00:00+05:30,999.99,1000.0,999.99,1000.0,4290
LIQUIDBETF,2024-07-24 00:00:00+05:30,999.99,1000.0,999.99,1000.0,124034
LIQUIDBETF,2024-07-25 00:00:00+05:30,999.99,1000.0,999.99,1000.0,7524
LIQUIDBETF,2024-07-26 00:00:00+05:30,999.99,1000.0,999.99,1000.0,112512
LIQUIDBETF,2024-07-29 00:00:00+05:30,999.0,1000.0,999.0,999.99,1620
LIQUIDBETF,2024-07-30 00:00:00+05:30,1000.0,1000.0,999.99,999.99,968
LIQUIDBETF,2024-07-31 00:00:00+05:30,999.99,1000.0,999.99,1000.0,3998
LIQUIDBETF,2024-08-01 00:00:00+05:30,999.99,1000.0,999.99,1000.0,20
LIQUIDBETF,2024-08-02 00:00:00+05:30,1000.0,1000.01,999.99,1000.0,5002
LIQUIDBETF,2024-08-05 00:00:00+05:30,999.99,1000.0,999.99,1000.0,10070
LIQUIDBETF,2024-08-06 00:00:00+05:30,999.99,1000.0,999.99,1000.0,2963
LIQUIDBETF,2024-08-07 00:00:00+05:30,1000.0,1000.0,999.99,1000.0,4378
LIQUIDBETF,2024-08-08 00:00:00+05:30,1000.0,1000.0,999.99,999.99,1866
LIQUIDBETF,2024-08-09 00:00:00+05:30,1000.0,1000.0,999.99,1000.0,194
LIQUIDBETF,2024-08-12 00:00:00+05:30,1000.0,1000.0,999.99,999.99,7314
LIQUIDBETF,2024-08-13 00:00:00+05:30,999.99,1000.0,999.99,999.99,400
LIQUIDBETF,2024-08-14 00:00:00+05:30,1000.0,1000.0,999.99,1000.0,2332
LIQUIDBETF,2024-08-16 00:00:00+05:30,999.99,1000.0,999.99,1000.0,3794
LIQUIDBETF,2024-08-19 00:00:00+05:30,999.99,999.99,999.99,999.99,192
LIQUIDBETF,2024-08-20 00:00:00+05:30,999.99,1000.0,999.99,999.99,206
