Symbol,Date,Open,High,Low,Close,Volume
MAKEINDIA,2022-02-02 00:00:00+05:30,80.23,80.8,80.13,80.54,8503
MAKEINDIA,2022-02-03 00:00:00+05:30,95.0,95.0,80.2,80.43,30420
MAKEINDIA,2022-02-04 00:00:00+05:30,82.99,82.99,79.9,80.1,1298
MAKEINDIA,2022-02-07 00:00:00+05:30,80.0,80.0,79.05,79.29,5442
MAKEINDIA,2022-02-08 00:00:00+05:30,78.9,80.25,78.0,78.6,126904
MAKEINDIA,2022-02-09 00:00:00+05:30,79.89,93.0,79.2,80.09,4369
MAKEINDIA,2022-02-10 00:00:00+05:30,80.2,80.9,80.0,80.9,15740
MAKEINDIA,2022-02-11 00:00:00+05:30,80.8,80.8,79.7,79.98,157139
MAKEINDIA,2022-02-14 00:00:00+05:30,80.19,80.19,77.02,77.21,15105
MAKEINDIA,2022-02-15 00:00:00+05:30,78.49,93.0,76.46,78.79,80902
MAKEINDIA,2022-02-16 00:00:00+05:30,79.99,79.99,78.74,78.92,1666
MAKEINDIA,2022-02-17 00:00:00+05:30,79.15,79.5,78.66,78.97,4139
MAKEINDIA,2022-02-18 00:00:00+05:30,78.62,79.01,78.19,78.24,2567
MAKEINDIA,2022-02-21 00:00:00+05:30,77.96,78.33,77.32,77.59,79802
MAKEINDIA,2022-02-22 00:00:00+05:30,75.99,77.18,75.9,76.96,10715
MAKEINDIA,2022-02-23 00:00:00+05:30,78.48,78.5,77.02,77.25,3247
MAKEINDIA,2022-02-24 00:00:00+05:30,75.7,75.7,73.35,73.48,38738
MAKEINDIA,2022-02-25 00:00:00+05:30,75.89,76.15,74.63,75.99,6898
MAKEINDIA,2022-02-28 00:00:00+05:30,75.19,77.19,74.7,77.09,7384
MAKEINDIA,2022-03-02 00:00:00+05:30,76.62,77.62,76.51,76.7,91012
MAKEINDIA,2022-03-03 00:00:00+05:30,78.23,78.44,76.1,76.41,3538
MAKEINDIA,2022-03-04 00:00:00+05:30,75.65,75.95,74.5,74.78,11073
MAKEINDIA,2022-03-07 00:00:00+05:30,73.51,73.93,72.79,73.77,5936
MAKEINDIA,2022-03-08 00:00:00+05:30,73.65,74.06,72.51,74.0,86543
MAKEINDIA,2022-03-09 00:00:00+05:30,74.3,75.55,74.3,75.44,1361
MAKEINDIA,2022-03-10 00:00:00+05:30,76.95,76.95,76.16,76.47,3593
MAKEINDIA,2022-03-11 00:00:00+05:30,76.34,77.25,76.34,77.24,57395
MAKEINDIA,2022-03-14 00:00:00+05:30,78.49,78.49,76.52,77.3,1133
