Symbol,Date,Open,High,Low,Close,Volume
MANINFRA,2010-03-11 00:00:00+05:30,42.4,50.0,42.4,46.65,153462074
MANINFRA,2010-03-12 00:00:00+05:30,46.65,46.95,43.4,44.15,43984416
MANINFRA,2010-03-15 00:00:00+05:30,43.45,46.85,43.05,46.2,36747809
MANINFRA,2010-03-16 00:00:00+05:30,46.65,46.8,45.25,46.1,13858709
MANINFRA,2010-03-17 00:00:00+05:30,46.3,50.5,45.8,49.5,30423306
MANINFRA,2010-03-18 00:00:00+05:30,49.3,50.65,47.75,48.2,25484309
MANINFRA,2010-03-19 00:00:00+05:30,48.05,50.25,48.0,49.2,13813461
MANINFRA,2010-03-22 00:00:00+05:30,48.05,54.55,47.9,52.95,56409239
MANINFRA,2010-03-23 00:00:00+05:30,46.65,53.9,46.65,51.25,29925486
MANINFRA,2010-03-25 00:00:00+05:30,51.35,52.8,50.95,51.55,13125861
MANINFRA,2010-03-26 00:00:00+05:30,51.85,52.65,50.3,51.2,8687459
MANINFRA,2010-03-29 00:00:00+05:30,51.35,51.7,48.6,49.05,5441129
MANINFRA,2010-03-30 00:00:00+05:30,49.05,50.25,47.85,48.3,4684626
MANINFRA,2010-03-31 00:00:00+05:30,46.8,49.05,46.0,47.85,3557714
MANINFRA,2010-04-01 00:00:00+05:30,48.65,51.15,47.9,50.75,10137531
MANINFRA,2010-04-05 00:00:00+05:30,51.2,51.55,49.35,49.6,7223144
MANINFRA,2010-04-06 00:00:00+05:30,49.95,53.25,49.35,51.75,16659554
MANINFRA,2010-04-07 00:00:00+05:30,51.75,52.55,50.45,51.25,5556876
MANINFRA,2010-04-08 00:00:00+05:30,51.2,51.8,48.8,49.5,4786289
MANINFRA,2010-04-09 00:00:00+05:30,50.0,50.6,48.75,50.15,3872384
MANINFRA,2010-04-12 00:00:00+05:30,50.55,50.8,49.35,50.05,3777014
MANINFRA,2010-04-13 00:00:00+05:30,50.25,51.25,49.5,49.9,3257766
MANINFRA,2010-04-15 00:00:00+05:30,50.15,50.95,48.6,49.05,3393194
MANINFRA,2010-04-16 00:00:00+05:30,48.8,49.3,48.0,48.35,1614876
MANINFRA,2010-04-19 00:00:00+05:30,47.85,48.05,46.4,46.7,1592376
MANINFRA,2010-04-20 00:00:00+05:30,47.0,49.05,46.75,47.05,4622939
MANINFRA,2010-04-21 00:00:00+05:30,47.35,47.95,46.7,47.2,2057129
MANINFRA,2010-04-22 00:00:00+05:30,47.3,48.25,46.85,47.1,1999109
MANINFRA,2010-04-23 00:00:00+05:30,47.45,47.6,46.0,46.8,1435844
MANINFRA,2010-04-26 00:00:00+05:30,47.2,47.4,46.6,47.0,957389
MANINFRA,2010-04-27 00:00:00+05:30,46.95,47.15,45.7,45.95,906801
MANINFRA,2010-04-28 00:00:00+05:30,45.35,47.3,44.8,45.85,3858276
MANINFRA,2010-04-29 00:00:00+05:30,46.35,47.0,45.25,45.95,1422291
MANINFRA,2010-04-30 00:00:00+05:30,46.15,46.85,45.6,45.75,905504
MANINFRA,2010-05-03 00:00:00+05:30,45.55,45.9,44.55,45.0,1622256
MANINFRA,2010-05-04 00:00:00+05:30,45.2,47.1,44.85,45.5,2817786
MANINFRA,2010-05-05 00:00:00+05:30,45.05,45.4,43.5,43.85,1660859
MANINFRA,2010-05-06 00:00:00+05:30,43.85,44.65,43.5,44.1,1019339
MANINFRA,2010-05-07 00:00:00+05:30,43.35,43.5,42.25,42.6,807824
MANINFRA,2010-05-10 00:00:00+05:30,43.55,44.25,42.95,43.35,812474
MANINFRA,2010-05-11 00:00:00+05:30,43.85,44.0,42.4,42.6,549231
MANINFRA,2010-05-12 00:00:00+05:30,42.75,43.95,42.25,42.35,983054
MANINFRA,2010-05-13 00:00:00+05:30,42.8,43.8,42.65,42.85,1637939
MANINFRA,2010-05-14 00:00:00+05:30,42.7,43.3,41.45,42.15,601566
MANINFRA,2010-05-17 00:00:00+05:30,41.5,42.95,40.8,42.4,618411
MANINFRA,2010-05-18 00:00:00+05:30,42.55,43.65,42.15,42.35,617054
MANINFRA,2010-05-19 00:00:00+05:30,42.15,43.7,41.9,42.05,671999
MANINFRA,2010-05-20 00:00:00+05:30,42.35,43.05,41.05,41.35,352604
MANINFRA,2010-05-21 00:00:00+05:30,40.0,40.85,39.2,40.5,422391
MANINFRA,2010-05-24 00:00:00+05:30,40.8,42.9,40.55,40.75,313656
MANINFRA,2010-05-25 00:00:00+05:30,39.6,41.6,39.6,40.35,700784
MANINFRA,2010-05-26 00:00:00+05:30,40.1,41.45,40.0,40.4,483869
MANINFRA,2010-05-27 00:00:00+05:30,40.55,41.05,40.0,40.65,262844
MANINFRA,2010-05-28 00:00:00+05:30,40.85,41.35,39.6,39.9,300824
MANINFRA,2010-05-31 00:00:00+05:30,40.25,40.55,39.35,39.65,204629
MANINFRA,2010-06-01 00:00:00+05:30,39.7,42.65,39.7,40.85,1752411
MANINFRA,2010-06-02 00:00:00+05:30,41.05,41.45,40.15,40.75,616484
MANINFRA,2010-06-03 00:00:00+05:30,41.4,41.75,40.4,40.75,272354
MANINFRA,2010-06-04 00:00:00+05:30,40.65,44.55,40.55,42.6,2760816
MANINFRA,2010-06-07 00:00:00+05:30,40.8,42.45,40.4,41.45,422001
MANINFRA,2010-06-08 00:00:00+05:30,41.5,42.35,41.35,41.35,365054
MANINFRA,2010-06-09 00:00:00+05:30,41.05,42.5,41.05,41.45,515421
MANINFRA,2010-06-10 00:00:00+05:30,41.45,42.6,41.45,42.1,504809
MANINFRA,2010-06-11 00:00:00+05:30,42.4,43.35,42.15,42.95,786606
MANINFRA,2010-06-14 00:00:00+05:30,43.6,43.85,42.8,43.0,209234
MANINFRA,2010-06-15 00:00:00+05:30,43.4,44.0,42.95,43.45,359144
MANINFRA,2010-06-16 00:00:00+05:30,43.35,43.95,42.65,42.8,168944
MANINFRA,2010-06-17 00:00:00+05:30,43.15,43.45,42.25,42.65,132974
MANINFRA,2010-06-18 00:00:00+05:30,42.85,43.35,41.5,41.9,240119
MANINFRA,2010-06-21 00:00:00+05:30,42.25,43.3,42.05,42.2,182894
MANINFRA,2010-06-22 00:00:00+05:30,42.6,42.65,41.35,41.5,215211
MANINFRA,2010-06-23 00:00:00+05:30,41.85,43.6,41.35,42.0,834756
MANINFRA,2010-06-24 00:00:00+05:30,42.25,42.65,41.35,41.4,222794
MANINFRA,2010-06-25 00:00:00+05:30,41.45,42.2,40.75,41.1,196011
MANINFRA,2010-06-28 00:00:00+05:30,41.55,41.95,41.4,41.55,211574
