Symbol,Date,Open,High,Low,Close,Volume
MARKOLINES,2025-10-14 00:00:00+05:30,186.7,188.0,180.0,183.9,196228
MARKOLINES,2025-10-15 00:00:00+05:30,185.89,185.9,175.1,178.27,177030
MARKOLINES,2025-10-16 00:00:00+05:30,179.0,179.0,165.96,169.59,245927
MARKOLINES,2025-10-17 00:00:00+05:30,173.0,176.45,156.1,168.53,492214
MARKOLINES,2025-10-20 00:00:00+05:30,170.55,174.0,169.1,169.38,122422
MARKOLINES,2025-10-21 00:00:00+05:30,172.05,175.49,172.05,174.77,65123
MARKOLINES,2025-10-23 00:00:00+05:30,177.39,178.05,175.01,175.87,234723
MARKOLINES,2025-10-24 00:00:00+05:30,177.65,179.0,172.0,173.81,257051
MARKOLINES,2025-10-27 00:00:00+05:30,173.98,174.75,170.1,171.02,88027
MARKOLINES,2025-10-28 00:00:00+05:30,171.5,171.5,166.94,167.92,192663
MARKOLINES,2025-10-29 00:00:00+05:30,169.6,170.1,166.21,166.88,52532
MARKOLINES,2025-10-30 00:00:00+05:30,167.25,169.61,162.0,164.08,94088
MARKOLINES,2025-10-31 00:00:00+05:30,164.09,168.99,163.03,166.48,89317
MARKOLINES,2025-11-03 00:00:00+05:30,166.8,168.5,160.0,162.14,170110
MARKOLINES,2025-11-04 00:00:00+05:30,162.89,169.58,162.89,165.26,141040
MARKOLINES,2025-11-06 00:00:00+05:30,165.51,166.0,159.28,161.71,56310
MARKOLINES,2025-11-07 00:00:00+05:30,162.45,163.31,158.05,160.95,52255
MARKOLINES,2025-11-10 00:00:00+05:30,160.0,164.18,159.75,160.28,97904
MARKOLINES,2025-11-11 00:00:00+05:30,164.24,164.24,156.0,163.18,64340
MARKOLINES,2025-11-12 00:00:00+05:30,164.24,169.15,162.6,167.11,316449
MARKOLINES,2025-11-13 00:00:00+05:30,167.1,169.5,165.0,167.03,115448
MARKOLINES,2025-11-14 00:00:00+05:30,167.1,168.24,160.35,161.15,63836
MARKOLINES,2025-11-17 00:00:00+05:30,161.15,164.0,159.21,161.16,257338
MARKOLINES,2025-11-18 00:00:00+05:30,162.9,163.45,153.68,155.83,208572
MARKOLINES,2025-11-19 00:00:00+05:30,156.6,158.27,149.0,151.76,187489
MARKOLINES,2025-11-20 00:00:00+05:30,151.65,156.5,150.31,155.19,347552
MARKOLINES,2025-11-21 00:00:00+05:30,155.0,158.49,149.0,150.78,49086
MARKOLINES,2025-11-24 00:00:00+05:30,151.99,154.93,149.0,150.15,100327
MARKOLINES,2025-11-25 00:00:00+05:30,151.76,152.74,146.15,149.82,134910
MARKOLINES,2025-11-26 00:00:00+05:30,152.3,153.56,148.48,151.95,112368
MARKOLINES,2025-11-27 00:00:00+05:30,154.25,155.05,151.0,151.47,67105
MARKOLINES,2025-11-28 00:00:00+05:30,152.5,160.0,149.1,150.43,122080
