Symbol,Date,Open,High,Low,Close,Volume
METALIETF,2024-08-20 00:00:00+05:30,9.64,9.64,8.98,9.21,1643702
METALIETF,2024-08-21 00:00:00+05:30,9.35,9.42,9.2,9.29,3095221
METALIETF,2024-08-22 00:00:00+05:30,9.44,9.44,9.26,9.35,2599090
METALIETF,2024-08-23 00:00:00+05:30,9.44,9.5,9.28,9.3,2802261
METALIETF,2024-08-26 00:00:00+05:30,9.34,9.53,9.29,9.51,3626199
METALIETF,2024-08-27 00:00:00+05:30,9.81,10.0,9.43,9.45,2860245
METALIETF,2024-08-28 00:00:00+05:30,9.58,9.58,9.37,9.43,2347596
METALIETF,2024-08-29 00:00:00+05:30,9.47,9.48,9.29,9.38,2511551
METALIETF,2024-08-30 00:00:00+05:30,9.48,9.49,9.36,9.41,3502569
METALIETF,2024-09-02 00:00:00+05:30,9.51,9.55,9.29,9.32,5300682
METALIETF,2024-09-03 00:00:00+05:30,9.46,9.46,9.25,9.27,3128730
METALIETF,2024-09-04 00:00:00+05:30,9.0,9.37,9.0,9.2,2840811
METALIETF,2024-09-05 00:00:00+05:30,9.33,9.33,9.18,9.2,1449808
METALIETF,2024-09-06 00:00:00+05:30,9.29,9.29,9.11,9.17,2124604
METALIETF,2024-09-09 00:00:00+05:30,9.27,9.28,9.03,9.1,1893499
METALIETF,2024-09-10 00:00:00+05:30,9.24,9.25,9.11,9.17,774442
METALIETF,2024-09-11 00:00:00+05:30,9.27,9.27,9.02,9.04,3451252
METALIETF,2024-09-12 00:00:00+05:30,9.21,9.31,9.08,9.27,2310624
METALIETF,2024-09-13 00:00:00+05:30,9.35,9.43,9.29,9.39,3201691
METALIETF,2024-09-16 00:00:00+05:30,9.43,9.99,9.4,9.45,5434502
METALIETF,2024-09-17 00:00:00+05:30,9.45,9.58,9.37,9.38,3498940
METALIETF,2024-09-18 00:00:00+05:30,9.39,9.5,9.26,9.33,2785221
METALIETF,2024-09-19 00:00:00+05:30,9.44,9.45,9.13,9.21,5894632
METALIETF,2024-09-20 00:00:00+05:30,9.26,9.46,9.25,9.4,3741097
METALIETF,2024-09-23 00:00:00+05:30,9.45,9.65,9.4,9.43,1932613
METALIETF,2024-09-24 00:00:00+05:30,9.53,9.81,9.43,9.75,6742881
METALIETF,2024-09-25 00:00:00+05:30,9.78,10.67,9.75,9.8,11142028
METALIETF,2024-09-26 00:00:00+05:30,9.97,10.05,9.71,9.99,7029947
METALIETF,2024-09-27 00:00:00+05:30,10.05,10.67,10.02,10.08,9081995
METALIETF,2024-09-30 00:00:00+05:30,10.24,10.38,10.11,10.21,11783927
METALIETF,2024-10-01 00:00:00+05:30,10.31,10.37,10.09,10.24,7001487
METALIETF,2024-10-03 00:00:00+05:30,10.25,10.4,10.08,10.23,18633238
METALIETF,2024-10-04 00:00:00+05:30,10.32,10.33,10.01,10.14,10101090
METALIETF,2024-10-07 00:00:00+05:30,10.24,10.28,9.8,9.94,7345960
