Symbol,Date,Open,High,Low,Close,Volume
MID150CASE,2024-06-19 00:00:00+05:30,11.98,11.98,10.08,10.15,535952
MID150CASE,2024-06-20 00:00:00+05:30,10.41,10.46,10.2,10.25,226563
MID150CASE,2024-06-21 00:00:00+05:30,10.69,10.69,10.2,10.24,115269
MID150CASE,2024-06-24 00:00:00+05:30,10.42,10.42,10.1,10.22,176644
MID150CASE,2024-06-25 00:00:00+05:30,10.41,10.41,10.18,10.22,201089
MID150CASE,2024-06-26 00:00:00+05:30,10.4,10.4,10.13,10.19,198381
MID150CASE,2024-06-27 00:00:00+05:30,10.5,10.5,10.11,10.21,95016
MID150CASE,2024-06-28 00:00:00+05:30,10.39,10.39,10.17,10.24,180526
MID150CASE,2024-07-01 00:00:00+05:30,10.55,10.55,10.25,10.35,128956
MID150CASE,2024-07-02 00:00:00+05:30,10.65,10.65,10.21,10.35,170321
MID150CASE,2024-07-03 00:00:00+05:30,10.53,10.53,10.29,10.37,114944
MID150CASE,2024-07-04 00:00:00+05:30,10.35,10.5,10.35,10.48,105886
MID150CASE,2024-07-05 00:00:00+05:30,10.58,10.58,10.4,10.5,84911
MID150CASE,2024-07-08 00:00:00+05:30,10.86,10.86,10.47,10.53,170405
MID150CASE,2024-07-09 00:00:00+05:30,10.67,10.85,10.5,10.56,89971
MID150CASE,2024-07-10 00:00:00+05:30,10.82,10.82,10.27,10.48,343082
MID150CASE,2024-07-11 00:00:00+05:30,10.73,10.82,10.35,10.51,95136
MID150CASE,2024-07-12 00:00:00+05:30,10.56,10.56,10.35,10.5,152362
MID150CASE,2024-07-15 00:00:00+05:30,10.86,10.86,10.48,10.57,75459
MID150CASE,2024-07-16 00:00:00+05:30,10.9,10.9,10.55,10.57,197346
MID150CASE,2024-07-18 00:00:00+05:30,10.9,10.9,10.41,10.46,168512
MID150CASE,2024-07-19 00:00:00+05:30,10.59,10.6,10.24,10.28,319166
MID150CASE,2024-07-22 00:00:00+05:30,10.59,10.59,10.18,10.33,92501
MID150CASE,2024-07-23 00:00:00+05:30,10.21,10.47,10.0,10.32,180392
MID150CASE,2024-07-24 00:00:00+05:30,10.53,10.54,10.26,10.44,126881
MID150CASE,2024-07-25 00:00:00+05:30,10.5,10.5,10.24,10.29,75084
MID150CASE,2024-07-26 00:00:00+05:30,10.5,10.55,10.3,10.53,95172
MID150CASE,2024-07-29 00:00:00+05:30,10.85,10.85,10.48,10.68,172560
MID150CASE,2024-07-30 00:00:00+05:30,10.82,10.82,10.68,10.75,142508
MID150CASE,2024-07-31 00:00:00+05:30,10.75,10.85,10.71,10.81,132356
MID150CASE,2024-08-01 00:00:00+05:30,10.9,10.91,10.65,10.71,158002
MID150CASE,2024-08-02 00:00:00+05:30,10.87,10.88,10.43,10.6,213728
MID150CASE,2024-08-05 00:00:00+05:30,10.9,10.9,9.11,10.37,503896
MID150CASE,2024-08-06 00:00:00+05:30,10.84,10.84,10.1,10.15,352453
MID150CASE,2024-08-07 00:00:00+05:30,10.38,10.57,10.25,10.39,280979
MID150CASE,2024-08-08 00:00:00+05:30,10.6,10.6,10.13,10.38,48950
MID150CASE,2024-08-09 00:00:00+05:30,10.59,10.6,10.35,10.47,80788
MID150CASE,2024-08-12 00:00:00+05:30,10.87,10.87,10.18,10.46,144763
MID150CASE,2024-08-13 00:00:00+05:30,10.91,10.91,10.3,10.35,104797
MID150CASE,2024-08-14 00:00:00+05:30,10.75,10.75,10.26,10.33,161720
MID150CASE,2024-08-16 00:00:00+05:30,10.76,10.76,10.35,10.49,159725
MID150CASE,2024-08-19 00:00:00+05:30,10.73,10.76,10.49,10.56,333151
MID150CASE,2024-08-20 00:00:00+05:30,10.8,11.17,10.5,10.65,259943
MID150CASE,2024-08-21 00:00:00+05:30,10.66,10.86,10.55,10.71,281721
MID150CASE,2024-08-22 00:00:00+05:30,10.83,10.83,10.69,10.74,434762
MID150CASE,2024-08-23 00:00:00+05:30,10.74,10.88,10.68,10.69,205466
MID150CASE,2024-08-26 00:00:00+05:30,10.87,10.88,10.65,10.74,159206
MID150CASE,2024-08-27 00:00:00+05:30,10.8,11.47,10.73,10.8,161864
MID150CASE,2024-08-28 00:00:00+05:30,10.85,11.29,10.75,10.8,219513
MID150CASE,2024-08-29 00:00:00+05:30,10.84,10.9,10.65,10.73,327364
MID150CASE,2024-08-30 00:00:00+05:30,10.73,10.98,10.73,10.81,242160
MID150CASE,2024-09-02 00:00:00+05:30,10.94,10.95,10.76,10.82,200429
MID150CASE,2024-09-03 00:00:00+05:30,10.82,10.94,10.5,10.85,230347
MID150CASE,2024-09-04 00:00:00+05:30,10.89,11.01,10.7,10.83,238510
MID150CASE,2024-09-05 00:00:00+05:30,10.93,10.95,10.8,10.87,139839
MID150CASE,2024-09-06 00:00:00+05:30,11.01,11.01,10.0,10.72,299021
MID150CASE,2024-09-09 00:00:00+05:30,10.88,10.88,10.56,10.7,242458
MID150CASE,2024-09-10 00:00:00+05:30,10.8,10.82,10.71,10.8,131369
MID150CASE,2024-09-11 00:00:00+05:30,11.1,11.1,10.71,10.77,111140
MID150CASE,2024-09-12 00:00:00+05:30,10.87,10.98,10.71,10.88,110646
MID150CASE,2024-09-13 00:00:00+05:30,11.01,11.01,10.75,10.95,157245
MID150CASE,2024-09-16 00:00:00+05:30,10.9,11.13,10.88,11.01,234193
MID150CASE,2024-09-17 00:00:00+05:30,11.17,11.17,10.91,10.99,226071
MID150CASE,2024-09-18 00:00:00+05:30,11.48,11.48,10.81,10.91,260039
MID150CASE,2024-09-19 00:00:00+05:30,11.08,11.18,10.7,10.86,203271
MID150CASE,2024-09-20 00:00:00+05:30,11.07,11.08,10.85,10.94,268923
MID150CASE,2024-09-23 00:00:00+05:30,11.15,11.24,10.8,11.06,294261
MID150CASE,2024-09-24 00:00:00+05:30,11.2,11.28,11.0,11.12,179487
MID150CASE,2024-09-25 00:00:00+05:30,11.61,11.61,11.0,11.07,223655
MID150CASE,2024-09-26 00:00:00+05:30,11.2,11.2,10.92,11.05,408267
MID150CASE,2024-09-27 00:00:00+05:30,11.16,11.7,10.83,11.07,155003
MID150CASE,2024-09-30 00:00:00+05:30,11.6,11.7,10.95,11.04,460271
MID150CASE,2024-10-01 00:00:00+05:30,11.15,11.15,10.85,11.07,272905
MID150CASE,2024-10-03 00:00:00+05:30,11.59,11.59,10.8,10.92,641098
MID150CASE,2024-10-04 00:00:00+05:30,11.05,11.05,10.65,10.84,591334
MID150CASE,2024-10-07 00:00:00+05:30,10.99,12.97,10.45,10.61,913201
MID150CASE,2024-10-08 00:00:00+05:30,11.38,11.38,10.46,10.71,425608
