Symbol,Date,Open,High,Low,Close,Volume
MOGSEC,2020-12-16 00:00:00+05:30,47.74,47.76,47.7,47.73,1654
MOGSEC,2020-12-17 00:00:00+05:30,47.73,47.77,47.73,47.75,447
MOGSEC,2020-12-18 00:00:00+05:30,47.75,47.77,47.69,47.71,1965
MOGSEC,2020-12-21 00:00:00+05:30,47.75,47.75,47.66,47.67,12217
MOGSEC,2020-12-22 00:00:00+05:30,47.74,47.76,47.71,47.71,651
MOGSEC,2020-12-23 00:00:00+05:30,47.75,47.75,47.71,47.73,249
MOGSEC,2020-12-24 00:00:00+05:30,47.76,47.78,47.7,47.74,6830
MOGSEC,2020-12-28 00:00:00+05:30,49.17,49.17,46.31,47.76,4695
MOGSEC,2020-12-29 00:00:00+05:30,47.79,47.8,47.76,47.79,6156
MOGSEC,2020-12-30 00:00:00+05:30,49.22,49.22,45.89,47.8,15074
MOGSEC,2020-12-31 00:00:00+05:30,47.81,47.84,47.79,47.84,14725
MOGSEC,2021-01-01 00:00:00+05:30,52.69,52.69,47.79,47.82,18765
MOGSEC,2021-01-04 00:00:00+05:30,47.85,47.94,47.82,47.94,2099
MOGSEC,2021-01-05 00:00:00+05:30,47.95,48.03,47.95,48.01,17537
MOGSEC,2021-01-06 00:00:00+05:30,48.02,48.02,47.92,47.94,14779
MOGSEC,2021-01-07 00:00:00+05:30,47.94,48.0,47.94,47.98,4054
MOGSEC,2021-01-08 00:00:00+05:30,47.98,48.01,47.97,47.97,20581
MOGSEC,2021-01-11 00:00:00+05:30,47.94,47.98,47.71,47.8,7858
MOGSEC,2021-01-12 00:00:00+05:30,47.82,47.82,47.74,47.75,5472
MOGSEC,2021-01-13 00:00:00+05:30,52.69,52.69,47.66,47.66,10635
MOGSEC,2021-01-14 00:00:00+05:30,47.65,47.73,47.65,47.7,3637
MOGSEC,2021-01-15 00:00:00+05:30,47.68,47.71,47.64,47.65,1122
MOGSEC,2021-01-18 00:00:00+05:30,47.65,47.65,47.58,47.64,162
MOGSEC,2021-01-19 00:00:00+05:30,46.22,47.66,46.22,47.64,883
MOGSEC,2021-01-20 00:00:00+05:30,47.68,47.72,47.65,47.72,2621
MOGSEC,2021-01-21 00:00:00+05:30,47.72,47.73,47.65,47.65,1958
MOGSEC,2021-01-22 00:00:00+05:30,49.07,49.07,47.65,47.65,616
MOGSEC,2021-01-25 00:00:00+05:30,47.7,47.7,47.67,47.7,21
MOGSEC,2021-01-27 00:00:00+05:30,47.68,47.68,47.65,47.65,5638
MOGSEC,2021-01-28 00:00:00+05:30,47.67,47.73,47.67,47.7,8827
MOGSEC,2021-01-29 00:00:00+05:30,47.73,47.76,47.73,47.73,222
MOGSEC,2021-02-01 00:00:00+05:30,49.16,49.16,47.3,47.35,3325
MOGSEC,2021-02-02 00:00:00+05:30,48.0,48.0,47.1,47.15,19022
MOGSEC,2021-02-03 00:00:00+05:30,47.16,47.34,47.16,47.34,2700
MOGSEC,2021-02-04 00:00:00+05:30,45.92,47.5,45.92,47.47,221
