Symbol,Date,Open,High,Low,Close,Volume
MOLOWVOL,2017-04-11 09:21:00+05:30,15.5,15.6,14.75,15.15,74603
MOLOWVOL,2017-04-12 09:15:00+05:30,14.4,15.15,14.4,14.7,55869
MOLOWVOL,2017-04-13 09:22:00+05:30,14.7,14.7,14.0,14.0,68637
MOLOWVOL,2017-04-17 09:21:00+05:30,13.8,14.45,13.3,13.8,61901
MOLOWVOL,2017-04-18 09:30:00+05:30,14.4,14.4,13.15,13.2,59078
MOLOWVOL,2017-04-19 09:16:00+05:30,12.6,13.6,12.55,13.05,163494
MOLOWVOL,2017-04-20 09:31:00+05:30,12.95,13.7,12.85,13.6,35850
MOLOWVOL,2017-04-21 09:23:00+05:30,14.15,14.15,13.2,13.3,53653
MOLOWVOL,2017-04-24 09:16:00+05:30,13.3,13.45,12.65,12.85,161128
MOLOWVOL,2017-04-25 09:20:00+05:30,12.85,13.45,12.35,13.3,131006
MOLOWVOL,2017-04-26 09:17:00+05:30,13.5,13.95,13.5,13.95,114556
MOLOWVOL,2017-04-27 09:16:00+05:30,14.25,14.45,13.3,13.3,126823
MOLOWVOL,2017-04-28 09:19:00+05:30,13.7,13.7,12.7,12.8,67422
MOLOWVOL,2017-05-02 09:26:00+05:30,12.55,13.15,12.35,12.5,37552
MOLOWVOL,2017-05-03 09:19:00+05:30,12.15,12.6,12.0,12.1,71239
MOLOWVOL,2017-05-04 09:19:00+05:30,12.2,12.7,12.1,12.25,20280
MOLOWVOL,2017-05-05 09:16:00+05:30,12.0,12.65,11.75,12.05,41325
MOLOWVOL,2017-05-08 09:17:00+05:30,11.75,12.1,11.75,11.9,29180
MOLOWVOL,2017-05-09 09:18:00+05:30,11.6,12.0,11.35,11.4,50908
MOLOWVOL,2017-05-10 09:16:00+05:30,10.9,11.55,10.85,10.85,99534
MOLOWVOL,2017-05-11 09:17:00+05:30,10.85,10.9,10.35,10.35,90249
MOLOWVOL,2017-05-12 09:22:00+05:30,10.1,10.75,9.85,10.0,114733
MOLOWVOL,2017-05-15 09:16:00+05:30,10.5,10.5,9.65,9.7,76959
MOLOWVOL,2017-05-16 09:23:00+05:30,9.65,9.9,9.4,9.45,99464
MOLOWVOL,2017-05-17 09:29:00+05:30,9.65,9.65,9.0,9.0,95618
MOLOWVOL,2017-05-18 09:15:00+05:30,9.35,9.45,9.1,9.3,82132
MOLOWVOL,2017-05-19 09:16:00+05:30,9.75,9.75,9.2,9.7,94229
MOLOWVOL,2017-05-22 09:15:00+05:30,9.85,10.15,9.65,9.9,58906
MOLOWVOL,2017-05-23 09:20:00+05:30,9.85,9.85,9.45,9.45,8801
MOLOWVOL,2017-05-24 09:22:00+05:30,9.0,9.65,9.0,9.0,34424
MOLOWVOL,2017-05-25 09:17:00+05:30,8.8,9.3,8.8,9.0,18256
MOLOWVOL,2017-05-26 09:24:00+05:30,8.7,9.35,8.6,9.0,22233
MOLOWVOL,2017-05-29 09:18:00+05:30,8.6,9.0,8.6,8.8,12482
MOLOWVOL,2017-05-30 09:18:00+05:30,9.0,9.0,8.4,8.4,18858
MOLOWVOL,2017-05-31 09:18:00+05:30,8.8,8.8,8.0,8.25,46270
MOLOWVOL,2017-06-01 09:22:00+05:30,8.0,8.65,8.0,8.65,40231
MOLOWVOL,2017-06-02 09:21:00+05:30,9.05,9.05,8.55,9.05,13773
MOLOWVOL,2017-06-05 09:19:00+05:30,9.5,9.5,9.5,9.5,6287
MOLOWVOL,2017-06-06 09:49:00+05:30,9.85,9.95,9.4,9.85,18127
MOLOWVOL,2017-06-07 09:25:00+05:30,9.9,10.3,9.55,9.7,15685
MOLOWVOL,2017-06-08 09:40:00+05:30,9.6,9.9,9.25,9.25,11366
MOLOWVOL,2017-06-09 09:40:00+05:30,8.8,9.7,8.8,8.9,21070
MOLOWVOL,2017-06-12 09:34:00+05:30,8.5,9.0,8.5,8.85,6749
MOLOWVOL,2017-06-13 09:57:00+05:30,8.55,9.2,8.45,8.45,13470
MOLOWVOL,2017-06-14 09:43:00+05:30,8.85,8.85,8.1,8.85,6558
MOLOWVOL,2017-06-15 10:46:00+05:30,8.85,8.85,8.45,8.45,350
MOLOWVOL,2017-06-16 10:12:00+05:30,8.1,8.8,8.1,8.15,7009
MOLOWVOL,2017-11-09 09:27:00+05:30,7.65,7.9,7.5,7.8,63842
MOLOWVOL,2017-11-10 09:32:00+05:30,7.65,8.1,7.5,7.9,27963
MOLOWVOL,2017-11-13 10:10:00+05:30,7.7,8.0,7.6,7.65,29017
MOLOWVOL,2017-11-14 09:24:00+05:30,7.9,7.9,7.55,7.65,5783
MOLOWVOL,2017-11-15 09:25:00+05:30,7.5,8.0,7.5,7.65,19996
MOLOWVOL,2017-11-16 09:15:00+05:30,7.3,7.8,7.3,7.65,32670
MOLOWVOL,2017-11-17 09:33:00+05:30,7.65,7.95,7.5,7.65,13984
MOLOWVOL,2017-11-20 09:21:00+05:30,7.45,7.75,7.45,7.5,23909
