Symbol,Date,Open,High,Low,Close,Volume
MOMGF,2025-05-28 00:00:00+05:30,141.52,141.52,140.27,141.06,10017
MOMGF,2025-05-29 00:00:00+05:30,142.13,142.13,141.38,141.59,150
MOMGF,2025-05-30 00:00:00+05:30,141.0,141.0,140.56,140.56,223
MOMGF,2025-06-02 00:00:00+05:30,139.75,140.62,139.75,140.26,22
MOMGF,2025-06-03 00:00:00+05:30,140.15,140.33,139.41,139.62,120
MOMGF,2025-06-04 00:00:00+05:30,139.63,140.5,139.63,140.5,3
MOMGF,2025-06-05 00:00:00+05:30,140.5,141.2,140.5,141.17,513
MOMGF,2025-06-06 00:00:00+05:30,141.17,142.29,141.17,142.29,101
MOMGF,2025-06-09 00:00:00+05:30,145.14,145.14,142.8,143.49,506
MOMGF,2025-06-10 00:00:00+05:30,143.36,143.79,143.14,143.37,426
MOMGF,2025-06-11 00:00:00+05:30,144.27,144.37,143.73,143.73,356
MOMGF,2025-06-12 00:00:00+05:30,144.44,144.44,141.42,141.46,218
MOMGF,2025-06-13 00:00:00+05:30,142.0,142.0,140.36,141.06,31
MOMGF,2025-06-16 00:00:00+05:30,141.76,142.47,141.11,142.39,18
MOMGF,2025-06-17 00:00:00+05:30,141.93,141.93,141.3,141.33,26
MOMGF,2025-06-18 00:00:00+05:30,141.94,141.94,140.4,140.89,12
MOMGF,2025-06-19 00:00:00+05:30,140.5,140.5,139.75,140.31,24
MOMGF,2025-06-20 00:00:00+05:30,140.55,140.95,140.55,140.89,26
MOMGF,2025-06-23 00:00:00+05:30,140.3,140.3,140.3,140.3,1
MOMGF,2025-06-24 00:00:00+05:30,141.0,141.56,140.08,141.56,610
MOMGF,2025-06-25 00:00:00+05:30,142.06,142.77,142.06,142.7,177
MOMGF,2025-06-26 00:00:00+05:30,145.55,145.55,142.93,142.93,171
MOMGF,2025-06-27 00:00:00+05:30,143.93,144.37,143.93,144.37,1649
MOMGF,2025-06-30 00:00:00+05:30,145.09,145.09,144.73,144.9,223
MOMGF,2025-07-01 00:00:00+05:30,144.41,144.6,144.41,144.6,1037
MOMGF,2025-07-02 00:00:00+05:30,144.67,144.89,144.32,144.32,28
MOMGF,2025-07-04 00:00:00+05:30,145.01,145.86,145.01,145.51,718
MOMGF,2025-07-07 00:00:00+05:30,148.42,148.42,145.61,145.61,220
MOMGF,2025-07-08 00:00:00+05:30,145.61,145.61,144.85,144.98,148
MOMGF,2025-07-09 00:00:00+05:30,145.46,145.46,144.41,144.95,597
MOMGF,2025-07-10 00:00:00+05:30,144.21,144.37,144.2,144.37,82
MOMGF,2025-07-11 00:00:00+05:30,144.35,144.35,142.96,143.33,216
MOMGF,2025-07-14 00:00:00+05:30,142.53,143.43,142.53,143.38,273
MOMGF,2025-07-15 00:00:00+05:30,144.09,144.4,143.68,144.4,179
MOMGF,2025-07-16 00:00:00+05:30,144.03,144.04,143.9,143.9,116
MOMGF,2025-07-17 00:00:00+05:30,144.67,144.67,144.6,144.6,48
MOMGF,2025-07-18 00:00:00+05:30,144.0,144.07,143.54,144.02,127
MOMGF,2025-07-21 00:00:00+05:30,144.0,144.0,144.0,144.0,12
MOMGF,2025-07-22 00:00:00+05:30,143.54,143.72,143.18,143.23,262
MOMGF,2025-07-23 00:00:00+05:30,143.12,143.54,143.03,143.54,98
MOMGF,2025-07-24 00:00:00+05:30,144.05,144.23,143.54,143.67,207
MOMGF,2025-07-25 00:00:00+05:30,143.1,143.1,142.46,142.47,281
MOMGF,2025-07-28 00:00:00+05:30,139.62,143.2,139.62,142.28,371
MOMGF,2025-07-29 00:00:00+05:30,142.28,142.62,141.7,142.62,231
MOMGF,2025-07-30 00:00:00+05:30,143.1,143.18,142.92,143.18,131
MOMGF,2025-07-31 00:00:00+05:30,142.47,142.91,142.0,142.05,239
MOMGF,2025-08-01 00:00:00+05:30,142.2,142.25,139.14,139.73,1319
MOMGF,2025-08-04 00:00:00+05:30,141.0,142.04,141.0,141.91,235
MOMGF,2025-08-05 00:00:00+05:30,139.07,142.31,139.07,141.43,200
MOMGF,2025-08-06 00:00:00+05:30,144.3,144.3,140.66,140.66,297
MOMGF,2025-08-07 00:00:00+05:30,140.83,141.02,139.22,140.49,557
MOMGF,2025-08-08 00:00:00+05:30,140.49,140.49,139.5,139.66,648
MOMGF,2025-08-11 00:00:00+05:30,139.66,140.29,139.66,140.29,81
MOMGF,2025-08-12 00:00:00+05:30,140.45,140.99,140.3,140.55,815
MOMGF,2025-08-13 00:00:00+05:30,146.85,146.85,141.11,141.11,76
MOMGF,2025-08-18 00:00:00+05:30,141.38,144.25,141.38,143.61,141
MOMGF,2025-08-19 00:00:00+05:30,144.29,145.01,144.29,145.01,450
MOMGF,2025-08-20 00:00:00+05:30,145.01,145.43,144.47,144.47,532
MOMGF,2025-08-21 00:00:00+05:30,148.08,148.08,144.43,145.23,805
MOMGF,2025-08-22 00:00:00+05:30,145.23,145.46,145.04,145.04,764
MOMGF,2025-08-25 00:00:00+05:30,145.04,145.57,144.77,145.4,45
MOMGF,2025-08-26 00:00:00+05:30,148.31,148.31,143.68,143.86,510
MOMGF,2025-08-28 00:00:00+05:30,143.75,143.75,142.42,142.69,2034
MOMGF,2025-08-29 00:00:00+05:30,142.13,142.85,142.13,142.52,2542
MOMGF,2025-09-01 00:00:00+05:30,142.87,143.57,142.87,143.57,278
MOMGF,2025-09-02 00:00:00+05:30,144.68,145.01,144.68,145.01,244
MOMGF,2025-09-03 00:00:00+05:30,145.1,146.45,145.01,146.45,793
MOMGF,2025-09-04 00:00:00+05:30,146.45,146.64,146.33,146.33,657
MOMGF,2025-09-05 00:00:00+05:30,147.06,147.06,145.72,146.64,325
MOMGF,2025-09-08 00:00:00+05:30,147.26,148.6,147.26,147.99,888
MOMGF,2025-09-09 00:00:00+05:30,147.86,147.86,147.86,147.86,18
MOMGF,2025-09-10 00:00:00+05:30,148.59,148.64,147.86,148.0,99
MOMGF,2025-09-11 00:00:00+05:30,148.7,148.7,148.7,148.7,10
MOMGF,2025-09-12 00:00:00+05:30,149.42,149.87,149.42,149.75,791
MOMGF,2025-09-15 00:00:00+05:30,150.0,150.04,149.75,149.75,193
MOMGF,2025-09-16 00:00:00+05:30,150.49,152.98,150.04,151.51,3163
MOMGF,2025-09-17 00:00:00+05:30,152.0,152.63,151.46,151.46,3275
MOMGF,2025-09-18 00:00:00+05:30,152.21,152.98,150.0,151.39,2524
MOMGF,2025-09-19 00:00:00+05:30,151.47,152.45,151.46,152.13,1453
MOMGF,2025-09-22 00:00:00+05:30,152.2,182.16,152.2,182.16,15497
MOMGF,2025-09-23 00:00:00+05:30,181.97,181.97,150.0,150.69,122098
MOMGF,2025-09-24 00:00:00+05:30,151.44,159.0,148.53,149.52,90681
MOMGF,2025-09-25 00:00:00+05:30,149.59,152.9,149.05,149.3,20138
MOMGF,2025-09-26 00:00:00+05:30,148.62,148.97,147.14,147.72,6424
MOMGF,2025-09-29 00:00:00+05:30,147.94,148.1,147.14,147.3,2299
MOMGF,2025-09-30 00:00:00+05:30,147.0,147.16,145.0,146.81,4087
MOMGF,2025-10-01 00:00:00+05:30,146.08,151.47,146.08,147.9,9723
MOMGF,2025-10-03 00:00:00+05:30,147.9,149.1,147.86,148.27,792
MOMGF,2025-10-06 00:00:00+05:30,146.0,149.18,145.3,149.0,3208
MOMGF,2025-10-07 00:00:00+05:30,149.32,150.0,149.14,149.18,2015
MOMGF,2025-10-08 00:00:00+05:30,150.0,150.0,148.25,148.5,725
MOMGF,2025-10-09 00:00:00+05:30,148.53,149.32,148.35,149.32,1022
MOMGF,2025-10-10 00:00:00+05:30,150.0,150.04,149.31,149.77,1651
MOMGF,2025-10-13 00:00:00+05:30,150.01,150.01,148.73,149.05,1409
MOMGF,2025-10-14 00:00:00+05:30,150.0,150.0,147.35,148.61,3015
MOMGF,2025-10-15 00:00:00+05:30,148.57,149.32,148.57,149.19,152
MOMGF,2025-10-16 00:00:00+05:30,149.5,150.75,149.2,150.75,972
MOMGF,2025-10-17 00:00:00+05:30,151.0,151.0,150.04,150.2,885
MOMGF,2025-10-20 00:00:00+05:30,150.95,151.47,150.61,151.39,1058
MOMGF,2025-10-21 00:00:00+05:30,151.5,151.5,151.45,151.48,55
MOMGF,2025-10-23 00:00:00+05:30,151.56,154.27,150.71,151.08,1706
MOMGF,2025-10-24 00:00:00+05:30,151.25,151.93,150.57,150.8,1692
MOMGF,2025-10-27 00:00:00+05:30,151.67,152.14,151.01,152.0,1446
MOMGF,2025-10-28 00:00:00+05:30,152.42,152.42,151.01,151.95,1392
MOMGF,2025-10-29 00:00:00+05:30,152.42,154.5,152.17,152.55,545
MOMGF,2025-10-30 00:00:00+05:30,152.81,152.81,151.75,151.92,181
MOMGF,2025-10-31 00:00:00+05:30,152.0,153.23,151.92,152.45,453
MOMGF,2025-11-03 00:00:00+05:30,152.45,152.84,151.89,152.49,458
