Symbol,Date,Open,High,Low,Close,Volume
MONEXT50,2025-05-14 00:00:00+05:30,65.07,65.17,63.54,64.85,92792
MONEXT50,2025-05-15 00:00:00+05:30,64.54,65.45,64.54,65.35,734
MONEXT50,2025-05-16 00:00:00+05:30,65.67,66.41,65.53,66.39,70983
MONEXT50,2025-05-19 00:00:00+05:30,67.72,67.72,66.7,66.79,3227
MONEXT50,2025-05-20 00:00:00+05:30,67.12,67.12,65.15,65.51,2497
MONEXT50,2025-05-21 00:00:00+05:30,65.95,66.39,65.73,66.33,6041
MONEXT50,2025-05-22 00:00:00+05:30,66.16,66.35,65.94,66.33,593
MONEXT50,2025-05-23 00:00:00+05:30,66.12,66.56,66.12,66.5,1649
MONEXT50,2025-05-26 00:00:00+05:30,66.83,67.0,66.73,66.77,501
MONEXT50,2025-05-27 00:00:00+05:30,66.61,66.61,66.27,66.56,945
MONEXT50,2025-05-28 00:00:00+05:30,66.85,66.94,66.14,66.35,325
MONEXT50,2025-05-29 00:00:00+05:30,66.33,66.51,66.17,66.48,1853
MONEXT50,2025-05-30 00:00:00+05:30,66.32,66.37,66.0,66.17,1421
MONEXT50,2025-06-02 00:00:00+05:30,66.26,66.35,66.1,66.35,1160
MONEXT50,2025-06-03 00:00:00+05:30,66.56,66.66,66.0,66.03,1177
MONEXT50,2025-06-04 00:00:00+05:30,65.9,66.22,65.9,66.22,906
MONEXT50,2025-06-05 00:00:00+05:30,66.4,66.65,66.4,66.51,2397
MONEXT50,2025-06-06 00:00:00+05:30,66.51,67.27,66.51,67.21,1093
MONEXT50,2025-06-09 00:00:00+05:30,67.54,68.39,66.88,68.05,13385
MONEXT50,2025-06-10 00:00:00+05:30,68.26,68.4,68.13,68.31,3668
MONEXT50,2025-06-11 00:00:00+05:30,68.41,68.45,68.0,68.15,2819
MONEXT50,2025-06-12 00:00:00+05:30,68.49,68.49,66.7,66.91,6637
MONEXT50,2025-06-13 00:00:00+05:30,67.24,67.24,65.61,66.38,2438
MONEXT50,2025-06-16 00:00:00+05:30,66.4,66.86,65.87,66.67,2939
MONEXT50,2025-06-17 00:00:00+05:30,67.12,67.15,66.34,66.39,532
MONEXT50,2025-06-18 00:00:00+05:30,66.45,66.69,66.16,66.19,651
MONEXT50,2025-06-19 00:00:00+05:30,66.17,66.17,64.03,65.14,13818
MONEXT50,2025-06-20 00:00:00+05:30,65.41,66.0,65.41,65.99,812
MONEXT50,2025-06-23 00:00:00+05:30,65.88,66.26,65.49,66.08,369
MONEXT50,2025-06-24 00:00:00+05:30,67.01,67.02,66.61,66.69,1312
MONEXT50,2025-06-25 00:00:00+05:30,67.14,67.14,66.81,67.05,341
