Symbol,Date,Open,High,Low,Close,Volume
MONIFTY100,2025-10-16 00:00:00+05:30,26.18,26.27,26.16,26.25,6448
MONIFTY100,2025-10-17 00:00:00+05:30,26.4,26.48,26.34,26.35,2184
MONIFTY100,2025-10-20 00:00:00+05:30,26.48,26.59,26.48,26.52,1886
MONIFTY100,2025-10-21 00:00:00+05:30,27.18,27.18,26.52,26.55,4332
MONIFTY100,2025-10-23 00:00:00+05:30,26.76,26.78,26.51,26.57,21742
MONIFTY100,2025-10-24 00:00:00+05:30,26.57,26.6,26.42,26.49,7876
MONIFTY100,2025-10-27 00:00:00+05:30,26.51,26.67,26.51,26.65,2016
MONIFTY100,2025-10-28 00:00:00+05:30,26.65,27.97,26.45,26.64,3408
MONIFTY100,2025-10-29 00:00:00+05:30,26.69,27.4,26.68,27.37,14923
MONIFTY100,2025-10-30 00:00:00+05:30,26.71,27.91,26.59,26.68,81342
MONIFTY100,2025-10-31 00:00:00+05:30,26.51,26.69,26.42,26.46,12815
MONIFTY100,2025-11-03 00:00:00+05:30,26.49,27.45,26.35,26.4,33691
MONIFTY100,2025-11-04 00:00:00+05:30,26.5,27.31,26.28,26.49,1622
MONIFTY100,2025-11-06 00:00:00+05:30,26.43,27.09,26.24,26.25,12374
MONIFTY100,2025-11-07 00:00:00+05:30,26.1,27.06,26.05,26.28,3036
MONIFTY100,2025-11-10 00:00:00+05:30,26.8,26.8,26.23,26.35,4972
MONIFTY100,2025-11-11 00:00:00+05:30,25.85,26.95,25.85,26.42,6850
MONIFTY100,2025-11-12 00:00:00+05:30,26.43,26.63,26.29,26.6,2328
MONIFTY100,2025-11-13 00:00:00+05:30,26.65,26.69,26.52,26.55,3704
MONIFTY100,2025-11-14 00:00:00+05:30,26.69,26.69,26.42,26.67,12168
MONIFTY100,2025-11-17 00:00:00+05:30,27.33,27.33,26.55,26.75,7622
MONIFTY100,2025-11-18 00:00:00+05:30,26.71,26.72,26.58,26.71,8779
MONIFTY100,2025-11-19 00:00:00+05:30,26.64,26.67,26.53,26.66,4746
MONIFTY100,2025-11-20 00:00:00+05:30,26.7,26.87,26.69,26.78,14952
MONIFTY100,2025-11-21 00:00:00+05:30,26.81,26.86,26.68,26.73,4224
MONIFTY100,2025-11-24 00:00:00+05:30,26.86,26.86,26.55,26.55,3991
MONIFTY100,2025-11-25 00:00:00+05:30,26.48,26.65,26.42,26.54,2535
MONIFTY100,2025-11-26 00:00:00+05:30,26.01,26.86,26.01,26.78,3698
MONIFTY100,2025-11-27 00:00:00+05:30,26.8,26.92,26.77,26.87,5970
MONIFTY100,2025-11-28 00:00:00+05:30,26.87,26.9,26.74,26.87,10481
