Symbol,Date,Open,High,Low,Close,Volume
MOREALTY,2024-03-21 00:00:00+05:30,85.79,86.28,85.3,86.22,8473
MOREALTY,2024-03-22 00:00:00+05:30,86.8,88.05,86.8,87.78,13397
MOREALTY,2024-03-26 00:00:00+05:30,89.48,90.15,87.3,89.32,48740
MOREALTY,2024-03-27 00:00:00+05:30,90.87,92.2,89.75,90.06,49742
MOREALTY,2024-03-28 00:00:00+05:30,91.86,91.86,89.0,90.87,47037
MOREALTY,2024-04-01 00:00:00+05:30,91.49,94.99,91.23,94.21,93267
MOREALTY,2024-04-02 00:00:00+05:30,94.25,96.0,94.11,95.31,93156
MOREALTY,2024-04-03 00:00:00+05:30,97.0,97.0,92.76,92.87,283145
MOREALTY,2024-04-04 00:00:00+05:30,93.97,93.97,92.2,92.72,93681
MOREALTY,2024-04-05 00:00:00+05:30,93.71,94.34,92.99,94.09,82733
MOREALTY,2024-04-08 00:00:00+05:30,94.8,96.2,94.58,95.22,95496
MOREALTY,2024-04-09 00:00:00+05:30,96.19,97.0,95.4,96.09,86226
MOREALTY,2024-04-10 00:00:00+05:30,96.26,96.85,96.15,96.48,64628
MOREALTY,2024-04-12 00:00:00+05:30,96.99,97.01,95.61,96.11,90571
MOREALTY,2024-04-15 00:00:00+05:30,95.99,95.99,92.0,94.37,76400
MOREALTY,2024-04-16 00:00:00+05:30,94.9,94.9,93.33,94.04,43022
MOREALTY,2024-04-18 00:00:00+05:30,94.99,95.3,93.12,93.59,43089
MOREALTY,2024-04-19 00:00:00+05:30,93.23,93.23,91.01,92.92,48413
MOREALTY,2024-04-22 00:00:00+05:30,93.49,94.14,93.4,93.54,15958
MOREALTY,2024-04-23 00:00:00+05:30,95.0,96.13,94.69,95.81,83823
MOREALTY,2024-04-24 00:00:00+05:30,95.8,97.0,95.8,96.74,91481
MOREALTY,2024-04-25 00:00:00+05:30,96.85,96.85,95.11,96.55,57277
MOREALTY,2024-04-26 00:00:00+05:30,96.99,97.1,95.44,96.91,109682
MOREALTY,2024-04-29 00:00:00+05:30,97.49,97.49,95.2,96.13,117919
MOREALTY,2024-04-30 00:00:00+05:30,96.2,98.4,96.2,97.39,148176
MOREALTY,2024-05-02 00:00:00+05:30,102.26,102.26,95.97,97.38,145597
MOREALTY,2024-05-03 00:00:00+05:30,97.39,98.08,96.0,96.5,102280
MOREALTY,2024-05-06 00:00:00+05:30,96.83,98.8,96.03,98.64,117605
MOREALTY,2024-05-07 00:00:00+05:30,98.98,99.2,94.85,95.69,172949
MOREALTY,2024-05-08 00:00:00+05:30,96.0,96.49,94.24,96.1,37690
MOREALTY,2024-05-09 00:00:00+05:30,96.77,96.77,93.75,94.14,71464
MOREALTY,2024-05-10 00:00:00+05:30,95.97,95.97,92.5,93.78,82767
MOREALTY,2024-05-13 00:00:00+05:30,95.49,95.49,91.7,94.44,85153
MOREALTY,2024-05-14 00:00:00+05:30,94.44,96.2,94.43,95.72,61955
MOREALTY,2024-05-15 00:00:00+05:30,96.11,97.55,95.5,96.63,79199
MOREALTY,2024-05-16 00:00:00+05:30,97.49,98.3,95.63,97.93,89257
MOREALTY,2024-05-17 00:00:00+05:30,97.99,99.7,97.99,99.55,112528
MOREALTY,2024-05-18 00:00:00+05:30,99.56,101.5,99.56,100.43,54706
MOREALTY,2024-05-21 00:00:00+05:30,100.42,100.99,99.5,100.5,104553
MOREALTY,2024-05-22 00:00:00+05:30,101.29,102.49,100.9,101.89,173232
MOREALTY,2024-05-23 00:00:00+05:30,102.49,103.11,101.59,102.89,129823
MOREALTY,2024-05-24 00:00:00+05:30,103.04,103.5,102.31,102.64,111936
MOREALTY,2024-05-27 00:00:00+05:30,103.44,103.85,101.53,103.23,81559
MOREALTY,2024-05-28 00:00:00+05:30,103.84,103.85,100.93,101.35,302295
MOREALTY,2024-05-29 00:00:00+05:30,101.5,102.04,100.0,100.3,107220
MOREALTY,2024-05-30 00:00:00+05:30,99.96,100.98,99.46,99.82,112249
MOREALTY,2024-05-31 00:00:00+05:30,100.94,102.5,100.39,102.05,81645
MOREALTY,2024-06-03 00:00:00+05:30,103.99,110.8,103.21,107.91,309564
MOREALTY,2024-06-04 00:00:00+05:30,108.0,108.0,95.97,100.51,343879
MOREALTY,2024-06-05 00:00:00+05:30,103.97,103.97,95.23,99.68,200167
MOREALTY,2024-06-06 00:00:00+05:30,101.99,105.65,99.05,104.24,208395
MOREALTY,2024-06-07 00:00:00+05:30,104.68,107.5,104.0,106.72,194182
MOREALTY,2024-06-10 00:00:00+05:30,107.17,108.82,105.07,108.22,207413
MOREALTY,2024-06-11 00:00:00+05:30,108.46,110.43,108.45,109.79,616265
MOREALTY,2024-06-12 00:00:00+05:30,109.79,111.7,108.99,109.75,125693
MOREALTY,2024-06-13 00:00:00+05:30,110.69,112.6,110.63,111.95,188185
MOREALTY,2024-06-14 00:00:00+05:30,112.75,113.5,112.0,113.01,172047
MOREALTY,2024-06-18 00:00:00+05:30,113.03,115.79,113.03,115.2,186558
MOREALTY,2024-06-19 00:00:00+05:30,115.49,115.5,111.05,112.11,660990
MOREALTY,2024-06-20 00:00:00+05:30,112.9,114.25,112.11,113.57,171000
MOREALTY,2024-06-21 00:00:00+05:30,114.44,115.45,112.43,113.41,131892
MOREALTY,2024-06-24 00:00:00+05:30,113.41,113.49,111.9,113.25,183505
MOREALTY,2024-06-25 00:00:00+05:30,113.26,113.9,110.75,111.66,317384
MOREALTY,2024-06-26 00:00:00+05:30,112.94,112.94,110.0,110.15,177873
MOREALTY,2024-06-27 00:00:00+05:30,111.49,111.49,109.0,110.24,139551
MOREALTY,2024-06-28 00:00:00+05:30,111.49,111.5,109.35,110.64,156998
MOREALTY,2024-07-01 00:00:00+05:30,111.82,111.82,109.8,110.36,170724
MOREALTY,2024-07-02 00:00:00+05:30,111.1,111.88,110.11,111.16,90447
MOREALTY,2024-07-03 00:00:00+05:30,111.16,111.8,110.3,111.39,56220
MOREALTY,2024-07-04 00:00:00+05:30,111.74,111.99,111.03,111.87,137964
MOREALTY,2024-07-05 00:00:00+05:30,112.79,112.8,111.12,111.9,93074
MOREALTY,2024-07-08 00:00:00+05:30,112.59,112.6,111.21,111.66,114782
MOREALTY,2024-07-09 00:00:00+05:30,112.09,112.59,111.05,112.4,160673
MOREALTY,2024-07-10 00:00:00+05:30,112.99,113.75,110.42,112.69,192940
MOREALTY,2024-07-11 00:00:00+05:30,112.99,113.0,110.76,111.19,211834
MOREALTY,2024-07-12 00:00:00+05:30,112.59,112.59,109.27,109.55,616879
MOREALTY,2024-07-15 00:00:00+05:30,112.19,112.19,108.18,110.94,270461
MOREALTY,2024-07-16 00:00:00+05:30,112.18,112.89,110.94,112.42,270475
MOREALTY,2024-07-18 00:00:00+05:30,112.41,112.5,110.51,112.07,144770
MOREALTY,2024-07-19 00:00:00+05:30,112.06,112.35,107.55,109.77,251096
MOREALTY,2024-07-22 00:00:00+05:30,110.85,110.85,107.86,109.27,138690
MOREALTY,2024-07-23 00:00:00+05:30,110.26,110.5,104.6,106.74,401443
MOREALTY,2024-07-24 00:00:00+05:30,109.1,109.11,105.35,107.64,142850
MOREALTY,2024-07-25 00:00:00+05:30,107.64,107.64,106.1,106.76,103351
MOREALTY,2024-07-26 00:00:00+05:30,107.77,108.95,106.55,107.96,101579
MOREALTY,2024-07-29 00:00:00+05:30,109.49,110.09,108.2,109.5,108455
