Symbol,Date,Open,High,Low,Close,Volume
MURUDCERA,2007-01-02 00:00:00+05:30,109.75,111.6,108.0,108.65,45497
MURUDCERA,2007-01-03 00:00:00+05:30,109.0,114.0,108.0,108.95,34887
MURUDCERA,2007-01-04 00:00:00+05:30,110.0,111.5,108.5,110.5,51119
MURUDCERA,2007-01-05 00:00:00+05:30,110.5,117.0,110.5,113.95,77145
MURUDCERA,2007-01-08 00:00:00+05:30,114.0,115.0,111.0,114.1,30985
MURUDCERA,2007-01-09 00:00:00+05:30,117.0,117.5,111.5,111.95,131599
MURUDCERA,2007-01-10 00:00:00+05:30,119.9,119.9,109.1,110.1,83217
MURUDCERA,2007-01-11 00:00:00+05:30,111.9,112.0,110.05,110.45,10331
MURUDCERA,2007-01-12 00:00:00+05:30,111.5,113.0,111.0,112.15,71267
MURUDCERA,2007-01-15 00:00:00+05:30,111.95,115.0,111.25,111.8,79590
MURUDCERA,2007-01-16 00:00:00+05:30,112.5,113.9,111.1,111.65,31008
MURUDCERA,2007-01-17 00:00:00+05:30,112.7,112.7,110.2,110.55,22460
MURUDCERA,2007-01-18 00:00:00+05:30,111.0,113.9,108.35,109.9,29167
MURUDCERA,2007-01-19 00:00:00+05:30,112.25,112.75,109.85,110.75,206247
MURUDCERA,2007-01-22 00:00:00+05:30,114.0,117.0,112.25,112.95,272545
MURUDCERA,2007-01-23 00:00:00+05:30,110.0,115.0,110.0,111.0,155626
MURUDCERA,2007-01-24 00:00:00+05:30,112.0,116.9,111.15,113.5,93828
MURUDCERA,2007-01-25 00:00:00+05:30,114.9,115.0,113.0,114.55,86678
MURUDCERA,2007-01-29 00:00:00+05:30,114.8,114.8,110.9,113.1,16709
MURUDCERA,2007-01-31 00:00:00+05:30,113.0,113.95,108.0,109.85,23954
MURUDCERA,2007-02-01 00:00:00+05:30,110.1,111.7,108.1,108.55,22903
MURUDCERA,2007-02-02 00:00:00+05:30,110.05,110.7,107.7,107.95,16643
MURUDCERA,2007-02-05 00:00:00+05:30,108.05,114.9,107.1,111.0,48183
MURUDCERA,2007-02-06 00:00:00+05:30,110.9,112.5,109.5,109.85,72964
MURUDCERA,2007-02-07 00:00:00+05:30,110.6,111.75,107.8,108.05,28139
MURUDCERA,2007-02-08 00:00:00+05:30,109.55,118.9,109.0,118.9,173088
MURUDCERA,2007-02-09 00:00:00+05:30,120.1,125.6,119.95,120.1,216823
MURUDCERA,2007-02-12 00:00:00+05:30,119.8,124.9,108.45,111.2,140981
MURUDCERA,2007-02-13 00:00:00+05:30,112.5,115.85,109.95,110.4,109030
MURUDCERA,2007-02-14 00:00:00+05:30,111.35,111.35,105.65,109.4,20379
MURUDCERA,2007-02-15 00:00:00+05:30,111.35,113.45,111.35,112.1,26767
MURUDCERA,2007-02-19 00:00:00+05:30,115.0,115.0,109.2,109.45,11678
MURUDCERA,2007-02-20 00:00:00+05:30,107.0,111.65,107.0,110.1,13931
MURUDCERA,2007-02-21 00:00:00+05:30,108.0,110.95,108.0,108.2,8593
MURUDCERA,2007-02-22 00:00:00+05:30,111.5,111.8,107.05,107.2,14365
MURUDCERA,2007-02-23 00:00:00+05:30,110.0,110.0,103.0,104.1,20820
MURUDCERA,2007-02-26 00:00:00+05:30,103.25,106.0,100.5,101.4,15377
MURUDCERA,2007-02-27 00:00:00+05:30,108.0,108.0,100.25,101.0,14925
MURUDCERA,2007-02-28 00:00:00+05:30,100.0,100.95,97.05,98.1,10916
MURUDCERA,2007-03-01 00:00:00+05:30,100.0,101.7,95.1,98.45,10381
MURUDCERA,2007-03-02 00:00:00+05:30,100.0,100.0,96.6,97.65,20018
MURUDCERA,2007-03-05 00:00:00+05:30,93.3,96.6,87.9,88.1,41908
MURUDCERA,2007-03-06 00:00:00+05:30,92.9,94.8,86.7,88.0,77194
MURUDCERA,2007-03-07 00:00:00+05:30,90.0,90.5,81.5,82.9,42833
MURUDCERA,2007-03-08 00:00:00+05:30,75.15,89.5,75.15,85.55,13355
MURUDCERA,2007-03-09 00:00:00+05:30,86.0,89.75,85.25,86.8,13311
MURUDCERA,2007-03-12 00:00:00+05:30,87.0,89.8,86.0,88.6,5240
MURUDCERA,2007-03-13 00:00:00+05:30,93.9,93.9,86.5,87.65,23056
MURUDCERA,2007-03-14 00:00:00+05:30,87.6,87.6,84.7,85.45,14098
MURUDCERA,2007-03-15 00:00:00+05:30,89.7,91.2,85.05,85.4,7097
MURUDCERA,2007-03-16 00:00:00+05:30,86.0,86.0,84.0,84.85,6390
MURUDCERA,2007-03-19 00:00:00+05:30,84.85,93.0,84.85,86.85,6795
MURUDCERA,2007-03-20 00:00:00+05:30,87.85,87.9,86.0,86.3,5181
MURUDCERA,2007-03-21 00:00:00+05:30,87.5,87.8,85.0,85.4,10587
MURUDCERA,2007-03-22 00:00:00+05:30,86.55,88.45,85.0,85.7,17796
MURUDCERA,2007-03-23 00:00:00+05:30,82.75,86.9,82.75,84.85,12379
MURUDCERA,2007-03-26 00:00:00+05:30,86.45,86.6,85.3,86.15,4712
MURUDCERA,2007-03-28 00:00:00+05:30,80.45,86.95,80.45,84.15,15389
MURUDCERA,2007-03-29 00:00:00+05:30,83.0,84.0,81.1,81.7,32584
MURUDCERA,2007-03-30 00:00:00+05:30,82.0,83.0,81.65,82.35,8397
MURUDCERA,2007-04-02 00:00:00+05:30,82.5,84.0,78.65,79.2,34933
MURUDCERA,2007-04-03 00:00:00+05:30,79.0,82.8,78.0,80.45,4496
MURUDCERA,2007-04-04 00:00:00+05:30,81.0,82.9,80.5,82.2,5194
MURUDCERA,2007-04-05 00:00:00+05:30,81.05,83.9,81.05,82.7,4795
MURUDCERA,2007-04-09 00:00:00+05:30,82.0,83.55,82.0,82.95,10936
MURUDCERA,2007-04-10 00:00:00+05:30,82.95,84.3,82.6,83.45,8226
MURUDCERA,2007-04-11 00:00:00+05:30,86.7,87.5,83.2,86.0,17001
MURUDCERA,2007-04-12 00:00:00+05:30,87.0,87.0,84.55,84.9,4738
MURUDCERA,2007-04-13 00:00:00+05:30,85.0,86.5,82.0,86.0,9615
MURUDCERA,2007-04-16 00:00:00+05:30,86.95,88.5,85.6,87.55,12347
MURUDCERA,2007-04-17 00:00:00+05:30,91.0,91.0,85.05,87.5,6965
MURUDCERA,2007-04-18 00:00:00+05:30,92.45,92.45,86.0,87.6,2861
MURUDCERA,2007-04-19 00:00:00+05:30,89.65,89.65,87.0,87.55,2288
MURUDCERA,2007-04-20 00:00:00+05:30,91.2,91.2,87.15,87.6,11570
MURUDCERA,2007-04-23 00:00:00+05:30,88.8,91.0,87.0,87.35,4176
MURUDCERA,2007-04-24 00:00:00+05:30,87.95,88.0,86.1,86.65,10979
MURUDCERA,2007-04-25 00:00:00+05:30,86.65,87.45,85.1,86.5,20955
MURUDCERA,2007-04-26 00:00:00+05:30,87.5,87.5,85.5,86.05,11998
MURUDCERA,2007-04-27 00:00:00+05:30,85.8,86.3,84.6,85.1,7370
MURUDCERA,2007-04-30 00:00:00+05:30,84.4,93.45,82.25,88.45,44959
MURUDCERA,2007-05-03 00:00:00+05:30,90.4,97.3,89.6,93.4,151788
MURUDCERA,2007-05-04 00:00:00+05:30,94.0,97.0,92.25,92.45,100708
MURUDCERA,2007-05-07 00:00:00+05:30,92.65,93.95,90.45,91.7,7193
MURUDCERA,2007-05-08 00:00:00+05:30,92.65,93.0,88.25,92.35,99143
MURUDCERA,2007-05-09 00:00:00+05:30,94.6,94.6,90.05,91.85,47496
MURUDCERA,2007-05-10 00:00:00+05:30,91.0,91.9,90.1,90.65,2203
MURUDCERA,2007-05-11 00:00:00+05:30,88.0,91.0,87.7,89.65,2863
MURUDCERA,2007-05-14 00:00:00+05:30,89.95,98.6,88.35,89.6,18414
MURUDCERA,2007-05-15 00:00:00+05:30,89.2,89.5,85.2,86.8,20852
MURUDCERA,2007-05-16 00:00:00+05:30,88.9,93.5,86.1,92.9,45600
MURUDCERA,2007-05-17 00:00:00+05:30,101.3,101.3,90.6,91.85,12312
MURUDCERA,2007-05-18 00:00:00+05:30,94.0,101.05,90.1,97.5,52058
MURUDCERA,2007-05-21 00:00:00+05:30,102.0,107.25,96.0,97.45,164447
MURUDCERA,2007-05-22 00:00:00+05:30,98.9,98.9,94.0,94.2,23043
MURUDCERA,2007-05-23 00:00:00+05:30,94.8,96.45,92.1,92.6,16423
MURUDCERA,2007-05-24 00:00:00+05:30,91.35,93.5,91.35,91.65,9230
MURUDCERA,2007-05-25 00:00:00+05:30,97.0,97.0,91.25,91.85,20173
MURUDCERA,2007-05-28 00:00:00+05:30,95.0,95.0,90.15,91.4,14794
MURUDCERA,2007-05-29 00:00:00+05:30,91.2,92.8,90.15,90.6,26053
MURUDCERA,2007-05-30 00:00:00+05:30,93.0,96.0,90.0,95.0,60190
MURUDCERA,2007-05-31 00:00:00+05:30,98.6,104.5,95.2,96.5,113811
MURUDCERA,2007-06-01 00:00:00+05:30,99.6,99.8,93.1,94.25,16786
