Symbol,Date,Open,High,Low,Close,Volume
NACLIND,2017-04-07 09:15:00+05:30,31.95,32.45,30.15,31.35,77558
NACLIND,2017-04-10 09:41:00+05:30,32.0,32.0,29.8,30.6,16137
NACLIND,2017-04-11 09:17:00+05:30,30.8,31.05,29.05,30.0,24814
NACLIND,2017-04-12 09:37:00+05:30,30.0,30.5,28.6,28.65,10328
NACLIND,2017-04-13 09:20:00+05:30,27.1,29.5,27.1,29.45,3396
NACLIND,2017-04-17 09:32:00+05:30,29.25,30.0,27.5,28.6,17556
NACLIND,2017-04-18 09:31:00+05:30,28.0,29.2,28.0,28.3,16950
NACLIND,2017-04-19 09:20:00+05:30,28.95,30.8,27.9,29.05,80409
NACLIND,2017-04-20 09:19:00+05:30,30.25,30.5,28.2,29.45,40700
NACLIND,2017-04-21 09:30:00+05:30,28.35,29.35,28.35,28.75,20140
NACLIND,2017-04-24 09:30:00+05:30,28.15,29.7,28.15,28.35,23051
NACLIND,2017-04-25 09:32:00+05:30,28.85,28.85,28.0,28.2,12479
NACLIND,2017-04-26 09:23:00+05:30,28.6,29.5,27.85,28.3,30399
NACLIND,2017-04-27 09:49:00+05:30,28.35,28.95,27.4,27.9,40201
NACLIND,2017-04-28 09:16:00+05:30,27.95,27.95,26.1,27.7,22152
NACLIND,2017-05-02 09:28:00+05:30,27.5,28.45,27.1,27.25,20109
NACLIND,2017-05-03 09:25:00+05:30,27.6,27.85,27.05,27.2,92845
NACLIND,2017-05-04 10:08:00+05:30,27.3,28.0,27.2,27.6,60522
NACLIND,2017-05-05 09:18:00+05:30,27.8,27.8,26.7,27.0,14004
NACLIND,2017-05-08 09:24:00+05:30,28.2,28.2,26.1,27.5,16028
NACLIND,2017-05-09 10:28:00+05:30,27.45,29.9,26.9,29.3,154983
NACLIND,2017-05-10 09:15:00+05:30,29.5,29.8,28.8,28.8,36330
NACLIND,2017-05-11 09:15:00+05:30,30.0,30.4,28.15,28.5,101169
NACLIND,2017-05-12 09:17:00+05:30,27.55,28.9,27.45,28.0,39549
NACLIND,2017-05-15 09:21:00+05:30,28.25,28.25,27.5,28.0,92235
NACLIND,2017-05-16 09:24:00+05:30,28.5,28.75,27.5,28.15,37431
NACLIND,2017-05-17 09:18:00+05:30,28.8,28.8,27.8,28.1,33823
NACLIND,2017-05-18 09:24:00+05:30,27.3,29.0,27.3,28.3,26662
NACLIND,2017-05-19 09:19:00+05:30,27.75,29.0,27.25,27.4,28034
NACLIND,2017-05-22 09:15:00+05:30,28.0,28.4,26.5,26.9,36853
NACLIND,2017-05-23 09:18:00+05:30,26.85,27.3,25.9,26.9,25647
NACLIND,2017-05-24 09:21:00+05:30,26.35,27.2,26.0,26.1,14807
NACLIND,2017-05-25 09:42:00+05:30,26.15,27.2,26.0,26.65,19784
NACLIND,2017-05-26 09:15:00+05:30,27.0,28.2,26.3,28.0,46066
NACLIND,2017-05-29 09:15:00+05:30,28.8,32.15,28.5,29.15,451993
NACLIND,2017-05-30 09:20:00+05:30,29.75,29.8,28.2,29.0,53142
NACLIND,2017-05-31 09:16:00+05:30,29.0,30.8,28.6,28.8,58152
NACLIND,2017-06-01 09:15:00+05:30,29.45,30.45,28.75,29.4,25344
NACLIND,2017-06-02 09:21:00+05:30,29.7,29.7,28.6,28.95,55851
NACLIND,2017-06-05 09:19:00+05:30,29.7,29.75,28.5,28.85,25426
NACLIND,2017-06-06 09:19:00+05:30,29.5,31.05,28.5,30.5,181163
NACLIND,2017-06-07 09:16:00+05:30,30.2,31.8,30.2,30.9,121393
NACLIND,2017-06-08 09:15:00+05:30,30.9,36.0,30.9,33.7,717621
NACLIND,2017-06-09 09:15:00+05:30,33.7,35.35,33.7,34.2,310449
NACLIND,2017-06-12 09:15:00+05:30,34.0,35.15,34.0,34.35,153584
NACLIND,2017-06-13 09:16:00+05:30,34.1,34.85,33.2,33.85,79259
NACLIND,2017-06-14 09:42:00+05:30,34.0,35.4,33.55,35.0,191163
NACLIND,2017-06-15 09:21:00+05:30,34.9,35.05,33.65,33.9,74589
NACLIND,2017-06-16 09:16:00+05:30,33.65,34.75,33.4,33.65,49465
NACLIND,2017-06-19 09:21:00+05:30,34.45,34.45,33.2,33.4,36506
NACLIND,2017-06-20 09:21:00+05:30,33.9,33.95,31.9,32.8,65644
NACLIND,2017-06-21 09:18:00+05:30,32.4,33.95,32.4,32.9,38883
NACLIND,2017-06-22 09:22:00+05:30,34.0,34.0,32.85,33.15,75272
NACLIND,2017-06-23 09:17:00+05:30,33.8,33.8,29.8,31.4,200499
NACLIND,2017-06-27 09:18:00+05:30,31.6,31.85,30.55,31.4,52407
NACLIND,2017-06-28 09:16:00+05:30,31.65,32.85,30.55,31.45,130973
NACLIND,2017-06-29 09:20:00+05:30,32.8,32.95,31.65,31.95,18404
NACLIND,2017-06-30 09:17:00+05:30,31.7,32.5,31.1,31.45,35893
NACLIND,2017-07-03 09:15:00+05:30,32.45,32.45,31.0,31.6,56572
NACLIND,2017-07-04 09:34:00+05:30,32.5,32.5,31.5,31.9,25906
NACLIND,2017-07-05 09:28:00+05:30,32.0,32.6,31.65,32.55,103635
NACLIND,2017-07-06 09:15:00+05:30,33.0,34.1,32.5,33.35,105812
NACLIND,2017-07-07 09:15:00+05:30,33.1,33.45,32.0,32.65,73657
NACLIND,2017-07-10 11:12:00+05:30,34.4,34.4,32.75,34.05,36623
NACLIND,2017-07-11 09:20:00+05:30,34.0,38.6,33.65,37.05,984455
NACLIND,2017-07-12 09:15:00+05:30,36.9,39.4,36.1,38.1,391262
NACLIND,2017-07-13 09:15:00+05:30,39.95,39.95,37.5,37.85,216732
NACLIND,2017-07-14 09:19:00+05:30,38.05,38.5,36.1,36.45,176769
NACLIND,2017-07-17 09:17:00+05:30,36.15,37.6,36.15,36.7,49534
NACLIND,2017-07-18 09:15:00+05:30,36.8,38.2,36.8,37.5,150942
NACLIND,2017-07-19 09:15:00+05:30,38.5,38.7,36.9,38.1,135669
NACLIND,2017-07-20 09:23:00+05:30,37.65,38.5,37.5,38.1,51333
NACLIND,2017-07-21 09:15:00+05:30,38.6,38.65,37.55,38.05,69208
