Symbol,Date,Open,High,Low,Close,Volume
NELCO,2003-01-01 00:00:00+05:30,33.5,36.3,33.5,34.8,382306
NELCO,2003-01-02 00:00:00+05:30,35.0,35.5,33.05,33.25,77357
NELCO,2003-01-03 00:00:00+05:30,34.0,34.0,32.65,32.85,49463
NELCO,2003-01-06 00:00:00+05:30,33.0,33.2,31.55,31.95,55208
NELCO,2003-01-07 00:00:00+05:30,32.6,35.25,32.6,34.1,244882
NELCO,2003-01-08 00:00:00+05:30,34.35,35.6,34.0,34.5,121544
NELCO,2003-01-09 00:00:00+05:30,34.0,35.4,33.4,33.8,97671
NELCO,2003-01-10 00:00:00+05:30,34.0,34.25,32.5,32.6,86757
NELCO,2003-01-13 00:00:00+05:30,32.8,33.2,31.1,32.5,23895
NELCO,2003-01-14 00:00:00+05:30,32.95,34.4,32.5,33.8,56992
NELCO,2003-01-15 00:00:00+05:30,33.6,33.8,32.9,33.25,19846
NELCO,2003-01-16 00:00:00+05:30,33.2,33.95,33.0,33.7,33477
NELCO,2003-01-17 00:00:00+05:30,34.0,34.0,32.8,33.1,23050
NELCO,2003-01-20 00:00:00+05:30,33.6,33.6,30.55,32.35,26795
NELCO,2003-01-21 00:00:00+05:30,32.05,32.7,30.9,31.45,32895
NELCO,2003-01-22 00:00:00+05:30,32.0,32.25,30.6,30.95,29275
NELCO,2003-01-23 00:00:00+05:30,31.0,31.0,30.0,30.1,37143
NELCO,2003-01-24 00:00:00+05:30,30.55,30.55,28.55,28.7,58409
NELCO,2003-01-27 00:00:00+05:30,29.0,29.25,28.1,28.45,44798
NELCO,2003-01-28 00:00:00+05:30,28.5,29.5,26.4,28.2,260734
NELCO,2003-01-29 00:00:00+05:30,29.0,29.0,26.75,26.85,77238
NELCO,2003-01-30 00:00:00+05:30,27.0,27.7,26.7,27.25,17236
NELCO,2003-01-31 00:00:00+05:30,26.55,27.6,26.55,27.05,28037
NELCO,2003-02-03 00:00:00+05:30,27.05,28.9,27.05,28.7,43807
NELCO,2003-02-04 00:00:00+05:30,28.5,29.0,28.0,28.1,31993
NELCO,2003-02-05 00:00:00+05:30,28.0,28.25,27.0,27.15,194596
NELCO,2003-02-06 00:00:00+05:30,27.25,27.6,27.0,27.3,23428
NELCO,2003-02-07 00:00:00+05:30,27.8,29.5,27.8,28.15,79630
NELCO,2003-02-10 00:00:00+05:30,29.0,29.0,27.3,27.5,39854
NELCO,2003-02-11 00:00:00+05:30,27.5,28.15,26.8,27.0,22802
NELCO,2003-02-12 00:00:00+05:30,27.65,27.65,26.55,26.9,23189
NELCO,2003-02-14 00:00:00+05:30,26.9,26.9,25.85,26.05,16024
NELCO,2003-02-17 00:00:00+05:30,28.45,28.45,26.75,27.5,34738
NELCO,2003-02-18 00:00:00+05:30,28.35,28.35,27.2,27.3,15734
NELCO,2003-02-19 00:00:00+05:30,27.75,29.4,27.7,29.0,116569
NELCO,2003-02-20 00:00:00+05:30,29.4,30.25,28.8,29.15,79718
NELCO,2003-02-21 00:00:00+05:30,31.1,33.0,31.1,31.6,552207
NELCO,2003-02-24 00:00:00+05:30,32.1,33.0,30.85,31.35,136007
NELCO,2003-02-25 00:00:00+05:30,31.0,31.4,30.5,30.75,46086
NELCO,2003-02-26 00:00:00+05:30,32.8,32.8,30.0,30.1,36672
NELCO,2003-02-27 00:00:00+05:30,30.9,32.8,30.2,32.4,169906
NELCO,2003-02-28 00:00:00+05:30,33.0,33.5,30.2,30.75,170893
NELCO,2003-03-03 00:00:00+05:30,31.5,31.5,29.2,29.5,79512
NELCO,2003-03-04 00:00:00+05:30,29.55,30.3,28.95,29.95,93487
NELCO,2003-03-05 00:00:00+05:30,29.2,29.5,28.5,28.9,37185
NELCO,2003-03-06 00:00:00+05:30,28.6,29.0,28.25,28.5,30097
NELCO,2003-03-07 00:00:00+05:30,27.6,28.0,25.1,27.4,27289
NELCO,2003-03-10 00:00:00+05:30,28.0,28.0,26.1,26.45,47134
NELCO,2003-03-11 00:00:00+05:30,26.5,27.25,26.3,26.95,18927
NELCO,2003-03-12 00:00:00+05:30,27.0,27.5,25.75,26.15,24482
NELCO,2003-03-13 00:00:00+05:30,25.6,26.35,25.6,25.8,17635
NELCO,2003-03-17 00:00:00+05:30,25.9,26.05,24.55,25.3,18257
NELCO,2003-03-19 00:00:00+05:30,25.9,26.3,25.6,25.8,30256
NELCO,2003-03-20 00:00:00+05:30,25.55,26.4,25.55,26.15,32100
NELCO,2003-03-21 00:00:00+05:30,26.25,26.85,26.25,26.6,22008
NELCO,2003-03-24 00:00:00+05:30,27.3,27.3,25.55,25.75,37832
NELCO,2003-03-25 00:00:00+05:30,25.55,25.55,25.0,25.15,28131
NELCO,2003-03-26 00:00:00+05:30,25.3,25.7,24.8,25.05,33105
NELCO,2003-03-27 00:00:00+05:30,25.0,25.5,24.55,24.65,22764
NELCO,2003-03-28 00:00:00+05:30,25.0,25.95,24.8,25.35,17030
NELCO,2003-03-31 00:00:00+05:30,24.6,25.4,24.1,24.45,14907
NELCO,2003-04-01 00:00:00+05:30,24.5,25.15,24.5,24.7,9105
NELCO,2003-04-02 00:00:00+05:30,24.7,25.1,24.7,24.9,6410
NELCO,2003-04-03 00:00:00+05:30,25.35,26.0,25.15,25.6,7322
NELCO,2003-04-04 00:00:00+05:30,25.7,27.25,25.4,27.05,22810
NELCO,2003-04-07 00:00:00+05:30,27.25,28.3,27.25,28.15,38042
NELCO,2003-04-08 00:00:00+05:30,28.25,28.25,27.05,27.4,24660
NELCO,2003-04-09 00:00:00+05:30,26.8,28.0,26.15,26.7,15478
NELCO,2003-04-10 00:00:00+05:30,27.0,27.0,25.0,25.35,16278
NELCO,2003-04-11 00:00:00+05:30,24.3,26.0,24.3,25.65,13851
NELCO,2003-04-15 00:00:00+05:30,25.7,26.0,25.25,25.75,8376
NELCO,2003-04-16 00:00:00+05:30,26.35,26.5,25.5,26.25,25607
NELCO,2003-04-17 00:00:00+05:30,26.25,26.25,25.6,25.75,12112
NELCO,2003-04-21 00:00:00+05:30,26.2,26.7,26.0,26.4,12230
NELCO,2003-04-22 00:00:00+05:30,26.5,27.8,26.1,26.95,37573
NELCO,2003-04-23 00:00:00+05:30,27.1,27.8,26.5,26.7,13261
NELCO,2003-04-24 00:00:00+05:30,27.8,27.8,26.3,26.45,8095
NELCO,2003-04-25 00:00:00+05:30,26.3,26.6,26.05,26.25,7532
NELCO,2003-04-28 00:00:00+05:30,26.1,26.5,26.0,26.25,8726
NELCO,2003-04-29 00:00:00+05:30,26.6,26.6,25.8,25.9,21290
NELCO,2003-04-30 00:00:00+05:30,26.1,26.1,25.5,25.55,7637
