Symbol,Date,Open,High,Low,Close,Volume
NIF5GETF,2024-02-05 00:00:00+05:30,58.0,66.07,58.0,62.89,1255
NIF5GETF,2024-02-06 00:00:00+05:30,58.8,66.14,58.8,66.14,370
NIF5GETF,2024-02-07 00:00:00+05:30,66.06,66.06,66.06,66.06,196
NIF5GETF,2024-02-08 00:00:00+05:30,66.07,66.07,66.06,66.06,2
NIF5GETF,2024-02-09 00:00:00+05:30,66.1,66.1,66.1,66.1,2
NIF5GETF,2024-02-12 00:00:00+05:30,66.08,66.08,66.0,66.0,4
NIF5GETF,2024-02-13 00:00:00+05:30,65.96,65.96,65.96,65.96,2
NIF5GETF,2024-02-14 00:00:00+05:30,66.03,66.03,66.0,66.0,43
NIF5GETF,2024-02-15 00:00:00+05:30,66.01,66.01,54.5,64.49,1416
NIF5GETF,2024-02-16 00:00:00+05:30,65.9,65.9,64.0,64.0,125
NIF5GETF,2024-02-19 00:00:00+05:30,65.6,65.6,63.9,64.03,344
NIF5GETF,2024-02-20 00:00:00+05:30,54.5,66.03,54.5,65.73,250
NIF5GETF,2024-02-21 00:00:00+05:30,65.73,66.0,64.42,66.0,664
NIF5GETF,2024-02-22 00:00:00+05:30,66.01,66.01,65.0,66.0,46
NIF5GETF,2024-02-23 00:00:00+05:30,55.5,58.5,55.15,55.36,72118
NIF5GETF,2024-02-26 00:00:00+05:30,56.52,56.52,55.2,55.23,8533
NIF5GETF,2024-02-27 00:00:00+05:30,56.52,56.52,55.01,55.15,657
NIF5GETF,2024-02-28 00:00:00+05:30,55.15,55.86,53.89,55.13,860
NIF5GETF,2024-02-29 00:00:00+05:30,56.5,56.5,54.6,54.82,2067
NIF5GETF,2024-03-01 00:00:00+05:30,54.0,56.22,54.0,55.85,1704
NIF5GETF,2024-03-02 00:00:00+05:30,56.0,56.0,56.0,56.0,23
NIF5GETF,2024-03-04 00:00:00+05:30,56.87,56.87,53.2,55.7,619
NIF5GETF,2024-03-05 00:00:00+05:30,56.7,56.7,55.0,55.91,332
NIF5GETF,2024-03-06 00:00:00+05:30,55.93,55.93,54.8,54.89,1490
NIF5GETF,2024-03-07 00:00:00+05:30,56.26,56.42,54.8,55.89,756
NIF5GETF,2024-03-11 00:00:00+05:30,56.84,56.84,55.2,55.89,289
NIF5GETF,2024-03-12 00:00:00+05:30,56.1,56.1,55.0,55.74,150
NIF5GETF,2024-03-13 00:00:00+05:30,54.95,55.67,54.95,55.67,1038
NIF5GETF,2024-03-14 00:00:00+05:30,55.74,55.75,55.74,55.75,390
NIF5GETF,2024-03-15 00:00:00+05:30,55.75,55.75,55.54,55.54,84
NIF5GETF,2024-03-18 00:00:00+05:30,55.54,55.54,54.85,55.5,190
NIF5GETF,2024-03-19 00:00:00+05:30,55.5,55.5,54.41,54.43,1289
NIF5GETF,2024-03-20 00:00:00+05:30,54.9,55.48,54.85,55.48,679
NIF5GETF,2024-03-21 00:00:00+05:30,55.48,55.48,54.85,55.46,865
NIF5GETF,2024-03-22 00:00:00+05:30,55.0,55.4,55.0,55.0,601
NIF5GETF,2024-03-26 00:00:00+05:30,55.85,55.85,55.0,55.0,1863280
NIF5GETF,2024-03-27 00:00:00+05:30,55.0,55.0,54.01,54.98,947
NIF5GETF,2024-03-28 00:00:00+05:30,55.0,56.5,55.0,56.19,1930
NIF5GETF,2024-04-01 00:00:00+05:30,56.19,56.19,54.8,55.87,865
NIF5GETF,2024-04-02 00:00:00+05:30,56.05,56.09,54.8,55.66,959
NIF5GETF,2024-04-03 00:00:00+05:30,55.66,56.15,55.0,55.95,63251
NIF5GETF,2024-04-04 00:00:00+05:30,55.92,55.94,55.41,55.94,771
NIF5GETF,2024-04-05 00:00:00+05:30,55.4,56.0,55.01,55.95,557
NIF5GETF,2024-04-08 00:00:00+05:30,55.4,56.8,54.68,55.7,1686
NIF5GETF,2024-04-09 00:00:00+05:30,55.9,56.85,55.01,56.3,497
NIF5GETF,2024-04-10 00:00:00+05:30,55.91,56.2,55.5,55.79,1971
NIF5GETF,2024-04-12 00:00:00+05:30,55.85,56.15,55.2,56.15,474
NIF5GETF,2024-04-15 00:00:00+05:30,56.15,56.15,55.01,56.1,82
