Symbol,Date,Open,High,Low,Close,Volume
NIFITETF,2024-02-01 00:00:00+05:30,366.43,379.0,364.04,364.13,186
NIFITETF,2024-02-02 00:00:00+05:30,373.23,377.42,367.0,374.74,1807
NIFITETF,2024-02-05 00:00:00+05:30,384.1,384.1,370.8,370.93,1940
NIFITETF,2024-02-06 00:00:00+05:30,380.2,432.0,375.3,409.27,294
NIFITETF,2024-02-07 00:00:00+05:30,399.7,402.0,378.05,379.02,6594
NIFITETF,2024-02-08 00:00:00+05:30,382.67,386.07,371.99,378.59,1241
NIFITETF,2024-02-09 00:00:00+05:30,382.01,386.06,368.01,376.51,2138
NIFITETF,2024-02-12 00:00:00+05:30,382.01,385.95,370.0,381.0,1496
NIFITETF,2024-02-13 00:00:00+05:30,378.74,382.99,375.74,381.15,953
NIFITETF,2024-02-14 00:00:00+05:30,386.99,386.99,372.05,378.04,599
NIFITETF,2024-02-15 00:00:00+05:30,380.51,386.07,373.02,380.93,2722
NIFITETF,2024-02-16 00:00:00+05:30,387.89,387.89,369.99,384.11,973
NIFITETF,2024-02-19 00:00:00+05:30,384.11,384.43,381.3,381.88,130
NIFITETF,2024-02-20 00:00:00+05:30,382.0,382.0,377.8,378.21,122
NIFITETF,2024-02-21 00:00:00+05:30,378.21,380.81,373.16,374.61,297
NIFITETF,2024-02-22 00:00:00+05:30,374.44,382.58,370.0,380.48,353
NIFITETF,2024-02-23 00:00:00+05:30,383.0,384.0,380.0,380.09,75
NIFITETF,2024-02-26 00:00:00+05:30,377.95,378.22,374.88,376.93,259
NIFITETF,2024-02-27 00:00:00+05:30,377.56,377.56,377.31,377.31,81
NIFITETF,2024-02-28 00:00:00+05:30,379.35,380.36,376.07,377.59,164
NIFITETF,2024-02-29 00:00:00+05:30,376.09,377.59,376.09,377.26,77
NIFITETF,2024-03-01 00:00:00+05:30,377.26,377.47,374.19,374.71,92
NIFITETF,2024-03-02 00:00:00+05:30,377.59,379.28,377.59,379.28,2
NIFITETF,2024-03-04 00:00:00+05:30,377.5,377.5,372.56,372.9,902
NIFITETF,2024-03-05 00:00:00+05:30,372.9,372.9,366.5,368.87,927
NIFITETF,2024-03-06 00:00:00+05:30,370.25,372.12,360.9,371.3,1115
NIFITETF,2024-03-07 00:00:00+05:30,367.09,375.0,367.09,373.08,357
NIFITETF,2024-03-11 00:00:00+05:30,373.1,373.1,368.38,370.64,542
NIFITETF,2024-03-12 00:00:00+05:30,378.56,378.56,371.2,371.27,1364
NIFITETF,2024-03-13 00:00:00+05:30,372.87,374.43,367.22,367.47,479
NIFITETF,2024-03-14 00:00:00+05:30,368.75,377.0,367.81,377.0,400
NIFITETF,2024-03-15 00:00:00+05:30,374.73,374.73,371.02,374.3,389
NIFITETF,2024-03-18 00:00:00+05:30,373.3,373.3,367.28,368.49,158
NIFITETF,2024-03-19 00:00:00+05:30,365.63,365.75,357.14,358.75,1199
NIFITETF,2024-03-20 00:00:00+05:30,373.7,373.7,357.38,358.59,199
NIFITETF,2024-03-21 00:00:00+05:30,361.73,361.73,359.0,360.26,98
NIFITETF,2024-03-22 00:00:00+05:30,356.72,386.32,349.46,359.96,1221
NIFITETF,2024-03-26 00:00:00+05:30,355.0,358.27,349.99,350.52,103517
NIFITETF,2024-03-27 00:00:00+05:30,354.01,354.01,347.35,348.44,5087
NIFITETF,2024-03-28 00:00:00+05:30,356.01,356.01,348.48,350.13,2278
NIFITETF,2024-04-01 00:00:00+05:30,351.99,357.5,350.0,351.27,7381
NIFITETF,2024-04-02 00:00:00+05:30,351.99,357.96,346.57,355.75,1694
