Symbol,Date,Open,High,Low,Close,Volume
NRL,2021-12-23 00:00:00+05:30,22.4,23.55,21.3,23.55,9378600
NRL,2021-12-24 00:00:00+05:30,24.7,24.7,24.7,24.7,257400
NRL,2021-12-27 00:00:00+05:30,25.95,25.95,25.95,25.95,521400
NRL,2021-12-28 00:00:00+05:30,27.25,27.25,27.25,27.25,217800
NRL,2021-12-29 00:00:00+05:30,28.55,28.55,28.55,28.55,831600
NRL,2021-12-30 00:00:00+05:30,29.7,30.0,27.15,30.0,6943200
NRL,2021-12-31 00:00:00+05:30,31.5,31.5,31.5,31.5,594000
NRL,2022-01-03 00:00:00+05:30,33.05,33.05,33.05,33.05,138600
NRL,2022-01-04 00:00:00+05:30,34.7,34.7,34.7,34.7,303600
NRL,2022-01-05 00:00:00+05:30,36.45,36.45,36.45,36.45,165000
NRL,2022-01-06 00:00:00+05:30,40.05,40.05,37.65,40.05,1696200
NRL,2022-01-07 00:00:00+05:30,44.05,44.05,44.05,44.05,514800
NRL,2022-01-10 00:00:00+05:30,48.45,48.45,48.45,48.45,165000
NRL,2022-01-11 00:00:00+05:30,50.85,50.85,50.85,50.85,495000
NRL,2022-01-12 00:00:00+05:30,52.75,53.4,48.35,53.4,4712400
NRL,2022-01-13 00:00:00+05:30,56.05,56.05,51.55,56.05,3187800
NRL,2022-01-14 00:00:00+05:30,56.95,58.85,56.65,58.85,633600
NRL,2022-01-17 00:00:00+05:30,61.8,61.8,61.8,61.8,336600
NRL,2022-01-18 00:00:00+05:30,64.85,64.85,64.85,64.85,217800
NRL,2022-01-19 00:00:00+05:30,68.1,68.1,68.1,68.1,92400
NRL,2022-01-20 00:00:00+05:30,71.5,71.5,71.5,71.5,19800
NRL,2022-01-21 00:00:00+05:30,75.05,75.05,75.05,75.05,92400
NRL,2022-01-24 00:00:00+05:30,77.25,78.85,71.35,78.8,3801600
NRL,2022-01-25 00:00:00+05:30,82.05,82.75,82.05,82.75,132000
NRL,2022-01-27 00:00:00+05:30,86.85,86.85,86.85,86.85,33000
NRL,2022-01-28 00:00:00+05:30,91.2,91.2,91.2,91.2,99000
NRL,2022-01-31 00:00:00+05:30,95.75,95.75,86.65,86.65,2514600
NRL,2022-02-01 00:00:00+05:30,82.35,82.35,82.35,82.35,105600
NRL,2022-02-02 00:00:00+05:30,78.25,78.25,78.25,78.25,39600
NRL,2022-02-03 00:00:00+05:30,74.3,74.3,74.3,74.3,33000
NRL,2022-02-04 00:00:00+05:30,73.35,78.05,70.6,74.9,3082200
NRL,2022-02-07 00:00:00+05:30,76.65,78.65,75.75,78.3,607200
NRL,2022-02-08 00:00:00+05:30,80.25,82.05,74.4,74.4,554400
NRL,2022-02-09 00:00:00+05:30,72.25,74.2,70.65,70.65,310200
NRL,2022-02-10 00:00:00+05:30,68.45,74.2,67.4,74.2,957000
NRL,2022-02-11 00:00:00+05:30,74.25,75.3,70.5,70.5,594000
NRL,2022-02-14 00:00:00+05:30,67.25,73.9,67.0,70.25,950400
NRL,2022-02-15 00:00:00+05:30,66.75,66.75,66.75,66.75,118800
NRL,2022-02-16 00:00:00+05:30,63.4,67.85,63.4,63.4,580800
NRL,2022-02-17 00:00:00+05:30,60.25,60.25,60.25,60.25,66000
NRL,2022-02-18 00:00:00+05:30,57.25,63.25,57.25,63.25,1485000
NRL,2022-02-21 00:00:00+05:30,65.15,66.35,60.05,63.65,990000
NRL,2022-02-22 00:00:00+05:30,64.15,66.8,61.15,66.35,217800
NRL,2022-02-23 00:00:00+05:30,69.55,69.65,64.65,65.1,125400
NRL,2022-02-24 00:00:00+05:30,61.85,62.15,61.85,61.95,198000
NRL,2022-02-25 00:00:00+05:30,64.65,65.05,59.35,59.95,171600
NRL,2022-02-28 00:00:00+05:30,57.5,59.65,56.95,57.25,435600
NRL,2022-03-02 00:00:00+05:30,57.65,60.1,57.65,60.05,125400
