Symbol,Date,Open,High,Low,Close,Volume
NV20BEES,2015-06-24 00:00:00+05:30,38.4,38.4,38.1,38.1,27
NV20BEES,2015-06-25 00:00:00+05:30,39.5,45.0,39.0,40.0,4
NV20BEES,2015-06-26 00:00:00+05:30,38.05,38.15,38.05,38.15,2040
NV20BEES,2015-06-29 00:00:00+05:30,37.0,37.8,37.0,37.1,139
NV20BEES,2015-06-30 00:00:00+05:30,37.1,37.1,37.1,37.1,500
NV20BEES,2015-07-01 00:00:00+05:30,38.2,38.2,38.2,38.2,30
NV20BEES,2015-07-02 00:00:00+05:30,38.4,38.4,38.4,38.4,3
NV20BEES,2015-07-03 00:00:00+05:30,37.65,37.65,37.65,37.65,1
NV20BEES,2015-07-07 00:00:00+05:30,37.7,38.1,37.7,38.1,114
NV20BEES,2015-07-08 00:00:00+05:30,38.2,38.2,38.2,38.2,3
NV20BEES,2015-07-09 00:00:00+05:30,38.15,38.2,38.0,38.0,26
NV20BEES,2015-07-13 00:00:00+05:30,38.0,38.0,37.9,37.9,10
NV20BEES,2015-07-14 00:00:00+05:30,37.5,37.5,37.45,37.5,30
NV20BEES,2015-07-17 00:00:00+05:30,38.2,38.2,38.2,38.2,245
NV20BEES,2015-07-20 00:00:00+05:30,38.3,38.3,38.3,38.3,6
NV20BEES,2015-07-23 00:00:00+05:30,39.0,39.0,38.8,38.85,500
NV20BEES,2015-07-24 00:00:00+05:30,38.8,38.8,37.2,37.6,8
NV20BEES,2015-07-27 00:00:00+05:30,38.5,38.5,38.5,38.5,3
NV20BEES,2015-08-03 00:00:00+05:30,38.5,38.5,38.5,38.5,300
NV20BEES,2015-08-05 00:00:00+05:30,39.0,39.0,39.0,39.0,100
NV20BEES,2015-08-07 00:00:00+05:30,39.4,39.4,39.4,39.4,2
NV20BEES,2015-08-10 00:00:00+05:30,39.35,39.35,39.0,39.0,22
NV20BEES,2015-08-11 00:00:00+05:30,39.0,39.0,39.0,39.0,21
NV20BEES,2015-08-12 00:00:00+05:30,39.0,39.0,39.0,39.0,1
NV20BEES,2015-08-14 00:00:00+05:30,38.2,45.2,31.1,45.2,63
NV20BEES,2015-08-17 00:00:00+05:30,38.6,44.95,38.6,38.6,6
NV20BEES,2015-08-18 00:00:00+05:30,38.6,43.45,38.6,43.45,13
NV20BEES,2015-08-19 00:00:00+05:30,41.6,42.0,38.5,38.55,11
NV20BEES,2015-08-20 00:00:00+05:30,38.55,38.55,38.5,38.5,11
NV20BEES,2015-08-21 00:00:00+05:30,40.5,42.0,38.1,38.5,49
NV20BEES,2015-08-24 00:00:00+05:30,44.0,44.0,37.0,37.6,19
NV20BEES,2015-08-25 00:00:00+05:30,37.5,37.5,37.5,37.5,256
NV20BEES,2015-08-26 00:00:00+05:30,41.0,41.0,38.1,38.1,2
NV20BEES,2015-08-27 00:00:00+05:30,38.1,38.1,38.1,38.1,100
NV20BEES,2015-08-28 00:00:00+05:30,36.65,38.4,36.65,38.4,25
NV20BEES,2015-08-31 00:00:00+05:30,37.7,37.7,37.7,37.7,17
NV20BEES,2015-09-01 00:00:00+05:30,40.0,41.5,34.6,37.7,19
NV20BEES,2015-09-02 00:00:00+05:30,40.8,40.8,33.5,38.5,13
NV20BEES,2015-09-03 00:00:00+05:30,40.0,40.0,40.0,40.0,1
