Symbol,Date,Open,High,Low,Close,Volume
OMAXAUTO,2003-05-07 00:00:00+05:30,32.1,33.0,31.5,31.85,7725
OMAXAUTO,2003-05-08 00:00:00+05:30,31.9,32.6,31.5,31.8,8231
OMAXAUTO,2003-05-09 00:00:00+05:30,32.0,37.55,31.9,36.0,66945
OMAXAUTO,2003-05-12 00:00:00+05:30,36.8,41.9,36.8,40.9,153925
OMAXAUTO,2003-05-13 00:00:00+05:30,41.7,45.9,41.7,42.55,195046
OMAXAUTO,2003-05-14 00:00:00+05:30,42.0,43.55,41.0,41.85,89506
OMAXAUTO,2003-05-15 00:00:00+05:30,42.0,42.25,40.0,40.25,57877
OMAXAUTO,2003-05-16 00:00:00+05:30,41.0,41.85,38.7,39.05,48623
OMAXAUTO,2003-05-19 00:00:00+05:30,40.0,42.65,39.85,40.2,73707
OMAXAUTO,2003-05-20 00:00:00+05:30,40.25,40.9,39.3,40.1,24102
OMAXAUTO,2003-05-21 00:00:00+05:30,39.7,41.5,39.7,40.25,37797
OMAXAUTO,2003-05-22 00:00:00+05:30,40.2,40.7,38.55,38.9,24795
OMAXAUTO,2003-05-23 00:00:00+05:30,39.15,39.8,38.55,39.2,39780
OMAXAUTO,2003-05-26 00:00:00+05:30,39.55,41.25,39.0,40.65,72340
OMAXAUTO,2003-05-27 00:00:00+05:30,40.8,41.95,39.3,39.7,46815
OMAXAUTO,2003-05-28 00:00:00+05:30,39.7,40.3,39.25,39.65,18148
OMAXAUTO,2003-05-29 00:00:00+05:30,39.15,40.0,38.9,39.1,19190
OMAXAUTO,2003-05-30 00:00:00+05:30,39.9,40.0,38.25,38.6,22056
OMAXAUTO,2003-06-02 00:00:00+05:30,39.9,39.9,37.0,37.3,23877
OMAXAUTO,2003-06-03 00:00:00+05:30,38.4,38.4,36.15,36.9,16549
OMAXAUTO,2003-06-04 00:00:00+05:30,40.0,40.0,36.75,37.1,13095
OMAXAUTO,2003-06-05 00:00:00+05:30,37.25,38.0,37.0,37.55,15896
OMAXAUTO,2003-06-06 00:00:00+05:30,38.65,38.75,37.05,37.45,17525
OMAXAUTO,2003-06-09 00:00:00+05:30,37.95,40.0,37.5,39.65,40043
OMAXAUTO,2003-06-10 00:00:00+05:30,40.05,42.95,38.9,39.8,131858
OMAXAUTO,2003-06-11 00:00:00+05:30,43.0,43.0,39.95,40.45,43939
OMAXAUTO,2003-06-12 00:00:00+05:30,41.15,41.5,40.5,40.7,28733
OMAXAUTO,2003-06-13 00:00:00+05:30,41.95,42.0,39.7,39.95,25165
OMAXAUTO,2003-06-16 00:00:00+05:30,40.0,40.35,39.25,39.95,31105
OMAXAUTO,2003-06-17 00:00:00+05:30,40.2,41.0,39.75,40.45,34277
OMAXAUTO,2003-06-18 00:00:00+05:30,43.45,43.5,40.95,42.5,135812
OMAXAUTO,2003-06-19 00:00:00+05:30,43.0,46.0,42.2,45.0,193248
OMAXAUTO,2003-06-20 00:00:00+05:30,46.4,49.5,45.55,46.75,375799
OMAXAUTO,2003-06-23 00:00:00+05:30,47.25,48.5,44.0,44.4,99746
OMAXAUTO,2003-06-24 00:00:00+05:30,44.0,45.8,43.95,44.05,44187
OMAXAUTO,2003-06-25 00:00:00+05:30,44.75,51.4,44.75,48.85,517481
OMAXAUTO,2003-06-26 00:00:00+05:30,49.8,50.8,47.85,48.2,160713
OMAXAUTO,2003-06-27 00:00:00+05:30,48.9,48.95,46.15,46.9,88887
OMAXAUTO,2003-06-30 00:00:00+05:30,47.85,48.7,47.1,47.85,73992
OMAXAUTO,2003-07-01 00:00:00+05:30,48.4,49.9,47.85,48.2,110040
OMAXAUTO,2003-07-02 00:00:00+05:30,49.85,49.85,46.55,47.25,121425
OMAXAUTO,2003-07-03 00:00:00+05:30,48.7,48.9,47.25,47.9,71797
OMAXAUTO,2003-07-04 00:00:00+05:30,48.25,48.25,47.3,47.55,47103
OMAXAUTO,2003-07-07 00:00:00+05:30,48.0,50.0,46.9,47.6,157465
OMAXAUTO,2003-07-08 00:00:00+05:30,49.0,49.8,47.8,48.45,174213
OMAXAUTO,2003-07-09 00:00:00+05:30,49.2,49.2,46.1,46.6,34840
OMAXAUTO,2003-07-10 00:00:00+05:30,45.7,48.1,45.7,47.05,60402
OMAXAUTO,2003-07-11 00:00:00+05:30,47.8,48.1,46.4,46.7,24097
OMAXAUTO,2003-07-14 00:00:00+05:30,49.95,49.95,47.0,47.7,29079
OMAXAUTO,2003-07-15 00:00:00+05:30,47.6,48.0,45.25,46.15,27290
OMAXAUTO,2003-07-16 00:00:00+05:30,47.9,47.9,46.2,46.35,37357
OMAXAUTO,2003-07-17 00:00:00+05:30,46.95,49.5,46.5,47.0,99990
OMAXAUTO,2003-07-18 00:00:00+05:30,44.2,47.45,44.2,46.0,52564
OMAXAUTO,2003-07-21 00:00:00+05:30,46.5,47.5,46.05,46.2,18020
OMAXAUTO,2003-07-22 00:00:00+05:30,46.0,46.0,44.5,44.65,30303
OMAXAUTO,2003-07-23 00:00:00+05:30,45.75,46.3,44.0,44.55,31851
OMAXAUTO,2003-07-24 00:00:00+05:30,44.15,48.0,44.0,45.8,27661
OMAXAUTO,2003-07-25 00:00:00+05:30,45.4,46.3,44.8,45.35,23497
OMAXAUTO,2003-07-28 00:00:00+05:30,47.7,47.8,45.8,46.4,33166
OMAXAUTO,2003-07-29 00:00:00+05:30,46.5,53.5,46.5,51.9,354838
OMAXAUTO,2003-07-30 00:00:00+05:30,52.0,58.9,52.0,56.5,651078
OMAXAUTO,2003-07-31 00:00:00+05:30,56.0,57.3,53.75,54.2,184441
OMAXAUTO,2003-08-01 00:00:00+05:30,54.9,58.6,52.0,56.5,262889
OMAXAUTO,2003-08-04 00:00:00+05:30,56.0,59.65,55.2,56.8,262302
OMAXAUTO,2003-08-05 00:00:00+05:30,57.35,58.5,54.0,54.4,98631
OMAXAUTO,2003-08-06 00:00:00+05:30,54.95,56.5,52.8,53.25,61928
OMAXAUTO,2003-08-07 00:00:00+05:30,51.3,56.3,51.3,55.4,43589
OMAXAUTO,2003-08-08 00:00:00+05:30,56.6,57.9,55.9,57.2,97291
OMAXAUTO,2003-08-11 00:00:00+05:30,54.25,59.9,52.1,56.5,68803
OMAXAUTO,2003-08-12 00:00:00+05:30,57.0,62.75,57.0,61.75,373498
OMAXAUTO,2003-08-13 00:00:00+05:30,67.0,67.0,60.5,62.35,196841
OMAXAUTO,2003-08-14 00:00:00+05:30,63.0,63.9,62.35,62.9,122795
OMAXAUTO,2003-08-18 00:00:00+05:30,64.15,64.15,61.3,62.8,123966
OMAXAUTO,2003-08-19 00:00:00+05:30,62.2,64.15,57.05,61.95,164493
OMAXAUTO,2003-08-20 00:00:00+05:30,64.8,66.0,63.05,63.7,100368
OMAXAUTO,2003-08-21 00:00:00+05:30,65.0,68.5,63.8,65.35,181971
OMAXAUTO,2003-08-22 00:00:00+05:30,66.7,68.0,63.2,67.25,149932
OMAXAUTO,2003-08-25 00:00:00+05:30,68.85,68.9,59.0,61.65,148078
OMAXAUTO,2003-08-26 00:00:00+05:30,62.0,66.5,62.0,65.6,78525
OMAXAUTO,2003-08-27 00:00:00+05:30,67.1,70.5,67.1,69.2,224827
OMAXAUTO,2003-08-28 00:00:00+05:30,71.0,76.0,70.85,74.9,314654
OMAXAUTO,2003-08-29 00:00:00+05:30,76.7,82.65,75.0,81.0,341433
OMAXAUTO,2003-09-01 00:00:00+05:30,82.8,96.9,82.8,87.95,243718
OMAXAUTO,2003-09-02 00:00:00+05:30,88.0,88.0,81.0,82.6,128077
OMAXAUTO,2003-09-03 00:00:00+05:30,84.0,84.0,75.0,75.4,114431
OMAXAUTO,2003-09-04 00:00:00+05:30,77.35,77.5,74.55,75.4,99452
OMAXAUTO,2003-09-05 00:00:00+05:30,77.0,77.4,73.7,74.35,35884
OMAXAUTO,2003-09-08 00:00:00+05:30,76.35,76.75,73.1,73.5,73113
OMAXAUTO,2003-09-09 00:00:00+05:30,75.65,75.7,71.0,72.0,63474
OMAXAUTO,2003-09-10 00:00:00+05:30,72.25,73.75,69.1,70.3,75426
OMAXAUTO,2003-09-11 00:00:00+05:30,73.0,73.9,71.0,73.05,97209
OMAXAUTO,2003-09-12 00:00:00+05:30,79.95,80.0,68.85,70.85,169031
OMAXAUTO,2003-09-15 00:00:00+05:30,71.0,72.0,67.4,68.2,75990
OMAXAUTO,2003-09-16 00:00:00+05:30,71.0,71.7,68.5,70.7,57220
OMAXAUTO,2003-09-17 00:00:00+05:30,72.05,73.0,70.45,70.7,46854
OMAXAUTO,2003-09-18 00:00:00+05:30,72.9,72.9,68.45,69.2,26586
OMAXAUTO,2003-09-19 00:00:00+05:30,70.0,71.0,68.6,69.1,38099
OMAXAUTO,2003-09-22 00:00:00+05:30,70.0,70.9,69.0,69.7,19876
OMAXAUTO,2003-09-23 00:00:00+05:30,69.0,70.5,68.7,69.65,20856
OMAXAUTO,2003-09-24 00:00:00+05:30,72.5,76.65,71.0,76.65,142890
OMAXAUTO,2003-09-25 00:00:00+05:30,77.0,79.1,76.5,77.8,82123
OMAXAUTO,2003-09-26 00:00:00+05:30,79.8,79.8,76.0,76.65,37966
OMAXAUTO,2003-09-29 00:00:00+05:30,77.5,78.9,76.1,76.4,38543
OMAXAUTO,2003-09-30 00:00:00+05:30,76.7,77.4,75.0,75.45,25407
OMAXAUTO,2003-10-01 00:00:00+05:30,75.25,78.2,75.25,77.6,77065
OMAXAUTO,2003-10-03 00:00:00+05:30,78.9,85.4,78.65,85.05,367294
OMAXAUTO,2003-10-06 00:00:00+05:30,86.0,93.6,83.5,93.05,435601
OMAXAUTO,2003-10-07 00:00:00+05:30,94.0,94.6,87.0,87.65,154256
OMAXAUTO,2003-10-08 00:00:00+05:30,88.0,91.15,87.0,87.65,93327
OMAXAUTO,2003-10-09 00:00:00+05:30,88.0,91.35,88.0,88.25,84641
OMAXAUTO,2003-10-10 00:00:00+05:30,89.0,89.5,80.0,82.65,164934
OMAXAUTO,2003-10-13 00:00:00+05:30,83.0,90.95,83.0,89.7,187126
OMAXAUTO,2003-10-14 00:00:00+05:30,90.9,91.75,85.0,85.55,120615
OMAXAUTO,2003-10-15 00:00:00+05:30,86.6,87.9,83.75,86.55,121714
OMAXAUTO,2003-10-16 00:00:00+05:30,86.0,87.8,85.5,85.65,51212
OMAXAUTO,2003-10-17 00:00:00+05:30,87.9,87.9,85.0,85.6,61241
OMAXAUTO,2003-10-20 00:00:00+05:30,87.0,94.2,86.25,93.75,501010
OMAXAUTO,2003-10-21 00:00:00+05:30,95.2,95.9,85.5,86.6,162258
OMAXAUTO,2003-10-22 00:00:00+05:30,88.0,89.8,85.1,85.5,84366
OMAXAUTO,2003-10-23 00:00:00+05:30,85.4,87.45,84.0,84.5,48877
OMAXAUTO,2003-10-24 00:00:00+05:30,85.2,87.0,79.0,85.3,72939
OMAXAUTO,2003-10-27 00:00:00+05:30,87.0,88.5,84.05,84.35,44550
OMAXAUTO,2003-10-28 00:00:00+05:30,84.5,87.0,83.5,85.15,37634
OMAXAUTO,2003-10-29 00:00:00+05:30,85.0,85.8,81.7,83.95,27980
OMAXAUTO,2003-10-30 00:00:00+05:30,85.0,86.1,83.0,85.6,24262
OMAXAUTO,2003-10-31 00:00:00+05:30,82.0,86.8,82.0,85.05,45852
OMAXAUTO,2003-11-03 00:00:00+05:30,85.05,87.85,83.75,84.45,36219
OMAXAUTO,2003-11-04 00:00:00+05:30,85.2,86.8,80.0,82.6,31961
OMAXAUTO,2003-11-05 00:00:00+05:30,83.0,84.0,79.5,80.5,62741
OMAXAUTO,2003-11-06 00:00:00+05:30,84.9,86.4,80.9,83.25,96356
OMAXAUTO,2003-11-07 00:00:00+05:30,84.05,87.2,84.0,84.95,89524
OMAXAUTO,2003-11-10 00:00:00+05:30,84.45,84.95,84.0,84.6,18630
OMAXAUTO,2003-11-11 00:00:00+05:30,84.5,90.0,84.45,88.95,165421
OMAXAUTO,2003-11-12 00:00:00+05:30,91.0,94.5,90.9,91.95,244299
OMAXAUTO,2003-11-13 00:00:00+05:30,92.5,94.9,87.5,89.5,163693
OMAXAUTO,2003-11-14 00:00:00+05:30,90.0,91.0,86.5,88.5,78067
OMAXAUTO,2003-11-17 00:00:00+05:30,91.8,93.5,91.0,91.8,53401
OMAXAUTO,2003-11-18 00:00:00+05:30,92.0,98.7,92.0,96.95,293234
OMAXAUTO,2003-11-19 00:00:00+05:30,97.0,100.0,95.0,96.0,213934
OMAXAUTO,2003-11-20 00:00:00+05:30,97.8,101.5,96.1,97.65,209640
OMAXAUTO,2003-11-21 00:00:00+05:30,99.0,99.5,95.25,96.45,115789
OMAXAUTO,2003-11-24 00:00:00+05:30,97.0,106.1,97.0,105.95,403459
OMAXAUTO,2003-11-25 00:00:00+05:30,107.9,111.0,104.3,105.5,258723
OMAXAUTO,2003-11-27 00:00:00+05:30,107.9,108.75,102.0,103.35,118623
OMAXAUTO,2003-11-28 00:00:00+05:30,105.0,105.7,101.0,101.4,72784
OMAXAUTO,2003-12-01 00:00:00+05:30,103.0,111.55,103.0,111.55,188636
OMAXAUTO,2003-12-02 00:00:00+05:30,117.4,117.9,111.7,113.5,221040
OMAXAUTO,2003-12-03 00:00:00+05:30,116.0,119.9,114.65,116.5,164979
OMAXAUTO,2003-12-04 00:00:00+05:30,121.0,121.0,112.55,113.7,137611
OMAXAUTO,2003-12-05 00:00:00+05:30,115.5,116.85,106.1,109.15,112762
OMAXAUTO,2003-12-08 00:00:00+05:30,106.0,114.25,106.0,111.4,58563
OMAXAUTO,2003-12-09 00:00:00+05:30,114.0,115.0,110.1,111.85,65972
OMAXAUTO,2003-12-10 00:00:00+05:30,113.6,113.6,109.0,110.0,52358
OMAXAUTO,2003-12-11 00:00:00+05:30,110.0,111.95,104.25,107.6,65707
OMAXAUTO,2003-12-12 00:00:00+05:30,108.95,109.0,105.0,106.2,50233
OMAXAUTO,2003-12-15 00:00:00+05:30,107.0,113.0,106.25,107.55,74475
OMAXAUTO,2003-12-16 00:00:00+05:30,107.5,108.2,106.0,107.7,40352
OMAXAUTO,2003-12-17 00:00:00+05:30,110.0,110.9,104.0,105.7,43936
OMAXAUTO,2003-12-18 00:00:00+05:30,107.9,108.5,105.0,105.65,52856
OMAXAUTO,2003-12-19 00:00:00+05:30,107.9,108.5,106.0,106.6,55736
OMAXAUTO,2003-12-22 00:00:00+05:30,106.85,114.0,106.0,110.95,135286
OMAXAUTO,2003-12-23 00:00:00+05:30,113.0,113.45,108.0,109.35,82530
OMAXAUTO,2003-12-24 00:00:00+05:30,110.0,111.6,108.9,109.55,31293
OMAXAUTO,2003-12-26 00:00:00+05:30,110.0,112.0,107.0,108.3,56668
OMAXAUTO,2003-12-29 00:00:00+05:30,111.9,111.9,108.0,108.3,55415
OMAXAUTO,2003-12-30 00:00:00+05:30,109.4,110.3,103.4,105.8,47056
OMAXAUTO,2003-12-31 00:00:00+05:30,109.0,115.5,108.0,112.65,241456
OMAXAUTO,2004-01-01 00:00:00+05:30,114.75,114.75,111.3,112.05,99167
OMAXAUTO,2004-01-02 00:00:00+05:30,113.8,114.5,110.15,111.35,64162
OMAXAUTO,2004-01-05 00:00:00+05:30,113.0,113.45,107.0,107.3,49533
OMAXAUTO,2004-01-06 00:00:00+05:30,110.75,110.8,103.0,104.5,45198
OMAXAUTO,2004-01-07 00:00:00+05:30,105.55,105.55,99.05,99.7,68066
OMAXAUTO,2004-01-08 00:00:00+05:30,102.5,104.5,101.0,103.6,29265
OMAXAUTO,2004-01-09 00:00:00+05:30,105.0,107.45,101.5,102.2,54450
OMAXAUTO,2004-01-12 00:00:00+05:30,101.05,101.15,98.0,98.75,40506
OMAXAUTO,2004-01-13 00:00:00+05:30,95.15,100.9,95.15,99.15,33793
OMAXAUTO,2004-01-14 00:00:00+05:30,100.0,100.9,98.0,98.5,25295
OMAXAUTO,2004-01-15 00:00:00+05:30,99.0,101.5,95.0,96.8,35976
OMAXAUTO,2004-01-16 00:00:00+05:30,96.0,99.95,92.0,94.7,35459
OMAXAUTO,2004-01-19 00:00:00+05:30,94.0,95.0,90.3,93.35,22104
OMAXAUTO,2004-01-20 00:00:00+05:30,94.75,95.5,91.0,91.95,20361
OMAXAUTO,2004-01-21 00:00:00+05:30,94.0,94.0,85.0,87.45,71586
OMAXAUTO,2004-01-22 00:00:00+05:30,86.1,87.9,79.0,79.65,43604
OMAXAUTO,2004-01-23 00:00:00+05:30,77.1,87.0,77.0,85.2,37798
OMAXAUTO,2004-01-27 00:00:00+05:30,93.0,93.0,88.0,91.1,30062
OMAXAUTO,2004-01-28 00:00:00+05:30,90.0,91.0,87.0,87.85,21743
OMAXAUTO,2004-01-29 00:00:00+05:30,88.1,90.45,86.3,88.0,16572
OMAXAUTO,2004-01-30 00:00:00+05:30,89.75,89.8,85.0,85.8,11485
OMAXAUTO,2004-02-03 00:00:00+05:30,88.45,88.5,78.1,78.9,19415
OMAXAUTO,2004-02-04 00:00:00+05:30,81.95,82.0,75.45,78.35,26829
OMAXAUTO,2004-02-05 00:00:00+05:30,81.0,82.9,78.1,79.55,29796
OMAXAUTO,2004-02-06 00:00:00+05:30,83.0,83.0,78.05,79.2,9641
OMAXAUTO,2004-02-09 00:00:00+05:30,79.95,81.5,79.0,79.95,11441
OMAXAUTO,2004-02-10 00:00:00+05:30,81.9,82.0,79.0,79.9,16736
OMAXAUTO,2004-02-11 00:00:00+05:30,77.35,81.2,77.35,78.2,15494
OMAXAUTO,2004-02-12 00:00:00+05:30,80.0,80.0,78.5,79.25,10605
OMAXAUTO,2004-02-13 00:00:00+05:30,80.0,85.0,80.0,81.7,88650
OMAXAUTO,2004-02-16 00:00:00+05:30,83.0,84.0,81.6,82.65,78596
OMAXAUTO,2004-02-17 00:00:00+05:30,83.5,86.0,83.0,84.55,99062
OMAXAUTO,2004-02-18 00:00:00+05:30,85.3,89.0,84.65,86.3,81535
OMAXAUTO,2004-02-19 00:00:00+05:30,88.9,88.9,80.9,82.0,43371
OMAXAUTO,2004-02-20 00:00:00+05:30,81.25,83.4,79.2,81.75,27969
OMAXAUTO,2004-02-23 00:00:00+05:30,83.0,83.0,77.7,78.2,15417
OMAXAUTO,2004-02-24 00:00:00+05:30,85.0,85.0,77.0,78.1,15862
OMAXAUTO,2004-02-25 00:00:00+05:30,80.0,80.0,77.0,77.5,13628
OMAXAUTO,2004-02-26 00:00:00+05:30,79.95,81.0,76.0,77.05,12719
OMAXAUTO,2004-02-27 00:00:00+05:30,78.0,79.9,73.0,74.3,20966
OMAXAUTO,2004-03-01 00:00:00+05:30,76.0,77.5,72.5,75.35,21318
OMAXAUTO,2004-03-03 00:00:00+05:30,76.95,76.95,73.0,73.45,24200
OMAXAUTO,2004-03-04 00:00:00+05:30,75.9,75.9,72.55,72.95,21070
OMAXAUTO,2004-03-05 00:00:00+05:30,73.5,74.35,70.8,71.6,23277
OMAXAUTO,2004-03-08 00:00:00+05:30,72.7,72.7,70.25,70.8,16324
OMAXAUTO,2004-03-09 00:00:00+05:30,81.0,81.0,68.0,69.45,32449
OMAXAUTO,2004-03-10 00:00:00+05:30,66.8,69.9,66.8,69.15,26749
