Symbol,Date,Open,High,Low,Close,Volume
ORIENTHOT,2003-01-01 00:00:00+05:30,7.11,7.11,7.11,7.11,499
ORIENTHOT,2003-01-02 00:00:00+05:30,7.46,7.46,7.13,7.18,1279
ORIENTHOT,2003-01-03 00:00:00+05:30,7.17,7.28,7.04,7.28,3389
ORIENTHOT,2003-01-06 00:00:00+05:30,7.01,7.39,7.01,7.14,5919
ORIENTHOT,2003-01-07 00:00:00+05:30,7.1,7.2,7.1,7.2,2249
ORIENTHOT,2003-01-08 00:00:00+05:30,7.18,7.18,7.12,7.18,3429
ORIENTHOT,2003-01-09 00:00:00+05:30,7.18,7.18,7.12,7.18,0
ORIENTHOT,2003-01-10 00:00:00+05:30,6.97,7.15,6.97,7.13,2139
ORIENTHOT,2003-01-13 00:00:00+05:30,7.1,7.15,7.1,7.15,2499
ORIENTHOT,2003-01-14 00:00:00+05:30,7.19,7.19,7.19,7.19,999
ORIENTHOT,2003-01-15 00:00:00+05:30,7.0,7.01,7.0,7.01,4649
ORIENTHOT,2003-01-16 00:00:00+05:30,7.02,7.2,7.02,7.12,3199
ORIENTHOT,2003-01-17 00:00:00+05:30,7.0,7.13,7.0,7.13,11599
ORIENTHOT,2003-01-20 00:00:00+05:30,6.72,7.17,6.72,7.17,749
ORIENTHOT,2003-01-21 00:00:00+05:30,7.17,7.2,6.85,7.1,19829
ORIENTHOT,2003-01-22 00:00:00+05:30,7.2,7.24,7.01,7.04,11669
ORIENTHOT,2003-01-23 00:00:00+05:30,7.2,7.24,7.01,7.04,0
ORIENTHOT,2003-01-24 00:00:00+05:30,6.79,7.2,6.79,7.2,1529
ORIENTHOT,2003-01-27 00:00:00+05:30,7.1,7.1,7.0,7.0,4059
ORIENTHOT,2003-01-28 00:00:00+05:30,6.95,7.05,6.95,7.05,5249
ORIENTHOT,2003-01-29 00:00:00+05:30,6.93,6.93,6.93,6.93,4409
ORIENTHOT,2003-01-30 00:00:00+05:30,7.1,7.15,6.9,7.13,7879
ORIENTHOT,2003-01-31 00:00:00+05:30,7.48,7.48,7.2,7.2,19
ORIENTHOT,2003-02-03 00:00:00+05:30,7.0,7.0,7.0,7.0,499
ORIENTHOT,2003-02-04 00:00:00+05:30,7.0,7.0,7.0,7.0,0
ORIENTHOT,2003-02-05 00:00:00+05:30,7.1,7.1,6.94,6.94,1009
ORIENTHOT,2003-02-06 00:00:00+05:30,7.1,7.1,6.94,6.94,0
ORIENTHOT,2003-02-07 00:00:00+05:30,6.9,7.15,6.71,7.15,37089
ORIENTHOT,2003-02-10 00:00:00+05:30,7.0,7.0,7.0,7.0,729
ORIENTHOT,2003-02-11 00:00:00+05:30,7.1,7.18,7.1,7.18,1899
ORIENTHOT,2003-02-12 00:00:00+05:30,7.1,7.18,7.1,7.18,0
ORIENTHOT,2003-02-14 00:00:00+05:30,7.1,7.15,7.1,7.15,3199
ORIENTHOT,2003-02-17 00:00:00+05:30,7.0,7.05,7.0,7.03,59
ORIENTHOT,2003-02-18 00:00:00+05:30,7.01,7.03,7.01,7.03,1009
ORIENTHOT,2003-02-19 00:00:00+05:30,7.29,7.33,7.2,7.29,14609
ORIENTHOT,2003-02-20 00:00:00+05:30,7.1,7.25,7.1,7.24,6699
ORIENTHOT,2003-02-21 00:00:00+05:30,7.11,7.35,7.11,7.34,3459
ORIENTHOT,2003-02-24 00:00:00+05:30,7.11,7.35,7.11,7.34,0
ORIENTHOT,2003-02-25 00:00:00+05:30,7.11,7.11,7.1,7.1,999
ORIENTHOT,2003-02-26 00:00:00+05:30,7.1,7.15,7.1,7.13,1149
ORIENTHOT,2003-02-27 00:00:00+05:30,7.15,7.15,7.15,7.15,3349
ORIENTHOT,2003-02-28 00:00:00+05:30,7.3,7.7,7.3,7.45,25559
ORIENTHOT,2003-03-03 00:00:00+05:30,7.62,8.2,7.62,8.14,20549
ORIENTHOT,2003-03-04 00:00:00+05:30,8.18,8.18,7.9,8.0,11689
ORIENTHOT,2003-03-05 00:00:00+05:30,7.72,8.12,7.7,7.76,7549
ORIENTHOT,2003-03-06 00:00:00+05:30,7.7,7.7,7.5,7.6,3399
ORIENTHOT,2003-03-07 00:00:00+05:30,7.35,7.65,7.35,7.64,2699
ORIENTHOT,2003-03-10 00:00:00+05:30,7.35,7.65,7.35,7.64,0
ORIENTHOT,2003-03-11 00:00:00+05:30,7.35,7.65,7.35,7.64,0
ORIENTHOT,2003-03-12 00:00:00+05:30,7.22,7.3,7.1,7.3,5149
ORIENTHOT,2003-03-13 00:00:00+05:30,7.12,7.2,7.12,7.12,4239
ORIENTHOT,2003-03-17 00:00:00+05:30,7.12,7.2,7.12,7.12,0
ORIENTHOT,2003-03-19 00:00:00+05:30,7.2,7.2,7.2,7.2,999
ORIENTHOT,2003-03-20 00:00:00+05:30,7.1,7.1,7.1,7.1,499
ORIENTHOT,2003-03-21 00:00:00+05:30,7.3,7.3,7.15,7.15,749
ORIENTHOT,2003-03-24 00:00:00+05:30,7.1,7.1,7.1,7.1,1249
ORIENTHOT,2003-03-25 00:00:00+05:30,6.5,7.33,6.5,7.19,208279
ORIENTHOT,2003-03-26 00:00:00+05:30,7.05,7.17,7.0,7.08,4549
ORIENTHOT,2003-03-27 00:00:00+05:30,7.36,7.36,7.1,7.1,1899
ORIENTHOT,2003-03-28 00:00:00+05:30,7.1,7.1,7.1,7.1,9
ORIENTHOT,2003-03-31 00:00:00+05:30,6.9,7.28,6.9,7.11,21959
ORIENTHOT,2003-04-01 00:00:00+05:30,7.1,7.11,7.1,7.11,519
ORIENTHOT,2003-04-02 00:00:00+05:30,7.1,7.11,7.1,7.11,0
ORIENTHOT,2003-04-03 00:00:00+05:30,7.1,7.1,7.1,7.1,5529
ORIENTHOT,2003-04-04 00:00:00+05:30,7.1,7.2,7.1,7.2,2269
ORIENTHOT,2003-04-07 00:00:00+05:30,7.2,7.55,7.1,7.38,13399
ORIENTHOT,2003-04-08 00:00:00+05:30,7.25,7.25,7.25,7.25,1109
ORIENTHOT,2003-04-09 00:00:00+05:30,7.2,7.2,7.1,7.1,3769
ORIENTHOT,2003-04-10 00:00:00+05:30,7.1,7.1,7.1,7.1,3259
ORIENTHOT,2003-04-11 00:00:00+05:30,7.1,7.1,7.1,7.1,0
ORIENTHOT,2003-04-15 00:00:00+05:30,7.1,7.78,7.1,7.35,2169
ORIENTHOT,2003-04-16 00:00:00+05:30,7.11,7.11,7.11,7.11,1229
ORIENTHOT,2003-04-17 00:00:00+05:30,7.11,7.11,7.11,7.11,219
ORIENTHOT,2003-04-21 00:00:00+05:30,7.4,7.5,7.2,7.21,2519
ORIENTHOT,2003-04-22 00:00:00+05:30,7.2,7.21,7.2,7.21,1269
ORIENTHOT,2003-04-23 00:00:00+05:30,7.2,7.33,7.2,7.21,14119
ORIENTHOT,2003-04-24 00:00:00+05:30,7.21,7.21,7.21,7.21,4119
ORIENTHOT,2003-04-25 00:00:00+05:30,7.21,7.3,7.21,7.23,23279
ORIENTHOT,2003-04-28 00:00:00+05:30,7.21,7.89,7.21,7.89,2039
ORIENTHOT,2003-04-29 00:00:00+05:30,7.35,7.35,7.3,7.35,3609
