Symbol,Date,Open,High,Low,Close,Volume
PAR,2019-05-16 00:00:00+05:30,52.9,52.9,50.3,50.45,600000
PAR,2019-05-17 00:00:00+05:30,47.95,51.0,47.95,50.7,126000
PAR,2019-05-20 00:00:00+05:30,51.0,51.0,48.35,49.55,26000
PAR,2019-05-21 00:00:00+05:30,48.0,50.65,48.0,49.55,38000
PAR,2019-05-22 00:00:00+05:30,49.05,50.2,49.05,50.2,16000
PAR,2019-05-23 00:00:00+05:30,49.9,49.95,48.7,48.7,18000
PAR,2019-05-24 00:00:00+05:30,49.8,50.25,48.3,49.7,34000
PAR,2019-05-27 00:00:00+05:30,50.3,50.3,48.8,49.9,6000
PAR,2019-05-28 00:00:00+05:30,48.3,50.0,48.3,50.0,4000
PAR,2019-05-30 00:00:00+05:30,24.95,25.1,24.55,24.9,40000
PAR,2019-05-31 00:00:00+05:30,25.0,25.0,24.4,24.75,28000
PAR,2019-06-03 00:00:00+05:30,24.0,24.7,24.0,24.25,100000
PAR,2019-06-04 00:00:00+05:30,24.3,24.5,24.3,24.5,8000
PAR,2019-06-07 00:00:00+05:30,20.5,24.75,20.5,24.55,80000
PAR,2019-06-10 00:00:00+05:30,24.15,24.15,24.15,24.15,4000
PAR,2019-06-11 00:00:00+05:30,24.0,24.0,24.0,24.0,4000
PAR,2019-06-12 00:00:00+05:30,24.0,24.0,24.0,24.0,8000
PAR,2019-06-13 00:00:00+05:30,23.55,23.55,23.25,23.25,20000
PAR,2019-06-14 00:00:00+05:30,22.85,23.85,22.75,23.85,32000
PAR,2019-06-17 00:00:00+05:30,23.1,23.1,22.85,22.9,32000
PAR,2019-06-18 00:00:00+05:30,23.25,23.45,22.55,23.2,28000
PAR,2019-06-19 00:00:00+05:30,22.85,22.85,22.5,22.5,36000
PAR,2019-06-20 00:00:00+05:30,22.15,22.5,22.15,22.5,28000
PAR,2019-06-21 00:00:00+05:30,23.5,25.6,23.5,24.7,140000
PAR,2019-06-24 00:00:00+05:30,25.45,25.45,24.1,24.75,28000
PAR,2019-06-26 00:00:00+05:30,24.15,24.15,24.05,24.05,8000
PAR,2019-06-27 00:00:00+05:30,24.3,24.3,24.1,24.25,12000
PAR,2019-06-28 00:00:00+05:30,24.05,24.05,24.0,24.0,16000
PAR,2019-07-01 00:00:00+05:30,24.75,24.75,24.0,24.25,12000
PAR,2019-07-03 00:00:00+05:30,24.2,24.5,24.2,24.3,16000
PAR,2019-07-04 00:00:00+05:30,24.15,24.6,24.15,24.55,12000
PAR,2019-07-05 00:00:00+05:30,24.05,24.05,24.05,24.05,4000
PAR,2019-07-08 00:00:00+05:30,23.75,24.0,23.5,24.0,24000
PAR,2019-07-11 00:00:00+05:30,23.1,24.5,23.1,24.45,16000
PAR,2019-07-12 00:00:00+05:30,24.5,28.0,24.5,27.05,460000
PAR,2019-07-15 00:00:00+05:30,27.0,27.0,26.55,26.6,16000
PAR,2019-07-16 00:00:00+05:30,26.15,26.15,26.15,26.15,4000
PAR,2019-07-17 00:00:00+05:30,26.15,26.15,26.15,26.15,4000
PAR,2019-07-22 00:00:00+05:30,26.1,26.1,25.5,26.05,12000
PAR,2019-07-23 00:00:00+05:30,25.5,25.5,25.5,25.5,8000
PAR,2019-07-24 00:00:00+05:30,25.5,25.5,25.5,25.5,4000
PAR,2019-07-29 00:00:00+05:30,24.5,24.5,24.5,24.5,4000
PAR,2019-08-01 00:00:00+05:30,24.05,24.05,24.05,24.05,8000
PAR,2019-08-05 00:00:00+05:30,22.35,24.45,22.35,24.0,20000
PAR,2019-08-07 00:00:00+05:30,23.25,23.25,23.25,23.25,4000
PAR,2019-08-08 00:00:00+05:30,23.95,24.75,23.9,24.75,60000
PAR,2019-08-13 00:00:00+05:30,23.5,23.5,23.5,23.5,4000
PAR,2019-08-21 00:00:00+05:30,24.15,24.15,24.15,24.15,4000
PAR,2019-08-23 00:00:00+05:30,24.35,24.35,23.75,23.75,8000
PAR,2019-08-29 00:00:00+05:30,23.25,23.25,23.25,23.25,4000
PAR,2019-08-30 00:00:00+05:30,23.25,23.25,23.25,23.25,4000
PAR,2019-09-11 00:00:00+05:30,22.5,22.5,22.5,22.5,4000
PAR,2019-09-12 00:00:00+05:30,23.95,23.95,23.95,23.95,4000
PAR,2019-09-20 00:00:00+05:30,22.8,22.8,22.8,22.8,4000
PAR,2019-09-27 00:00:00+05:30,23.75,23.75,23.25,23.25,16000
PAR,2019-10-04 00:00:00+05:30,23.75,23.75,23.75,23.75,4000
PAR,2019-10-09 00:00:00+05:30,23.85,23.85,23.85,23.85,4000
PAR,2019-10-14 00:00:00+05:30,23.7,23.7,23.7,23.7,4000
PAR,2019-10-15 00:00:00+05:30,22.0,22.0,22.0,22.0,4000
PAR,2019-10-17 00:00:00+05:30,21.8,22.1,21.8,22.0,12000
PAR,2019-10-18 00:00:00+05:30,22.25,22.25,22.25,22.25,4000
PAR,2019-10-22 00:00:00+05:30,21.5,22.0,21.5,22.0,8000
PAR,2019-10-25 00:00:00+05:30,22.0,23.45,22.0,23.45,8000
PAR,2019-10-27 00:00:00+05:30,22.1,22.1,22.1,22.1,4000
PAR,2019-10-30 00:00:00+05:30,22.5,22.5,22.5,22.5,4000
PAR,2019-10-31 00:00:00+05:30,23.8,23.8,23.8,23.8,4000
PAR,2019-11-01 00:00:00+05:30,22.25,22.25,22.25,22.25,4000
PAR,2019-11-07 00:00:00+05:30,21.65,22.0,21.65,22.0,12000
PAR,2019-11-08 00:00:00+05:30,21.55,22.45,21.55,22.45,8000
PAR,2019-11-13 00:00:00+05:30,23.75,25.4,23.75,24.95,12000
PAR,2019-11-14 00:00:00+05:30,23.4,24.2,23.4,24.2,8000
