Symbol,Date,Open,High,Low,Close,Volume
PGIL,2007-02-15 00:00:00+05:30,249.95,262.5,222.1,235.0,16474006
PGIL,2007-02-19 00:00:00+05:30,244.5,245.7,223.5,227.4,3760976
PGIL,2007-02-20 00:00:00+05:30,232.5,241.0,217.6,220.7,2987786
PGIL,2007-02-21 00:00:00+05:30,222.5,224.5,206.8,208.85,2159524
PGIL,2007-02-22 00:00:00+05:30,210.0,216.5,205.75,210.2,1771390
PGIL,2007-02-23 00:00:00+05:30,212.5,226.0,210.0,218.35,3324610
PGIL,2007-02-26 00:00:00+05:30,220.0,220.0,207.5,214.6,535868
PGIL,2007-02-27 00:00:00+05:30,217.2,222.25,210.0,210.9,433854
PGIL,2007-02-28 00:00:00+05:30,169.1,204.5,169.1,193.9,298904
PGIL,2007-03-01 00:00:00+05:30,194.35,199.5,186.05,187.6,201232
PGIL,2007-03-02 00:00:00+05:30,192.3,196.0,181.0,183.85,188386
PGIL,2007-03-05 00:00:00+05:30,180.0,180.0,160.0,168.6,229906
PGIL,2007-03-06 00:00:00+05:30,169.5,180.0,162.5,163.9,145240
PGIL,2007-03-07 00:00:00+05:30,166.25,170.75,164.5,166.7,148862
PGIL,2007-03-08 00:00:00+05:30,167.5,168.75,159.5,166.5,65812
PGIL,2007-03-09 00:00:00+05:30,166.05,170.0,162.0,162.9,64430
PGIL,2007-03-12 00:00:00+05:30,162.55,167.5,160.8,162.7,46398
PGIL,2007-03-13 00:00:00+05:30,163.0,192.35,163.0,184.7,451934
PGIL,2007-03-14 00:00:00+05:30,182.5,190.6,166.5,179.7,438466
PGIL,2007-03-15 00:00:00+05:30,181.0,198.1,181.0,194.1,337746
PGIL,2007-03-16 00:00:00+05:30,194.1,202.75,192.5,197.3,310582
PGIL,2007-03-19 00:00:00+05:30,199.0,204.4,193.0,195.95,87282
PGIL,2007-03-20 00:00:00+05:30,198.0,202.0,190.65,192.9,96894
PGIL,2007-03-21 00:00:00+05:30,192.0,195.0,187.0,189.25,46116
PGIL,2007-03-22 00:00:00+05:30,193.5,193.5,188.5,189.1,31492
PGIL,2007-03-23 00:00:00+05:30,185.05,193.9,183.1,185.7,48588
PGIL,2007-03-26 00:00:00+05:30,187.05,188.0,175.3,177.2,39924
PGIL,2007-03-28 00:00:00+05:30,175.5,175.5,164.05,166.7,53378
PGIL,2007-03-29 00:00:00+05:30,167.5,168.5,162.75,163.2,60030
PGIL,2007-03-30 00:00:00+05:30,164.5,177.95,164.25,168.45,95864
PGIL,2007-04-02 00:00:00+05:30,160.05,167.3,159.85,164.4,27818
PGIL,2007-04-03 00:00:00+05:30,169.9,169.9,164.5,165.0,21294
PGIL,2007-04-04 00:00:00+05:30,167.45,168.05,162.5,163.4,28642
PGIL,2007-04-05 00:00:00+05:30,162.5,167.2,162.5,164.2,18622
PGIL,2007-04-09 00:00:00+05:30,166.65,174.45,165.3,171.6,36482
PGIL,2007-04-10 00:00:00+05:30,170.5,174.0,170.3,171.75,23610
PGIL,2007-04-11 00:00:00+05:30,171.5,178.5,171.0,172.9,47280
PGIL,2007-04-12 00:00:00+05:30,170.55,173.5,170.55,171.05,17144
PGIL,2007-04-13 00:00:00+05:30,172.5,186.0,170.0,180.3,93268
PGIL,2007-04-16 00:00:00+05:30,182.0,187.5,178.0,180.7,37028
PGIL,2007-04-17 00:00:00+05:30,181.05,191.0,175.0,178.2,130026
PGIL,2007-04-18 00:00:00+05:30,181.5,187.0,177.5,179.7,161602
PGIL,2007-04-19 00:00:00+05:30,179.25,187.0,175.5,185.4,34852
PGIL,2007-04-20 00:00:00+05:30,187.45,189.0,185.0,185.1,19032
PGIL,2007-04-23 00:00:00+05:30,187.5,187.75,180.25,182.6,42324
PGIL,2007-04-24 00:00:00+05:30,183.2,184.0,178.6,180.5,30618
PGIL,2007-04-25 00:00:00+05:30,162.45,184.5,162.45,180.3,29696
PGIL,2007-04-26 00:00:00+05:30,180.15,184.1,177.6,180.0,48442
PGIL,2007-04-27 00:00:00+05:30,181.0,185.55,178.0,180.4,47196
PGIL,2007-04-30 00:00:00+05:30,180.0,189.0,177.6,186.65,48544
PGIL,2007-05-03 00:00:00+05:30,188.4,192.4,181.15,182.25,54630
PGIL,2007-05-04 00:00:00+05:30,184.8,184.8,177.5,178.1,19306
PGIL,2007-05-07 00:00:00+05:30,184.4,184.4,177.5,177.9,16096
PGIL,2007-05-08 00:00:00+05:30,178.5,183.0,175.05,179.4,27318
PGIL,2007-05-09 00:00:00+05:30,178.1,180.0,175.1,176.8,13402
PGIL,2007-05-10 00:00:00+05:30,176.85,182.05,168.0,170.1,33144
PGIL,2007-05-11 00:00:00+05:30,170.0,177.0,161.6,168.7,110204
PGIL,2007-05-14 00:00:00+05:30,174.0,181.5,171.5,177.7,73870
PGIL,2007-05-15 00:00:00+05:30,180.0,182.85,177.0,178.1,60418
PGIL,2007-05-16 00:00:00+05:30,178.65,187.5,176.0,179.6,102518
PGIL,2007-05-17 00:00:00+05:30,186.5,186.5,180.0,181.5,43510
PGIL,2007-05-18 00:00:00+05:30,182.6,186.0,177.55,178.4,67016
PGIL,2007-05-21 00:00:00+05:30,181.95,182.35,175.0,175.7,32430
PGIL,2007-05-22 00:00:00+05:30,177.45,184.45,171.25,180.4,49064
PGIL,2007-05-23 00:00:00+05:30,181.1,182.9,176.0,176.2,19708
PGIL,2007-05-24 00:00:00+05:30,178.9,178.9,171.3,172.7,12782
PGIL,2007-05-25 00:00:00+05:30,168.0,173.85,167.55,171.5,13582
PGIL,2007-05-28 00:00:00+05:30,173.0,174.4,171.0,171.6,9542
PGIL,2007-05-29 00:00:00+05:30,176.5,176.5,171.0,172.1,10598
PGIL,2007-05-30 00:00:00+05:30,169.9,173.7,169.0,169.8,12634
PGIL,2007-05-31 00:00:00+05:30,171.05,172.45,168.6,169.4,18754
PGIL,2007-06-01 00:00:00+05:30,169.55,179.7,169.5,177.9,94952
PGIL,2007-06-04 00:00:00+05:30,180.0,182.5,175.1,175.9,50276
PGIL,2007-06-05 00:00:00+05:30,174.3,176.25,171.6,172.8,17214
PGIL,2007-06-06 00:00:00+05:30,173.25,175.1,166.6,167.3,43140
PGIL,2007-06-07 00:00:00+05:30,166.8,170.6,165.6,167.1,40572
