Symbol,Date,Open,High,Low,Close,Volume
PINELABS,2025-11-14 00:00:00+05:30,242.0,284.0,234.17,250.89,97868249
PINELABS,2025-11-17 00:00:00+05:30,252.67,262.0,238.1,240.46,28117291
PINELABS,2025-11-18 00:00:00+05:30,240.54,250.0,235.5,240.77,11098733
PINELABS,2025-11-19 00:00:00+05:30,240.97,244.68,237.47,241.87,6165358
PINELABS,2025-11-20 00:00:00+05:30,238.0,241.87,235.1,239.18,4515016
PINELABS,2025-11-21 00:00:00+05:30,236.94,242.82,235.1,236.13,2624192
PINELABS,2025-11-24 00:00:00+05:30,233.31,236.49,230.53,233.69,2209452
PINELABS,2025-11-25 00:00:00+05:30,232.0,248.53,232.0,245.92,5467177
PINELABS,2025-11-26 00:00:00+05:30,245.05,245.1,239.31,240.37,1731555
PINELABS,2025-11-27 00:00:00+05:30,240.0,243.43,239.88,242.04,1299487
PINELABS,2025-11-28 00:00:00+05:30,242.09,252.64,239.25,249.76,3966894
