Symbol,Date,Open,High,Low,Close,Volume
PIRAMALFIN,2025-11-07 00:00:00+05:30,1260.0,1323.0,1260.0,1323.0,1256400
PIRAMALFIN,2025-11-10 00:00:00+05:30,1329.0,1389.1,1325.0,1389.1,303811
PIRAMALFIN,2025-11-11 00:00:00+05:30,1425.0,1458.5,1365.0,1456.1,1043189
PIRAMALFIN,2025-11-12 00:00:00+05:30,1450.0,1460.0,1383.3,1433.2,523812
PIRAMALFIN,2025-11-13 00:00:00+05:30,1415.0,1438.0,1361.6,1419.3,599071
PIRAMALFIN,2025-11-14 00:00:00+05:30,1388.0,1490.2,1382.0,1490.2,477485
PIRAMALFIN,2025-11-17 00:00:00+05:30,1535.0,1564.7,1497.2,1564.7,410686
PIRAMALFIN,2025-11-18 00:00:00+05:30,1642.9,1642.9,1537.0,1642.9,859551
PIRAMALFIN,2025-11-19 00:00:00+05:30,1695.0,1695.0,1570.1,1600.7,267228
PIRAMALFIN,2025-11-20 00:00:00+05:30,1579.0,1680.7,1535.6,1676.3,359370
PIRAMALFIN,2025-11-21 00:00:00+05:30,1648.0,1784.0,1600.1,1694.9,1236557
PIRAMALFIN,2025-11-24 00:00:00+05:30,1700.0,1723.2,1576.0,1590.4,390328
PIRAMALFIN,2025-11-25 00:00:00+05:30,1597.0,1634.0,1498.2,1619.3,552905
PIRAMALFIN,2025-11-26 00:00:00+05:30,1634.9,1638.0,1571.0,1596.0,203120
PIRAMALFIN,2025-11-27 00:00:00+05:30,1606.0,1606.0,1536.2,1573.0,252475
PIRAMALFIN,2025-11-28 00:00:00+05:30,1560.4,1612.5,1539.7,1548.7,377998
