Symbol,Date,Open,High,Low,Close,Volume
PRAKASHSTL,2010-08-25 00:00:00+05:30,12.2,20.0,11.7,18.54,616342629
PRAKASHSTL,2010-08-26 00:00:00+05:30,18.9,20.87,17.82,18.41,294707169
PRAKASHSTL,2010-08-27 00:00:00+05:30,18.02,22.09,17.32,22.05,205363659
PRAKASHSTL,2010-08-30 00:00:00+05:30,21.7,24.39,21.23,22.35,295539839
PRAKASHSTL,2010-08-31 00:00:00+05:30,21.61,21.99,20.2,21.58,164715859
PRAKASHSTL,2010-09-01 00:00:00+05:30,21.5,22.27,21.34,21.75,75548209
PRAKASHSTL,2010-09-02 00:00:00+05:30,21.85,22.55,19.8,20.41,81185359
PRAKASHSTL,2010-09-03 00:00:00+05:30,20.41,20.53,16.36,18.21,111386309
PRAKASHSTL,2010-09-06 00:00:00+05:30,15.88,17.28,15.11,16.94,115477299
PRAKASHSTL,2010-09-07 00:00:00+05:30,17.1,17.79,16.42,17.28,61026519
PRAKASHSTL,2010-09-08 00:00:00+05:30,16.71,16.83,15.9,16.22,47603379
PRAKASHSTL,2010-09-09 00:00:00+05:30,16.2,16.39,15.7,16.11,19245949
PRAKASHSTL,2010-09-13 00:00:00+05:30,16.3,16.62,15.28,15.66,16057109
PRAKASHSTL,2010-09-14 00:00:00+05:30,15.59,16.38,15.4,16.12,31672219
PRAKASHSTL,2010-09-15 00:00:00+05:30,15.9,16.18,15.62,15.71,9443419
PRAKASHSTL,2010-09-16 00:00:00+05:30,15.71,15.98,15.51,15.64,8344289
PRAKASHSTL,2010-09-17 00:00:00+05:30,15.7,15.78,15.41,15.54,4893779
PRAKASHSTL,2010-09-20 00:00:00+05:30,15.62,15.68,15.12,15.53,5535979
PRAKASHSTL,2010-09-21 00:00:00+05:30,15.6,15.69,15.01,15.12,4612239
PRAKASHSTL,2010-09-22 00:00:00+05:30,15.27,15.3,14.65,14.87,6935249
PRAKASHSTL,2010-09-23 00:00:00+05:30,14.9,14.9,14.4,14.56,3408259
PRAKASHSTL,2010-09-24 00:00:00+05:30,14.41,15.78,14.1,14.76,17251849
PRAKASHSTL,2010-09-27 00:00:00+05:30,15.0,15.18,14.36,14.47,5333489
PRAKASHSTL,2010-09-28 00:00:00+05:30,14.51,14.68,14.32,14.43,4113109
PRAKASHSTL,2010-09-29 00:00:00+05:30,14.48,14.56,14.15,14.2,3130249
PRAKASHSTL,2010-09-30 00:00:00+05:30,14.3,14.6,14.01,14.06,3875929
PRAKASHSTL,2010-10-01 00:00:00+05:30,14.1,14.24,14.01,14.08,4010459
PRAKASHSTL,2010-10-04 00:00:00+05:30,14.04,14.24,14.02,14.12,3158919
PRAKASHSTL,2010-10-05 00:00:00+05:30,14.1,14.47,14.01,14.17,2809799
