Symbol,Date,Open,High,Low,Close,Volume
PRECOT,2007-01-02 00:00:00+05:30,248.8,249.0,245.0,245.0,4448
PRECOT,2007-01-03 00:00:00+05:30,247.0,251.0,240.05,250.35,2512
PRECOT,2007-01-04 00:00:00+05:30,251.0,251.0,246.5,247.25,2310
PRECOT,2007-01-05 00:00:00+05:30,244.25,250.0,244.25,245.35,2999
PRECOT,2007-01-08 00:00:00+05:30,249.9,250.0,243.15,247.45,3010
PRECOT,2007-01-09 00:00:00+05:30,249.8,251.0,247.1,248.9,2847
PRECOT,2007-01-10 00:00:00+05:30,245.1,249.5,245.0,245.7,1527
PRECOT,2007-01-11 00:00:00+05:30,242.0,247.0,242.0,244.3,1251
PRECOT,2007-01-12 00:00:00+05:30,245.0,249.5,245.0,245.95,2800
PRECOT,2007-01-15 00:00:00+05:30,246.0,259.9,241.3,256.0,8790
PRECOT,2007-01-16 00:00:00+05:30,251.1,255.0,248.0,248.4,1450
PRECOT,2007-01-17 00:00:00+05:30,250.0,250.0,246.0,248.5,1769
PRECOT,2007-01-18 00:00:00+05:30,248.5,249.65,245.0,245.05,9388
PRECOT,2007-01-19 00:00:00+05:30,250.1,256.7,245.0,245.45,2766
PRECOT,2007-01-22 00:00:00+05:30,269.9,269.9,247.05,250.7,6644
PRECOT,2007-01-23 00:00:00+05:30,247.55,247.55,245.0,245.35,1605
PRECOT,2007-01-24 00:00:00+05:30,245.0,248.0,245.0,245.0,580
PRECOT,2007-01-25 00:00:00+05:30,253.9,253.9,243.25,247.0,2994
PRECOT,2007-01-29 00:00:00+05:30,249.0,255.5,248.0,253.05,2305
PRECOT,2007-01-31 00:00:00+05:30,255.0,258.5,248.05,253.45,3525
PRECOT,2007-02-01 00:00:00+05:30,257.0,263.15,252.1,259.85,8020
PRECOT,2007-02-02 00:00:00+05:30,262.65,263.1,257.1,259.1,2715
PRECOT,2007-02-05 00:00:00+05:30,261.0,263.0,259.05,261.35,1930
PRECOT,2007-02-06 00:00:00+05:30,260.0,263.5,251.1,259.8,2924
PRECOT,2007-02-07 00:00:00+05:30,262.0,262.0,254.35,255.6,720
PRECOT,2007-02-08 00:00:00+05:30,256.25,260.0,255.0,255.4,1086
PRECOT,2007-02-09 00:00:00+05:30,260.0,260.0,251.05,252.1,860
PRECOT,2007-02-12 00:00:00+05:30,248.0,248.0,240.1,242.15,2575
PRECOT,2007-02-13 00:00:00+05:30,248.0,252.0,246.05,249.9,2134
PRECOT,2007-02-14 00:00:00+05:30,245.0,248.0,241.0,244.45,7648
PRECOT,2007-02-15 00:00:00+05:30,245.3,250.0,245.1,249.85,2406
PRECOT,2007-02-19 00:00:00+05:30,250.1,250.1,240.0,241.0,3802
PRECOT,2007-02-20 00:00:00+05:30,238.1,242.0,238.1,238.65,2229
PRECOT,2007-02-21 00:00:00+05:30,238.05,242.0,238.0,239.6,1373
PRECOT,2007-02-22 00:00:00+05:30,241.0,244.8,239.0,241.05,27944
PRECOT,2007-02-23 00:00:00+05:30,277.0,277.0,235.1,235.4,15270
PRECOT,2007-02-26 00:00:00+05:30,230.3,238.0,230.3,231.95,3662
PRECOT,2007-02-27 00:00:00+05:30,234.7,235.75,232.75,233.75,688
PRECOT,2007-02-28 00:00:00+05:30,236.0,238.0,202.0,219.05,1857
PRECOT,2007-03-01 00:00:00+05:30,218.2,222.0,215.4,218.15,1654
PRECOT,2007-03-02 00:00:00+05:30,225.6,225.6,215.0,216.8,1354
PRECOT,2007-03-05 00:00:00+05:30,220.0,220.0,210.0,211.85,1405
PRECOT,2007-03-06 00:00:00+05:30,212.0,218.85,200.0,203.25,1204
PRECOT,2007-03-07 00:00:00+05:30,206.0,208.5,197.6,208.25,1876
PRECOT,2007-03-08 00:00:00+05:30,204.0,210.0,190.9,205.0,2810
PRECOT,2007-03-09 00:00:00+05:30,205.0,207.6,199.5,199.95,1448
PRECOT,2007-03-12 00:00:00+05:30,205.0,205.0,190.0,194.35,2101
PRECOT,2007-03-13 00:00:00+05:30,198.95,200.0,197.7,199.95,1583
PRECOT,2007-03-14 00:00:00+05:30,198.5,198.5,185.4,187.35,4850
PRECOT,2007-03-15 00:00:00+05:30,194.0,199.0,183.15,188.25,4617
PRECOT,2007-03-16 00:00:00+05:30,188.0,193.65,186.1,189.1,2440
PRECOT,2007-03-19 00:00:00+05:30,191.0,194.5,185.25,193.8,1171
PRECOT,2007-03-20 00:00:00+05:30,172.1,190.0,172.1,186.35,1559
PRECOT,2007-03-21 00:00:00+05:30,189.9,191.7,186.0,187.25,1850
PRECOT,2007-03-22 00:00:00+05:30,190.0,190.0,185.0,189.15,1893
PRECOT,2007-03-23 00:00:00+05:30,175.5,192.1,175.0,189.35,1473
