Symbol,Date,Open,High,Low,Close,Volume
PSB,2010-12-30 00:00:00+05:30,144.0,146.7,126.2,127.15,56675232
PSB,2010-12-31 00:00:00+05:30,126.9,130.35,126.75,128.35,7021880
PSB,2011-01-03 00:00:00+05:30,129.9,131.15,128.1,129.5,4209015
PSB,2011-01-04 00:00:00+05:30,129.5,130.25,128.25,128.5,1954283
PSB,2011-01-05 00:00:00+05:30,126.0,128.5,126.0,126.25,1130806
PSB,2011-01-06 00:00:00+05:30,126.9,127.0,123.2,123.45,1149216
PSB,2011-01-07 00:00:00+05:30,123.6,123.75,119.75,120.05,1570396
PSB,2011-01-10 00:00:00+05:30,119.5,120.5,117.6,118.85,1067979
PSB,2011-01-11 00:00:00+05:30,118.95,120.9,118.05,120.05,765997
PSB,2011-01-12 00:00:00+05:30,120.5,121.4,119.3,120.25,492016
PSB,2011-01-13 00:00:00+05:30,120.5,120.8,119.1,119.65,348508
PSB,2011-01-14 00:00:00+05:30,120.8,120.8,117.65,119.3,591817
PSB,2011-01-17 00:00:00+05:30,118.7,120.05,118.5,119.25,302322
PSB,2011-01-18 00:00:00+05:30,119.6,120.15,119.1,119.85,275955
PSB,2011-01-19 00:00:00+05:30,120.0,120.9,119.0,119.75,269124
PSB,2011-01-20 00:00:00+05:30,119.95,120.75,119.0,120.15,324457
PSB,2011-01-21 00:00:00+05:30,120.15,122.45,119.5,122.15,417728
PSB,2011-01-24 00:00:00+05:30,122.9,123.65,121.3,121.75,181608
PSB,2011-01-25 00:00:00+05:30,122.05,122.7,118.05,118.9,222212
PSB,2011-01-27 00:00:00+05:30,119.2,119.2,115.1,115.65,308656
PSB,2011-01-28 00:00:00+05:30,115.4,115.9,108.0,109.6,645849
PSB,2011-01-31 00:00:00+05:30,109.0,109.0,104.75,105.45,717283
PSB,2011-02-01 00:00:00+05:30,106.65,109.5,105.3,108.05,433866
PSB,2011-02-02 00:00:00+05:30,106.1,112.0,106.1,107.75,135768
PSB,2011-02-03 00:00:00+05:30,108.0,109.8,107.3,109.25,154026
PSB,2011-02-04 00:00:00+05:30,109.15,110.45,106.25,106.8,209111
PSB,2011-02-07 00:00:00+05:30,108.0,108.0,105.8,106.95,212338
PSB,2011-02-08 00:00:00+05:30,107.0,107.95,104.0,104.2,163325
PSB,2011-02-09 00:00:00+05:30,104.1,104.4,98.0,98.5,477062
PSB,2011-02-10 00:00:00+05:30,98.1,99.0,96.6,97.85,195568
PSB,2011-02-11 00:00:00+05:30,98.0,100.15,98.0,99.7,296335
PSB,2011-02-14 00:00:00+05:30,100.9,105.0,100.2,104.15,312620
PSB,2011-02-15 00:00:00+05:30,104.85,105.4,103.05,104.35,174439
PSB,2011-02-16 00:00:00+05:30,104.0,105.3,103.65,104.85,347386
PSB,2011-02-17 00:00:00+05:30,105.25,105.45,104.3,105.0,1162838
PSB,2011-02-18 00:00:00+05:30,105.0,109.8,105.0,106.05,348335
PSB,2011-02-21 00:00:00+05:30,106.9,108.0,105.0,106.1,175717
PSB,2011-02-22 00:00:00+05:30,105.5,105.7,103.75,104.1,115807
PSB,2011-02-23 00:00:00+05:30,104.1,104.65,103.5,103.75,389309
PSB,2011-02-24 00:00:00+05:30,104.85,104.85,102.15,103.45,171766
PSB,2011-02-25 00:00:00+05:30,103.5,103.95,101.5,102.05,85795
PSB,2011-02-28 00:00:00+05:30,102.75,104.25,102.15,103.95,156541
PSB,2011-03-01 00:00:00+05:30,104.0,106.4,104.0,104.95,267570
PSB,2011-03-03 00:00:00+05:30,104.8,104.9,103.0,103.5,190029
PSB,2011-03-04 00:00:00+05:30,105.4,105.4,103.7,104.5,245415
PSB,2011-03-07 00:00:00+05:30,104.4,104.45,101.65,102.9,297671
PSB,2011-03-08 00:00:00+05:30,102.5,103.8,102.5,102.9,170620
PSB,2011-03-09 00:00:00+05:30,103.05,104.4,102.8,103.3,75664
PSB,2011-03-10 00:00:00+05:30,103.75,103.9,102.8,103.45,65216
PSB,2011-03-11 00:00:00+05:30,103.1,103.7,101.8,102.0,205982
PSB,2011-03-14 00:00:00+05:30,102.0,102.9,101.4,101.95,95800
PSB,2011-03-15 00:00:00+05:30,98.5,102.25,98.5,101.85,204063
PSB,2011-03-16 00:00:00+05:30,101.85,102.35,100.25,100.7,1208807
PSB,2011-03-17 00:00:00+05:30,100.3,101.6,99.65,100.0,243197
PSB,2011-03-18 00:00:00+05:30,101.35,101.35,99.0,99.2,104420
PSB,2011-03-21 00:00:00+05:30,100.0,100.05,98.5,98.65,82028
PSB,2011-03-22 00:00:00+05:30,98.65,99.7,98.6,98.85,657264
PSB,2011-03-23 00:00:00+05:30,99.0,99.65,98.85,99.35,64824
PSB,2011-03-24 00:00:00+05:30,99.95,100.9,99.0,100.1,126915
PSB,2011-03-25 00:00:00+05:30,101.9,102.0,100.55,101.25,131973
PSB,2011-03-28 00:00:00+05:30,101.5,106.9,101.45,105.95,366381
PSB,2011-03-29 00:00:00+05:30,108.9,108.9,104.5,105.1,176991
PSB,2011-03-30 00:00:00+05:30,106.0,108.4,104.5,107.95,237511
PSB,2011-03-31 00:00:00+05:30,109.0,111.9,106.05,109.4,299590
PSB,2011-04-01 00:00:00+05:30,109.65,109.85,108.0,109.15,98815
PSB,2011-04-04 00:00:00+05:30,110.0,112.85,109.3,112.55,204305
PSB,2011-04-05 00:00:00+05:30,112.2,114.9,111.15,114.4,381103
PSB,2011-04-06 00:00:00+05:30,114.9,114.95,111.65,113.05,212743
PSB,2011-04-07 00:00:00+05:30,113.4,114.9,112.8,113.45,234502
PSB,2011-04-08 00:00:00+05:30,114.0,114.2,109.55,109.9,141525
PSB,2011-04-11 00:00:00+05:30,109.9,110.05,108.25,108.4,113378
PSB,2011-04-13 00:00:00+05:30,109.0,111.4,107.15,110.1,185596
PSB,2011-04-15 00:00:00+05:30,110.9,112.0,110.0,110.7,132384
PSB,2011-04-18 00:00:00+05:30,111.8,111.8,108.6,109.0,72245
PSB,2011-04-19 00:00:00+05:30,107.15,109.5,107.15,109.15,70139
