Symbol,Date,Open,High,Low,Close,Volume
PSUBANK,2007-11-16 00:00:00+05:30,349.9,355.0,275.0,315.71,6406
PSUBANK,2007-11-19 00:00:00+05:30,318.0,350.0,313.0,314.17,4167
PSUBANK,2007-11-20 00:00:00+05:30,313.0,318.0,307.0,309.0,3471
PSUBANK,2007-11-21 00:00:00+05:30,308.0,308.0,291.0,292.43,2786
PSUBANK,2007-11-22 00:00:00+05:30,291.0,295.0,289.0,291.5,3241
PSUBANK,2007-11-23 00:00:00+05:30,295.0,296.0,292.0,294.0,8788
PSUBANK,2007-11-26 00:00:00+05:30,301.0,301.0,298.5,298.5,30
PSUBANK,2007-11-27 00:00:00+05:30,299.0,300.0,298.0,298.83,9386
PSUBANK,2007-11-28 00:00:00+05:30,301.0,301.0,299.0,299.0,92
PSUBANK,2007-11-29 00:00:00+05:30,301.0,301.0,299.0,299.05,380
PSUBANK,2007-11-30 00:00:00+05:30,303.0,304.5,303.0,303.81,4950
PSUBANK,2007-12-03 00:00:00+05:30,305.0,307.95,305.0,307.95,7545
PSUBANK,2007-12-04 00:00:00+05:30,307.0,312.0,307.0,312.0,1016
PSUBANK,2007-12-05 00:00:00+05:30,311.0,312.95,310.0,312.17,7215
PSUBANK,2007-12-06 00:00:00+05:30,315.0,320.0,315.0,315.69,4816
PSUBANK,2007-12-07 00:00:00+05:30,316.0,319.95,311.0,315.77,2309
PSUBANK,2007-12-10 00:00:00+05:30,318.0,319.9,318.0,318.66,3380
PSUBANK,2007-12-11 00:00:00+05:30,319.0,327.0,319.0,324.36,9680
PSUBANK,2007-12-12 00:00:00+05:30,324.36,327.0,320.0,322.02,2903
PSUBANK,2007-12-13 00:00:00+05:30,329.0,329.0,320.0,324.17,2930
PSUBANK,2007-12-14 00:00:00+05:30,315.0,324.0,315.0,320.56,2020
PSUBANK,2007-12-17 00:00:00+05:30,322.0,322.0,311.0,311.0,2145
PSUBANK,2007-12-18 00:00:00+05:30,310.0,311.0,309.0,309.09,13343
PSUBANK,2007-12-19 00:00:00+05:30,314.0,314.0,312.0,313.5,716
PSUBANK,2007-12-20 00:00:00+05:30,308.0,310.0,307.0,307.0,2735
PSUBANK,2007-12-24 00:00:00+05:30,309.0,310.0,307.0,307.0,1295
PSUBANK,2007-12-26 00:00:00+05:30,312.0,315.0,311.0,311.06,8430
PSUBANK,2007-12-27 00:00:00+05:30,317.5,320.0,311.0,315.07,6803
PSUBANK,2007-12-28 00:00:00+05:30,319.0,319.9,317.0,318.5,1636
PSUBANK,2007-12-31 00:00:00+05:30,323.0,325.0,323.0,323.0,4011
PSUBANK,2008-01-01 00:00:00+05:30,324.0,327.0,323.0,326.5,355
PSUBANK,2008-01-02 00:00:00+05:30,330.0,339.0,326.5,334.94,8204
PSUBANK,2008-01-03 00:00:00+05:30,343.0,343.5,340.0,340.0,2174
PSUBANK,2008-01-04 00:00:00+05:30,340.0,343.0,340.0,340.26,230
PSUBANK,2008-01-07 00:00:00+05:30,336.5,337.5,336.0,336.0,1844
PSUBANK,2008-01-08 00:00:00+05:30,341.0,341.95,330.0,331.03,2995
PSUBANK,2008-01-09 00:00:00+05:30,335.0,340.0,334.0,340.0,2426
PSUBANK,2008-01-10 00:00:00+05:30,338.0,338.0,336.0,336.02,2217
PSUBANK,2008-01-11 00:00:00+05:30,331.0,331.5,330.0,330.0,525
PSUBANK,2008-01-14 00:00:00+05:30,339.0,339.0,333.0,333.0,305
PSUBANK,2008-01-15 00:00:00+05:30,340.0,340.0,339.0,339.0,416
PSUBANK,2008-01-16 00:00:00+05:30,331.0,331.0,329.0,330.0,580
PSUBANK,2008-01-17 00:00:00+05:30,336.0,336.5,331.0,331.0,260
PSUBANK,2008-01-18 00:00:00+05:30,330.0,330.0,320.05,325.78,1300
PSUBANK,2008-01-21 00:00:00+05:30,302.0,327.0,300.0,323.73,310
PSUBANK,2008-01-22 00:00:00+05:30,327.0,327.0,260.1,260.1,77
PSUBANK,2008-01-23 00:00:00+05:30,297.0,303.0,297.0,302.0,495
PSUBANK,2008-01-24 00:00:00+05:30,320.0,320.0,300.0,300.0,920
PSUBANK,2008-01-25 00:00:00+05:30,312.0,317.0,312.0,317.0,72
PSUBANK,2008-01-28 00:00:00+05:30,302.0,315.0,302.0,315.0,1525
PSUBANK,2008-01-29 00:00:00+05:30,318.0,318.0,311.0,311.0,174
PSUBANK,2008-01-30 00:00:00+05:30,311.1,311.1,311.1,311.1,3
PSUBANK,2008-01-31 00:00:00+05:30,300.0,305.0,300.0,300.0,210
PSUBANK,2008-02-01 00:00:00+05:30,300.0,309.0,300.0,309.0,103
PSUBANK,2008-02-04 00:00:00+05:30,305.0,312.0,304.0,312.0,2280
PSUBANK,2008-02-05 00:00:00+05:30,316.0,316.0,315.0,315.03,31
PSUBANK,2008-02-06 00:00:00+05:30,306.0,306.0,306.0,306.0,100
PSUBANK,2008-02-07 00:00:00+05:30,282.0,307.0,280.0,307.0,163
