Symbol,Date,Open,High,Low,Close,Volume
QGOLDHALF,2008-02-28 00:00:00+05:30,680.0,680.0,600.0,610.37,10921
QGOLDHALF,2008-02-29 00:00:00+05:30,623.0,629.9,619.0,627.54,1526
QGOLDHALF,2008-03-03 00:00:00+05:30,638.0,645.09,635.0,639.29,1767
QGOLDHALF,2008-03-04 00:00:00+05:30,538.45,645.0,518.58,638.73,512
QGOLDHALF,2008-03-05 00:00:00+05:30,645.0,650.0,610.0,632.9,180
QGOLDHALF,2008-03-07 00:00:00+05:30,640.0,650.0,636.0,647.24,6698
QGOLDHALF,2008-03-10 00:00:00+05:30,650.0,650.0,640.0,646.7,639
QGOLDHALF,2008-03-11 00:00:00+05:30,645.0,647.0,638.05,645.63,600
QGOLDHALF,2008-03-12 00:00:00+05:30,647.0,670.0,521.0,639.1,1197
QGOLDHALF,2008-03-13 00:00:00+05:30,639.0,649.9,639.0,649.14,556
QGOLDHALF,2008-03-14 00:00:00+05:30,650.01,654.0,641.1,653.2,461
QGOLDHALF,2008-03-17 00:00:00+05:30,780.0,780.0,660.0,690.37,2115
QGOLDHALF,2008-03-18 00:00:00+05:30,661.0,666.4,655.25,664.41,943
QGOLDHALF,2008-03-19 00:00:00+05:30,651.0,655.0,640.0,654.84,2450
QGOLDHALF,2008-03-24 00:00:00+05:30,630.0,640.0,603.1,607.85,1326
QGOLDHALF,2008-03-25 00:00:00+05:30,601.0,629.0,491.0,603.07,555
QGOLDHALF,2008-03-26 00:00:00+05:30,615.0,619.45,599.0,607.2,470
QGOLDHALF,2008-03-27 00:00:00+05:30,624.0,624.0,614.0,614.0,1347
QGOLDHALF,2008-03-28 00:00:00+05:30,625.0,625.0,610.0,616.42,441
QGOLDHALF,2008-03-31 00:00:00+05:30,603.0,620.0,564.0,613.47,179
QGOLDHALF,2008-04-01 00:00:00+05:30,600.0,600.0,583.0,589.27,1125
QGOLDHALF,2008-04-02 00:00:00+05:30,589.09,590.0,575.0,582.06,2238
QGOLDHALF,2008-04-03 00:00:00+05:30,575.0,597.95,575.0,595.85,265
QGOLDHALF,2008-04-04 00:00:00+05:30,599.9,599.9,584.0,589.3,101
QGOLDHALF,2008-04-07 00:00:00+05:30,625.0,625.0,595.0,598.5,566
QGOLDHALF,2008-04-08 00:00:00+05:30,620.0,620.0,595.0,598.0,3480
QGOLDHALF,2008-04-09 00:00:00+05:30,625.0,625.0,590.0,591.65,293
QGOLDHALF,2008-04-10 00:00:00+05:30,601.05,606.97,597.05,605.84,80
QGOLDHALF,2008-04-11 00:00:00+05:30,610.0,610.0,595.0,608.55,218
QGOLDHALF,2008-04-15 00:00:00+05:30,605.49,625.0,601.0,612.5,1278
QGOLDHALF,2008-04-16 00:00:00+05:30,610.0,610.0,602.0,609.68,1294
QGOLDHALF,2008-04-17 00:00:00+05:30,643.88,643.88,591.0,609.27,149
