Symbol,Date,Open,High,Low,Close,Volume
QNIFTY,2008-07-18 00:00:00+05:30,409.0,459.0,371.05,425.03,631
QNIFTY,2008-07-21 00:00:00+05:30,416.0,475.0,416.0,416.59,234
QNIFTY,2008-07-22 00:00:00+05:30,430.0,430.0,421.0,427.0,170
QNIFTY,2008-07-23 00:00:00+05:30,431.0,445.5,430.0,430.11,134
QNIFTY,2008-07-24 00:00:00+05:30,433.0,440.0,402.8,434.98,367
QNIFTY,2008-07-28 00:00:00+05:30,434.0,440.0,430.0,430.0,34
QNIFTY,2008-07-29 00:00:00+05:30,430.0,430.0,407.1,409.13,58
QNIFTY,2008-07-30 00:00:00+05:30,433.95,435.0,425.0,426.01,53
QNIFTY,2008-07-31 00:00:00+05:30,432.5,432.5,432.0,432.0,11
QNIFTY,2008-08-01 00:00:00+05:30,458.95,458.95,431.5,438.5,11
QNIFTY,2008-08-04 00:00:00+05:30,440.0,440.0,440.0,440.0,8
QNIFTY,2008-08-05 00:00:00+05:30,459.68,460.0,459.68,459.89,34
QNIFTY,2008-08-06 00:00:00+05:30,460.0,470.0,441.0,442.0,232
QNIFTY,2008-08-07 00:00:00+05:30,380.0,450.0,380.0,445.0,68
QNIFTY,2008-08-08 00:00:00+05:30,449.05,459.75,440.0,453.18,42
QNIFTY,2008-08-11 00:00:00+05:30,460.0,460.0,440.0,449.11,364
QNIFTY,2008-08-12 00:00:00+05:30,450.0,490.0,450.0,451.5,100
QNIFTY,2008-08-13 00:00:00+05:30,460.0,474.0,452.0,452.0,138
QNIFTY,2008-08-14 00:00:00+05:30,445.0,450.0,430.35,450.0,129
QNIFTY,2008-08-18 00:00:00+05:30,442.05,442.05,438.95,438.95,15
QNIFTY,2008-08-20 00:00:00+05:30,444.0,444.0,441.0,441.0,98
QNIFTY,2008-08-21 00:00:00+05:30,434.6,439.05,431.0,439.05,171
QNIFTY,2008-08-22 00:00:00+05:30,433.0,433.0,432.5,433.0,105
QNIFTY,2008-08-25 00:00:00+05:30,435.1,435.1,435.1,435.1,1
QNIFTY,2008-08-26 00:00:00+05:30,435.0,435.0,431.5,435.0,37
QNIFTY,2008-08-28 00:00:00+05:30,434.99,434.99,428.0,428.0,69
QNIFTY,2008-08-29 00:00:00+05:30,438.0,438.0,438.0,438.0,15
QNIFTY,2008-09-01 00:00:00+05:30,438.0,438.0,438.0,438.0,12
QNIFTY,2008-09-02 00:00:00+05:30,440.0,450.0,440.0,450.0,57
QNIFTY,2008-09-04 00:00:00+05:30,455.0,455.0,443.0,447.0,159
QNIFTY,2008-09-05 00:00:00+05:30,438.0,439.0,435.0,435.0,120
QNIFTY,2008-09-08 00:00:00+05:30,450.0,450.0,450.0,450.0,10
QNIFTY,2008-09-09 00:00:00+05:30,445.0,453.0,445.0,453.0,141
QNIFTY,2008-09-10 00:00:00+05:30,445.0,448.0,445.0,445.0,56
QNIFTY,2008-09-11 00:00:00+05:30,435.0,468.0,435.0,450.6,165
QNIFTY,2008-09-12 00:00:00+05:30,435.0,435.0,428.0,429.28,301
QNIFTY,2008-09-15 00:00:00+05:30,415.0,428.0,408.1,415.0,236
QNIFTY,2008-09-16 00:00:00+05:30,410.0,427.0,405.0,415.35,137
QNIFTY,2008-09-17 00:00:00+05:30,415.0,415.05,410.0,410.0,154
QNIFTY,2008-09-18 00:00:00+05:30,401.0,411.0,395.0,411.0,111
QNIFTY,2008-09-19 00:00:00+05:30,420.0,420.0,420.0,420.0,25
QNIFTY,2008-09-22 00:00:00+05:30,430.0,430.0,430.0,430.0,50
QNIFTY,2008-09-23 00:00:00+05:30,430.0,430.0,421.0,428.8,26
QNIFTY,2008-09-24 00:00:00+05:30,482.0,482.0,405.5,422.0,89
QNIFTY,2008-09-25 00:00:00+05:30,463.95,463.95,420.0,450.0,40
QNIFTY,2008-09-26 00:00:00+05:30,412.0,412.0,410.0,410.0,64
QNIFTY,2008-09-29 00:00:00+05:30,410.0,410.0,390.0,401.7,82
QNIFTY,2008-09-30 00:00:00+05:30,386.0,462.0,386.0,448.61,1025
QNIFTY,2008-10-01 00:00:00+05:30,395.0,401.0,383.0,394.88,249
QNIFTY,2008-10-03 00:00:00+05:30,400.0,450.0,374.0,383.48,484
QNIFTY,2008-10-06 00:00:00+05:30,370.0,374.5,370.0,370.0,221
QNIFTY,2008-10-07 00:00:00+05:30,379.0,379.0,365.0,366.0,167
QNIFTY,2008-10-08 00:00:00+05:30,340.0,356.0,340.0,354.16,297
QNIFTY,2008-10-10 00:00:00+05:30,405.0,405.0,340.0,347.0,402
QNIFTY,2008-10-13 00:00:00+05:30,349.0,349.0,340.0,340.0,51
QNIFTY,2008-10-14 00:00:00+05:30,366.0,368.0,360.0,366.0,1028
QNIFTY,2008-10-15 00:00:00+05:30,362.0,362.0,342.0,342.0,46
QNIFTY,2008-10-16 00:00:00+05:30,326.0,371.0,320.0,331.4,230
QNIFTY,2008-10-17 00:00:00+05:30,340.0,381.0,321.0,324.2,83
QNIFTY,2008-10-20 00:00:00+05:30,320.1,326.1,315.0,322.0,54
QNIFTY,2008-10-21 00:00:00+05:30,327.0,327.0,326.0,326.0,15
QNIFTY,2008-10-22 00:00:00+05:30,317.0,317.0,310.0,310.6,713
QNIFTY,2008-10-23 00:00:00+05:30,299.0,307.0,299.0,305.24,340
QNIFTY,2008-10-24 00:00:00+05:30,338.9,340.0,272.0,285.0,308
QNIFTY,2008-10-27 00:00:00+05:30,263.0,338.0,246.0,257.5,1266
QNIFTY,2008-10-28 00:00:00+05:30,299.3,299.5,299.0,299.5,18
QNIFTY,2008-10-29 00:00:00+05:30,278.0,280.0,275.45,275.45,57
QNIFTY,2008-10-31 00:00:00+05:30,329.0,330.4,284.0,284.0,208
QNIFTY,2008-11-03 00:00:00+05:30,303.5,305.0,300.0,302.1,242
QNIFTY,2008-11-04 00:00:00+05:30,298.0,310.0,298.0,305.12,68
QNIFTY,2008-11-05 00:00:00+05:30,318.0,318.0,300.2,302.92,100
QNIFTY,2008-11-06 00:00:00+05:30,292.0,297.5,280.5,292.91,51
QNIFTY,2008-11-07 00:00:00+05:30,290.0,295.5,289.05,291.05,157
QNIFTY,2008-11-10 00:00:00+05:30,306.45,312.5,306.45,312.4,83
QNIFTY,2008-11-11 00:00:00+05:30,310.0,310.0,300.0,304.74,91
QNIFTY,2008-11-12 00:00:00+05:30,295.0,295.0,285.0,285.0,30
QNIFTY,2008-11-14 00:00:00+05:30,284.1,284.1,282.05,282.5,21
QNIFTY,2008-11-17 00:00:00+05:30,283.0,283.0,273.5,273.5,47
QNIFTY,2008-11-18 00:00:00+05:30,274.5,274.5,273.0,274.0,54
QNIFTY,2008-11-20 00:00:00+05:30,260.0,260.0,256.0,256.0,86
QNIFTY,2008-11-21 00:00:00+05:30,256.0,298.0,256.0,269.18,424
QNIFTY,2008-11-24 00:00:00+05:30,270.0,275.0,270.0,271.0,63
QNIFTY,2008-11-25 00:00:00+05:30,281.05,281.05,270.0,271.46,108
QNIFTY,2008-11-26 00:00:00+05:30,275.0,275.0,268.0,273.0,1005
QNIFTY,2008-12-01 00:00:00+05:30,283.25,283.25,270.0,270.14,86
QNIFTY,2008-12-02 00:00:00+05:30,260.0,268.55,258.2,261.71,145
QNIFTY,2008-12-03 00:00:00+05:30,274.0,274.0,265.0,268.25,107
QNIFTY,2008-12-04 00:00:00+05:30,274.2,275.25,274.2,275.25,7
QNIFTY,2008-12-05 00:00:00+05:30,279.05,279.05,275.1,275.1,55
QNIFTY,2008-12-08 00:00:00+05:30,283.5,283.5,279.95,279.95,99
QNIFTY,2008-12-10 00:00:00+05:30,284.0,288.99,282.55,285.0,83
QNIFTY,2008-12-11 00:00:00+05:30,291.2,293.0,291.1,291.5,129
QNIFTY,2008-12-12 00:00:00+05:30,291.1,291.1,290.0,290.0,2
QNIFTY,2008-12-15 00:00:00+05:30,299.0,338.0,296.05,304.5,194
QNIFTY,2008-12-16 00:00:00+05:30,298.41,305.0,298.41,298.41,91
QNIFTY,2008-12-17 00:00:00+05:30,306.55,306.55,297.05,299.0,378
QNIFTY,2008-12-18 00:00:00+05:30,297.05,302.0,294.05,300.52,119
QNIFTY,2008-12-19 00:00:00+05:30,294.05,305.0,290.0,305.0,80
QNIFTY,2008-12-22 00:00:00+05:30,308.5,308.5,301.0,305.5,37
QNIFTY,2008-12-23 00:00:00+05:30,301.0,303.05,282.5,289.02,136
QNIFTY,2008-12-24 00:00:00+05:30,296.15,296.15,292.0,292.0,6
QNIFTY,2008-12-26 00:00:00+05:30,294.0,302.0,291.0,291.0,37
QNIFTY,2008-12-29 00:00:00+05:30,285.0,289.0,284.0,284.0,80
QNIFTY,2008-12-30 00:00:00+05:30,292.0,292.0,230.5,249.66,395
QNIFTY,2008-12-31 00:00:00+05:30,270.0,296.78,270.0,290.03,221
QNIFTY,2009-01-01 00:00:00+05:30,297.05,297.85,292.75,296.0,36
QNIFTY,2009-01-02 00:00:00+05:30,301.45,301.45,290.3,295.15,5
QNIFTY,2009-01-05 00:00:00+05:30,302.5,302.5,283.0,291.52,257
QNIFTY,2009-01-06 00:00:00+05:30,283.35,306.41,280.2,290.78,36
QNIFTY,2009-01-07 00:00:00+05:30,300.0,303.0,290.05,293.25,90
QNIFTY,2009-01-09 00:00:00+05:30,289.1,292.1,288.0,288.0,73
QNIFTY,2009-01-12 00:00:00+05:30,288.0,288.0,280.0,280.0,55
QNIFTY,2009-01-13 00:00:00+05:30,280.0,280.0,260.1,269.8,49
QNIFTY,2009-01-14 00:00:00+05:30,275.55,280.9,275.55,280.9,2
