Symbol,Date,Open,High,Low,Close,Volume
RAJESHEXPO,2003-01-01 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-02 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-03 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-06 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-07 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-08 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-09 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-10 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-13 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-14 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-15 00:00:00+05:30,2.4,2.63,2.4,2.52,0
RAJESHEXPO,2003-01-16 00:00:00+05:30,2.43,2.45,2.43,2.45,18060
RAJESHEXPO,2003-01-17 00:00:00+05:30,2.44,2.57,2.44,2.57,43620
RAJESHEXPO,2003-01-20 00:00:00+05:30,2.7,2.7,2.7,2.7,3000
RAJESHEXPO,2003-01-21 00:00:00+05:30,2.84,2.84,2.84,2.84,24000
RAJESHEXPO,2003-01-22 00:00:00+05:30,2.98,2.98,2.92,2.98,173430
RAJESHEXPO,2003-01-23 00:00:00+05:30,3.13,3.13,3.13,3.13,111030
RAJESHEXPO,2003-01-24 00:00:00+05:30,3.29,3.29,3.13,3.29,400500
RAJESHEXPO,2003-01-27 00:00:00+05:30,3.4,3.45,3.39,3.45,234600
RAJESHEXPO,2003-01-28 00:00:00+05:30,3.52,3.52,3.43,3.43,171630
RAJESHEXPO,2003-01-29 00:00:00+05:30,3.5,3.5,3.5,3.5,96270
RAJESHEXPO,2003-01-30 00:00:00+05:30,3.53,3.56,3.53,3.56,156660
RAJESHEXPO,2003-01-31 00:00:00+05:30,3.56,3.56,3.52,3.55,154500
RAJESHEXPO,2003-02-03 00:00:00+05:30,3.53,3.6,3.48,3.48,6030
RAJESHEXPO,2003-02-04 00:00:00+05:30,3.41,3.41,3.41,3.41,1500
RAJESHEXPO,2003-02-05 00:00:00+05:30,3.35,3.35,3.35,3.35,90
RAJESHEXPO,2003-02-06 00:00:00+05:30,3.28,3.28,3.28,3.28,300
RAJESHEXPO,2003-02-07 00:00:00+05:30,3.28,3.28,3.28,3.28,0
RAJESHEXPO,2003-02-10 00:00:00+05:30,3.21,3.21,3.21,3.21,3000
RAJESHEXPO,2003-02-11 00:00:00+05:30,3.15,3.15,3.15,3.15,30
RAJESHEXPO,2003-02-12 00:00:00+05:30,3.09,3.09,3.09,3.09,30
RAJESHEXPO,2003-02-14 00:00:00+05:30,3.09,3.09,3.09,3.09,0
RAJESHEXPO,2003-02-17 00:00:00+05:30,3.03,3.03,3.03,3.03,30
RAJESHEXPO,2003-02-18 00:00:00+05:30,2.97,2.97,2.97,2.97,30
RAJESHEXPO,2003-02-19 00:00:00+05:30,2.97,2.97,2.97,2.97,0
RAJESHEXPO,2003-02-20 00:00:00+05:30,2.97,2.97,2.97,2.97,0
RAJESHEXPO,2003-02-21 00:00:00+05:30,2.91,2.91,2.91,2.91,30
RAJESHEXPO,2003-02-24 00:00:00+05:30,2.85,2.85,2.85,2.85,30
RAJESHEXPO,2003-02-25 00:00:00+05:30,2.79,2.79,2.79,2.79,30
RAJESHEXPO,2003-02-26 00:00:00+05:30,2.74,2.74,2.74,2.74,30
RAJESHEXPO,2003-02-27 00:00:00+05:30,2.69,2.69,2.69,2.69,750
