Symbol,Date,Open,High,Low,Close,Volume
RAMANEWS,2003-01-01 00:00:00+05:30,3.95,4.0,3.9,3.95,63965
RAMANEWS,2003-01-02 00:00:00+05:30,3.95,4.0,3.9,3.95,74477
RAMANEWS,2003-01-03 00:00:00+05:30,3.9,4.2,3.9,3.9,332002
RAMANEWS,2003-01-06 00:00:00+05:30,3.9,3.95,3.85,3.85,44252
RAMANEWS,2003-01-07 00:00:00+05:30,3.9,3.9,3.8,3.8,44643
RAMANEWS,2003-01-08 00:00:00+05:30,3.85,3.95,3.8,3.9,17925
RAMANEWS,2003-01-09 00:00:00+05:30,3.9,3.9,3.8,3.8,46538
RAMANEWS,2003-01-10 00:00:00+05:30,3.8,3.85,3.75,3.75,35390
RAMANEWS,2003-01-13 00:00:00+05:30,3.8,3.85,3.75,3.75,18560
RAMANEWS,2003-01-14 00:00:00+05:30,3.8,3.8,3.75,3.8,15049
RAMANEWS,2003-01-15 00:00:00+05:30,3.95,3.95,3.7,3.75,17200
RAMANEWS,2003-01-16 00:00:00+05:30,3.8,3.8,3.7,3.75,21602
RAMANEWS,2003-01-17 00:00:00+05:30,3.7,3.75,3.65,3.7,40248
RAMANEWS,2003-01-20 00:00:00+05:30,3.7,3.85,3.7,3.7,68386
RAMANEWS,2003-01-21 00:00:00+05:30,3.8,3.8,3.6,3.65,129456
RAMANEWS,2003-01-22 00:00:00+05:30,3.75,3.75,3.55,3.6,115244
RAMANEWS,2003-01-23 00:00:00+05:30,3.75,3.75,3.5,3.55,180501
RAMANEWS,2003-01-24 00:00:00+05:30,3.6,3.65,3.5,3.5,47363
RAMANEWS,2003-01-27 00:00:00+05:30,3.55,3.55,3.4,3.4,38205
RAMANEWS,2003-01-28 00:00:00+05:30,3.35,3.5,3.3,3.4,23828
RAMANEWS,2003-01-29 00:00:00+05:30,3.45,3.5,3.4,3.4,32061
RAMANEWS,2003-01-30 00:00:00+05:30,3.4,3.5,3.35,3.4,55690
RAMANEWS,2003-01-31 00:00:00+05:30,3.4,3.45,3.35,3.35,48601
RAMANEWS,2003-02-03 00:00:00+05:30,3.6,3.6,3.2,3.25,138650
RAMANEWS,2003-02-04 00:00:00+05:30,3.35,3.35,3.2,3.25,70621
RAMANEWS,2003-02-05 00:00:00+05:30,3.25,3.25,3.2,3.25,36400
RAMANEWS,2003-02-06 00:00:00+05:30,3.2,3.25,3.15,3.2,45745
RAMANEWS,2003-02-07 00:00:00+05:30,3.2,3.4,3.1,3.2,92903
RAMANEWS,2003-02-10 00:00:00+05:30,3.25,3.25,3.15,3.15,30329
RAMANEWS,2003-02-11 00:00:00+05:30,3.15,3.35,2.95,2.95,1077276
RAMANEWS,2003-02-12 00:00:00+05:30,3.0,3.15,2.95,3.05,91753
RAMANEWS,2003-02-14 00:00:00+05:30,3.05,3.1,3.0,3.0,82498
RAMANEWS,2003-02-17 00:00:00+05:30,3.05,3.05,2.95,3.0,150083
RAMANEWS,2003-02-18 00:00:00+05:30,3.0,3.0,2.95,2.95,112443
RAMANEWS,2003-02-19 00:00:00+05:30,3.0,3.05,2.95,2.95,78203
RAMANEWS,2003-02-20 00:00:00+05:30,2.95,3.0,2.9,2.95,139346
RAMANEWS,2003-02-21 00:00:00+05:30,3.5,3.5,2.9,3.0,66477
RAMANEWS,2003-02-24 00:00:00+05:30,2.95,3.0,2.9,2.95,84209
RAMANEWS,2003-02-25 00:00:00+05:30,3.0,3.0,2.85,2.9,80610
RAMANEWS,2003-02-26 00:00:00+05:30,2.95,2.95,2.85,2.9,79056
RAMANEWS,2003-02-27 00:00:00+05:30,2.9,2.95,2.85,2.95,55725
RAMANEWS,2003-02-28 00:00:00+05:30,3.0,3.0,2.75,2.8,214201
RAMANEWS,2003-03-03 00:00:00+05:30,2.85,2.85,2.8,2.8,46200
RAMANEWS,2003-03-04 00:00:00+05:30,2.8,2.85,2.7,2.75,42776
RAMANEWS,2003-03-05 00:00:00+05:30,2.7,2.75,2.2,2.35,548040
RAMANEWS,2003-03-06 00:00:00+05:30,2.35,2.5,2.15,2.2,270353
RAMANEWS,2003-03-07 00:00:00+05:30,2.2,2.3,2.2,2.2,173932
RAMANEWS,2003-03-10 00:00:00+05:30,2.05,2.3,1.9,1.95,204599
RAMANEWS,2003-03-11 00:00:00+05:30,2.05,2.1,1.95,2.0,169400
RAMANEWS,2003-03-12 00:00:00+05:30,2.0,2.1,1.95,1.95,192902
RAMANEWS,2003-03-13 00:00:00+05:30,2.0,2.05,1.85,1.9,263071
RAMANEWS,2003-03-17 00:00:00+05:30,1.95,2.0,1.85,1.85,199692
RAMANEWS,2003-03-19 00:00:00+05:30,2.05,2.2,1.9,2.1,624244
RAMANEWS,2003-03-20 00:00:00+05:30,2.15,2.45,2.1,2.3,312485
RAMANEWS,2003-03-21 00:00:00+05:30,2.25,2.4,2.25,2.3,97950
RAMANEWS,2003-03-24 00:00:00+05:30,2.35,2.35,2.15,2.15,66510
RAMANEWS,2003-03-25 00:00:00+05:30,2.15,2.15,2.05,2.1,109651
RAMANEWS,2003-03-26 00:00:00+05:30,2.15,2.15,2.05,2.1,201704
RAMANEWS,2003-03-27 00:00:00+05:30,2.15,2.15,2.05,2.05,130312
RAMANEWS,2003-03-28 00:00:00+05:30,2.05,2.1,2.0,2.1,157388
RAMANEWS,2003-03-31 00:00:00+05:30,2.05,2.2,2.0,2.1,203807
RAMANEWS,2003-04-01 00:00:00+05:30,2.2,2.4,2.15,2.35,153916
RAMANEWS,2003-04-02 00:00:00+05:30,2.65,2.65,2.25,2.45,71466
RAMANEWS,2003-04-03 00:00:00+05:30,2.8,2.8,2.45,2.5,114071
RAMANEWS,2003-04-04 00:00:00+05:30,2.75,2.75,2.45,2.6,167243
RAMANEWS,2003-04-07 00:00:00+05:30,2.85,2.9,2.6,2.8,165128
RAMANEWS,2003-04-08 00:00:00+05:30,3.05,3.05,2.6,2.65,127471
RAMANEWS,2003-04-09 00:00:00+05:30,2.8,2.8,2.3,2.4,201250
RAMANEWS,2003-04-10 00:00:00+05:30,2.4,2.7,2.35,2.45,137152
RAMANEWS,2003-04-11 00:00:00+05:30,2.5,2.75,2.45,2.65,219835
RAMANEWS,2003-04-15 00:00:00+05:30,2.7,2.85,2.55,2.65,56840
RAMANEWS,2003-04-16 00:00:00+05:30,2.6,2.7,2.6,2.6,25552
RAMANEWS,2003-04-17 00:00:00+05:30,2.55,2.65,2.5,2.55,74840
RAMANEWS,2003-04-21 00:00:00+05:30,2.55,2.75,2.55,2.65,33261
RAMANEWS,2003-04-22 00:00:00+05:30,2.65,2.7,2.55,2.6,175880
RAMANEWS,2003-04-23 00:00:00+05:30,2.6,2.7,2.55,2.55,85769
RAMANEWS,2003-04-24 00:00:00+05:30,2.65,2.65,2.5,2.55,38322
RAMANEWS,2003-04-25 00:00:00+05:30,2.65,2.65,2.5,2.5,37013
RAMANEWS,2003-04-28 00:00:00+05:30,2.5,2.6,2.5,2.5,43960
RAMANEWS,2003-04-29 00:00:00+05:30,2.55,2.55,2.5,2.55,32980
RAMANEWS,2003-04-30 00:00:00+05:30,2.5,2.55,2.4,2.55,68042
RAMANEWS,2003-05-02 00:00:00+05:30,2.45,2.6,2.45,2.6,52685
RAMANEWS,2003-05-05 00:00:00+05:30,2.6,2.7,2.6,2.7,124991
RAMANEWS,2003-05-06 00:00:00+05:30,2.75,2.75,2.65,2.7,44600
RAMANEWS,2003-05-07 00:00:00+05:30,2.65,2.75,2.65,2.7,30869
RAMANEWS,2003-05-08 00:00:00+05:30,2.7,2.75,2.65,2.7,80481
RAMANEWS,2003-05-09 00:00:00+05:30,2.7,2.75,2.6,2.65,46292
RAMANEWS,2003-05-12 00:00:00+05:30,2.7,2.75,2.65,2.65,67030
RAMANEWS,2003-05-13 00:00:00+05:30,2.7,2.8,2.65,2.75,80701
RAMANEWS,2003-05-14 00:00:00+05:30,2.7,2.85,2.7,2.85,152990
RAMANEWS,2003-05-15 00:00:00+05:30,2.85,3.45,2.8,3.45,634035
RAMANEWS,2003-05-16 00:00:00+05:30,3.75,3.8,3.25,3.4,503526
RAMANEWS,2003-05-19 00:00:00+05:30,3.4,3.6,3.2,3.25,304082
RAMANEWS,2003-05-20 00:00:00+05:30,3.25,3.3,3.15,3.3,161187
RAMANEWS,2003-05-21 00:00:00+05:30,3.3,3.4,3.2,3.35,244057
RAMANEWS,2003-05-22 00:00:00+05:30,3.35,3.7,3.25,3.4,275934
RAMANEWS,2003-05-23 00:00:00+05:30,3.55,3.65,3.45,3.55,301916
RAMANEWS,2003-05-26 00:00:00+05:30,3.45,3.95,3.45,3.9,580743
RAMANEWS,2003-05-27 00:00:00+05:30,3.85,4.0,3.55,3.6,437708
RAMANEWS,2003-05-28 00:00:00+05:30,3.75,3.75,3.5,3.5,340154
RAMANEWS,2003-05-29 00:00:00+05:30,3.55,3.65,3.3,3.35,474604
RAMANEWS,2003-05-30 00:00:00+05:30,3.4,3.8,3.4,3.65,387209
RAMANEWS,2003-06-02 00:00:00+05:30,3.75,3.95,3.65,3.85,320237
RAMANEWS,2003-06-03 00:00:00+05:30,3.95,4.1,3.85,3.85,282251
RAMANEWS,2003-06-04 00:00:00+05:30,4.0,4.1,3.85,3.95,288965
RAMANEWS,2003-06-05 00:00:00+05:30,4.1,4.75,4.0,4.75,1895345
RAMANEWS,2003-06-06 00:00:00+05:30,5.0,5.7,4.9,5.7,4072627
