Symbol,Date,Open,High,Low,Close,Volume
REGAAL,2025-08-20 00:00:00+05:30,141.0,145.7,130.25,131.58,46908688
REGAAL,2025-08-21 00:00:00+05:30,132.8,137.4,126.0,126.81,11779468
REGAAL,2025-08-22 00:00:00+05:30,127.68,129.7,123.1,124.08,5443113
REGAAL,2025-08-25 00:00:00+05:30,125.1,125.88,118.61,119.7,4588197
REGAAL,2025-08-26 00:00:00+05:30,118.5,119.2,110.39,112.29,5155197
REGAAL,2025-08-28 00:00:00+05:30,113.2,118.0,108.72,115.63,7082344
REGAAL,2025-08-29 00:00:00+05:30,117.0,119.34,112.31,114.01,2251904
REGAAL,2025-09-01 00:00:00+05:30,114.7,114.95,110.02,110.84,1723306
REGAAL,2025-09-02 00:00:00+05:30,111.4,112.85,109.51,109.97,1570655
REGAAL,2025-09-03 00:00:00+05:30,109.96,111.78,108.02,110.19,2053989
REGAAL,2025-09-04 00:00:00+05:30,111.5,112.14,107.52,108.14,1007662
REGAAL,2025-09-05 00:00:00+05:30,108.59,108.71,104.98,105.47,1358325
REGAAL,2025-09-08 00:00:00+05:30,105.89,113.75,104.5,110.58,3260561
REGAAL,2025-09-09 00:00:00+05:30,111.4,112.1,107.51,109.52,1736330
REGAAL,2025-09-10 00:00:00+05:30,108.5,109.01,106.0,106.8,1580168
REGAAL,2025-09-11 00:00:00+05:30,106.9,111.88,106.48,107.5,1916326
REGAAL,2025-09-12 00:00:00+05:30,107.51,109.0,106.35,106.71,814650
REGAAL,2025-09-15 00:00:00+05:30,107.25,107.66,106.0,106.19,893142
REGAAL,2025-09-16 00:00:00+05:30,106.5,107.29,105.6,105.92,860496
REGAAL,2025-09-17 00:00:00+05:30,105.3,106.47,104.21,104.76,1506095
REGAAL,2025-09-18 00:00:00+05:30,105.0,105.7,102.15,103.15,1045201
REGAAL,2025-09-19 00:00:00+05:30,103.1,105.5,102.5,104.3,1302146
REGAAL,2025-09-22 00:00:00+05:30,105.1,106.0,101.55,102.7,1109343
REGAAL,2025-09-23 00:00:00+05:30,102.94,103.49,99.43,99.93,968270
REGAAL,2025-09-24 00:00:00+05:30,100.0,100.51,95.2,96.15,2035681
REGAAL,2025-09-25 00:00:00+05:30,96.2,96.55,92.01,92.58,1188052
REGAAL,2025-09-26 00:00:00+05:30,92.58,93.0,89.0,89.7,1414918
REGAAL,2025-09-29 00:00:00+05:30,90.0,91.0,87.61,88.91,1123611
REGAAL,2025-09-30 00:00:00+05:30,89.05,89.91,87.53,88.18,694686
REGAAL,2025-10-01 00:00:00+05:30,88.3,94.4,88.04,93.72,1294327
REGAAL,2025-10-03 00:00:00+05:30,93.74,94.3,92.05,92.64,594337
REGAAL,2025-10-06 00:00:00+05:30,92.2,92.31,88.8,89.35,565634
REGAAL,2025-10-07 00:00:00+05:30,89.35,89.84,87.25,87.67,483711
REGAAL,2025-10-08 00:00:00+05:30,87.5,91.22,87.15,90.34,908456
REGAAL,2025-10-09 00:00:00+05:30,90.31,90.8,88.65,90.17,462484
REGAAL,2025-10-10 00:00:00+05:30,90.48,93.74,89.69,92.05,748731
REGAAL,2025-10-13 00:00:00+05:30,90.55,91.79,89.51,89.96,329495
REGAAL,2025-10-14 00:00:00+05:30,91.0,91.0,86.92,87.29,476242
REGAAL,2025-10-15 00:00:00+05:30,87.7,89.0,86.91,87.37,372452
REGAAL,2025-10-16 00:00:00+05:30,87.5,89.39,87.5,88.19,293384
REGAAL,2025-10-17 00:00:00+05:30,88.19,88.74,83.81,85.07,650954
REGAAL,2025-10-20 00:00:00+05:30,86.44,86.44,83.57,84.42,507073
REGAAL,2025-10-21 00:00:00+05:30,84.85,85.67,84.42,84.77,74218
REGAAL,2025-10-23 00:00:00+05:30,85.75,95.73,85.31,92.32,5016294
REGAAL,2025-10-24 00:00:00+05:30,93.0,95.4,90.72,94.48,3441303
REGAAL,2025-10-27 00:00:00+05:30,94.48,97.67,92.25,95.75,2163331
REGAAL,2025-10-28 00:00:00+05:30,95.0,98.8,94.16,96.13,1253929
REGAAL,2025-10-29 00:00:00+05:30,96.0,96.92,93.61,94.14,421420
REGAAL,2025-10-30 00:00:00+05:30,94.0,94.0,92.0,92.45,325608
REGAAL,2025-10-31 00:00:00+05:30,92.0,92.32,90.2,90.45,246203
REGAAL,2025-11-03 00:00:00+05:30,90.45,91.37,89.35,89.91,241054
REGAAL,2025-11-04 00:00:00+05:30,90.36,91.3,88.49,89.13,246148
REGAAL,2025-11-06 00:00:00+05:30,90.0,90.19,87.46,88.58,466902
REGAAL,2025-11-07 00:00:00+05:30,87.1,89.2,87.0,88.75,209396
REGAAL,2025-11-10 00:00:00+05:30,89.1,89.69,84.99,85.98,451048
REGAAL,2025-11-11 00:00:00+05:30,85.98,87.93,85.15,86.83,491780
REGAAL,2025-11-12 00:00:00+05:30,87.0,91.36,87.0,89.22,708120
REGAAL,2025-11-13 00:00:00+05:30,93.22,94.88,89.11,90.25,1588629
REGAAL,2025-11-14 00:00:00+05:30,89.7,91.31,89.3,90.54,291508
REGAAL,2025-11-17 00:00:00+05:30,90.0,91.84,89.66,90.22,268696
REGAAL,2025-11-18 00:00:00+05:30,90.5,91.37,88.05,88.69,256994
REGAAL,2025-11-19 00:00:00+05:30,88.2,89.9,86.5,86.63,266822
REGAAL,2025-11-20 00:00:00+05:30,86.2,90.4,86.2,87.25,1136378
REGAAL,2025-11-21 00:00:00+05:30,87.69,88.5,84.99,85.14,367003
REGAAL,2025-11-24 00:00:00+05:30,85.19,86.64,82.41,83.03,643351
REGAAL,2025-11-25 00:00:00+05:30,83.03,84.65,83.03,84.29,193523
REGAAL,2025-11-26 00:00:00+05:30,84.5,85.59,79.91,82.14,299356
REGAAL,2025-11-27 00:00:00+05:30,82.8,83.58,79.88,80.94,540467
REGAAL,2025-11-28 00:00:00+05:30,80.94,81.59,66.4,77.71,1399377
