Symbol,Date,Open,High,Low,Close,Volume
RETAIL,2024-06-26 00:00:00+05:30,36.4,38.22,35.0,38.22,66883
RETAIL,2024-06-27 00:00:00+05:30,40.13,40.13,40.13,40.13,18106
RETAIL,2024-06-28 00:00:00+05:30,42.13,42.13,42.13,42.13,7743
RETAIL,2024-07-01 00:00:00+05:30,44.23,44.23,40.88,43.7,167588
RETAIL,2024-07-02 00:00:00+05:30,44.5,44.5,41.51,41.51,21686
RETAIL,2024-07-03 00:00:00+05:30,39.45,39.45,39.43,39.43,4707
RETAIL,2024-07-04 00:00:00+05:30,37.45,41.4,37.45,38.94,72544
RETAIL,2024-07-05 00:00:00+05:30,38.2,39.0,36.99,37.04,59781
RETAIL,2024-07-08 00:00:00+05:30,37.0,37.3,35.18,36.81,25131
RETAIL,2024-07-09 00:00:00+05:30,36.45,38.47,35.0,37.39,32978
RETAIL,2024-07-10 00:00:00+05:30,39.99,44.86,39.99,44.86,288728
RETAIL,2024-07-11 00:00:00+05:30,48.01,53.83,48.01,53.83,815557
RETAIL,2024-07-12 00:00:00+05:30,54.0,56.7,49.2,51.26,687914
RETAIL,2024-07-15 00:00:00+05:30,50.95,52.0,47.98,48.26,76252
RETAIL,2024-07-16 00:00:00+05:30,47.5,47.5,44.5,45.25,73060
RETAIL,2024-07-18 00:00:00+05:30,48.0,49.77,45.41,49.77,199824
RETAIL,2024-07-19 00:00:00+05:30,52.8,54.74,50.52,54.71,182559
RETAIL,2024-07-22 00:00:00+05:30,53.99,54.9,50.55,50.9,99944
RETAIL,2024-07-23 00:00:00+05:30,51.95,52.0,47.05,48.02,54994
RETAIL,2024-07-24 00:00:00+05:30,46.7,52.82,46.7,52.82,75621
RETAIL,2024-07-25 00:00:00+05:30,53.8,55.46,51.1,52.45,48377
RETAIL,2024-07-26 00:00:00+05:30,52.45,53.85,51.5,52.9,25892
RETAIL,2024-07-29 00:00:00+05:30,53.2,53.5,50.25,50.43,40840
RETAIL,2024-07-30 00:00:00+05:30,50.43,51.95,49.05,49.61,19960
RETAIL,2024-07-31 00:00:00+05:30,49.61,51.7,49.0,50.12,28129
RETAIL,2024-08-01 00:00:00+05:30,50.12,50.8,49.0,50.33,14372
RETAIL,2024-08-02 00:00:00+05:30,47.83,51.0,47.81,49.1,11092
