Symbol,Date,Open,High,Low,Close,Volume
RSSOFTWARE,2003-01-01 00:00:00+05:30,14.09,14.27,13.63,13.71,37207
RSSOFTWARE,2003-01-02 00:00:00+05:30,13.82,14.0,13.17,13.34,44697
RSSOFTWARE,2003-01-03 00:00:00+05:30,13.71,14.05,13.55,13.65,64279
RSSOFTWARE,2003-01-06 00:00:00+05:30,13.57,13.71,13.13,13.2,24152
RSSOFTWARE,2003-01-07 00:00:00+05:30,13.61,13.61,12.86,12.95,20234
RSSOFTWARE,2003-01-08 00:00:00+05:30,12.9,13.51,12.82,13.09,29840
RSSOFTWARE,2003-01-09 00:00:00+05:30,13.13,13.44,13.01,13.18,31858
RSSOFTWARE,2003-01-10 00:00:00+05:30,13.13,14.0,12.97,13.15,93661
RSSOFTWARE,2003-01-13 00:00:00+05:30,12.99,13.47,12.99,13.15,33498
RSSOFTWARE,2003-01-14 00:00:00+05:30,13.32,13.78,12.84,13.03,29869
RSSOFTWARE,2003-01-15 00:00:00+05:30,13.13,13.22,12.76,12.8,16918
RSSOFTWARE,2003-01-16 00:00:00+05:30,13.01,13.03,12.72,12.82,11318
RSSOFTWARE,2003-01-17 00:00:00+05:30,13.09,13.71,13.05,13.17,49616
RSSOFTWARE,2003-01-20 00:00:00+05:30,13.32,13.32,12.62,12.72,14528
RSSOFTWARE,2003-01-21 00:00:00+05:30,12.74,12.74,11.7,11.99,36922
RSSOFTWARE,2003-01-22 00:00:00+05:30,11.83,12.59,11.83,12.1,32581
RSSOFTWARE,2003-01-23 00:00:00+05:30,11.97,11.97,10.91,11.04,41545
RSSOFTWARE,2003-01-24 00:00:00+05:30,11.0,11.58,10.23,10.27,40364
RSSOFTWARE,2003-01-27 00:00:00+05:30,10.27,10.27,9.27,9.85,31055
RSSOFTWARE,2003-01-28 00:00:00+05:30,10.73,10.96,9.65,10.83,33158
RSSOFTWARE,2003-01-29 00:00:00+05:30,11.27,11.37,10.62,10.69,40229
RSSOFTWARE,2003-01-30 00:00:00+05:30,11.08,11.08,10.31,10.6,16341
RSSOFTWARE,2003-01-31 00:00:00+05:30,10.13,10.54,10.0,10.35,25771
RSSOFTWARE,2003-02-03 00:00:00+05:30,10.6,10.89,10.42,10.64,39543
RSSOFTWARE,2003-02-04 00:00:00+05:30,10.81,11.1,10.42,10.46,21373
RSSOFTWARE,2003-02-05 00:00:00+05:30,10.35,10.56,10.08,10.25,10943
RSSOFTWARE,2003-02-06 00:00:00+05:30,10.39,10.44,10.1,10.25,17260
RSSOFTWARE,2003-02-07 00:00:00+05:30,10.79,10.79,10.04,10.08,13792
RSSOFTWARE,2003-02-10 00:00:00+05:30,10.0,10.27,9.65,9.69,20228
RSSOFTWARE,2003-02-11 00:00:00+05:30,9.85,10.02,9.57,9.65,14103
RSSOFTWARE,2003-02-12 00:00:00+05:30,9.67,9.85,9.27,9.38,14416
RSSOFTWARE,2003-02-14 00:00:00+05:30,9.81,9.81,8.76,8.88,31063
RSSOFTWARE,2003-02-17 00:00:00+05:30,9.75,10.66,9.48,10.66,53346
RSSOFTWARE,2003-02-18 00:00:00+05:30,10.81,11.58,10.5,10.87,115628
RSSOFTWARE,2003-02-19 00:00:00+05:30,11.35,11.74,10.42,10.5,36839
RSSOFTWARE,2003-02-20 00:00:00+05:30,10.27,10.35,9.96,10.23,19179
RSSOFTWARE,2003-02-21 00:00:00+05:30,10.23,10.56,9.98,10.44,28657
RSSOFTWARE,2003-02-24 00:00:00+05:30,10.81,10.81,10.1,10.29,15887
RSSOFTWARE,2003-02-25 00:00:00+05:30,9.85,9.94,9.65,9.67,28167
RSSOFTWARE,2003-02-26 00:00:00+05:30,9.96,10.12,9.69,9.77,16341
RSSOFTWARE,2003-02-27 00:00:00+05:30,9.92,10.08,9.81,9.88,25813
RSSOFTWARE,2003-02-28 00:00:00+05:30,10.12,10.31,9.9,10.04,37256
RSSOFTWARE,2003-03-03 00:00:00+05:30,10.4,10.4,9.79,9.83,7475
RSSOFTWARE,2003-03-04 00:00:00+05:30,9.85,9.98,9.27,9.63,16304
