Symbol,Date,Open,High,Low,Close,Volume
RUSHIL,2011-07-07 00:00:00+05:30,6.6,11.0,6.6,10.6,558854980
RUSHIL,2011-07-08 00:00:00+05:30,10.75,11.85,9.5,10.7,300158970
RUSHIL,2011-07-11 00:00:00+05:30,10.2,12.85,10.2,12.85,192750840
RUSHIL,2011-07-12 00:00:00+05:30,12.4,14.45,11.75,14.3,271577800
RUSHIL,2011-07-13 00:00:00+05:30,14.35,14.6,12.95,13.8,218681270
RUSHIL,2011-07-14 00:00:00+05:30,13.6,14.05,12.3,13.9,201374390
RUSHIL,2011-07-15 00:00:00+05:30,13.95,13.95,11.3,12.1,163614480
RUSHIL,2011-07-18 00:00:00+05:30,12.2,14.55,11.65,14.55,150165090
RUSHIL,2011-07-19 00:00:00+05:30,14.55,14.85,12.3,12.55,199745560
RUSHIL,2011-07-20 00:00:00+05:30,12.45,13.45,12.1,13.3,118164560
RUSHIL,2011-07-21 00:00:00+05:30,13.35,15.55,12.75,15.1,138693700
RUSHIL,2011-07-22 00:00:00+05:30,18.05,18.05,14.5,16.7,131817820
RUSHIL,2011-07-25 00:00:00+05:30,16.6,16.95,14.1,14.5,169353570
RUSHIL,2011-07-26 00:00:00+05:30,14.5,14.9,12.8,14.5,143705160
RUSHIL,2011-07-27 00:00:00+05:30,14.2,14.35,11.6,11.6,89163300
RUSHIL,2011-07-28 00:00:00+05:30,9.35,11.4,9.3,11.15,92740630
RUSHIL,2011-07-29 00:00:00+05:30,10.85,12.3,10.85,12.0,59778470
RUSHIL,2011-08-01 00:00:00+05:30,12.05,13.0,11.4,11.95,77791870
RUSHIL,2011-08-02 00:00:00+05:30,11.7,12.6,10.95,12.5,86966340
RUSHIL,2011-08-03 00:00:00+05:30,12.25,13.0,12.05,12.9,50309290
RUSHIL,2011-08-04 00:00:00+05:30,12.85,13.2,10.35,10.55,72870730
RUSHIL,2011-08-05 00:00:00+05:30,8.75,10.55,8.45,9.55,26201640
RUSHIL,2011-08-08 00:00:00+05:30,9.45,10.8,9.35,10.5,45479320
RUSHIL,2011-08-09 00:00:00+05:30,10.1,10.7,9.45,9.7,18738770
RUSHIL,2011-08-10 00:00:00+05:30,9.85,10.2,9.25,9.4,22330930
RUSHIL,2011-08-11 00:00:00+05:30,9.4,10.0,9.2,9.8,22616900
RUSHIL,2011-08-12 00:00:00+05:30,9.85,10.55,9.85,10.4,16200730
RUSHIL,2011-08-16 00:00:00+05:30,10.5,11.25,9.85,10.75,30701830
RUSHIL,2011-08-17 00:00:00+05:30,10.75,11.2,10.45,10.6,15187730
