Symbol,Date,Open,High,Low,Close,Volume
SAKAR,2016-10-14 09:15:00+05:30,52.8,54.95,51.0,52.0,795000
SAKAR,2016-10-17 09:15:00+05:30,54.8,55.15,52.5,52.6,366000
SAKAR,2016-10-18 09:20:00+05:30,54.0,54.0,53.0,53.0,63000
SAKAR,2016-10-19 09:49:00+05:30,53.5,53.5,51.8,51.8,72000
SAKAR,2016-10-20 09:34:00+05:30,52.0,53.4,52.0,52.5,60000
SAKAR,2016-10-21 09:43:00+05:30,53.4,54.1,52.0,52.0,255000
SAKAR,2016-10-24 12:00:00+05:30,52.7,52.7,51.2,52.0,165000
SAKAR,2016-10-25 09:20:00+05:30,53.75,56.0,52.0,54.3,102000
SAKAR,2016-10-26 09:20:00+05:30,54.0,60.5,53.0,54.3,222000
SAKAR,2016-10-27 09:19:00+05:30,53.5,53.5,52.0,52.25,36000
SAKAR,2016-10-28 13:29:00+05:30,51.5,53.4,51.5,53.4,6000
SAKAR,2016-11-01 10:39:00+05:30,53.0,53.0,53.0,53.0,12000
SAKAR,2016-11-02 11:59:00+05:30,52.0,53.0,51.75,52.95,30000
SAKAR,2016-11-03 09:21:00+05:30,51.0,52.75,51.0,52.0,21000
SAKAR,2016-11-07 12:30:00+05:30,52.85,52.85,51.55,51.55,6000
SAKAR,2016-11-08 09:22:00+05:30,51.55,51.95,51.55,51.75,9000
SAKAR,2016-11-09 12:53:00+05:30,49.0,51.0,49.0,51.0,18000
SAKAR,2016-11-11 11:13:00+05:30,51.0,51.0,48.0,48.0,33000
SAKAR,2016-11-15 11:16:00+05:30,47.0,47.0,47.0,47.0,3000
SAKAR,2016-11-21 11:00:00+05:30,46.9,50.4,46.9,49.95,69000
SAKAR,2016-11-24 13:04:00+05:30,50.95,51.0,50.0,50.0,9000
SAKAR,2016-12-01 11:08:00+05:30,50.0,51.0,50.0,51.0,6000
SAKAR,2016-12-02 13:11:00+05:30,51.0,52.9,50.0,50.2,48000
SAKAR,2016-12-05 11:41:00+05:30,51.2,51.75,51.2,51.75,9000
SAKAR,2016-12-06 12:39:00+05:30,50.9,50.9,50.1,50.1,42000
SAKAR,2016-12-09 12:58:00+05:30,51.45,51.45,51.45,51.45,3000
SAKAR,2016-12-13 10:07:00+05:30,52.5,57.5,52.5,54.0,60000
SAKAR,2016-12-14 11:27:00+05:30,56.75,57.0,56.75,57.0,12000
SAKAR,2016-12-15 11:10:00+05:30,56.95,58.1,56.5,56.5,18000
SAKAR,2016-12-16 11:37:00+05:30,56.75,60.9,56.75,58.0,36000
SAKAR,2016-12-19 09:20:00+05:30,53.7,53.7,53.7,53.7,3000
SAKAR,2016-12-20 11:05:00+05:30,57.0,58.0,57.0,57.75,12000
SAKAR,2016-12-21 15:20:00+05:30,56.9,56.9,56.9,56.9,3000
SAKAR,2016-12-22 09:37:00+05:30,57.95,58.0,56.95,56.95,9000
SAKAR,2016-12-23 15:12:00+05:30,54.2,54.2,54.2,54.2,3000
SAKAR,2016-12-26 13:05:00+05:30,57.5,57.5,57.5,57.5,3000
SAKAR,2016-12-27 09:43:00+05:30,58.0,58.0,54.0,54.0,6000
SAKAR,2016-12-28 14:30:00+05:30,56.8,56.8,56.8,56.8,3000
SAKAR,2016-12-29 10:05:00+05:30,57.75,57.75,57.75,57.75,3000
SAKAR,2016-12-30 09:32:00+05:30,58.35,61.95,58.35,59.95,12000
SAKAR,2017-01-02 11:20:00+05:30,59.95,61.0,58.0,61.0,18000
SAKAR,2017-01-03 12:36:00+05:30,60.6,60.6,57.5,57.5,6000
SAKAR,2017-01-05 10:49:00+05:30,58.5,58.5,58.5,58.5,3000
SAKAR,2017-01-12 14:23:00+05:30,56.95,58.0,56.95,58.0,9000
SAKAR,2017-01-17 12:58:00+05:30,56.0,59.25,56.0,59.0,15000
SAKAR,2017-01-23 13:34:00+05:30,58.25,58.5,58.25,58.5,6000
SAKAR,2017-01-24 12:33:00+05:30,58.45,58.45,58.45,58.45,3000
SAKAR,2017-01-31 11:34:00+05:30,58.5,58.5,58.5,58.5,3000
SAKAR,2017-02-06 12:30:00+05:30,58.0,65.0,58.0,61.0,51000
SAKAR,2017-02-07 11:18:00+05:30,59.0,59.0,57.5,57.5,12000
SAKAR,2017-02-08 12:06:00+05:30,57.6,59.5,57.6,59.5,9000
SAKAR,2017-02-14 12:56:00+05:30,55.0,55.0,55.0,55.0,3000
SAKAR,2017-02-15 11:41:00+05:30,54.5,54.5,52.5,52.5,9000
SAKAR,2017-02-21 10:36:00+05:30,52.0,52.0,52.0,52.0,3000
SAKAR,2017-02-27 15:04:00+05:30,50.65,50.65,50.0,50.2,9000
SAKAR,2017-03-01 14:18:00+05:30,50.95,60.0,50.95,53.55,39000
SAKAR,2017-03-02 11:51:00+05:30,54.5,54.5,54.5,54.5,3000
SAKAR,2017-03-06 15:14:00+05:30,53.4,53.4,53.4,53.4,3000
SAKAR,2017-03-09 13:56:00+05:30,54.25,59.0,54.25,55.9,12000
SAKAR,2017-03-14 13:59:00+05:30,55.5,59.0,53.15,57.45,30000
SAKAR,2017-03-15 13:07:00+05:30,58.0,58.85,58.0,58.85,9000
SAKAR,2017-03-16 09:45:00+05:30,58.0,60.7,57.0,57.0,48000
SAKAR,2017-03-17 09:24:00+05:30,60.0,60.0,60.0,60.0,3000
SAKAR,2017-03-20 14:00:00+05:30,60.25,60.25,60.25,60.25,3000
SAKAR,2017-03-28 14:19:00+05:30,57.0,57.0,57.0,57.0,12000
SAKAR,2017-04-10 15:06:00+05:30,59.5,59.5,59.5,59.5,3000
SAKAR,2017-04-11 09:34:00+05:30,59.5,59.5,59.5,59.5,3000
SAKAR,2017-04-12 09:39:00+05:30,56.0,56.0,55.0,55.0,9000
SAKAR,2017-04-18 10:28:00+05:30,56.75,60.25,56.75,59.95,9000
SAKAR,2017-04-19 09:23:00+05:30,54.9,59.45,54.75,58.0,12000
SAKAR,2017-04-24 12:10:00+05:30,59.8,59.8,58.0,58.0,6000
SAKAR,2017-04-25 12:52:00+05:30,54.9,54.9,54.9,54.9,3000
SAKAR,2017-05-02 13:21:00+05:30,59.8,59.8,59.4,59.4,6000
SAKAR,2017-05-03 12:43:00+05:30,54.75,59.0,54.75,59.0,6000
SAKAR,2017-05-04 12:04:00+05:30,58.95,58.95,58.0,58.0,6000
SAKAR,2017-05-05 14:59:00+05:30,59.0,59.0,59.0,59.0,3000
SAKAR,2017-05-08 12:27:00+05:30,54.6,54.6,54.6,54.6,3000
SAKAR,2017-05-09 11:40:00+05:30,58.5,59.0,58.5,59.0,6000
SAKAR,2017-05-16 15:24:00+05:30,56.0,56.0,56.0,56.0,3000
SAKAR,2017-05-17 11:22:00+05:30,54.55,55.35,54.55,55.35,6000
SAKAR,2017-05-19 11:35:00+05:30,57.0,57.5,57.0,57.5,6000
SAKAR,2017-05-26 15:24:00+05:30,52.05,52.05,52.05,52.05,3000
SAKAR,2017-05-31 11:00:00+05:30,55.0,59.0,55.0,59.0,6000
SAKAR,2017-06-02 14:48:00+05:30,58.0,58.0,58.0,58.0,3000
SAKAR,2017-06-08 11:26:00+05:30,54.75,54.75,54.75,54.75,3000
SAKAR,2017-06-16 15:21:00+05:30,53.75,53.75,53.75,53.75,3000
SAKAR,2017-06-19 12:25:00+05:30,57.0,58.0,57.0,58.0,6000
SAKAR,2017-06-20 12:36:00+05:30,54.75,54.75,53.5,53.5,6000
SAKAR,2017-06-30 12:34:00+05:30,50.0,54.5,49.2,52.25,12000
SAKAR,2017-07-05 12:22:00+05:30,57.9,57.9,57.9,57.9,3000
SAKAR,2017-07-19 09:21:00+05:30,53.5,54.5,53.5,54.5,6000
SAKAR,2017-07-21 13:25:00+05:30,51.0,51.0,51.0,51.0,48000
SAKAR,2017-07-24 14:54:00+05:30,55.95,55.95,51.0,51.0,51000
SAKAR,2017-07-25 11:25:00+05:30,56.0,56.0,56.0,56.0,3000
SAKAR,2017-08-04 13:19:00+05:30,50.95,54.75,50.0,52.0,18000
SAKAR,2017-08-11 09:31:00+05:30,50.05,57.0,50.05,57.0,9000
SAKAR,2017-08-16 15:26:00+05:30,49.0,49.0,49.0,49.0,3000
SAKAR,2017-08-18 14:01:00+05:30,51.25,57.0,51.25,57.0,6000
SAKAR,2017-08-22 09:30:00+05:30,52.5,52.5,52.5,52.5,3000
SAKAR,2017-09-06 13:10:00+05:30,51.5,51.5,51.5,51.5,3000
SAKAR,2017-09-07 10:27:00+05:30,51.75,51.75,51.75,51.75,3000
SAKAR,2017-09-13 12:23:00+05:30,49.0,53.5,49.0,53.5,6000
SAKAR,2017-09-18 15:15:00+05:30,50.0,51.0,50.0,50.5,6000
SAKAR,2017-09-29 11:13:00+05:30,55.0,58.1,55.0,58.1,6000
SAKAR,2017-10-03 13:10:00+05:30,51.05,51.2,51.0,51.2,9000
SAKAR,2017-10-04 09:41:00+05:30,53.0,55.0,53.0,55.0,12000
SAKAR,2017-10-05 11:02:00+05:30,51.0,51.0,51.0,51.0,3000
SAKAR,2017-10-09 12:26:00+05:30,50.9,51.0,50.9,51.0,6000
SAKAR,2017-10-10 14:18:00+05:30,54.0,54.0,54.0,54.0,3000
SAKAR,2017-10-11 14:23:00+05:30,51.1,51.1,51.1,51.1,3000
SAKAR,2017-10-12 10:55:00+05:30,55.0,60.0,54.0,59.35,99000
SAKAR,2017-10-13 09:20:00+05:30,58.0,59.95,58.0,59.0,18000
SAKAR,2017-10-16 10:26:00+05:30,59.35,60.5,59.0,59.0,39000
SAKAR,2017-10-17 10:21:00+05:30,58.0,60.0,58.0,60.0,15000
SAKAR,2017-10-18 11:53:00+05:30,59.5,60.5,57.5,58.0,30000
SAKAR,2017-10-19 19:01:00+05:30,59.9,60.0,59.9,59.95,6000
SAKAR,2017-10-24 09:22:00+05:30,60.0,60.0,57.15,57.15,21000
SAKAR,2017-10-25 15:01:00+05:30,59.0,59.0,57.15,58.05,6000
SAKAR,2017-10-27 09:22:00+05:30,59.85,59.85,56.0,56.0,12000
SAKAR,2017-10-30 11:42:00+05:30,57.0,59.95,57.0,59.95,27000
SAKAR,2017-10-31 09:16:00+05:30,57.5,59.85,57.1,59.8,39000
SAKAR,2017-11-01 09:24:00+05:30,59.9,71.75,59.9,71.15,93000
SAKAR,2017-11-02 09:15:00+05:30,72.0,75.0,71.0,71.9,45000
SAKAR,2017-11-03 10:53:00+05:30,71.0,73.8,70.0,70.0,24000
SAKAR,2017-11-06 10:41:00+05:30,70.0,74.45,68.0,74.45,66000
SAKAR,2017-11-07 13:11:00+05:30,73.0,74.0,73.0,73.95,12000
SAKAR,2017-11-08 11:03:00+05:30,73.5,77.9,73.5,75.7,27000
SAKAR,2017-11-09 13:32:00+05:30,75.15,75.2,74.0,74.0,15000
SAKAR,2017-11-10 10:08:00+05:30,72.5,72.5,67.25,67.25,9000
SAKAR,2017-11-13 09:47:00+05:30,70.0,74.2,70.0,71.9,30000
SAKAR,2017-11-14 10:57:00+05:30,69.8,70.0,69.8,70.0,9000
SAKAR,2017-11-16 13:10:00+05:30,70.0,70.0,66.0,67.35,15000
SAKAR,2017-11-17 12:14:00+05:30,65.55,67.7,63.0,67.7,12000
SAKAR,2017-11-20 14:01:00+05:30,64.05,64.05,63.0,63.0,12000
SAKAR,2017-11-21 09:44:00+05:30,63.5,75.0,63.5,69.0,24000
SAKAR,2017-11-27 15:15:00+05:30,66.0,66.0,66.0,66.0,3000
SAKAR,2017-11-28 09:21:00+05:30,61.55,68.65,61.55,68.55,24000
SAKAR,2017-11-30 13:01:00+05:30,67.0,67.0,66.1,66.1,9000
SAKAR,2017-12-01 12:13:00+05:30,68.0,68.0,66.0,66.0,15000
SAKAR,2017-12-04 11:50:00+05:30,67.1,67.1,67.1,67.1,3000
SAKAR,2017-12-05 15:04:00+05:30,62.0,66.9,62.0,64.45,6000
SAKAR,2017-12-07 12:23:00+05:30,64.0,64.0,61.4,62.0,9000
SAKAR,2017-12-08 15:24:00+05:30,66.0,66.0,66.0,66.0,9000
SAKAR,2017-12-12 13:16:00+05:30,66.0,66.0,66.0,66.0,6000
SAKAR,2017-12-21 15:26:00+05:30,65.5,65.5,65.5,65.5,3000
SAKAR,2017-12-22 15:23:00+05:30,63.0,63.0,63.0,63.0,6000
SAKAR,2017-12-28 12:44:00+05:30,62.5,62.5,62.5,62.5,3000
SAKAR,2017-12-29 12:41:00+05:30,62.5,62.5,62.0,62.0,6000
SAKAR,2018-01-02 12:10:00+05:30,65.85,65.85,65.85,65.85,3000
SAKAR,2018-01-04 14:40:00+05:30,62.25,62.25,61.45,61.45,6000
SAKAR,2018-01-08 13:15:00+05:30,62.1,62.1,61.4,61.4,9000
SAKAR,2018-01-11 09:44:00+05:30,58.5,73.5,58.1,61.25,90000
SAKAR,2018-01-12 09:32:00+05:30,59.5,63.8,57.1,62.9,78000
SAKAR,2018-01-15 09:20:00+05:30,64.2,69.5,64.2,67.95,147000
SAKAR,2018-01-16 09:19:00+05:30,69.0,71.45,63.0,63.9,99000
SAKAR,2018-01-17 09:32:00+05:30,64.0,64.0,61.1,63.35,66000
SAKAR,2018-01-18 09:25:00+05:30,64.8,64.9,62.5,63.8,87000
SAKAR,2018-01-19 09:20:00+05:30,65.0,65.0,61.1,63.9,48000
SAKAR,2018-01-22 09:29:00+05:30,65.0,65.0,62.0,63.75,75000
SAKAR,2018-01-23 09:24:00+05:30,64.0,64.0,61.3,63.7,75000
SAKAR,2018-01-24 09:26:00+05:30,64.0,64.0,60.5,62.0,66000
SAKAR,2018-01-25 09:21:00+05:30,61.2,63.7,60.1,62.4,78000
SAKAR,2018-01-29 09:51:00+05:30,60.1,64.6,60.0,62.0,63000
SAKAR,2018-01-30 09:17:00+05:30,60.0,64.8,60.0,61.45,102000
SAKAR,2018-01-31 09:22:00+05:30,60.0,64.8,57.1,60.6,78000
SAKAR,2018-02-01 09:43:00+05:30,58.5,62.8,57.1,62.75,60000
SAKAR,2018-02-02 09:15:00+05:30,64.7,64.7,55.55,56.7,63000
SAKAR,2018-02-05 09:18:00+05:30,54.5,57.1,52.05,54.6,21000
SAKAR,2018-02-07 10:48:00+05:30,55.0,64.0,54.05,64.0,153000
SAKAR,2018-02-08 09:35:00+05:30,60.0,64.0,60.0,62.8,30000
SAKAR,2018-02-09 10:13:00+05:30,56.3,61.0,56.3,58.0,27000
SAKAR,2018-02-12 10:24:00+05:30,58.5,62.2,57.0,62.1,195000
SAKAR,2018-02-14 10:51:00+05:30,65.35,65.35,65.35,65.35,3000
SAKAR,2018-02-15 09:18:00+05:30,62.0,62.05,62.0,62.05,6000
SAKAR,2018-02-16 12:13:00+05:30,66.0,66.0,62.05,62.05,12000
SAKAR,2018-02-19 14:33:00+05:30,65.8,74.0,61.0,61.0,15000
SAKAR,2018-02-20 12:45:00+05:30,66.3,70.0,65.0,69.2,69000
SAKAR,2018-02-21 12:37:00+05:30,68.0,68.0,62.0,63.8,30000
SAKAR,2018-02-22 09:20:00+05:30,63.0,66.0,62.0,65.5,396000
SAKAR,2018-02-23 10:34:00+05:30,68.7,69.9,64.0,66.0,96000
SAKAR,2018-02-26 09:26:00+05:30,68.0,68.0,63.5,66.0,93000
SAKAR,2018-02-27 09:19:00+05:30,68.7,68.7,63.1,64.45,174000
SAKAR,2018-02-28 11:10:00+05:30,63.15,63.15,63.15,63.15,3000
SAKAR,2018-03-01 09:19:00+05:30,67.8,67.8,63.5,65.4,12000
SAKAR,2018-03-08 14:21:00+05:30,57.35,57.35,57.35,57.35,3000
SAKAR,2018-03-09 10:56:00+05:30,61.0,62.2,61.0,62.2,51000
SAKAR,2018-03-12 09:24:00+05:30,63.0,63.5,63.0,63.5,9000
SAKAR,2018-03-14 10:36:00+05:30,63.0,63.5,63.0,63.5,21000
SAKAR,2018-03-16 15:16:00+05:30,61.75,61.75,61.75,61.75,3000
SAKAR,2018-03-19 14:30:00+05:30,60.0,60.0,56.0,57.25,45000
SAKAR,2018-03-20 12:42:00+05:30,60.0,60.0,60.0,60.0,3000
SAKAR,2018-03-21 13:11:00+05:30,62.5,62.5,62.5,62.5,3000
SAKAR,2018-03-22 12:45:00+05:30,60.0,60.0,60.0,60.0,3000
SAKAR,2018-03-26 15:20:00+05:30,61.0,61.0,56.85,57.2,33000
SAKAR,2018-03-27 10:30:00+05:30,57.0,59.25,57.0,59.25,42000
SAKAR,2018-03-28 15:29:00+05:30,59.5,59.5,59.5,59.5,3000
SAKAR,2018-04-03 14:57:00+05:30,63.25,63.8,63.25,63.8,6000
SAKAR,2018-04-04 09:25:00+05:30,62.0,67.0,62.0,65.65,24000
SAKAR,2018-04-05 10:46:00+05:30,65.0,65.0,65.0,65.0,3000
SAKAR,2018-04-06 13:29:00+05:30,68.0,68.2,68.0,68.2,9000
SAKAR,2018-04-09 12:40:00+05:30,68.3,70.05,68.3,70.05,51000
SAKAR,2018-04-10 09:50:00+05:30,69.9,69.95,66.1,69.95,33000
SAKAR,2018-04-17 09:54:00+05:30,70.5,82.0,70.5,71.9,111000
SAKAR,2018-04-18 11:07:00+05:30,71.0,77.5,70.0,74.4,84000
SAKAR,2018-04-19 10:17:00+05:30,71.55,80.9,69.0,69.0,48000
SAKAR,2018-05-02 10:20:00+05:30,69.0,80.0,66.3,75.4,363000
SAKAR,2018-05-03 09:19:00+05:30,76.9,83.1,76.0,79.9,222000
SAKAR,2018-05-04 09:38:00+05:30,80.45,80.95,77.0,78.6,132000
SAKAR,2018-05-07 09:41:00+05:30,79.5,79.5,72.8,72.95,108000
SAKAR,2018-05-08 09:38:00+05:30,72.2,73.2,70.05,70.75,24000
SAKAR,2018-05-09 09:30:00+05:30,72.15,74.8,69.3,71.7,90000
SAKAR,2018-05-10 10:14:00+05:30,71.4,71.4,70.0,70.0,15000
SAKAR,2018-05-11 10:32:00+05:30,72.0,72.05,69.0,70.15,21000
SAKAR,2018-05-14 09:42:00+05:30,72.35,72.35,71.0,71.05,15000
SAKAR,2018-05-15 11:57:00+05:30,70.5,70.5,69.9,69.9,6000
SAKAR,2018-05-16 09:35:00+05:30,68.25,68.25,68.1,68.1,6000
SAKAR,2018-05-18 15:11:00+05:30,64.5,64.5,63.75,64.1,6000
SAKAR,2018-05-22 10:36:00+05:30,63.25,64.85,63.25,64.85,12000
SAKAR,2018-05-24 11:19:00+05:30,65.0,65.0,65.0,65.0,3000
SAKAR,2018-05-25 10:56:00+05:30,63.15,63.4,63.0,63.4,12000
SAKAR,2018-05-28 15:23:00+05:30,65.6,70.0,65.6,68.85,12000
SAKAR,2018-05-29 14:31:00+05:30,70.0,77.35,70.0,77.35,9000
SAKAR,2018-05-31 11:26:00+05:30,66.25,71.95,66.25,71.95,6000
SAKAR,2018-06-01 15:02:00+05:30,69.95,69.95,69.95,69.95,3000
SAKAR,2018-06-04 09:39:00+05:30,67.05,68.95,66.05,67.5,12000
SAKAR,2018-06-05 09:32:00+05:30,66.0,66.0,62.1,62.1,6000
SAKAR,2018-06-11 13:10:00+05:30,63.0,63.0,63.0,63.0,3000
SAKAR,2018-06-13 12:42:00+05:30,61.0,61.0,61.0,61.0,6000
SAKAR,2018-06-18 09:55:00+05:30,63.95,63.95,60.8,60.8,6000
SAKAR,2018-06-19 09:23:00+05:30,59.7,59.7,57.25,57.25,6000
SAKAR,2018-06-20 09:36:00+05:30,59.95,60.0,59.95,60.0,12000
SAKAR,2018-06-21 14:42:00+05:30,62.0,62.0,62.0,62.0,3000
SAKAR,2018-06-29 11:58:00+05:30,56.9,56.9,56.9,56.9,3000
SAKAR,2018-07-11 15:18:00+05:30,53.0,53.0,53.0,53.0,3000
SAKAR,2018-07-12 11:44:00+05:30,55.55,60.2,55.55,60.2,9000
SAKAR,2018-07-13 10:57:00+05:30,60.0,60.0,57.0,57.0,9000
SAKAR,2018-07-16 13:15:00+05:30,57.0,57.0,55.0,55.0,9000
SAKAR,2018-07-20 14:59:00+05:30,57.8,57.8,57.8,57.8,3000
SAKAR,2018-07-24 11:23:00+05:30,55.5,55.5,55.0,55.0,6000
SAKAR,2018-07-25 10:22:00+05:30,55.0,55.0,55.0,55.0,3000
SAKAR,2018-07-26 13:34:00+05:30,55.15,55.15,55.0,55.0,6000
SAKAR,2018-07-31 15:17:00+05:30,58.0,58.0,58.0,58.0,3000
SAKAR,2018-08-06 11:14:00+05:30,59.25,60.0,59.25,60.0,12000
SAKAR,2018-08-10 15:02:00+05:30,60.0,60.0,60.0,60.0,3000
SAKAR,2018-08-13 15:12:00+05:30,56.0,56.0,56.0,56.0,3000
SAKAR,2018-08-27 15:21:00+05:30,59.9,60.4,59.9,60.1,9000
SAKAR,2018-08-28 09:33:00+05:30,60.0,60.0,59.0,59.0,12000
SAKAR,2018-08-29 15:24:00+05:30,57.2,57.2,57.2,57.2,3000
SAKAR,2018-09-05 12:46:00+05:30,56.0,59.0,56.0,59.0,9000
SAKAR,2018-09-07 12:04:00+05:30,58.5,58.5,58.5,58.5,3000
SAKAR,2018-09-11 09:26:00+05:30,59.0,64.0,59.0,62.15,42000
SAKAR,2018-09-12 10:59:00+05:30,61.0,62.0,61.0,62.0,30000
SAKAR,2018-09-14 11:57:00+05:30,61.0,63.0,60.55,63.0,12000
SAKAR,2018-09-17 11:16:00+05:30,64.0,68.15,62.55,66.3,72000
SAKAR,2018-09-18 09:39:00+05:30,65.5,72.0,65.5,69.4,96000
SAKAR,2018-09-19 09:35:00+05:30,72.5,77.0,69.0,70.35,105000
SAKAR,2018-09-21 09:24:00+05:30,74.2,74.25,65.1,68.75,75000
SAKAR,2018-09-24 09:22:00+05:30,73.75,74.95,69.8,72.0,66000
SAKAR,2018-09-25 09:25:00+05:30,71.2,73.15,66.5,67.4,102000
SAKAR,2018-09-26 10:06:00+05:30,65.9,66.35,62.0,62.25,27000
SAKAR,2018-09-27 14:38:00+05:30,61.5,61.5,61.5,61.5,3000
SAKAR,2018-10-04 10:36:00+05:30,64.0,70.0,64.0,70.0,6000
SAKAR,2018-10-11 09:28:00+05:30,58.95,58.95,58.95,58.95,3000
SAKAR,2018-10-12 10:40:00+05:30,64.0,69.35,64.0,65.0,27000
SAKAR,2018-10-15 10:29:00+05:30,65.0,66.0,60.0,61.25,18000
SAKAR,2018-10-16 10:17:00+05:30,62.4,62.4,62.4,62.4,3000
SAKAR,2018-10-22 09:53:00+05:30,57.9,59.0,57.9,59.0,9000
SAKAR,2018-10-23 10:23:00+05:30,57.9,57.9,57.9,57.9,3000
SAKAR,2018-10-24 14:06:00+05:30,55.1,57.0,55.1,57.0,6000
SAKAR,2018-10-26 14:31:00+05:30,54.6,55.1,54.3,54.3,9000
SAKAR,2018-10-30 10:11:00+05:30,58.6,65.0,58.6,65.0,6000
SAKAR,2018-10-31 11:04:00+05:30,55.5,57.05,55.5,57.05,6000
SAKAR,2018-11-01 09:48:00+05:30,55.45,55.45,55.45,55.45,3000
SAKAR,2018-11-02 11:06:00+05:30,55.6,57.0,55.6,57.0,6000
SAKAR,2018-11-06 09:46:00+05:30,57.5,57.5,57.5,57.5,3000
SAKAR,2018-11-09 11:00:00+05:30,58.25,62.35,58.25,62.3,12000
SAKAR,2018-11-12 10:29:00+05:30,58.35,58.35,58.35,58.35,3000
SAKAR,2018-11-16 15:10:00+05:30,60.0,60.0,60.0,60.0,3000
SAKAR,2018-11-20 13:10:00+05:30,56.8,56.8,56.8,56.8,3000
SAKAR,2018-11-21 09:56:00+05:30,54.9,54.9,54.9,54.9,3000
SAKAR,2018-11-22 09:46:00+05:30,54.4,58.1,54.4,56.5,15000
SAKAR,2018-11-26 13:54:00+05:30,58.0,58.0,58.0,58.0,3000
SAKAR,2018-11-28 11:13:00+05:30,58.0,58.0,58.0,58.0,3000
SAKAR,2018-11-29 10:50:00+05:30,58.9,58.9,58.9,58.9,3000
SAKAR,2018-11-30 09:47:00+05:30,58.0,59.0,58.0,59.0,6000
SAKAR,2019-02-21 00:00:00+05:30,57.5,57.75,54.75,57.35,18000
SAKAR,2019-02-22 00:00:00+05:30,58.5,58.5,54.75,57.0,18000
SAKAR,2019-02-25 00:00:00+05:30,57.25,57.25,54.3,56.0,27000
SAKAR,2019-02-26 00:00:00+05:30,57.0,57.0,53.25,55.0,18000
SAKAR,2019-02-27 00:00:00+05:30,53.0,55.75,52.6,52.6,24000
SAKAR,2019-02-28 00:00:00+05:30,49.5,53.75,49.5,52.75,18000
SAKAR,2019-03-01 00:00:00+05:30,53.0,56.0,51.0,54.45,27000
SAKAR,2019-03-05 00:00:00+05:30,55.0,58.0,53.1,55.35,27000
SAKAR,2019-03-06 00:00:00+05:30,57.0,57.45,53.25,57.45,27000
SAKAR,2019-03-07 00:00:00+05:30,57.0,57.0,53.25,57.0,18000
SAKAR,2019-03-12 00:00:00+05:30,56.0,56.5,55.5,55.85,18000
SAKAR,2019-03-13 00:00:00+05:30,55.0,59.45,55.0,57.0,24000
SAKAR,2019-03-19 00:00:00+05:30,55.0,55.0,53.0,53.0,9000
SAKAR,2019-03-20 00:00:00+05:30,52.0,52.0,52.0,52.0,3000
SAKAR,2019-03-26 00:00:00+05:30,54.75,54.75,54.75,54.75,3000
SAKAR,2019-03-27 00:00:00+05:30,52.9,52.9,52.9,52.9,3000
SAKAR,2019-03-28 00:00:00+05:30,51.0,51.0,51.0,51.0,3000
SAKAR,2019-03-29 00:00:00+05:30,50.1,50.1,49.4,49.4,6000
SAKAR,2019-04-01 00:00:00+05:30,52.0,54.0,52.0,54.0,6000
SAKAR,2019-04-04 00:00:00+05:30,57.85,57.85,56.0,56.9,6000
SAKAR,2019-04-11 00:00:00+05:30,60.0,68.25,54.1,60.6,160838
SAKAR,2019-04-12 00:00:00+05:30,64.95,64.95,58.0,64.25,61165
SAKAR,2019-04-15 00:00:00+05:30,65.3,69.0,63.6,65.75,43733
SAKAR,2019-04-16 00:00:00+05:30,67.0,67.0,61.9,65.4,9400
