Symbol,Date,Open,High,Low,Close,Volume
SAMBHV,2025-07-02 00:00:00+05:30,110.0,111.0,96.25,97.59,57089913
SAMBHV,2025-07-03 00:00:00+05:30,99.27,104.0,99.27,101.53,20133000
SAMBHV,2025-07-04 00:00:00+05:30,102.05,105.25,101.56,102.43,6797336
SAMBHV,2025-07-07 00:00:00+05:30,102.89,103.79,98.5,99.39,3947379
SAMBHV,2025-07-08 00:00:00+05:30,100.0,114.99,98.7,111.15,21327648
SAMBHV,2025-07-09 00:00:00+05:30,116.0,125.9,112.14,120.78,73414272
SAMBHV,2025-07-10 00:00:00+05:30,121.0,128.6,118.63,126.93,47873291
SAMBHV,2025-07-11 00:00:00+05:30,124.39,127.66,121.35,124.86,17329003
SAMBHV,2025-07-14 00:00:00+05:30,124.94,134.95,115.66,117.57,34533681
SAMBHV,2025-07-15 00:00:00+05:30,119.99,125.84,119.71,122.83,15990137
SAMBHV,2025-07-16 00:00:00+05:30,123.25,127.4,121.64,124.54,8546665
SAMBHV,2025-07-17 00:00:00+05:30,125.39,132.0,123.42,125.93,15406464
SAMBHV,2025-07-18 00:00:00+05:30,126.75,129.6,124.9,126.69,5446456
SAMBHV,2025-07-21 00:00:00+05:30,127.8,132.0,125.67,128.96,7650249
SAMBHV,2025-07-22 00:00:00+05:30,130.32,149.4,129.58,138.93,65032738
SAMBHV,2025-07-23 00:00:00+05:30,141.0,144.0,135.0,139.7,21467788
SAMBHV,2025-07-24 00:00:00+05:30,140.0,141.7,136.48,137.4,6311712
SAMBHV,2025-07-25 00:00:00+05:30,141.0,146.45,128.67,132.64,20548173
SAMBHV,2025-07-28 00:00:00+05:30,135.19,135.99,123.8,131.21,8899472
SAMBHV,2025-07-29 00:00:00+05:30,131.15,135.48,128.0,134.59,4589771
SAMBHV,2025-07-30 00:00:00+05:30,134.5,134.5,125.75,127.71,11143449
SAMBHV,2025-07-31 00:00:00+05:30,125.0,129.69,125.0,127.71,3600860
SAMBHV,2025-08-01 00:00:00+05:30,127.25,128.49,123.0,124.39,2500040
SAMBHV,2025-08-04 00:00:00+05:30,124.6,126.7,122.41,124.63,2872623
SAMBHV,2025-08-05 00:00:00+05:30,124.89,126.34,121.3,123.43,1665844
SAMBHV,2025-08-06 00:00:00+05:30,124.01,124.64,119.1,119.92,2380681
SAMBHV,2025-08-07 00:00:00+05:30,119.37,125.64,117.47,124.59,2746073
SAMBHV,2025-08-08 00:00:00+05:30,124.85,124.88,119.23,120.35,3174370
SAMBHV,2025-08-11 00:00:00+05:30,120.35,122.25,119.25,120.27,1614350
SAMBHV,2025-08-12 00:00:00+05:30,120.5,121.47,120.0,120.7,1114822
SAMBHV,2025-08-13 00:00:00+05:30,122.0,123.1,119.41,120.07,1279220
SAMBHV,2025-08-14 00:00:00+05:30,120.9,122.16,116.56,120.31,1586342
SAMBHV,2025-08-18 00:00:00+05:30,122.54,123.0,120.78,122.03,1102131
SAMBHV,2025-08-19 00:00:00+05:30,122.45,126.0,121.4,125.5,1846848
SAMBHV,2025-08-20 00:00:00+05:30,125.46,126.87,119.87,122.22,2633863
SAMBHV,2025-08-21 00:00:00+05:30,123.5,125.01,120.24,121.74,2624366
SAMBHV,2025-08-22 00:00:00+05:30,122.1,130.86,121.2,129.56,5284857
SAMBHV,2025-08-25 00:00:00+05:30,130.45,131.79,125.1,125.49,2022753
SAMBHV,2025-08-26 00:00:00+05:30,125.29,125.95,121.28,121.95,1206414
SAMBHV,2025-08-28 00:00:00+05:30,123.0,124.59,120.51,122.54,1123681
SAMBHV,2025-08-29 00:00:00+05:30,122.41,123.0,119.9,120.45,1012498
SAMBHV,2025-09-01 00:00:00+05:30,120.99,123.0,119.16,122.43,1060282
SAMBHV,2025-09-02 00:00:00+05:30,122.98,124.64,121.27,123.64,985626
SAMBHV,2025-09-03 00:00:00+05:30,123.64,127.3,122.97,126.37,1498100
SAMBHV,2025-09-04 00:00:00+05:30,127.4,128.4,122.05,122.6,1347682
SAMBHV,2025-09-05 00:00:00+05:30,122.6,123.5,120.54,122.07,842304
SAMBHV,2025-09-08 00:00:00+05:30,122.7,126.8,122.18,124.44,1300000
SAMBHV,2025-09-09 00:00:00+05:30,124.94,125.15,121.29,122.53,905596
SAMBHV,2025-09-10 00:00:00+05:30,123.2,124.72,119.81,120.53,2546228
SAMBHV,2025-09-11 00:00:00+05:30,121.0,123.12,119.5,120.58,1035422
SAMBHV,2025-09-12 00:00:00+05:30,121.14,121.2,119.0,120.02,1181707
SAMBHV,2025-09-15 00:00:00+05:30,122.98,122.98,117.51,119.15,1447423
SAMBHV,2025-09-16 00:00:00+05:30,119.49,120.85,118.6,120.13,875099
SAMBHV,2025-09-17 00:00:00+05:30,120.78,126.75,119.72,126.08,3407330
SAMBHV,2025-09-18 00:00:00+05:30,126.1,126.1,122.79,123.59,794746
SAMBHV,2025-09-19 00:00:00+05:30,123.8,124.5,121.5,123.53,936761
SAMBHV,2025-09-22 00:00:00+05:30,123.0,123.85,121.25,121.64,861835
SAMBHV,2025-09-23 00:00:00+05:30,121.0,122.43,120.0,120.85,880391
SAMBHV,2025-09-24 00:00:00+05:30,121.0,122.84,120.18,120.99,575196
SAMBHV,2025-09-25 00:00:00+05:30,120.05,120.77,116.52,117.38,1433803
SAMBHV,2025-09-26 00:00:00+05:30,117.38,119.4,114.0,114.6,1284264
SAMBHV,2025-09-29 00:00:00+05:30,114.0,114.5,107.0,108.09,2981402
SAMBHV,2025-09-30 00:00:00+05:30,110.0,111.3,107.62,108.96,2112663
SAMBHV,2025-10-01 00:00:00+05:30,109.0,113.49,108.23,112.92,1222208
SAMBHV,2025-10-03 00:00:00+05:30,113.1,118.65,111.8,117.17,1343754
SAMBHV,2025-10-06 00:00:00+05:30,121.95,121.98,116.8,117.29,2667625
SAMBHV,2025-10-07 00:00:00+05:30,117.1,117.25,113.76,115.97,1167574
SAMBHV,2025-10-08 00:00:00+05:30,116.0,116.88,114.15,114.9,575058
SAMBHV,2025-10-09 00:00:00+05:30,114.5,115.8,113.0,115.29,734602
SAMBHV,2025-10-10 00:00:00+05:30,114.75,115.9,114.25,114.87,555127
SAMBHV,2025-10-13 00:00:00+05:30,114.3,114.3,111.51,113.29,707674
SAMBHV,2025-10-14 00:00:00+05:30,113.0,113.51,107.68,109.33,1178925
SAMBHV,2025-10-15 00:00:00+05:30,109.99,112.76,108.65,109.99,1044038
SAMBHV,2025-10-16 00:00:00+05:30,111.88,111.88,108.79,109.11,846369
SAMBHV,2025-10-17 00:00:00+05:30,109.0,109.75,107.4,108.3,764898
SAMBHV,2025-10-20 00:00:00+05:30,108.3,110.32,106.98,109.94,681591
SAMBHV,2025-10-21 00:00:00+05:30,110.0,112.5,110.0,112.08,440288
SAMBHV,2025-10-23 00:00:00+05:30,114.0,115.1,112.2,112.98,938197
SAMBHV,2025-10-24 00:00:00+05:30,113.5,113.97,111.2,111.66,383983
SAMBHV,2025-10-27 00:00:00+05:30,111.6,112.31,108.8,110.65,676617
SAMBHV,2025-10-28 00:00:00+05:30,110.68,111.64,109.66,110.04,558656
