Symbol,Date,Open,High,Low,Close,Volume
SARLAPOLY,2007-01-19 00:00:00+05:30,13.2,13.3,12.11,12.26,756559
SARLAPOLY,2007-01-22 00:00:00+05:30,12.55,12.79,11.62,11.99,233509
SARLAPOLY,2007-01-23 00:00:00+05:30,11.62,12.17,11.5,12.03,40559
SARLAPOLY,2007-01-24 00:00:00+05:30,11.61,12.17,11.6,11.95,363989
SARLAPOLY,2007-01-25 00:00:00+05:30,12.3,12.5,12.11,12.5,26369
SARLAPOLY,2007-01-29 00:00:00+05:30,11.55,12.38,11.55,12.28,18139
SARLAPOLY,2007-01-31 00:00:00+05:30,12.25,12.45,12.0,12.41,41299
SARLAPOLY,2007-02-01 00:00:00+05:30,13.2,13.2,12.0,12.04,24339
SARLAPOLY,2007-02-02 00:00:00+05:30,12.49,12.49,12.0,12.0,18899
SARLAPOLY,2007-02-05 00:00:00+05:30,11.69,12.0,11.53,12.0,3289
SARLAPOLY,2007-02-06 00:00:00+05:30,11.55,13.0,11.5,12.04,102129
SARLAPOLY,2007-02-07 00:00:00+05:30,12.1,12.4,12.0,12.07,22209
SARLAPOLY,2007-02-08 00:00:00+05:30,11.75,12.19,11.5,11.5,39899
SARLAPOLY,2007-02-09 00:00:00+05:30,11.5,11.69,11.5,11.63,23569
SARLAPOLY,2007-02-12 00:00:00+05:30,11.5,12.45,11.03,12.14,34199
SARLAPOLY,2007-02-13 00:00:00+05:30,11.55,12.34,11.12,11.3,13789
SARLAPOLY,2007-02-14 00:00:00+05:30,11.25,12.0,10.1,11.95,30699
SARLAPOLY,2007-02-15 00:00:00+05:30,11.93,12.72,11.42,12.34,155449
SARLAPOLY,2007-02-19 00:00:00+05:30,11.8,12.0,11.8,12.0,3339
SARLAPOLY,2007-02-20 00:00:00+05:30,12.47,13.0,11.9,12.3,22249
SARLAPOLY,2007-02-21 00:00:00+05:30,12.5,12.5,11.75,11.87,10499
SARLAPOLY,2007-02-22 00:00:00+05:30,12.5,12.5,11.75,11.87,0
SARLAPOLY,2007-02-23 00:00:00+05:30,11.75,12.2,11.75,11.75,21349
