Symbol,Date,Open,High,Low,Close,Volume
SBISILVER,2024-07-08 00:00:00+05:30,91.55,91.7,91.0,91.55,2371286
SBISILVER,2024-07-09 00:00:00+05:30,93.19,93.19,90.1,91.7,7780662
SBISILVER,2024-07-10 00:00:00+05:30,91.7,93.01,91.08,92.0,1775642
SBISILVER,2024-07-11 00:00:00+05:30,92.16,92.75,91.63,92.47,318887
SBISILVER,2024-07-12 00:00:00+05:30,92.47,93.28,91.75,92.26,432006
SBISILVER,2024-07-15 00:00:00+05:30,92.26,92.75,91.53,91.9,154800
SBISILVER,2024-07-16 00:00:00+05:30,92.26,92.78,91.35,91.79,221628
SBISILVER,2024-07-18 00:00:00+05:30,91.79,91.98,91.03,91.52,124556
SBISILVER,2024-07-19 00:00:00+05:30,91.95,91.95,89.0,89.2,36299
SBISILVER,2024-07-22 00:00:00+05:30,89.67,89.67,88.4,88.68,229306
SBISILVER,2024-07-23 00:00:00+05:30,88.98,88.98,85.99,86.62,190802
SBISILVER,2024-07-24 00:00:00+05:30,87.0,89.2,85.12,85.37,189470
SBISILVER,2024-07-25 00:00:00+05:30,85.3,85.3,81.7,82.27,213295
SBISILVER,2024-07-26 00:00:00+05:30,82.27,82.79,81.03,81.84,104813
SBISILVER,2024-07-29 00:00:00+05:30,84.3,84.3,80.99,82.17,193021
SBISILVER,2024-07-30 00:00:00+05:30,82.17,82.17,80.27,81.02,242406
SBISILVER,2024-07-31 00:00:00+05:30,82.48,83.8,81.76,82.79,542620
SBISILVER,2024-08-01 00:00:00+05:30,83.31,84.08,83.3,83.98,46624
SBISILVER,2024-08-02 00:00:00+05:30,83.3,83.9,83.2,83.8,18916
SBISILVER,2024-08-05 00:00:00+05:30,83.78,83.78,80.99,81.31,135076
SBISILVER,2024-08-06 00:00:00+05:30,81.28,82.08,79.07,79.7,203528
SBISILVER,2024-08-07 00:00:00+05:30,79.7,80.7,79.59,80.45,178733
SBISILVER,2024-08-08 00:00:00+05:30,80.9,81.74,79.13,80.11,157665
SBISILVER,2024-08-09 00:00:00+05:30,80.5,81.74,80.5,81.28,107985
SBISILVER,2024-08-12 00:00:00+05:30,81.27,81.55,80.35,80.92,81122
SBISILVER,2024-08-13 00:00:00+05:30,80.6,81.3,80.01,80.44,109465
SBISILVER,2024-08-14 00:00:00+05:30,80.44,81.6,80.44,81.51,20092
SBISILVER,2024-08-16 00:00:00+05:30,81.5,82.29,81.37,82.19,112595
SBISILVER,2024-08-19 00:00:00+05:30,83.0,84.1,82.58,83.98,76265
SBISILVER,2024-08-20 00:00:00+05:30,83.79,86.39,83.79,85.54,35282
SBISILVER,2024-08-21 00:00:00+05:30,86.0,86.0,84.31,84.86,41398
SBISILVER,2024-08-22 00:00:00+05:30,84.87,84.94,84.1,84.47,8348
SBISILVER,2024-08-23 00:00:00+05:30,83.63,84.69,83.62,84.39,7537
SBISILVER,2024-08-26 00:00:00+05:30,84.39,86.55,84.39,86.19,60047
SBISILVER,2024-08-27 00:00:00+05:30,87.0,87.0,85.4,85.99,72253
