Symbol,Date,Open,High,Low,Close,Volume
SDL26BEES,2021-03-31 00:00:00+05:30,101.15,101.26,101.15,101.23,849306
SDL26BEES,2021-04-01 00:00:00+05:30,101.7,101.72,101.65,101.65,48
SDL26BEES,2021-04-05 00:00:00+05:30,101.85,101.85,101.85,101.85,12
SDL26BEES,2021-04-06 00:00:00+05:30,102.2,102.2,102.2,102.2,9
SDL26BEES,2021-04-07 00:00:00+05:30,102.33,102.82,102.33,102.8,36738
SDL26BEES,2021-04-08 00:00:00+05:30,105.88,105.88,102.55,102.55,506
SDL26BEES,2021-04-09 00:00:00+05:30,102.45,102.7,102.45,102.7,249
SDL26BEES,2021-04-12 00:00:00+05:30,102.7,102.95,102.7,102.75,4941
SDL26BEES,2021-04-13 00:00:00+05:30,102.6,102.6,102.6,102.6,50
SDL26BEES,2021-04-15 00:00:00+05:30,102.75,102.75,102.7,102.7,54
SDL26BEES,2021-04-16 00:00:00+05:30,102.55,102.55,102.55,102.55,200
SDL26BEES,2021-04-20 00:00:00+05:30,102.65,102.65,102.45,102.45,195114
SDL26BEES,2021-04-22 00:00:00+05:30,102.53,102.55,102.5,102.55,29027
SDL26BEES,2021-04-23 00:00:00+05:30,102.57,102.57,102.51,102.51,145
SDL26BEES,2021-04-26 00:00:00+05:30,102.45,102.45,102.45,102.45,1
SDL26BEES,2021-04-27 00:00:00+05:30,102.41,102.46,102.41,102.46,67
SDL26BEES,2021-04-28 00:00:00+05:30,102.45,102.45,102.45,102.45,20
SDL26BEES,2021-04-29 00:00:00+05:30,102.55,102.55,102.55,102.55,5
SDL26BEES,2021-04-30 00:00:00+05:30,102.4,102.4,102.4,102.4,3
SDL26BEES,2021-05-03 00:00:00+05:30,102.51,102.51,102.51,102.51,1
SDL26BEES,2021-05-04 00:00:00+05:30,102.45,102.45,102.45,102.45,6
SDL26BEES,2021-05-05 00:00:00+05:30,102.45,102.45,102.45,102.45,5
SDL26BEES,2021-05-06 00:00:00+05:30,102.55,102.8,102.55,102.73,5303
SDL26BEES,2021-05-07 00:00:00+05:30,102.7,102.7,102.6,102.62,246
SDL26BEES,2021-05-10 00:00:00+05:30,102.73,102.78,102.73,102.78,46
SDL26BEES,2021-05-11 00:00:00+05:30,102.81,102.82,102.78,102.82,245145
SDL26BEES,2021-05-12 00:00:00+05:30,102.9,102.9,102.9,102.9,245101
SDL26BEES,2021-05-14 00:00:00+05:30,102.88,102.92,102.55,102.87,5371
SDL26BEES,2021-05-17 00:00:00+05:30,102.8,102.8,102.76,102.76,200
SDL26BEES,2021-05-18 00:00:00+05:30,102.86,102.89,102.81,102.85,13109
SDL26BEES,2021-05-19 00:00:00+05:30,102.98,102.98,102.91,102.91,79
SDL26BEES,2021-05-20 00:00:00+05:30,103.0,103.05,102.88,103.05,1003
SDL26BEES,2021-05-21 00:00:00+05:30,103.02,103.05,102.95,103.05,261
SDL26BEES,2021-05-24 00:00:00+05:30,102.98,103.05,102.96,103.05,318
SDL26BEES,2021-05-25 00:00:00+05:30,103.1,103.1,103.05,103.05,53
SDL26BEES,2021-05-27 00:00:00+05:30,103.18,103.24,103.18,103.23,526
SDL26BEES,2021-05-28 00:00:00+05:30,103.21,103.7,103.21,103.55,48044
SDL26BEES,2021-05-31 00:00:00+05:30,103.24,103.25,103.24,103.25,18
SDL26BEES,2021-06-01 00:00:00+05:30,103.2,103.24,103.08,103.1,1499
SDL26BEES,2021-06-02 00:00:00+05:30,103.18,103.25,103.05,103.25,3801
SDL26BEES,2021-06-03 00:00:00+05:30,103.19,103.19,103.13,103.13,103
SDL26BEES,2021-06-04 00:00:00+05:30,106.22,106.22,103.25,103.35,200500
SDL26BEES,2021-06-07 00:00:00+05:30,103.5,103.5,103.38,103.45,1078164
SDL26BEES,2021-06-08 00:00:00+05:30,103.48,103.53,103.45,103.46,607
SDL26BEES,2021-06-09 00:00:00+05:30,103.55,103.6,103.55,103.55,27
SDL26BEES,2021-06-10 00:00:00+05:30,103.5,103.52,103.5,103.52,51
SDL26BEES,2021-06-11 00:00:00+05:30,103.61,103.61,103.56,103.61,249166
SDL26BEES,2021-06-14 00:00:00+05:30,103.8,103.8,103.8,103.8,5
SDL26BEES,2021-06-16 00:00:00+05:30,103.67,103.67,103.56,103.57,42334
SDL26BEES,2021-06-17 00:00:00+05:30,106.67,106.67,103.47,103.52,122
SDL26BEES,2021-06-18 00:00:00+05:30,103.52,103.52,103.5,103.51,106
SDL26BEES,2021-06-21 00:00:00+05:30,103.75,105.52,103.66,103.66,230
SDL26BEES,2021-06-22 00:00:00+05:30,103.56,103.6,103.48,103.6,702
SDL26BEES,2021-06-23 00:00:00+05:30,103.64,103.64,103.64,103.64,46
SDL26BEES,2021-06-24 00:00:00+05:30,103.58,103.58,103.58,103.58,6
SDL26BEES,2021-06-25 00:00:00+05:30,103.58,103.58,103.5,103.5,390
SDL26BEES,2021-06-28 00:00:00+05:30,103.59,103.64,103.55,103.64,218
SDL26BEES,2021-06-29 00:00:00+05:30,104.0,104.0,103.62,103.66,106
SDL26BEES,2021-06-30 00:00:00+05:30,103.73,103.73,103.6,103.6,90
SDL26BEES,2021-07-01 00:00:00+05:30,103.45,103.57,103.45,103.57,113
SDL26BEES,2021-07-02 00:00:00+05:30,103.52,103.53,103.47,103.52,410161
SDL26BEES,2021-07-05 00:00:00+05:30,103.57,103.57,103.52,103.54,255
SDL26BEES,2021-07-06 00:00:00+05:30,103.6,103.6,103.6,103.6,1
SDL26BEES,2021-07-07 00:00:00+05:30,103.53,103.53,103.53,103.53,50
SDL26BEES,2021-07-08 00:00:00+05:30,103.47,103.47,103.47,103.47,50
SDL26BEES,2021-07-09 00:00:00+05:30,103.47,103.52,103.47,103.5,12
