Symbol,Date,Open,High,Low,Close,Volume
SENSEXIETF,2015-01-02 00:00:00+05:30,279.0,279.0,279.0,279.0,1
SENSEXIETF,2015-01-06 00:00:00+05:30,283.0,283.0,283.0,283.0,1
SENSEXIETF,2015-01-21 00:00:00+05:30,288.25,288.25,288.0,288.0,50
SENSEXIETF,2015-01-22 00:00:00+05:30,287.0,287.0,287.0,287.0,1
SENSEXIETF,2015-01-27 00:00:00+05:30,291.0,291.0,291.0,291.0,3
SENSEXIETF,2015-01-28 00:00:00+05:30,294.0,294.0,294.0,294.0,25
SENSEXIETF,2015-01-29 00:00:00+05:30,300.0,300.0,294.0,294.0,21
SENSEXIETF,2015-02-02 00:00:00+05:30,296.0,296.0,296.0,296.0,6
SENSEXIETF,2015-02-03 00:00:00+05:30,295.0,295.0,295.0,295.0,3
SENSEXIETF,2015-02-04 00:00:00+05:30,290.39,290.39,286.0,286.0,28
SENSEXIETF,2015-02-11 00:00:00+05:30,282.0,282.0,282.0,282.0,25
SENSEXIETF,2015-02-13 00:00:00+05:30,288.0,288.0,288.0,288.0,1
SENSEXIETF,2015-02-16 00:00:00+05:30,289.0,289.0,289.0,289.0,10
SENSEXIETF,2015-03-04 00:00:00+05:30,294.0,294.0,294.0,294.0,2
SENSEXIETF,2015-03-19 00:00:00+05:30,290.0,290.0,284.0,284.0,20
SENSEXIETF,2015-03-20 00:00:00+05:30,293.0,293.0,291.0,291.0,27
SENSEXIETF,2015-03-30 00:00:00+05:30,279.0,279.0,273.0,273.0,32
SENSEXIETF,2015-03-31 00:00:00+05:30,285.0,285.0,285.0,285.0,6
SENSEXIETF,2015-04-15 00:00:00+05:30,239.0,292.8,239.0,289.32,135
SENSEXIETF,2015-04-16 00:00:00+05:30,286.0,286.0,286.0,286.0,25
SENSEXIETF,2015-04-29 00:00:00+05:30,272.8,272.8,252.0,252.0,1000
SENSEXIETF,2015-04-30 00:00:00+05:30,276.0,276.0,276.0,276.0,7
SENSEXIETF,2015-06-22 00:00:00+05:30,246.0,279.0,246.0,279.0,41
SENSEXIETF,2015-06-23 00:00:00+05:30,245.0,245.0,245.0,245.0,28
SENSEXIETF,2015-06-30 00:00:00+05:30,226.0,336.99,226.0,247.0,16
SENSEXIETF,2015-07-03 00:00:00+05:30,245.0,245.0,244.4,244.4,2
SENSEXIETF,2015-07-14 00:00:00+05:30,227.0,240.0,227.0,236.0,5
SENSEXIETF,2015-07-20 00:00:00+05:30,237.6,240.2,237.6,240.2,11
SENSEXIETF,2015-07-21 00:00:00+05:30,242.0,242.0,242.0,242.0,5
SENSEXIETF,2015-07-22 00:00:00+05:30,242.0,242.0,242.0,242.0,1
SENSEXIETF,2015-07-27 00:00:00+05:30,300.0,300.0,235.04,252.32,390
SENSEXIETF,2015-07-28 00:00:00+05:30,248.01,260.0,242.6,242.6,98
SENSEXIETF,2015-07-29 00:00:00+05:30,243.16,244.99,243.16,244.01,10
SENSEXIETF,2015-07-30 00:00:00+05:30,244.55,244.55,244.55,244.55,41
SENSEXIETF,2015-07-31 00:00:00+05:30,245.1,288.5,245.1,260.0,169
SENSEXIETF,2015-08-03 00:00:00+05:30,255.0,255.0,243.61,245.48,24
SENSEXIETF,2015-08-04 00:00:00+05:30,289.99,290.0,246.11,246.11,26
SENSEXIETF,2015-08-06 00:00:00+05:30,241.0,289.0,241.0,289.0,61
SENSEXIETF,2015-08-07 00:00:00+05:30,300.2,300.2,256.12,260.02,153
SENSEXIETF,2015-08-14 00:00:00+05:30,238.0,288.0,238.0,288.0,61
SENSEXIETF,2015-08-18 00:00:00+05:30,285.0,285.0,285.0,285.0,10
SENSEXIETF,2015-08-19 00:00:00+05:30,248.0,285.0,248.0,285.0,27
SENSEXIETF,2015-08-20 00:00:00+05:30,300.0,300.0,300.0,300.0,10
SENSEXIETF,2015-08-21 00:00:00+05:30,228.2,279.89,227.3,278.0,410
SENSEXIETF,2015-08-24 00:00:00+05:30,229.0,268.0,229.0,230.0,42
SENSEXIETF,2015-08-25 00:00:00+05:30,279.89,279.89,279.89,279.89,10
SENSEXIETF,2015-08-26 00:00:00+05:30,255.0,264.0,255.0,264.0,1182
SENSEXIETF,2015-08-27 00:00:00+05:30,299.0,317.12,299.0,316.8,106
SENSEXIETF,2015-08-28 00:00:00+05:30,265.5,309.0,258.0,309.0,8
SENSEXIETF,2015-09-01 00:00:00+05:30,243.12,243.12,243.12,243.12,1
SENSEXIETF,2015-09-14 00:00:00+05:30,312.0,312.0,312.0,312.0,10
SENSEXIETF,2015-09-15 00:00:00+05:30,308.0,308.0,308.0,308.0,10
SENSEXIETF,2015-09-16 00:00:00+05:30,310.0,312.0,310.0,312.0,10
SENSEXIETF,2015-09-28 00:00:00+05:30,307.0,307.0,307.0,307.0,1
SENSEXIETF,2015-09-30 00:00:00+05:30,310.0,310.0,310.0,310.0,5
SENSEXIETF,2015-10-08 00:00:00+05:30,328.0,328.0,328.0,328.0,9
SENSEXIETF,2015-10-12 00:00:00+05:30,323.3,323.3,323.3,323.3,2
SENSEXIETF,2015-10-13 00:00:00+05:30,258.05,258.05,258.05,258.05,10
SENSEXIETF,2015-11-20 00:00:00+05:30,309.0,309.0,245.0,251.0,53
SENSEXIETF,2015-11-30 00:00:00+05:30,300.0,300.0,300.0,300.0,24
SENSEXIETF,2015-12-09 00:00:00+05:30,230.0,270.0,230.0,270.0,2
SENSEXIETF,2015-12-10 00:00:00+05:30,235.0,245.0,235.0,245.0,2
SENSEXIETF,2015-12-14 00:00:00+05:30,245.0,245.0,245.0,245.0,4
SENSEXIETF,2016-01-13 15:23:00+05:30,303.0,303.0,303.0,303.0,10
SENSEXIETF,2016-01-15 10:09:00+05:30,212.0,262.65,212.0,260.0,52
SENSEXIETF,2016-01-18 14:44:00+05:30,270.0,270.0,270.0,270.0,1
SENSEXIETF,2016-01-19 11:46:00+05:30,228.0,229.0,218.1,223.8,1817
SENSEXIETF,2016-01-20 10:18:00+05:30,212.0,224.0,201.0,222.31,397
SENSEXIETF,2016-01-21 09:26:00+05:30,239.9,239.9,215.0,215.0,22
SENSEXIETF,2016-01-22 12:59:00+05:30,220.0,224.0,220.0,224.0,230
SENSEXIETF,2016-01-28 09:21:00+05:30,220.0,220.0,220.0,220.0,25
SENSEXIETF,2016-01-29 10:38:00+05:30,219.0,225.0,219.0,225.0,179
SENSEXIETF,2016-02-01 10:37:00+05:30,220.5,220.5,220.5,220.5,5
SENSEXIETF,2016-02-02 13:11:00+05:30,220.0,221.0,220.0,221.0,32
