Symbol,Date,Open,High,Low,Close,Volume
SHAHALLOYS,2007-01-02 00:00:00+05:30,158.0,166.0,156.0,160.85,14670
SHAHALLOYS,2007-01-03 00:00:00+05:30,162.0,166.0,159.1,161.05,13106
SHAHALLOYS,2007-01-04 00:00:00+05:30,160.0,168.95,159.0,160.05,104714
SHAHALLOYS,2007-01-05 00:00:00+05:30,160.1,162.8,158.1,159.65,22305
SHAHALLOYS,2007-01-08 00:00:00+05:30,159.0,159.0,154.65,155.4,1546
SHAHALLOYS,2007-01-09 00:00:00+05:30,152.6,157.9,149.05,150.5,6941
SHAHALLOYS,2007-01-10 00:00:00+05:30,152.7,152.7,147.0,148.85,3070
SHAHALLOYS,2007-01-11 00:00:00+05:30,149.95,151.75,145.1,149.3,76863
SHAHALLOYS,2007-01-12 00:00:00+05:30,155.0,161.0,149.05,150.9,31314
SHAHALLOYS,2007-01-15 00:00:00+05:30,152.5,154.9,150.1,151.95,41396
SHAHALLOYS,2007-01-16 00:00:00+05:30,152.95,152.95,148.0,149.2,3875
SHAHALLOYS,2007-01-17 00:00:00+05:30,150.85,151.5,147.6,148.0,7437
SHAHALLOYS,2007-01-18 00:00:00+05:30,149.5,149.5,145.0,145.95,9983
SHAHALLOYS,2007-01-19 00:00:00+05:30,146.15,146.35,142.15,143.3,5589
SHAHALLOYS,2007-01-22 00:00:00+05:30,143.0,145.8,140.25,143.8,6282
SHAHALLOYS,2007-01-23 00:00:00+05:30,148.9,148.9,143.0,144.65,2859
SHAHALLOYS,2007-01-24 00:00:00+05:30,141.1,148.75,141.05,142.15,85488
SHAHALLOYS,2007-01-25 00:00:00+05:30,142.6,147.0,142.6,145.0,19983
SHAHALLOYS,2007-01-29 00:00:00+05:30,145.0,146.95,143.0,144.75,3105
SHAHALLOYS,2007-01-31 00:00:00+05:30,145.9,145.9,143.0,143.25,17061
SHAHALLOYS,2007-02-01 00:00:00+05:30,144.0,145.0,143.75,143.85,7726
SHAHALLOYS,2007-02-02 00:00:00+05:30,144.0,146.4,142.05,145.65,47774
SHAHALLOYS,2007-02-05 00:00:00+05:30,143.5,147.95,142.2,142.65,24373
SHAHALLOYS,2007-02-06 00:00:00+05:30,141.2,145.9,139.05,141.55,13823
SHAHALLOYS,2007-02-07 00:00:00+05:30,142.5,151.0,141.55,144.95,24919
SHAHALLOYS,2007-02-08 00:00:00+05:30,147.45,147.45,139.15,140.8,5409
SHAHALLOYS,2007-02-09 00:00:00+05:30,144.65,144.65,136.2,138.75,4015
SHAHALLOYS,2007-02-12 00:00:00+05:30,137.0,140.8,115.05,127.45,77292
SHAHALLOYS,2007-02-13 00:00:00+05:30,123.0,129.0,119.0,122.9,53237
SHAHALLOYS,2007-02-14 00:00:00+05:30,124.75,139.9,121.1,134.9,21942
SHAHALLOYS,2007-02-15 00:00:00+05:30,137.0,150.0,137.0,149.35,111387
SHAHALLOYS,2007-02-19 00:00:00+05:30,152.8,152.85,142.5,147.1,24123
SHAHALLOYS,2007-02-20 00:00:00+05:30,147.0,152.0,144.0,144.65,11940
SHAHALLOYS,2007-02-21 00:00:00+05:30,142.25,144.9,141.1,142.05,1674
SHAHALLOYS,2007-02-22 00:00:00+05:30,144.0,146.5,137.0,141.15,3193
SHAHALLOYS,2007-02-23 00:00:00+05:30,145.0,145.0,127.05,128.6,10028
SHAHALLOYS,2007-02-26 00:00:00+05:30,118.95,126.0,115.75,115.75,131831
SHAHALLOYS,2007-02-27 00:00:00+05:30,114.7,114.7,108.6,112.65,38236
SHAHALLOYS,2007-02-28 00:00:00+05:30,110.2,112.65,107.05,109.25,53380
SHAHALLOYS,2007-03-01 00:00:00+05:30,113.9,114.75,110.1,114.75,10007
SHAHALLOYS,2007-03-02 00:00:00+05:30,117.8,118.45,115.2,116.4,6420
SHAHALLOYS,2007-03-05 00:00:00+05:30,110.9,110.9,110.6,110.7,1611
SHAHALLOYS,2007-03-06 00:00:00+05:30,107.55,115.45,105.2,106.05,331737
SHAHALLOYS,2007-03-07 00:00:00+05:30,106.0,106.0,100.75,100.75,18491
SHAHALLOYS,2007-03-08 00:00:00+05:30,96.0,96.5,95.75,95.75,14808
SHAHALLOYS,2007-03-09 00:00:00+05:30,94.5,94.85,91.0,91.0,6064
SHAHALLOYS,2007-03-12 00:00:00+05:30,86.65,90.0,86.45,88.5,21318
SHAHALLOYS,2007-03-13 00:00:00+05:30,90.0,92.0,87.55,89.05,16319
SHAHALLOYS,2007-03-14 00:00:00+05:30,86.0,90.7,84.6,84.75,18164
SHAHALLOYS,2007-03-15 00:00:00+05:30,86.0,87.5,83.2,83.65,17061
SHAHALLOYS,2007-03-16 00:00:00+05:30,84.9,84.9,81.25,83.8,8887
SHAHALLOYS,2007-03-19 00:00:00+05:30,82.35,85.0,82.1,84.45,3636
SHAHALLOYS,2007-03-20 00:00:00+05:30,85.0,86.0,80.55,82.8,19152
SHAHALLOYS,2007-03-21 00:00:00+05:30,83.5,83.5,81.5,82.65,12380
SHAHALLOYS,2007-03-22 00:00:00+05:30,83.8,86.0,82.15,84.55,64232
SHAHALLOYS,2007-03-23 00:00:00+05:30,85.0,86.9,82.8,82.9,4735
SHAHALLOYS,2007-03-26 00:00:00+05:30,84.85,84.85,80.3,80.7,7924
SHAHALLOYS,2007-03-28 00:00:00+05:30,81.9,81.9,76.7,76.7,43342
SHAHALLOYS,2007-03-29 00:00:00+05:30,75.0,80.55,74.5,80.55,4917
SHAHALLOYS,2007-03-30 00:00:00+05:30,84.4,84.6,82.0,84.6,20780
SHAHALLOYS,2007-04-02 00:00:00+05:30,88.85,88.85,80.5,82.1,28105
SHAHALLOYS,2007-04-03 00:00:00+05:30,83.05,86.25,82.0,85.35,12827
SHAHALLOYS,2007-04-04 00:00:00+05:30,89.5,89.5,82.5,83.5,16794
SHAHALLOYS,2007-04-05 00:00:00+05:30,80.15,87.0,80.15,85.8,20650
SHAHALLOYS,2007-04-09 00:00:00+05:30,87.9,90.1,87.0,90.05,266960
SHAHALLOYS,2007-04-10 00:00:00+05:30,93.55,93.55,88.05,89.5,23465
SHAHALLOYS,2007-04-11 00:00:00+05:30,91.9,98.45,90.0,98.35,178270
SHAHALLOYS,2007-04-12 00:00:00+05:30,100.0,105.0,88.55,88.55,414111
SHAHALLOYS,2007-04-13 00:00:00+05:30,87.0,87.0,79.7,80.5,270427
SHAHALLOYS,2007-04-16 00:00:00+05:30,83.0,85.95,82.1,84.15,103930
SHAHALLOYS,2007-04-17 00:00:00+05:30,85.0,86.0,82.65,83.55,37587
SHAHALLOYS,2007-04-18 00:00:00+05:30,84.0,84.9,82.3,82.5,14304
SHAHALLOYS,2007-04-19 00:00:00+05:30,82.1,83.0,81.5,81.85,11106
SHAHALLOYS,2007-04-20 00:00:00+05:30,82.5,85.1,82.25,82.8,20733
SHAHALLOYS,2007-04-23 00:00:00+05:30,83.5,84.0,81.5,82.0,16697
SHAHALLOYS,2007-04-24 00:00:00+05:30,82.5,87.9,81.5,85.4,62981
SHAHALLOYS,2007-04-25 00:00:00+05:30,85.5,88.0,84.25,87.5,77056
SHAHALLOYS,2007-04-26 00:00:00+05:30,88.5,89.8,84.8,85.6,50256
SHAHALLOYS,2007-04-27 00:00:00+05:30,83.0,85.9,82.5,82.95,15515
SHAHALLOYS,2007-04-30 00:00:00+05:30,84.9,84.9,82.4,83.05,15708
