Symbol,Date,Open,High,Low,Close,Volume
SHARIABEES,2009-04-01 00:00:00+05:30,72.7,72.7,63.5,71.71,11009
SHARIABEES,2009-04-02 00:00:00+05:30,74.5,76.0,74.5,75.5,1996
SHARIABEES,2009-04-06 00:00:00+05:30,78.5,78.5,76.0,76.0,1357
SHARIABEES,2009-04-08 00:00:00+05:30,75.5,78.0,74.5,78.0,1675
SHARIABEES,2009-04-09 00:00:00+05:30,79.8,80.9,78.5,80.5,877
SHARIABEES,2009-04-13 00:00:00+05:30,80.0,80.8,79.4,79.4,870
SHARIABEES,2009-04-15 00:00:00+05:30,79.4,82.0,74.1,79.18,1358
SHARIABEES,2009-04-16 00:00:00+05:30,81.5,82.5,79.5,79.5,950
SHARIABEES,2009-04-17 00:00:00+05:30,79.7,82.5,79.7,80.2,822
SHARIABEES,2009-04-20 00:00:00+05:30,80.2,80.2,80.2,80.2,2
SHARIABEES,2009-04-21 00:00:00+05:30,80.2,80.2,79.0,79.0,160
SHARIABEES,2009-04-22 00:00:00+05:30,79.0,79.0,79.0,79.0,5
SHARIABEES,2009-04-23 00:00:00+05:30,78.0,81.0,78.0,81.0,182
SHARIABEES,2009-04-24 00:00:00+05:30,80.7,82.0,80.7,82.0,573
SHARIABEES,2009-04-27 00:00:00+05:30,82.0,82.0,81.5,81.5,456
SHARIABEES,2009-04-28 00:00:00+05:30,81.7,81.7,79.9,79.9,2084
SHARIABEES,2009-04-29 00:00:00+05:30,81.5,83.0,72.0,83.0,555
SHARIABEES,2009-05-04 00:00:00+05:30,86.95,86.95,85.6,86.6,937
SHARIABEES,2009-05-05 00:00:00+05:30,87.9,88.0,86.8,87.0,259
SHARIABEES,2009-05-06 00:00:00+05:30,86.5,88.0,86.5,87.5,418
SHARIABEES,2009-05-07 00:00:00+05:30,86.55,87.9,86.5,87.75,369
SHARIABEES,2009-05-08 00:00:00+05:30,87.85,88.5,85.4,85.4,1005
SHARIABEES,2009-05-11 00:00:00+05:30,87.85,87.85,85.9,85.9,74
SHARIABEES,2009-05-12 00:00:00+05:30,85.0,86.3,84.0,85.2,946
SHARIABEES,2009-05-13 00:00:00+05:30,88.05,88.2,88.0,88.0,219
SHARIABEES,2009-05-14 00:00:00+05:30,87.0,87.0,86.0,87.0,422
SHARIABEES,2009-05-15 00:00:00+05:30,88.4,88.4,86.4,88.0,306
SHARIABEES,2009-05-18 00:00:00+05:30,90.0,90.0,90.0,90.0,149
SHARIABEES,2009-05-19 00:00:00+05:30,100.0,107.9,100.0,102.0,2731
SHARIABEES,2009-05-20 00:00:00+05:30,102.0,102.0,99.0,100.38,459
SHARIABEES,2009-05-21 00:00:00+05:30,100.0,100.0,96.0,96.66,619
SHARIABEES,2009-05-22 00:00:00+05:30,100.0,105.0,96.0,99.5,1035
SHARIABEES,2009-05-25 00:00:00+05:30,100.0,100.0,98.2,99.0,630
SHARIABEES,2009-05-26 00:00:00+05:30,99.5,99.5,98.5,98.5,177
SHARIABEES,2009-05-27 00:00:00+05:30,100.0,100.0,98.0,100.0,390
SHARIABEES,2009-05-28 00:00:00+05:30,100.0,101.5,100.0,101.0,675
SHARIABEES,2009-05-29 00:00:00+05:30,103.0,103.0,101.0,101.09,896
SHARIABEES,2009-06-01 00:00:00+05:30,105.0,106.95,104.5,104.63,285
SHARIABEES,2009-06-02 00:00:00+05:30,110.0,110.0,103.0,103.0,261
SHARIABEES,2009-06-03 00:00:00+05:30,107.0,107.0,105.0,105.0,294
SHARIABEES,2009-06-04 00:00:00+05:30,106.0,106.0,104.0,106.0,376
SHARIABEES,2009-06-05 00:00:00+05:30,106.0,107.0,106.0,107.0,595
SHARIABEES,2009-06-08 00:00:00+05:30,107.0,109.0,106.0,106.0,908
SHARIABEES,2009-06-09 00:00:00+05:30,106.5,109.0,105.5,106.0,360
SHARIABEES,2009-06-10 00:00:00+05:30,109.0,113.0,109.0,113.0,249
SHARIABEES,2009-06-11 00:00:00+05:30,112.0,112.0,110.0,111.0,239
SHARIABEES,2009-06-12 00:00:00+05:30,112.0,112.0,110.0,110.0,360
SHARIABEES,2009-06-15 00:00:00+05:30,110.0,110.0,110.0,110.0,185
