Symbol,Date,Open,High,Low,Close,Volume
SHRADHA,2016-02-04 13:41:00+05:30,2.2,2.2,2.2,2.2,30245
SHRADHA,2020-10-22 00:00:00+05:30,7.92,7.92,7.6,7.6,7015
SHRADHA,2020-10-23 00:00:00+05:30,7.8,7.98,7.42,7.98,13130
SHRADHA,2020-10-26 00:00:00+05:30,8.3,8.36,8.0,8.0,14800
SHRADHA,2020-10-27 00:00:00+05:30,7.7,8.28,7.6,8.22,13410
SHRADHA,2020-10-28 00:00:00+05:30,8.58,8.58,8.02,8.58,2535
SHRADHA,2020-10-29 00:00:00+05:30,9.0,9.0,9.0,9.0,16690
SHRADHA,2020-10-30 00:00:00+05:30,9.46,9.46,9.46,9.46,2580
SHRADHA,2020-11-02 00:00:00+05:30,9.92,9.92,9.92,9.92,1500
SHRADHA,2020-11-03 00:00:00+05:30,10.3,10.4,9.42,9.56,1395
SHRADHA,2020-11-04 00:00:00+05:30,10.0,10.0,9.1,9.1,11265
SHRADHA,2020-11-05 00:00:00+05:30,9.1,9.1,8.64,8.64,505
SHRADHA,2020-11-06 00:00:00+05:30,8.64,9.08,8.64,9.08,11540
SHRADHA,2020-11-09 00:00:00+05:30,9.52,9.52,9.52,9.52,1270
SHRADHA,2020-11-10 00:00:00+05:30,9.06,9.96,9.06,9.9,11660
SHRADHA,2020-11-11 00:00:00+05:30,9.9,10.38,9.9,10.2,8020
SHRADHA,2020-11-12 00:00:00+05:30,10.2,10.7,9.7,10.7,8965
SHRADHA,2020-11-13 00:00:00+05:30,11.24,11.24,10.22,11.22,8065
SHRADHA,2020-11-14 00:00:00+05:30,11.78,11.78,11.6,11.76,6735
SHRADHA,2020-11-17 00:00:00+05:30,12.34,12.34,11.2,11.8,20850
SHRADHA,2020-11-18 00:00:00+05:30,12.3,12.3,11.2,11.58,1405
SHRADHA,2020-11-19 00:00:00+05:30,12.14,12.14,11.0,11.44,10185
SHRADHA,2020-11-20 00:00:00+05:30,12.0,12.0,11.02,12.0,15650
SHRADHA,2020-11-23 00:00:00+05:30,12.0,12.4,12.0,12.0,23550
SHRADHA,2020-11-24 00:00:00+05:30,12.0,12.2,11.4,11.74,27555
SHRADHA,2020-11-25 00:00:00+05:30,11.2,12.32,11.2,11.94,23625
SHRADHA,2020-11-26 00:00:00+05:30,12.4,12.4,11.94,12.2,12940
SHRADHA,2020-11-27 00:00:00+05:30,12.2,12.2,11.94,12.2,655
SHRADHA,2020-12-01 00:00:00+05:30,12.3,12.3,11.94,11.94,12025
SHRADHA,2020-12-02 00:00:00+05:30,11.94,11.94,11.94,11.94,6750
SHRADHA,2020-12-03 00:00:00+05:30,11.94,12.1,11.94,11.94,46385
SHRADHA,2020-12-04 00:00:00+05:30,11.38,11.94,11.36,11.84,8190
SHRADHA,2020-12-07 00:00:00+05:30,11.94,11.94,11.74,11.88,7100
SHRADHA,2020-12-08 00:00:00+05:30,11.94,11.94,11.32,11.94,11245
SHRADHA,2020-12-09 00:00:00+05:30,11.34,11.94,11.34,11.94,5255
SHRADHA,2020-12-10 00:00:00+05:30,11.4,12.54,11.4,12.3,58325
