Symbol,Date,Open,High,Low,Close,Volume
SHREDIGCEM,2019-08-20 00:00:00+05:30,16.6,17.3,16.0,16.3,169881
SHREDIGCEM,2019-08-21 00:00:00+05:30,16.35,16.7,14.05,15.75,150461
SHREDIGCEM,2019-08-22 00:00:00+05:30,15.45,15.9,14.95,15.5,46913
SHREDIGCEM,2019-08-23 00:00:00+05:30,15.15,15.5,15.1,15.25,31047
SHREDIGCEM,2019-08-26 00:00:00+05:30,15.2,15.9,15.0,15.1,44718
SHREDIGCEM,2019-08-27 00:00:00+05:30,15.45,16.0,15.4,15.95,33454
SHREDIGCEM,2019-08-28 00:00:00+05:30,15.9,16.0,15.45,15.55,16932
SHREDIGCEM,2019-08-29 00:00:00+05:30,15.7,15.85,15.3,15.4,63479
SHREDIGCEM,2019-08-30 00:00:00+05:30,15.55,15.8,15.45,15.65,19079
SHREDIGCEM,2019-09-03 00:00:00+05:30,15.25,15.8,15.15,15.4,75335
SHREDIGCEM,2019-09-04 00:00:00+05:30,15.4,15.75,15.2,15.45,68274
SHREDIGCEM,2019-09-05 00:00:00+05:30,15.45,15.7,15.4,15.6,48663
SHREDIGCEM,2019-09-06 00:00:00+05:30,15.5,16.0,15.5,15.8,25813
SHREDIGCEM,2019-09-09 00:00:00+05:30,15.85,16.1,15.45,15.95,54858
SHREDIGCEM,2019-09-11 00:00:00+05:30,16.1,16.75,16.05,16.65,144055
SHREDIGCEM,2019-09-12 00:00:00+05:30,16.65,17.3,16.35,16.65,109035
SHREDIGCEM,2019-09-13 00:00:00+05:30,16.4,17.2,16.35,16.95,133266
SHREDIGCEM,2019-09-16 00:00:00+05:30,16.9,17.2,16.35,17.0,210539
SHREDIGCEM,2019-09-17 00:00:00+05:30,16.8,17.2,16.6,16.8,74811
SHREDIGCEM,2019-09-18 00:00:00+05:30,17.2,17.2,16.0,16.95,27601
SHREDIGCEM,2019-09-19 00:00:00+05:30,17.0,17.0,16.2,16.45,65979
SHREDIGCEM,2019-09-20 00:00:00+05:30,16.45,17.7,16.25,17.15,218892
SHREDIGCEM,2019-09-23 00:00:00+05:30,17.75,17.75,16.9,17.3,169188
SHREDIGCEM,2019-09-24 00:00:00+05:30,17.1,18.15,17.0,17.8,221605
SHREDIGCEM,2019-09-25 00:00:00+05:30,17.8,18.1,17.35,17.4,93225
SHREDIGCEM,2019-09-26 00:00:00+05:30,17.25,17.75,17.1,17.55,79642
SHREDIGCEM,2019-09-27 00:00:00+05:30,17.75,17.75,16.35,17.05,102647
SHREDIGCEM,2019-09-30 00:00:00+05:30,17.0,17.8,16.9,17.25,108597
SHREDIGCEM,2019-10-01 00:00:00+05:30,17.25,17.4,16.1,16.6,91870
SHREDIGCEM,2019-10-03 00:00:00+05:30,17.15,17.15,16.1,16.5,41910
SHREDIGCEM,2019-10-04 00:00:00+05:30,16.95,16.95,16.4,16.5,13989
SHREDIGCEM,2019-10-07 00:00:00+05:30,16.6,16.8,16.2,16.5,64229
SHREDIGCEM,2019-10-09 00:00:00+05:30,16.7,16.85,16.15,16.6,35642
SHREDIGCEM,2019-10-10 00:00:00+05:30,16.85,16.85,16.3,16.4,20514
SHREDIGCEM,2019-10-11 00:00:00+05:30,16.3,16.5,16.15,16.45,28556
SHREDIGCEM,2019-10-14 00:00:00+05:30,16.25,16.3,14.55,16.0,43601
SHREDIGCEM,2019-10-15 00:00:00+05:30,16.35,16.55,16.0,16.5,38138
SHREDIGCEM,2019-10-16 00:00:00+05:30,16.25,16.95,16.15,16.75,55230
SHREDIGCEM,2019-10-17 00:00:00+05:30,16.6,17.1,16.5,16.7,56399
SHREDIGCEM,2019-10-18 00:00:00+05:30,17.0,17.0,16.5,16.75,55180
SHREDIGCEM,2019-10-22 00:00:00+05:30,16.4,17.4,16.4,16.7,106694
SHREDIGCEM,2019-10-23 00:00:00+05:30,16.55,17.05,16.55,16.65,37340
SHREDIGCEM,2019-10-24 00:00:00+05:30,16.55,18.45,16.25,17.65,446068
SHREDIGCEM,2019-10-25 00:00:00+05:30,18.0,20.15,18.0,19.45,1783412
SHREDIGCEM,2019-10-27 00:00:00+05:30,20.3,21.6,20.0,21.2,848093
SHREDIGCEM,2019-10-29 00:00:00+05:30,21.65,24.5,20.6,23.7,2096702
SHREDIGCEM,2019-10-30 00:00:00+05:30,23.65,24.2,22.6,23.0,987724
SHREDIGCEM,2019-10-31 00:00:00+05:30,23.0,23.25,22.05,22.7,503470
SHREDIGCEM,2019-11-01 00:00:00+05:30,22.45,23.0,21.65,21.8,489068
SHREDIGCEM,2019-11-04 00:00:00+05:30,22.5,22.5,20.15,21.05,446129
SHREDIGCEM,2019-11-05 00:00:00+05:30,21.3,22.45,20.75,21.75,530502
SHREDIGCEM,2019-11-06 00:00:00+05:30,21.7,22.3,21.35,21.8,237827
SHREDIGCEM,2019-11-07 00:00:00+05:30,22.0,22.15,20.5,21.35,177603
SHREDIGCEM,2019-11-08 00:00:00+05:30,21.75,21.8,20.4,20.65,248498
SHREDIGCEM,2019-11-11 00:00:00+05:30,21.15,21.25,20.65,20.9,189650
SHREDIGCEM,2019-11-13 00:00:00+05:30,21.1,22.0,20.3,21.25,1035395
