Symbol,Date,Open,High,Low,Close,Volume
SILVERAG,2023-06-15 00:00:00+05:30,72.61,74.45,71.21,71.38,5139
SILVERAG,2023-06-16 00:00:00+05:30,74.97,77.83,71.55,72.21,4669
SILVERAG,2023-06-19 00:00:00+05:30,72.21,72.99,71.01,72.84,1980
SILVERAG,2023-06-20 00:00:00+05:30,72.61,72.75,71.61,72.2,2024
SILVERAG,2023-06-21 00:00:00+05:30,71.11,71.11,69.55,70.0,14838
SILVERAG,2023-06-22 00:00:00+05:30,70.01,70.01,68.51,68.86,23188
SILVERAG,2023-06-23 00:00:00+05:30,68.91,68.91,68.01,68.72,6861
SILVERAG,2023-06-26 00:00:00+05:30,67.01,70.39,67.01,69.56,14090
SILVERAG,2023-06-27 00:00:00+05:30,69.58,70.2,69.46,70.13,2536
SILVERAG,2023-06-28 00:00:00+05:30,70.5,70.5,69.5,69.6,3184
SILVERAG,2023-06-30 00:00:00+05:30,69.61,69.61,68.52,68.56,78724
SILVERAG,2023-07-03 00:00:00+05:30,68.6,69.59,67.6,69.21,3100
SILVERAG,2023-07-04 00:00:00+05:30,70.0,70.29,69.21,70.13,14021
SILVERAG,2023-07-05 00:00:00+05:30,70.2,70.2,69.8,69.81,12112
SILVERAG,2023-07-06 00:00:00+05:30,76.0,76.0,69.76,71.17,1414
SILVERAG,2023-07-07 00:00:00+05:30,71.17,71.17,69.5,69.99,11662
SILVERAG,2023-07-10 00:00:00+05:30,70.19,70.95,70.19,70.66,7645
SILVERAG,2023-07-11 00:00:00+05:30,72.0,72.0,70.21,71.02,12204
SILVERAG,2023-07-12 00:00:00+05:30,71.0,71.09,70.6,71.09,7412
SILVERAG,2023-07-13 00:00:00+05:30,71.09,73.48,71.09,73.05,17409
SILVERAG,2023-07-14 00:00:00+05:30,73.5,75.0,73.2,74.6,10558
SILVERAG,2023-07-17 00:00:00+05:30,74.61,75.59,74.61,74.85,15011
SILVERAG,2023-07-18 00:00:00+05:30,74.99,75.19,74.99,75.0,12125
SILVERAG,2023-07-19 00:00:00+05:30,76.0,76.0,75.19,75.58,8113
SILVERAG,2023-07-20 00:00:00+05:30,75.57,75.99,75.3,75.8,24492
SILVERAG,2023-07-21 00:00:00+05:30,74.61,74.99,74.41,74.46,1100
SILVERAG,2023-07-24 00:00:00+05:30,74.4,74.4,73.9,74.25,1219
SILVERAG,2023-07-25 00:00:00+05:30,74.2,74.3,73.8,74.3,1221
SILVERAG,2023-07-26 00:00:00+05:30,74.2,74.67,74.0,74.41,2268
SILVERAG,2023-07-27 00:00:00+05:30,74.59,75.6,74.59,75.4,1241
SILVERAG,2023-07-28 00:00:00+05:30,74.0,74.0,73.2,73.39,3004
SILVERAG,2023-07-31 00:00:00+05:30,73.31,73.69,73.31,73.59,732
SILVERAG,2023-08-01 00:00:00+05:30,74.0,74.7,74.0,74.52,7054
SILVERAG,2023-08-02 00:00:00+05:30,73.51,74.2,73.5,74.2,2065
SILVERAG,2023-08-03 00:00:00+05:30,73.4,73.4,72.01,72.7,3349
SILVERAG,2023-08-04 00:00:00+05:30,72.61,72.61,72.05,72.14,1890
SILVERAG,2023-08-07 00:00:00+05:30,72.25,72.59,72.0,72.08,8912
SILVERAG,2023-08-08 00:00:00+05:30,72.04,72.04,71.25,71.3,5084
SILVERAG,2023-08-09 00:00:00+05:30,73.08,73.08,69.6,70.68,3756
SILVERAG,2023-08-10 00:00:00+05:30,72.44,72.44,70.11,70.44,3693
SILVERAG,2023-08-11 00:00:00+05:30,70.41,70.41,70.25,70.39,534
SILVERAG,2023-08-14 00:00:00+05:30,70.4,70.4,70.0,70.38,11147
SILVERAG,2023-08-16 00:00:00+05:30,70.41,70.7,69.63,70.7,8130
SILVERAG,2023-08-17 00:00:00+05:30,70.61,70.61,69.84,70.29,16066
SILVERAG,2023-08-18 00:00:00+05:30,70.39,70.78,70.39,70.76,7387
SILVERAG,2023-08-21 00:00:00+05:30,70.78,71.05,70.61,70.99,2744
SILVERAG,2023-08-22 00:00:00+05:30,71.0,72.0,71.0,71.61,16716
SILVERAG,2023-08-23 00:00:00+05:30,71.78,72.78,71.78,72.45,16469
SILVERAG,2023-08-24 00:00:00+05:30,72.54,73.79,72.21,73.4,19097
SILVERAG,2023-08-25 00:00:00+05:30,73.4,73.7,73.2,73.31,2941
