Symbol,Date,Open,High,Low,Close,Volume
SILVERIETF,2022-01-31 00:00:00+05:30,66.6,66.6,63.01,63.28,383344
SILVERIETF,2022-02-01 00:00:00+05:30,67.0,67.0,62.91,63.39,373973
SILVERIETF,2022-02-02 00:00:00+05:30,63.4,63.95,63.32,63.79,240802
SILVERIETF,2022-02-03 00:00:00+05:30,63.75,63.99,63.25,63.49,456153
SILVERIETF,2022-02-04 00:00:00+05:30,63.89,66.4,63.2,63.24,482710
SILVERIETF,2022-02-07 00:00:00+05:30,63.24,64.39,63.24,63.81,524705
SILVERIETF,2022-02-08 00:00:00+05:30,64.19,64.19,63.81,64.02,884618
SILVERIETF,2022-02-09 00:00:00+05:30,64.16,65.0,64.16,64.87,355003
SILVERIETF,2022-02-10 00:00:00+05:30,65.49,65.49,64.71,65.05,498396
SILVERIETF,2022-02-11 00:00:00+05:30,65.25,65.39,64.21,64.63,381274
SILVERIETF,2022-02-14 00:00:00+05:30,66.29,66.75,65.0,66.49,656953
SILVERIETF,2022-02-15 00:00:00+05:30,67.29,67.29,65.3,65.57,520031
SILVERIETF,2022-02-16 00:00:00+05:30,65.69,65.99,65.05,65.67,675847
SILVERIETF,2022-02-17 00:00:00+05:30,65.58,66.8,65.52,66.32,609545
SILVERIETF,2022-02-18 00:00:00+05:30,66.85,66.98,66.0,66.15,598061
SILVERIETF,2022-02-21 00:00:00+05:30,65.35,66.98,65.35,65.7,269977
SILVERIETF,2022-02-22 00:00:00+05:30,66.01,67.0,66.01,66.61,617451
SILVERIETF,2022-02-23 00:00:00+05:30,66.61,68.0,66.15,66.34,415958
SILVERIETF,2022-02-24 00:00:00+05:30,66.34,69.95,66.34,69.3,1155073
SILVERIETF,2022-02-25 00:00:00+05:30,69.0,70.96,66.96,67.15,610123
SILVERIETF,2022-02-28 00:00:00+05:30,67.67,68.4,66.5,67.42,603709
SILVERIETF,2022-03-02 00:00:00+05:30,70.39,70.39,68.4,69.39,708015
SILVERIETF,2022-03-03 00:00:00+05:30,69.39,70.0,69.06,69.57,588237
SILVERIETF,2022-03-04 00:00:00+05:30,70.27,70.9,69.52,69.92,459216
SILVERIETF,2022-03-07 00:00:00+05:30,70.8,73.15,70.8,72.65,1544184
SILVERIETF,2022-03-08 00:00:00+05:30,72.65,74.4,71.3,72.95,560926
SILVERIETF,2022-03-09 00:00:00+05:30,73.61,79.5,72.5,73.1,2062133
SILVERIETF,2022-03-10 00:00:00+05:30,73.09,73.09,69.6,71.01,712387
SILVERIETF,2022-03-11 00:00:00+05:30,72.1,72.3,71.2,71.67,190981
SILVERIETF,2022-03-14 00:00:00+05:30,72.39,72.39,70.65,71.02,337711
SILVERIETF,2022-03-15 00:00:00+05:30,71.13,71.13,69.2,69.47,418957
SILVERIETF,2022-03-16 00:00:00+05:30,70.9,70.9,69.13,69.39,517709
SILVERIETF,2022-03-17 00:00:00+05:30,69.39,70.6,69.39,69.95,275219
SILVERIETF,2022-03-21 00:00:00+05:30,69.99,70.38,68.0,69.69,284606
SILVERIETF,2022-03-22 00:00:00+05:30,70.69,70.69,69.0,69.62,357366
SILVERIETF,2022-03-23 00:00:00+05:30,69.88,69.88,68.93,69.6,167431
SILVERIETF,2022-03-24 00:00:00+05:30,69.6,70.19,69.1,69.75,228802
SILVERIETF,2022-03-25 00:00:00+05:30,70.2,71.17,70.11,70.91,127439
SILVERIETF,2022-03-28 00:00:00+05:30,71.48,71.48,69.38,69.68,819252
SILVERIETF,2022-03-29 00:00:00+05:30,69.8,69.8,67.59,68.81,216973
SILVERIETF,2022-03-30 00:00:00+05:30,70.8,70.8,68.56,69.02,113374
SILVERIETF,2022-03-31 00:00:00+05:30,69.2,69.2,68.4,68.58,140316
SILVERIETF,2022-04-01 00:00:00+05:30,68.95,69.45,68.76,69.19,284745
SILVERIETF,2022-04-04 00:00:00+05:30,69.25,69.38,68.5,68.85,786981
SILVERIETF,2022-04-05 00:00:00+05:30,69.25,69.25,68.25,68.38,552184
SILVERIETF,2022-04-06 00:00:00+05:30,72.5,72.5,67.8,68.29,530051
SILVERIETF,2022-04-07 00:00:00+05:30,68.29,68.45,68.02,68.42,524334
SILVERIETF,2022-04-08 00:00:00+05:30,68.75,68.99,68.41,68.94,270186
SILVERIETF,2022-04-11 00:00:00+05:30,69.0,69.7,68.91,69.39,465421
SILVERIETF,2022-04-12 00:00:00+05:30,69.75,70.25,69.39,69.67,172382
SILVERIETF,2022-04-13 00:00:00+05:30,69.75,71.44,69.75,71.4,629340
SILVERIETF,2022-04-18 00:00:00+05:30,72.38,72.38,71.5,72.08,440587
SILVERIETF,2022-04-19 00:00:00+05:30,72.38,72.58,71.75,72.15,605249
SILVERIETF,2022-04-20 00:00:00+05:30,71.78,71.78,70.1,70.37,396346
SILVERIETF,2022-04-21 00:00:00+05:30,70.87,70.87,69.76,70.02,243640
SILVERIETF,2022-04-22 00:00:00+05:30,70.09,70.09,68.45,68.64,866882
SILVERIETF,2022-04-25 00:00:00+05:30,68.49,68.49,67.4,67.5,1128212
SILVERIETF,2022-04-26 00:00:00+05:30,68.0,68.0,67.18,67.6,1009441
SILVERIETF,2022-04-27 00:00:00+05:30,67.6,67.6,66.87,67.14,573346
SILVERIETF,2022-04-28 00:00:00+05:30,67.0,67.0,65.94,66.44,707452
SILVERIETF,2022-04-29 00:00:00+05:30,66.97,66.97,66.44,66.91,1129280
SILVERIETF,2022-05-02 00:00:00+05:30,65.94,65.94,64.85,64.99,1803024
SILVERIETF,2022-05-04 00:00:00+05:30,64.94,64.94,64.48,64.7,1615028
SILVERIETF,2022-05-05 00:00:00+05:30,65.6,66.29,65.11,65.43,690978
SILVERIETF,2022-05-06 00:00:00+05:30,64.99,64.99,64.2,64.6,638694
SILVERIETF,2022-05-09 00:00:00+05:30,64.98,64.98,64.0,64.12,287392
SILVERIETF,2022-05-10 00:00:00+05:30,64.45,64.45,63.46,63.72,604839
SILVERIETF,2022-05-11 00:00:00+05:30,63.5,63.5,62.45,63.29,505302
SILVERIETF,2022-05-12 00:00:00+05:30,63.19,63.19,62.25,62.37,389797
SILVERIETF,2022-05-13 00:00:00+05:30,62.0,62.0,60.96,61.22,648248
SILVERIETF,2022-05-16 00:00:00+05:30,61.23,62.09,60.5,61.97,992128
SILVERIETF,2022-05-17 00:00:00+05:30,62.5,63.52,62.5,63.39,190611
SILVERIETF,2022-05-18 00:00:00+05:30,63.39,63.57,62.61,63.29,831513
SILVERIETF,2022-05-19 00:00:00+05:30,63.0,63.0,62.2,62.75,857577
SILVERIETF,2022-05-20 00:00:00+05:30,63.0,64.05,63.0,64.0,221081
SILVERIETF,2022-05-23 00:00:00+05:30,63.89,64.39,63.5,64.18,208646
SILVERIETF,2022-05-24 00:00:00+05:30,63.6,63.9,63.1,63.68,197185
SILVERIETF,2022-05-25 00:00:00+05:30,64.0,64.2,63.51,63.65,190640
SILVERIETF,2022-05-26 00:00:00+05:30,63.98,63.98,63.2,63.43,267065
SILVERIETF,2022-05-27 00:00:00+05:30,63.83,64.55,63.82,64.53,218429
