Symbol,Date,Open,High,Low,Close,Volume
SIL,2007-01-02 00:00:00+05:30,63.0,64.3,62.0,62.15,28202
SIL,2007-01-03 00:00:00+05:30,64.0,64.3,60.0,60.1,16367
SIL,2007-01-04 00:00:00+05:30,59.25,62.85,59.25,59.8,22610
SIL,2007-01-05 00:00:00+05:30,61.0,61.0,59.0,59.85,15888
SIL,2007-01-08 00:00:00+05:30,59.0,60.45,56.9,57.85,15279
SIL,2007-01-09 00:00:00+05:30,57.0,58.0,56.0,56.7,10732
SIL,2007-01-10 00:00:00+05:30,57.8,57.8,54.0,54.0,9808
SIL,2007-01-11 00:00:00+05:30,55.0,55.0,51.3,53.05,12152
SIL,2007-01-12 00:00:00+05:30,54.0,55.7,53.0,55.7,7025
SIL,2007-01-15 00:00:00+05:30,58.0,58.5,57.95,58.5,5051
SIL,2007-01-16 00:00:00+05:30,61.0,61.45,55.6,56.6,49886
SIL,2007-01-17 00:00:00+05:30,57.9,59.45,56.0,59.45,10776
SIL,2007-01-18 00:00:00+05:30,61.75,62.45,58.75,59.4,22787
SIL,2007-01-19 00:00:00+05:30,60.0,62.4,58.25,62.4,38720
SIL,2007-01-22 00:00:00+05:30,63.5,63.75,59.3,59.3,14687
SIL,2007-01-23 00:00:00+05:30,60.9,60.9,56.85,57.0,5300
SIL,2007-01-24 00:00:00+05:30,59.85,59.85,57.25,57.5,4096
SIL,2007-01-25 00:00:00+05:30,58.0,59.9,57.0,59.5,7050
SIL,2007-01-29 00:00:00+05:30,56.55,60.0,56.55,58.4,5977
SIL,2007-01-31 00:00:00+05:30,55.6,59.85,55.55,55.7,4046
SIL,2007-02-01 00:00:00+05:30,58.0,58.4,54.0,54.4,6661
SIL,2007-02-02 00:00:00+05:30,54.5,57.0,54.5,55.5,35210
SIL,2007-02-05 00:00:00+05:30,55.2,58.3,55.2,57.05,9797
SIL,2007-02-06 00:00:00+05:30,57.05,59.9,55.1,59.9,12856
SIL,2007-02-07 00:00:00+05:30,62.0,62.25,57.05,58.3,13332
SIL,2007-02-08 00:00:00+05:30,56.3,61.25,55.5,61.25,18009
SIL,2007-02-09 00:00:00+05:30,62.0,64.35,58.3,59.05,20846
SIL,2007-02-12 00:00:00+05:30,56.6,56.6,56.1,56.1,11735
SIL,2007-02-13 00:00:00+05:30,53.3,54.75,53.3,53.3,31359
SIL,2007-02-14 00:00:00+05:30,50.65,52.1,50.65,51.25,8565
SIL,2007-02-15 00:00:00+05:30,53.0,53.7,52.2,53.0,3780
SIL,2007-02-19 00:00:00+05:30,55.5,55.5,51.3,52.35,9569
SIL,2007-02-20 00:00:00+05:30,50.6,52.5,49.75,49.75,9174
SIL,2007-02-21 00:00:00+05:30,49.75,49.75,47.3,47.75,30565
SIL,2007-02-22 00:00:00+05:30,47.3,48.0,45.4,45.65,12695
SIL,2007-02-23 00:00:00+05:30,43.6,47.4,43.4,43.4,14607
SIL,2007-02-26 00:00:00+05:30,41.25,45.0,41.25,44.4,28840
SIL,2007-02-27 00:00:00+05:30,46.0,46.65,44.0,44.15,3581
SIL,2007-02-28 00:00:00+05:30,44.0,45.9,43.05,43.9,16670
SIL,2007-03-01 00:00:00+05:30,43.5,43.5,41.75,42.95,9557
SIL,2007-03-02 00:00:00+05:30,41.75,45.1,40.9,41.0,5836
SIL,2007-03-05 00:00:00+05:30,39.25,40.0,39.0,40.0,6368
SIL,2007-03-06 00:00:00+05:30,40.9,42.0,38.3,39.05,7026
