Symbol,Date,Open,High,Low,Close,Volume
SMALL250,2025-11-13 00:00:00+05:30,16.98,17.29,16.83,17.08,77062
SMALL250,2025-11-14 00:00:00+05:30,17.16,17.16,17.05,17.09,79226
SMALL250,2025-11-17 00:00:00+05:30,17.15,17.22,17.15,17.21,10194
SMALL250,2025-11-18 00:00:00+05:30,17.64,17.64,17.02,17.04,235530
SMALL250,2025-11-19 00:00:00+05:30,17.05,17.05,16.92,16.96,85618
SMALL250,2025-11-20 00:00:00+05:30,16.96,17.03,16.91,16.94,142654
SMALL250,2025-11-21 00:00:00+05:30,16.92,16.92,16.72,16.73,89411
SMALL250,2025-11-24 00:00:00+05:30,16.81,16.81,16.58,16.63,33592
SMALL250,2025-11-25 00:00:00+05:30,16.64,16.67,16.58,16.64,53625
SMALL250,2025-11-26 00:00:00+05:30,16.74,16.86,16.74,16.85,137634
SMALL250,2025-11-27 00:00:00+05:30,16.85,16.86,16.74,16.78,134617
SMALL250,2025-11-28 00:00:00+05:30,16.75,16.77,16.7,16.75,41967
