Symbol,Date,Open,High,Low,Close,Volume
SOLARWORLD,2025-09-30 00:00:00+05:30,388.5,388.5,320.5,323.5,9257897
SOLARWORLD,2025-10-01 00:00:00+05:30,323.45,334.0,322.0,332.45,1182520
SOLARWORLD,2025-10-03 00:00:00+05:30,332.45,342.0,330.2,334.45,971242
SOLARWORLD,2025-10-06 00:00:00+05:30,336.9,336.9,316.0,318.65,514030
SOLARWORLD,2025-10-07 00:00:00+05:30,319.5,321.5,302.0,305.4,783321
SOLARWORLD,2025-10-08 00:00:00+05:30,305.95,308.9,295.35,298.6,395694
SOLARWORLD,2025-10-09 00:00:00+05:30,298.4,347.0,298.4,332.1,4289759
SOLARWORLD,2025-10-10 00:00:00+05:30,331.4,336.7,325.65,329.9,612646
SOLARWORLD,2025-10-13 00:00:00+05:30,327.55,344.9,327.25,334.75,1239976
SOLARWORLD,2025-10-14 00:00:00+05:30,333.65,334.75,313.0,315.5,576482
SOLARWORLD,2025-10-15 00:00:00+05:30,317.05,331.5,315.5,329.45,512217
SOLARWORLD,2025-10-16 00:00:00+05:30,328.85,333.4,322.0,325.15,366677
SOLARWORLD,2025-10-17 00:00:00+05:30,328.0,341.25,311.1,315.3,1380717
SOLARWORLD,2025-10-20 00:00:00+05:30,325.0,325.6,306.9,309.8,509066
SOLARWORLD,2025-10-21 00:00:00+05:30,312.0,315.0,311.3,313.85,64479
SOLARWORLD,2025-10-23 00:00:00+05:30,315.05,318.0,310.0,316.15,289687
SOLARWORLD,2025-10-24 00:00:00+05:30,316.15,319.4,309.0,310.4,153142
SOLARWORLD,2025-10-27 00:00:00+05:30,310.0,310.0,298.6,299.4,316041
SOLARWORLD,2025-10-28 00:00:00+05:30,299.95,304.1,298.55,299.55,251440
SOLARWORLD,2025-10-29 00:00:00+05:30,302.9,350.0,301.3,338.4,8493013
SOLARWORLD,2025-10-30 00:00:00+05:30,334.0,342.0,322.8,326.15,855734
SOLARWORLD,2025-10-31 00:00:00+05:30,337.9,337.9,316.6,318.65,405191
SOLARWORLD,2025-11-03 00:00:00+05:30,320.0,320.0,308.2,311.05,353043
SOLARWORLD,2025-11-04 00:00:00+05:30,312.65,312.8,307.35,309.1,237705
SOLARWORLD,2025-11-06 00:00:00+05:30,309.9,311.95,300.1,301.7,327614
SOLARWORLD,2025-11-07 00:00:00+05:30,303.8,308.4,299.1,300.8,401474
SOLARWORLD,2025-11-10 00:00:00+05:30,303.9,308.5,301.35,304.0,269589
SOLARWORLD,2025-11-11 00:00:00+05:30,304.9,308.2,301.0,302.2,225707
SOLARWORLD,2025-11-12 00:00:00+05:30,305.9,305.9,276.55,290.95,857884
SOLARWORLD,2025-11-13 00:00:00+05:30,291.0,300.0,284.6,296.4,575075
SOLARWORLD,2025-11-14 00:00:00+05:30,296.0,302.3,291.2,300.05,257739
SOLARWORLD,2025-11-17 00:00:00+05:30,302.45,302.45,296.25,298.6,107014
SOLARWORLD,2025-11-18 00:00:00+05:30,299.95,299.95,291.0,294.9,206485
SOLARWORLD,2025-11-19 00:00:00+05:30,297.95,307.5,293.4,304.6,219304
SOLARWORLD,2025-11-20 00:00:00+05:30,304.6,305.95,300.05,303.45,163062
SOLARWORLD,2025-11-21 00:00:00+05:30,301.3,303.4,293.15,297.3,136358
SOLARWORLD,2025-11-24 00:00:00+05:30,296.3,297.45,288.1,289.55,143552
SOLARWORLD,2025-11-25 00:00:00+05:30,286.5,292.2,286.5,290.15,87813
SOLARWORLD,2025-11-26 00:00:00+05:30,299.8,299.8,292.0,294.55,69297
SOLARWORLD,2025-11-27 00:00:00+05:30,296.0,302.75,294.8,299.65,115039
SOLARWORLD,2025-11-28 00:00:00+05:30,303.0,304.65,297.05,300.6,172909
