Symbol,Date,Open,High,Low,Close,Volume
STARPAPER,2003-01-01 00:00:00+05:30,8.25,9.25,8.2,8.45,1905
STARPAPER,2003-01-02 00:00:00+05:30,8.6,8.95,8.6,8.8,1250
STARPAPER,2003-01-03 00:00:00+05:30,8.5,9.15,8.5,9.15,5826
STARPAPER,2003-01-06 00:00:00+05:30,8.7,8.7,8.4,8.4,5699
STARPAPER,2003-01-07 00:00:00+05:30,8.4,8.7,8.4,8.65,800
STARPAPER,2003-01-08 00:00:00+05:30,8.5,8.5,8.25,8.5,672
STARPAPER,2003-01-09 00:00:00+05:30,8.45,8.45,8.45,8.45,100
STARPAPER,2003-01-10 00:00:00+05:30,8.05,8.4,8.05,8.4,700
STARPAPER,2003-01-13 00:00:00+05:30,8.4,8.5,8.3,8.5,2201
STARPAPER,2003-01-14 00:00:00+05:30,8.5,8.5,8.4,8.4,704
STARPAPER,2003-01-15 00:00:00+05:30,8.3,8.3,8.25,8.25,1000
STARPAPER,2003-01-16 00:00:00+05:30,8.5,8.6,8.25,8.6,3150
STARPAPER,2003-01-17 00:00:00+05:30,8.15,8.9,8.15,8.9,1388
STARPAPER,2003-01-20 00:00:00+05:30,8.4,8.4,8.4,8.4,200
STARPAPER,2003-01-21 00:00:00+05:30,8.5,8.95,8.5,8.55,2397
STARPAPER,2003-01-22 00:00:00+05:30,9.0,9.0,8.7,9.0,1787
STARPAPER,2003-01-23 00:00:00+05:30,8.8,9.45,8.8,9.45,1200
STARPAPER,2003-01-24 00:00:00+05:30,8.55,8.55,8.5,8.5,300
STARPAPER,2003-01-27 00:00:00+05:30,9.0,9.0,8.25,8.25,1002
STARPAPER,2003-01-28 00:00:00+05:30,9.0,9.0,8.95,9.0,100
STARPAPER,2003-01-29 00:00:00+05:30,9.0,9.0,8.15,8.3,1350
STARPAPER,2003-01-30 00:00:00+05:30,8.95,8.95,8.05,8.15,2000
STARPAPER,2003-01-31 00:00:00+05:30,8.8,8.8,7.95,7.95,5800
STARPAPER,2003-02-03 00:00:00+05:30,8.8,8.8,7.95,7.95,0
STARPAPER,2003-02-04 00:00:00+05:30,8.2,8.2,8.2,8.2,99
STARPAPER,2003-02-05 00:00:00+05:30,7.85,7.9,7.8,7.8,1051
STARPAPER,2003-02-06 00:00:00+05:30,7.7,7.7,7.7,7.7,500
STARPAPER,2003-02-07 00:00:00+05:30,8.4,8.5,8.1,8.25,1104
STARPAPER,2003-02-10 00:00:00+05:30,8.45,8.45,8.45,8.45,200
STARPAPER,2003-02-11 00:00:00+05:30,8.55,8.55,8.1,8.35,2850
STARPAPER,2003-02-12 00:00:00+05:30,8.35,8.35,7.9,7.9,1196
STARPAPER,2003-02-14 00:00:00+05:30,7.7,7.9,7.55,7.9,850
STARPAPER,2003-02-17 00:00:00+05:30,8.25,8.25,8.25,8.25,200
STARPAPER,2003-02-18 00:00:00+05:30,8.0,8.45,8.0,8.3,460
STARPAPER,2003-02-19 00:00:00+05:30,7.6,9.0,7.6,8.75,1500
STARPAPER,2003-02-20 00:00:00+05:30,7.6,9.0,7.6,8.75,0
STARPAPER,2003-02-21 00:00:00+05:30,8.1,8.1,8.1,8.1,50
STARPAPER,2003-02-24 00:00:00+05:30,8.15,8.7,8.15,8.7,1300
STARPAPER,2003-02-25 00:00:00+05:30,8.65,9.0,8.65,8.9,1191
STARPAPER,2003-02-26 00:00:00+05:30,8.65,8.65,8.5,8.5,1300
STARPAPER,2003-02-27 00:00:00+05:30,8.65,8.65,8.5,8.5,0
STARPAPER,2003-02-28 00:00:00+05:30,8.4,9.0,8.35,9.0,5400
STARPAPER,2003-03-03 00:00:00+05:30,8.45,8.55,8.45,8.45,500
STARPAPER,2003-03-04 00:00:00+05:30,8.5,8.5,8.5,8.5,1
STARPAPER,2003-03-05 00:00:00+05:30,9.3,9.3,9.3,9.3,1
