Symbol,Date,Open,High,Low,Close,Volume
STCINDIA,2003-04-04 00:00:00+05:30,40.0,43.5,40.0,42.42,3134
STCINDIA,2003-04-07 00:00:00+05:30,46.12,48.6,45.52,48.27,3882
STCINDIA,2003-04-08 00:00:00+05:30,48.48,50.0,46.3,48.85,8984
STCINDIA,2003-04-09 00:00:00+05:30,49.5,49.5,46.58,47.45,3460
STCINDIA,2003-04-10 00:00:00+05:30,46.7,46.7,44.1,45.25,7306
STCINDIA,2003-04-11 00:00:00+05:30,41.77,46.52,41.77,45.62,7910
STCINDIA,2003-04-15 00:00:00+05:30,46.75,47.73,45.27,45.52,4384
STCINDIA,2003-04-16 00:00:00+05:30,45.5,45.5,43.5,43.5,2186
STCINDIA,2003-04-17 00:00:00+05:30,44.0,44.38,43.0,43.0,660
STCINDIA,2003-04-21 00:00:00+05:30,44.42,46.5,44.42,45.3,1466
STCINDIA,2003-04-22 00:00:00+05:30,45.83,45.83,44.75,44.8,2300
STCINDIA,2003-04-23 00:00:00+05:30,44.08,44.88,43.62,43.75,820
STCINDIA,2003-04-24 00:00:00+05:30,43.0,43.0,40.02,41.45,3796
STCINDIA,2003-04-25 00:00:00+05:30,40.77,42.0,40.62,41.77,1322
STCINDIA,2003-04-28 00:00:00+05:30,43.88,44.0,42.0,44.0,304
STCINDIA,2003-04-29 00:00:00+05:30,44.12,44.5,42.58,43.27,1760
STCINDIA,2003-04-30 00:00:00+05:30,43.17,43.17,39.15,40.73,3926
STCINDIA,2003-05-02 00:00:00+05:30,40.3,42.3,40.3,40.9,1932
STCINDIA,2003-05-05 00:00:00+05:30,42.7,44.38,41.52,42.8,5576
STCINDIA,2003-05-06 00:00:00+05:30,43.48,44.0,42.65,43.62,3830
STCINDIA,2003-05-07 00:00:00+05:30,44.42,44.45,43.5,43.88,1484
STCINDIA,2003-05-08 00:00:00+05:30,44.0,44.3,43.5,43.95,1220
STCINDIA,2003-05-09 00:00:00+05:30,43.88,43.88,43.38,43.75,700
STCINDIA,2003-05-12 00:00:00+05:30,44.25,44.25,42.88,42.88,240
STCINDIA,2003-05-13 00:00:00+05:30,43.9,43.9,42.55,42.95,1154
STCINDIA,2003-05-14 00:00:00+05:30,44.0,44.0,42.77,43.67,3802
STCINDIA,2003-05-15 00:00:00+05:30,44.92,44.92,43.55,44.6,4230
STCINDIA,2003-05-16 00:00:00+05:30,44.0,44.48,43.2,43.35,2200
STCINDIA,2003-05-19 00:00:00+05:30,43.5,43.75,42.75,43.12,2686
STCINDIA,2003-05-20 00:00:00+05:30,39.27,44.0,39.27,43.05,2660
STCINDIA,2003-05-21 00:00:00+05:30,43.0,44.0,43.0,43.3,1970
STCINDIA,2003-05-22 00:00:00+05:30,43.5,44.95,43.5,44.38,3042
STCINDIA,2003-05-23 00:00:00+05:30,43.5,46.0,43.5,44.83,2700
STCINDIA,2003-05-26 00:00:00+05:30,41.62,51.95,41.62,50.3,14816
STCINDIA,2003-05-27 00:00:00+05:30,52.5,52.5,49.0,50.52,25588
STCINDIA,2003-05-28 00:00:00+05:30,50.52,50.9,49.02,49.58,7374
STCINDIA,2003-05-29 00:00:00+05:30,51.0,51.0,49.5,50.05,5690
STCINDIA,2003-05-30 00:00:00+05:30,50.02,52.17,50.0,51.88,15712
STCINDIA,2003-06-02 00:00:00+05:30,52.5,59.95,52.0,56.27,21920
STCINDIA,2003-06-03 00:00:00+05:30,57.48,57.73,52.75,54.0,19170
STCINDIA,2003-06-04 00:00:00+05:30,53.0,57.0,53.0,56.1,22836
STCINDIA,2003-06-05 00:00:00+05:30,55.58,55.92,54.0,54.33,7912
STCINDIA,2003-06-06 00:00:00+05:30,58.25,58.25,51.33,51.8,7942
