Symbol,Date,Open,High,Low,Close,Volume
SYSTMTXC,2025-10-06 00:00:00+05:30,134.0,142.98,126.1,139.77,401671
SYSTMTXC,2025-10-07 00:00:00+05:30,140.82,149.0,140.81,145.21,157425
SYSTMTXC,2025-10-08 00:00:00+05:30,147.4,147.4,138.63,144.36,98840
SYSTMTXC,2025-10-09 00:00:00+05:30,148.89,151.19,145.0,145.07,149816
SYSTMTXC,2025-10-10 00:00:00+05:30,144.0,149.99,143.0,148.51,85772
SYSTMTXC,2025-10-13 00:00:00+05:30,149.26,151.38,147.74,149.03,246731
SYSTMTXC,2025-10-14 00:00:00+05:30,151.0,151.0,147.02,148.5,152413
SYSTMTXC,2025-10-15 00:00:00+05:30,146.25,154.19,146.25,151.7,138277
SYSTMTXC,2025-10-16 00:00:00+05:30,151.7,162.49,151.7,160.06,160971
SYSTMTXC,2025-10-17 00:00:00+05:30,163.85,165.0,157.84,162.37,88676
SYSTMTXC,2025-10-20 00:00:00+05:30,163.18,169.0,163.18,164.95,119185
SYSTMTXC,2025-10-21 00:00:00+05:30,168.0,170.0,166.17,168.67,15474
SYSTMTXC,2025-10-23 00:00:00+05:30,167.01,171.0,167.0,167.21,89725
SYSTMTXC,2025-10-24 00:00:00+05:30,168.05,170.0,156.4,157.85,154386
SYSTMTXC,2025-10-27 00:00:00+05:30,158.0,167.21,156.53,161.59,71690
SYSTMTXC,2025-10-28 00:00:00+05:30,163.2,164.99,160.0,161.82,54904
SYSTMTXC,2025-10-29 00:00:00+05:30,161.0,166.97,161.0,162.64,44025
SYSTMTXC,2025-10-30 00:00:00+05:30,162.64,169.0,161.3,164.29,117175
SYSTMTXC,2025-10-31 00:00:00+05:30,165.58,167.0,163.4,164.81,80851
SYSTMTXC,2025-11-03 00:00:00+05:30,164.9,167.49,158.0,160.34,68340
SYSTMTXC,2025-11-04 00:00:00+05:30,163.5,176.32,162.5,166.57,1728805
SYSTMTXC,2025-11-06 00:00:00+05:30,166.3,167.88,161.5,162.82,113075
SYSTMTXC,2025-11-07 00:00:00+05:30,161.2,165.61,155.72,163.41,431805
SYSTMTXC,2025-11-10 00:00:00+05:30,163.41,165.29,162.8,164.01,115586
SYSTMTXC,2025-11-11 00:00:00+05:30,161.55,164.5,160.0,160.31,23927
SYSTMTXC,2025-11-12 00:00:00+05:30,161.9,162.39,154.57,159.13,44326
SYSTMTXC,2025-11-13 00:00:00+05:30,155.2,160.69,155.2,157.3,168787
SYSTMTXC,2025-11-14 00:00:00+05:30,154.8,155.35,149.4,152.03,98745
SYSTMTXC,2025-11-17 00:00:00+05:30,150.5,154.08,150.5,151.89,82339
SYSTMTXC,2025-11-18 00:00:00+05:30,147.5,154.96,147.5,154.06,76387
SYSTMTXC,2025-11-19 00:00:00+05:30,151.0,156.07,151.0,151.29,62979
SYSTMTXC,2025-11-20 00:00:00+05:30,155.33,156.33,151.0,152.93,77558
SYSTMTXC,2025-11-21 00:00:00+05:30,155.88,165.5,154.27,162.12,123894
SYSTMTXC,2025-11-24 00:00:00+05:30,163.75,177.9,163.75,166.2,563917
SYSTMTXC,2025-11-25 00:00:00+05:30,169.85,171.39,158.47,160.34,119400
SYSTMTXC,2025-11-26 00:00:00+05:30,162.25,170.0,159.81,167.29,95486
SYSTMTXC,2025-11-27 00:00:00+05:30,169.65,169.65,161.0,165.46,71807
SYSTMTXC,2025-11-28 00:00:00+05:30,163.8,167.5,161.1,163.15,81374
