Symbol,Date,Open,High,Low,Close,Volume
TALBROAUTO,2006-09-29 00:00:00+05:30,12.85,12.85,11.85,12.2,10875
TALBROAUTO,2006-10-03 00:00:00+05:30,12.4,12.8,12.4,12.7,26255
TALBROAUTO,2006-10-04 00:00:00+05:30,12.85,13.5,12.85,13.05,33240
TALBROAUTO,2006-10-05 00:00:00+05:30,13.05,13.1,12.85,12.95,36790
TALBROAUTO,2006-10-06 00:00:00+05:30,12.5,13.2,12.5,13.1,28215
TALBROAUTO,2006-10-09 00:00:00+05:30,12.85,13.3,12.85,13.1,14700
TALBROAUTO,2006-10-10 00:00:00+05:30,13.2,13.3,13.1,13.15,22665
TALBROAUTO,2006-10-11 00:00:00+05:30,13.2,13.2,12.9,13.0,12870
TALBROAUTO,2006-10-12 00:00:00+05:30,13.2,13.5,12.85,13.25,29940
TALBROAUTO,2006-10-13 00:00:00+05:30,13.2,13.25,13.1,13.15,11655
TALBROAUTO,2006-10-16 00:00:00+05:30,13.1,13.45,13.1,13.1,17545
TALBROAUTO,2006-10-17 00:00:00+05:30,13.1,13.1,13.0,13.0,25030
TALBROAUTO,2006-10-18 00:00:00+05:30,12.8,13.2,12.8,12.95,13155
TALBROAUTO,2006-10-19 00:00:00+05:30,12.95,13.0,12.8,12.9,4890
TALBROAUTO,2006-10-20 00:00:00+05:30,12.8,13.1,12.8,12.95,8730
TALBROAUTO,2006-10-23 00:00:00+05:30,13.2,13.2,12.8,12.95,2245
TALBROAUTO,2006-10-26 00:00:00+05:30,14.25,14.25,13.5,14.25,75865
TALBROAUTO,2006-10-27 00:00:00+05:30,15.2,15.7,15.0,15.4,511200
TALBROAUTO,2006-10-30 00:00:00+05:30,15.4,15.55,14.2,14.25,73400
TALBROAUTO,2006-10-31 00:00:00+05:30,14.4,15.6,13.9,14.45,61200
TALBROAUTO,2006-11-01 00:00:00+05:30,14.55,14.75,13.7,13.9,44735
TALBROAUTO,2006-11-02 00:00:00+05:30,13.6,14.15,13.6,14.0,37970
TALBROAUTO,2006-11-03 00:00:00+05:30,13.6,14.4,13.45,13.7,29150
TALBROAUTO,2006-11-06 00:00:00+05:30,14.0,14.0,13.65,13.85,23135
TALBROAUTO,2006-11-07 00:00:00+05:30,13.85,14.1,13.6,13.65,11475
TALBROAUTO,2006-11-08 00:00:00+05:30,13.75,13.75,13.25,13.3,13735
TALBROAUTO,2006-11-09 00:00:00+05:30,13.4,13.6,13.25,13.4,21305
TALBROAUTO,2006-11-10 00:00:00+05:30,13.4,13.55,13.15,13.2,7660
TALBROAUTO,2006-11-13 00:00:00+05:30,13.2,13.5,13.2,13.35,10900
TALBROAUTO,2006-11-14 00:00:00+05:30,13.4,13.6,13.05,13.25,19855
TALBROAUTO,2006-11-15 00:00:00+05:30,13.25,13.6,13.2,13.25,14250
