Symbol,Date,Open,High,Low,Close,Volume
TEMBO,2018-06-06 10:54:00+05:30,1.45,1.45,1.45,1.45,111
TEMBO,2018-07-06 09:44:00+05:30,1.5,1.5,1.5,1.5,100
TEMBO,2018-07-12 11:14:00+05:30,1.5,1.5,1.5,1.5,485
TEMBO,2018-08-13 09:44:00+05:30,69.3,69.45,69.1,69.4,256000
TEMBO,2018-08-14 09:59:00+05:30,69.2,70.0,69.2,69.4,194000
TEMBO,2018-08-16 09:15:00+05:30,69.1,69.7,69.1,69.2,12000
TEMBO,2018-08-17 10:12:00+05:30,69.2,69.75,69.2,69.75,180000
TEMBO,2018-08-20 15:08:00+05:30,69.1,70.0,69.1,69.55,4000
TEMBO,2018-08-27 11:34:00+05:30,69.15,69.15,69.1,69.1,6000
TEMBO,2018-08-28 12:53:00+05:30,69.1,69.5,69.1,69.5,28000
TEMBO,2018-08-29 09:47:00+05:30,34.55,34.75,34.55,34.75,20000
TEMBO,2018-08-30 14:50:00+05:30,34.55,34.55,34.55,34.55,4000
TEMBO,2018-08-31 09:20:00+05:30,34.5,34.5,34.5,34.5,8000
TEMBO,2018-09-04 14:01:00+05:30,34.5,34.6,34.5,34.6,8000
TEMBO,2018-09-05 12:16:00+05:30,34.55,34.55,34.5,34.5,56000
TEMBO,2018-09-06 09:56:00+05:30,34.5,34.5,34.5,34.5,4000
TEMBO,2018-09-10 11:11:00+05:30,34.5,34.5,34.5,34.5,12000
TEMBO,2018-09-11 12:15:00+05:30,35.25,35.7,35.25,35.7,144000
TEMBO,2018-09-12 11:26:00+05:30,34.5,34.5,34.5,34.5,4000
TEMBO,2018-09-17 09:52:00+05:30,34.5,34.6,34.5,34.6,8000
TEMBO,2018-09-18 15:26:00+05:30,34.6,34.6,34.6,34.6,4000
TEMBO,2018-09-19 14:24:00+05:30,35.7,35.7,35.0,35.0,152000
TEMBO,2018-09-21 14:57:00+05:30,34.6,34.6,34.6,34.6,28000
TEMBO,2018-09-26 12:42:00+05:30,35.7,35.7,35.7,35.7,84000
TEMBO,2018-10-01 14:53:00+05:30,34.5,34.5,34.5,34.5,4000
TEMBO,2018-10-05 13:27:00+05:30,34.5,34.5,34.5,34.5,4000
TEMBO,2018-10-31 12:55:00+05:30,34.5,35.5,34.5,35.5,164000
TEMBO,2018-11-02 12:27:00+05:30,35.0,35.0,35.0,35.0,144000
TEMBO,2018-11-05 14:41:00+05:30,35.5,35.5,35.5,35.5,44000
TEMBO,2018-11-06 15:08:00+05:30,35.25,35.25,35.25,35.25,16000
TEMBO,2018-11-07 18:01:00+05:30,35.7,35.7,35.7,35.7,64000
TEMBO,2018-11-09 12:56:00+05:30,35.5,35.7,35.5,35.7,48000
TEMBO,2018-11-12 09:53:00+05:30,1.5,1.5,1.5,1.5,0
TEMBO,2018-11-12 13:48:00+05:30,35.7,35.7,35.7,35.7,108000
TEMBO,2018-11-15 14:52:00+05:30,34.5,34.5,34.5,34.5,4000
TEMBO,2018-11-20 14:06:00+05:30,34.8,34.8,34.8,34.8,4000
TEMBO,2018-11-21 12:32:00+05:30,34.5,34.5,34.5,34.5,4000
TEMBO,2018-11-22 14:23:00+05:30,35.5,35.5,35.5,35.5,20000
TEMBO,2018-11-26 11:47:00+05:30,35.25,35.25,35.25,35.25,64000
TEMBO,2019-02-21 00:00:00+05:30,44.65,46.5,44.65,46.5,208000
TEMBO,2019-02-22 00:00:00+05:30,47.5,47.5,47.5,47.5,4000
TEMBO,2019-02-27 00:00:00+05:30,49.5,50.0,49.5,49.75,8000
TEMBO,2019-02-28 00:00:00+05:30,50.5,50.5,50.5,50.5,12000
TEMBO,2019-03-01 00:00:00+05:30,51.5,51.5,51.0,51.15,16000
TEMBO,2019-03-05 00:00:00+05:30,52.0,52.0,50.0,50.0,12000
TEMBO,2019-03-06 00:00:00+05:30,51.0,51.0,51.0,51.0,20000
TEMBO,2019-03-08 00:00:00+05:30,51.75,51.75,51.75,51.75,8000
TEMBO,2019-03-12 00:00:00+05:30,53.1,53.1,53.1,53.1,40000
TEMBO,2019-03-13 00:00:00+05:30,52.5,53.35,52.5,53.25,100000
