Symbol,Date,Open,High,Low,Close,Volume
TEXINFRA,2004-09-09 00:00:00+05:30,5.96,6.15,5.56,5.56,120819
TEXINFRA,2004-09-10 00:00:00+05:30,5.48,5.76,5.48,5.65,103949
TEXINFRA,2004-09-13 00:00:00+05:30,5.8,5.83,5.56,5.61,132589
TEXINFRA,2004-09-14 00:00:00+05:30,5.6,5.62,5.33,5.36,247849
TEXINFRA,2004-09-15 00:00:00+05:30,5.38,5.63,5.37,5.61,171939
TEXINFRA,2004-09-16 00:00:00+05:30,5.68,5.89,5.56,5.77,465999
TEXINFRA,2004-09-17 00:00:00+05:30,5.73,6.04,5.6,6.0,524179
TEXINFRA,2004-09-20 00:00:00+05:30,6.17,6.27,5.98,6.04,359549
TEXINFRA,2004-09-21 00:00:00+05:30,6.18,6.25,6.05,6.18,462509
TEXINFRA,2004-09-22 00:00:00+05:30,6.27,6.49,6.21,6.38,518969
TEXINFRA,2004-09-23 00:00:00+05:30,6.48,6.52,6.19,6.25,342939
TEXINFRA,2004-09-24 00:00:00+05:30,6.21,6.56,6.09,6.56,357309
TEXINFRA,2004-09-27 00:00:00+05:30,6.85,6.89,6.62,6.89,1417019
TEXINFRA,2004-09-28 00:00:00+05:30,7.02,7.22,6.94,7.0,810109
TEXINFRA,2004-09-29 00:00:00+05:30,7.1,7.1,6.66,6.7,436139
TEXINFRA,2004-09-30 00:00:00+05:30,6.73,7.03,6.69,6.91,350409
TEXINFRA,2004-10-01 00:00:00+05:30,6.94,6.94,6.57,6.6,291539
TEXINFRA,2004-10-04 00:00:00+05:30,6.53,6.56,6.29,6.36,388879
TEXINFRA,2004-10-05 00:00:00+05:30,6.45,6.68,6.29,6.68,502159
TEXINFRA,2004-10-06 00:00:00+05:30,6.69,6.89,6.57,6.8,422449
TEXINFRA,2004-10-07 00:00:00+05:30,6.84,7.14,6.84,7.14,171609
TEXINFRA,2004-10-08 00:00:00+05:30,7.46,7.5,7.35,7.5,252889
TEXINFRA,2004-10-11 00:00:00+05:30,7.99,8.26,7.48,7.52,304089
TEXINFRA,2004-10-12 00:00:00+05:30,7.59,7.69,7.19,7.58,177679
TEXINFRA,2004-10-14 00:00:00+05:30,7.71,7.71,7.29,7.44,67469
TEXINFRA,2004-10-15 00:00:00+05:30,7.51,7.51,7.24,7.29,65009
TEXINFRA,2004-10-18 00:00:00+05:30,7.51,7.59,7.18,7.35,228139
TEXINFRA,2004-10-19 00:00:00+05:30,7.42,7.42,6.98,7.05,79919
TEXINFRA,2004-10-20 00:00:00+05:30,6.96,7.1,6.92,7.0,148989
TEXINFRA,2004-10-21 00:00:00+05:30,7.08,7.27,6.95,7.02,134459
TEXINFRA,2004-10-25 00:00:00+05:30,6.98,6.98,6.67,6.77,98819
TEXINFRA,2004-10-26 00:00:00+05:30,6.78,6.85,6.73,6.79,29199
