Symbol,Date,Open,High,Low,Close,Volume
TFL,2007-02-26 00:00:00+05:30,51.05,55.5,41.5,43.25,5945046
TFL,2007-02-27 00:00:00+05:30,42.4,44.55,39.75,40.95,2454140
TFL,2007-02-28 00:00:00+05:30,37.9,38.3,34.25,35.4,449831
TFL,2007-03-01 00:00:00+05:30,35.1,42.5,35.1,42.5,843007
TFL,2007-03-02 00:00:00+05:30,43.05,48.1,41.1,42.95,1794168
TFL,2007-03-05 00:00:00+05:30,41.0,41.75,34.85,36.05,346610
TFL,2007-03-06 00:00:00+05:30,37.65,40.1,35.7,36.8,290146
TFL,2007-03-07 00:00:00+05:30,38.3,38.3,30.55,32.35,161682
TFL,2007-03-08 00:00:00+05:30,32.8,34.05,31.1,32.55,93300
TFL,2007-03-09 00:00:00+05:30,33.75,34.65,32.15,32.4,72104
TFL,2007-03-12 00:00:00+05:30,33.2,33.65,31.5,32.0,33973
TFL,2007-03-13 00:00:00+05:30,32.35,34.2,32.3,33.45,72854
TFL,2007-03-14 00:00:00+05:30,31.1,31.9,31.1,31.65,43884
TFL,2007-03-15 00:00:00+05:30,32.0,34.95,32.0,32.6,90543
TFL,2007-03-16 00:00:00+05:30,32.95,33.25,31.0,31.3,31230
TFL,2007-03-19 00:00:00+05:30,31.8,31.8,30.7,31.2,14465
TFL,2007-03-20 00:00:00+05:30,31.55,31.9,30.55,30.8,14035
TFL,2007-03-21 00:00:00+05:30,30.85,31.0,30.1,30.35,24781
TFL,2007-03-22 00:00:00+05:30,30.35,36.45,30.15,36.45,153728
TFL,2007-03-23 00:00:00+05:30,38.75,41.0,37.15,39.6,402593
TFL,2007-03-26 00:00:00+05:30,39.65,39.65,34.9,35.55,102404
TFL,2007-03-28 00:00:00+05:30,33.75,35.0,32.45,33.25,39246
TFL,2007-03-29 00:00:00+05:30,34.2,34.65,32.85,33.95,25319
TFL,2007-03-30 00:00:00+05:30,34.2,35.55,33.75,33.8,20688
TFL,2007-04-02 00:00:00+05:30,32.85,34.1,31.65,32.05,30554
TFL,2007-04-03 00:00:00+05:30,32.35,33.55,32.15,32.6,10796
TFL,2007-04-04 00:00:00+05:30,33.95,33.95,32.35,32.65,6192
TFL,2007-04-05 00:00:00+05:30,32.2,36.45,31.5,33.9,72223
TFL,2007-04-09 00:00:00+05:30,34.45,35.55,33.9,35.0,24852
TFL,2007-04-10 00:00:00+05:30,34.55,35.1,33.45,33.85,12844
TFL,2007-04-11 00:00:00+05:30,33.15,35.05,33.15,33.85,20730
TFL,2007-04-12 00:00:00+05:30,34.0,34.0,32.8,32.9,8865
TFL,2007-04-13 00:00:00+05:30,33.05,34.1,32.9,33.45,7613
TFL,2007-04-16 00:00:00+05:30,33.25,35.55,33.0,34.55,25796
TFL,2007-04-17 00:00:00+05:30,34.0,35.55,33.8,34.25,31439
TFL,2007-04-18 00:00:00+05:30,34.65,38.0,33.8,35.25,111292
TFL,2007-04-19 00:00:00+05:30,35.1,35.55,33.9,34.55,18996
TFL,2007-04-20 00:00:00+05:30,35.3,35.3,33.95,34.45,12836
TFL,2007-04-23 00:00:00+05:30,34.9,34.95,33.95,34.3,5732
TFL,2007-04-24 00:00:00+05:30,34.55,34.6,33.2,33.65,9576
TFL,2007-04-25 00:00:00+05:30,33.35,34.8,32.9,34.4,17049
TFL,2007-04-26 00:00:00+05:30,34.2,34.4,33.1,33.35,13413
TFL,2007-04-27 00:00:00+05:30,33.4,34.2,32.55,32.95,8648
TFL,2007-04-30 00:00:00+05:30,32.9,33.75,32.1,32.4,15473
TFL,2007-05-03 00:00:00+05:30,38.0,38.0,32.65,33.25,16438
TFL,2007-05-04 00:00:00+05:30,33.1,33.4,32.85,33.1,5726
TFL,2007-05-07 00:00:00+05:30,33.1,33.45,32.1,32.2,17757
TFL,2007-05-08 00:00:00+05:30,32.7,33.45,31.95,32.1,11787
TFL,2007-05-09 00:00:00+05:30,31.9,33.5,31.9,32.6,13273
TFL,2007-05-10 00:00:00+05:30,32.25,33.2,32.05,32.2,12017
TFL,2007-05-11 00:00:00+05:30,31.9,32.7,31.7,31.75,5729
TFL,2007-05-14 00:00:00+05:30,32.35,33.5,32.2,32.7,18287
TFL,2007-05-15 00:00:00+05:30,32.8,34.65,31.2,31.85,51921
TFL,2007-05-16 00:00:00+05:30,32.8,34.35,32.35,33.25,62846
TFL,2007-05-17 00:00:00+05:30,33.45,35.0,32.0,33.6,82155
TFL,2007-05-18 00:00:00+05:30,33.4,34.2,32.8,33.6,14954
TFL,2007-05-21 00:00:00+05:30,33.65,34.65,33.25,33.4,17562
TFL,2007-05-22 00:00:00+05:30,33.75,33.75,32.4,32.65,10738
TFL,2007-05-23 00:00:00+05:30,33.35,33.35,32.35,32.55,9320
TFL,2007-05-24 00:00:00+05:30,32.1,32.65,31.9,31.95,8094
TFL,2007-05-25 00:00:00+05:30,31.9,33.25,31.65,32.35,14501
TFL,2007-05-28 00:00:00+05:30,32.45,33.1,32.15,32.2,11260
TFL,2007-05-29 00:00:00+05:30,32.8,33.7,31.9,32.8,12911
TFL,2007-05-30 00:00:00+05:30,32.8,33.05,31.1,31.4,16707
TFL,2007-05-31 00:00:00+05:30,31.55,32.2,30.65,31.5,17104
TFL,2007-06-01 00:00:00+05:30,31.45,32.65,31.45,31.55,13059
TFL,2007-06-04 00:00:00+05:30,31.9,31.9,31.0,31.15,6101
TFL,2007-06-05 00:00:00+05:30,31.45,33.25,31.2,31.35,5543
TFL,2007-06-06 00:00:00+05:30,31.7,32.3,31.0,31.35,10387
TFL,2007-06-07 00:00:00+05:30,30.65,31.55,30.65,31.4,4738
TFL,2007-06-08 00:00:00+05:30,30.55,31.85,30.2,30.4,11112
TFL,2007-06-11 00:00:00+05:30,31.25,31.9,30.85,31.15,19731
TFL,2007-06-12 00:00:00+05:30,31.25,31.9,30.65,30.75,8362
TFL,2007-06-13 00:00:00+05:30,30.45,30.9,30.1,30.3,8578
TFL,2007-06-14 00:00:00+05:30,30.55,31.4,30.35,30.65,8820
TFL,2007-06-15 00:00:00+05:30,31.35,31.4,30.25,30.4,9382
TFL,2007-06-18 00:00:00+05:30,30.1,30.55,29.7,29.9,6431
TFL,2007-06-19 00:00:00+05:30,29.4,30.3,29.25,29.5,9034
TFL,2007-06-20 00:00:00+05:30,30.35,30.5,29.55,29.65,11551
TFL,2007-06-21 00:00:00+05:30,29.6,30.05,29.15,29.3,8532
TFL,2007-06-22 00:00:00+05:30,29.15,29.8,28.8,29.25,6294
TFL,2007-06-25 00:00:00+05:30,29.15,29.45,28.35,28.9,18120
TFL,2007-06-26 00:00:00+05:30,29.1,30.1,28.35,28.65,18984
TFL,2007-06-27 00:00:00+05:30,28.5,29.35,28.45,28.8,7790
TFL,2007-06-28 00:00:00+05:30,28.75,28.85,28.3,28.45,9403
TFL,2007-06-29 00:00:00+05:30,28.25,29.6,28.25,29.1,17556
TFL,2007-07-02 00:00:00+05:30,29.6,30.1,29.1,29.15,7778
TFL,2007-07-03 00:00:00+05:30,28.95,29.8,28.9,29.5,9495
TFL,2007-07-04 00:00:00+05:30,28.8,29.6,28.4,29.2,7090
TFL,2007-07-05 00:00:00+05:30,28.6,29.15,28.6,29.05,4479
TFL,2007-07-06 00:00:00+05:30,29.1,29.15,28.5,28.85,9308
TFL,2007-07-09 00:00:00+05:30,29.15,29.15,28.55,28.75,14010
TFL,2007-07-10 00:00:00+05:30,28.7,29.1,28.45,28.7,6826
TFL,2007-07-11 00:00:00+05:30,28.95,29.6,28.35,29.3,14474
TFL,2007-07-12 00:00:00+05:30,29.8,31.45,29.4,30.15,28020
TFL,2007-07-13 00:00:00+05:30,31.9,31.9,29.7,30.95,16492
TFL,2007-07-16 00:00:00+05:30,31.0,31.45,30.1,30.25,7080
